time,3M,6M,9M,1Y,2Y,3Y
2022-06-01,36.57,41.96,44.77,48.26,58.69,62.91
2022-06-02,36.55,41.74,45.62,48.94,59.04,63.01
2022-06-06,37.23,41.63,44.88,48.91,56.19,62.18
2022-06-07,37.27,41.76,44.67,49.36,55.74,62.29
2022-06-08,37.75,41.39,44.61,48.87,54.86,61.23
2022-06-09,37.99,41.82,44.76,50.17,56.52,63.33
2022-06-10,37.48,41.64,44.85,50.13,56.55,61.58
2022-06-13,38.10,41.51,44.64,49.92,55.48,61.60
2022-06-14,38.40,41.89,45.69,50.07,56.52,61.99
2022-06-15,38.01,41.72,45.76,49.66,55.79,62.33
2022-06-16,38.71,42.24,45.84,50.13,58.33,63.26
2022-06-17,38.73,42.17,46.53,50.93,59.24,64.36
2022-06-20,37.16,41.88,45.93,50.52,56.92,63.30
2022-06-21,37.03,41.51,45.74,49.96,59.00,63.44
2022-06-22,36.84,42.21,46.03,49.91,59.37,63.52
2022-06-23,36.69,42.12,45.57,50.08,56.27,62.30
2022-06-24,36.38,41.94,45.14,49.89,58.64,63.29
2022-06-27,36.31,41.97,44.73,50.02,56.38,61.62
2022-06-28,36.58,41.66,45.02,49.66,55.74,61.31
2022-06-29,36.07,41.72,45.02,49.61,56.23,61.95
2022-06-30,35.59,40.92,44.93,48.72,55.99,61.50
2022-07-01,35.44,41.54,44.55,49.40,55.63,61.24
2022-07-04,35.92,40.84,45.10,49.34,55.84,61.09
2022-07-05,35.58,40.42,44.30,48.41,55.39,60.95
2022-07-06,36.39,41.32,44.82,49.16,55.52,60.66
2022-07-07,35.53,41.23,44.19,48.41,55.25,60.53
2022-07-08,35.49,40.97,43.95,48.35,55.14,60.26
2022-07-11,35.29,40.36,43.68,48.11,54.85,60.16
2022-07-12,35.71,39.91,43.12,47.47,54.94,60.22
2022-07-13,35.12,39.70,43.11,47.69,55.17,60.55
2022-07-14,35.68,40.84,43.85,48.49,54.86,60.12
2022-07-15,35.43,40.68,43.87,48.40,55.13,59.94
2022-07-18,35.53,40.19,43.54,47.55,54.59,59.28
2022-07-19,35.86,40.38,44.25,47.64,53.51,59.72
2022-07-20,36.56,41.39,44.19,47.47,53.10,59.08
2022-07-21,36.81,40.89,44.09,47.72,52.72,59.03
2022-07-22,37.01,40.79,44.27,47.48,52.75,59.01
2022-07-25,36.71,40.60,43.77,47.34,52.55,58.98
2022-07-26,36.96,41.53,44.02,48.20,52.70,59.13
2022-07-27,37.86,42.09,45.39,50.13,56.06,60.98
2022-07-28,37.49,42.45,45.90,49.75,54.07,60.25
2022-07-29,38.16,41.41,44.59,48.09,53.46,59.57
2022-08-01,37.43,42.66,45.21,49.05,54.29,59.76
2022-08-02,37.97,42.08,46.00,49.96,54.98,60.60
2022-08-03,39.32,41.87,45.93,49.73,54.72,59.95
2022-08-04,39.57,42.34,46.81,50.48,55.42,62.68
2022-08-05,38.13,41.95,46.21,49.21,54.47,63.42
2022-08-08,38.48,42.18,45.80,48.80,53.83,61.97
2022-08-09,38.57,42.35,45.96,49.16,55.01,62.40
2022-08-10,38.18,42.06,45.63,49.42,53.83,61.80
2022-08-11,37.41,40.94,44.15,48.51,53.61,61.77
