time,total_volume,total_long_oi,total_short_oi,c1_inst_id,c1_volume,c1_long_oi,c1_short_oi,c2_inst_id,c2_volume,c2_long_oi,c2_short_oi,c3_inst_id,c3_volume,c3_long_oi,c3_short_oi,c4_inst_id,c4_volume,c4_long_oi,c4_short_oi
2017-01-03,9544.0,10588.0,9269.0,RM705,8680,9185,8184,RM709,864,1403,1085,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-04,15079.0,9772.0,9444.0,RM705,13426,8335,8388,RM709,1653,1437,1056,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-05,14403.0,10820.0,9229.0,RM705,12623,8969,8121,RM709,1780,1851,1108,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-06,22148.0,9462.0,10975.0,RM705,20579,7447,10122,RM709,1569,2015,853,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-09,21506.0,9475.0,11914.0,RM705,20618,7333,10980,RM709,888,2142,934,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-10,20886.0,10564.0,12159.0,RM705,19123,8148,11116,RM709,1763,2416,1043,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-11,31495.0,12737.0,8229.0,RM705,28844,10317,7249,RM709,2651,2420,980,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-12,20593.0,11646.0,8257.0,RM705,18683,9249,7384,RM709,1910,2397,873,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-13,28911.0,15279.0,6878.0,RM705,25262,12551,5846,RM709,3648,2724,1032,RM711,1.0,4.0,0.0,,0.0,0.0,0.0
2017-01-16,25414.0,15260.0,6577.0,RM705,23038,13199,5788,RM709,2374,2061,789,RM711,2.0,0.0,0.0,,0.0,0.0,0.0
2017-01-17,23199.0,14784.0,6458.0,RM705,19701,12284,5370,RM709,3494,2494,1088,RM711,4.0,6.0,0.0,,0.0,0.0,0.0
2017-01-18,21942.0,15677.0,5251.0,RM705,19888,13806,4572,RM709,2054,1871,679,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-19,17574.0,17147.0,5269.0,RM705,14983,15021,4622,RM709,2591,2126,647,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-20,18126.0,13633.0,4412.0,RM705,15550,13633,4412,RM709,2576,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-23,13741.0,13268.0,4290.0,RM705,12977,13268,4290,RM709,764,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-24,10690.0,15672.0,4570.0,RM705,9949,14293,4570,RM709,741,1379,0,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-25,18414.0,11464.0,3980.0,RM705,16806,9811,3980,RM709,1608,1653,0,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-26,8346.0,9507.0,3573.0,RM705,8346,7926,3573,RM709,0,1581,0,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-03,10076.0,10129.0,4960.0,RM705,8275,8175,3947,RM709,1801,1954,1013,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-06,40375.0,17031.0,1560.0,RM705,32792,15127,0,RM709,7583,1904,1560,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-07,23330.0,19397.0,1675.0,RM705,17972,15930,0,RM709,5358,3467,1675,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-08,40341.0,19960.0,8005.0,RM705,30797,17679,6344,RM709,9544,2281,1661,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-09,24178.0,18251.0,7462.0,RM705,19639,15585,5893,RM709,4539,2666,1569,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-10,32016.0,19716.0,7585.0,RM705,26444,17134,5924,RM709,5572,2582,1661,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-13,29688.0,18651.0,7402.0,RM705,23836,16508,5724,RM709,5852,2143,1678,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-14,21733.0,17678.0,0.0,RM705,19180,15142,0,RM709,2553,2536,0,RM801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-15,22044.0,18097.0,5763.0,RM705,15952,14409,5763,RM709,5931,3688,0,RM801,161.0,0.0,0.0,,0.0,0.0,0.0
2017-02-16,23180.0,19156.0,0.0,RM705,18582,15330,0,RM709,4317,3470,0,RM801,281.0,356.0,0.0,,0.0,0.0,0.0
2017-02-17,31996.0,17534.0,0.0,RM705,26221,13268,0,RM709,5034,3360,0,RM801,741.0,906.0,0.0,,0.0,0.0,0.0
2017-02-20,16041.0,16016.0,4266.0,RM705,12024,11767,4266,RM709,3925,3355,0,RM801,92.0,894.0,0.0,,0.0,0.0,0.0
2017-02-21,23778.0,15351.0,0.0,RM705,16811,11493,0,RM709,6967,2966,0,RM801,0.0,892.0,0.0,,0.0,0.0,0.0
2017-02-22,26908.0,18989.0,4619.0,RM705,18806,14181,0,RM709,8102,3931,4619,RM801,0.0,877.0,0.0,,0.0,0.0,0.0
2017-02-23,29368.0,20614.0,13613.0,RM705,20354,15319,5113,RM709,8834,4434,8500,RM801,180.0,861.0,0.0,,0.0,0.0,0.0
2017-02-24,20753.0,18749.0,13798.0,RM705,14766,14168,5902,RM709,5794,3616,7896,RM801,193.0,965.0,0.0,,0.0,0.0,0.0
2017-02-27,21128.0,19374.0,14541.0,RM705,16399,14547,6296,RM709,4729,3864,8245,RM801,0.0,963.0,0.0,,0.0,0.0,0.0
2017-02-28,17364.0,19284.0,14464.0,RM705,12526,14779,6040,RM709,4670,3553,8424,RM801,168.0,952.0,0.0,,0.0,0.0,0.0
2017-03-01,24671.0,21848.0,14197.0,RM705,19285,16780,5820,RM709,5386,4086,8377,RM801,0.0,982.0,0.0,,0.0,0.0,0.0
2017-03-02,19633.0,22767.0,14232.0,RM705,14802,17611,5815,RM709,4831,4163,8417,RM801,0.0,993.0,0.0,,0.0,0.0,0.0
2017-03-03,17690.0,22884.0,14064.0,RM705,12747,17900,5877,RM709,4748,3985,8187,RM801,195.0,999.0,0.0,,0.0,0.0,0.0
2017-03-06,27085.0,24563.0,15254.0,RM705,21551,19155,7097,RM709,5331,4400,8157,RM801,203.0,1008.0,0.0,,0.0,0.0,0.0
2017-03-07,23223.0,26596.0,15155.0,RM705,15368,20104,6360,RM709,7855,5477,8795,RM801,0.0,1015.0,0.0,,0.0,0.0,0.0
2017-03-08,33882.0,23893.0,14435.0,RM705,23722,17540,5650,RM709,10160,5305,8785,RM801,0.0,1048.0,0.0,,0.0,0.0,0.0
2017-03-09,18237.0,22873.0,14200.0,RM705,12328,16731,5317,RM709,5735,5122,8883,RM801,174.0,1020.0,0.0,,0.0,0.0,0.0
2017-03-10,31474.0,21815.0,19238.0,RM705,22283,15238,10379,RM709,9191,5507,8859,RM801,0.0,1070.0,0.0,,0.0,0.0,0.0
2017-03-13,20225.0,20760.0,19001.0,RM705,15371,14922,9858,RM709,4854,4765,9143,RM801,0.0,1073.0,0.0,,0.0,0.0,0.0
2017-03-14,27949.0,19373.0,21524.0,RM705,21905,13380,12663,RM709,5802,4943,8861,RM801,242.0,1050.0,0.0,,0.0,0.0,0.0
2017-03-15,31790.0,19115.0,16481.0,RM705,21570,12372,6291,RM709,10220,5682,10190,RM801,0.0,1061.0,0.0,,0.0,0.0,0.0
2017-03-16,21922.0,19695.0,21788.0,RM705,15237,12072,9218,RM709,6685,6567,12570,RM801,0.0,1056.0,0.0,,0.0,0.0,0.0
2017-03-17,25885.0,20562.0,27033.0,RM705,17259,11880,10037,RM709,8408,7611,16996,RM801,218.0,1071.0,0.0,,0.0,0.0,0.0
2017-03-20,38197.0,18202.0,22264.0,RM705,23881,8444,5948,RM709,14018,8589,16316,RM801,298.0,1169.0,0.0,,0.0,0.0,0.0
2017-03-21,33253.0,19771.0,22082.0,RM709,18449,10241,15227,RM705,14804,8351,6855,RM801,0.0,1179.0,0.0,,0.0,0.0,0.0
2017-03-22,23105.0,19952.0,22703.0,RM709,14430,10964,16438,RM705,8675,7804,6265,RM801,0.0,1184.0,0.0,,0.0,0.0,0.0
