time,total_volume,total_long_oi,total_short_oi,c1_inst_id,c1_volume,c1_long_oi,c1_short_oi,c2_inst_id,c2_volume,c2_long_oi,c2_short_oi,c3_inst_id,c3_volume,c3_long_oi,c3_short_oi,c4_inst_id,c4_volume,c4_long_oi,c4_short_oi
2017-01-04,0.0,8754.0,27630.0,y1705,0,8754,18715,y1709,0,0,8915,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-05,0.0,9288.0,27630.0,y1705,0,9288,18715,y1709,0,0,8915,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-06,0.0,9548.0,27630.0,y1705,0,9548,18715,y1709,0,0,8915,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-09,0.0,9548.0,27630.0,y1705,0,9548,18715,y1709,0,0,8915,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-10,0.0,8953.0,27630.0,y1705,0,8953,18715,y1709,0,0,8915,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-11,0.0,9576.0,28073.0,y1705,0,9576,19158,y1709,0,0,8915,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-12,0.0,9475.0,29680.0,y1705,0,9475,20865,y1709,0,0,8815,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-13,2347.0,8972.0,27603.0,y1705,0,8972,20835,y1709,2347,0,6768,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-16,1711.0,9292.0,25892.0,y1705,0,9292,20835,y1709,1711,0,5057,,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-17,0.0,9282.0,25892.0,y1705,0,9282,20835,y1709,0,0,5057,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-18,0.0,8647.0,25822.0,y1705,0,8647,20765,y1709,0,0,5057,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-19,0.0,8730.0,26775.0,y1705,0,8730,21718,y1709,0,0,5057,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-20,0.0,10006.0,26775.0,y1705,0,8710,21718,y1709,0,1296,5057,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-23,0.0,8812.0,26775.0,y1705,0,8812,21718,y1709,0,0,5057,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-24,1218.0,10207.0,25705.0,y1705,0,8793,21748,y1709,1218,1414,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-25,0.0,11179.0,25625.0,y1705,0,9410,21668,y1709,0,1769,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-01-26,0.0,11879.0,25575.0,y1705,0,10073,21618,y1709,0,1806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-06,0.0,12313.0,25397.0,y1705,0,10507,21440,y1709,0,1806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-07,1000.0,12931.0,25991.0,y1705,0,10125,22034,y1709,1000,2806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-08,0.0,12738.0,25941.0,y1705,0,9932,21984,y1709,0,2806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-09,0.0,12246.0,25763.0,y1705,0,9440,21806,y1709,0,2806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-10,0.0,12227.0,26730.0,y1705,0,9421,22773,y1709,0,2806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-13,0.0,12260.0,26710.0,y1705,0,9454,22753,y1709,0,2806,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-14,0.0,12935.0,26580.0,y1705,0,9529,22623,y1709,0,3406,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-15,0.0,13527.0,27748.0,y1705,0,9621,23791,y1709,0,3906,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-16,0.0,13657.0,27718.0,y1705,0,9751,23761,y1709,0,3906,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
2017-02-17,0.0,14025.0,26733.0,y1705,0,9831,22776,y1709,0,4194,3957,y1801,0.0,0.0,0.0,,0.0,0.0,0.0
