time,index,index,index,c1,c1,c1,c1,c1,c1,c1,c1,c2,c2,c2,c2,c2,c2,c2,c2,c3,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c4,c5,c5,c5,c5,c5,c5,c5,c5,c6,c6,c6,c6,c6,c6,c6,c6,c7,c7,c7,c7,c7,c7,c7,c7,c8,c8,c8,c8,c8,c8,c8,c8,c9,c9,c9,c9,c9,c9,c9,c9,dom,dom,dom,dom,dom,dom,dom,dom
Unnamed: 0_level_1,close,vol,oi,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle
2022-12-19,51.21585798816568,21657.0,7605.0,HO2301-C-2400,302.2,307.4,263.0,264.0,11,5.0,260.6,HO2301-C-2425,278.2,282.6,246.8,246.8,8,7.0,237.2,HO2301-C-2450,253.2,258.6,223.2,223.2,10,8.0,214.0,HO2301-C-2475,229.8,235.2,194.8,194.8,17,8.0,191.4,HO2301-C-2500,207.0,213.2,162.6,167.2,70,22.0,168.6,HO2301-C-2550,163.4,172.6,121.0,126.6,47,17.0,128.2,HO2301-C-2600,124.2,134.0,89.6,93.8,389,151.0,93.8,HO2301-C-2650,89.4,100.0,60.4,65.4,680,170.0,65.8,HO2301-C-2700,62.4,71.0,40.0,43.2,2288,516.0,43.2,HO2301-C-2700,62.4,71.0,40.0,43.2,2288.0,516.0,43.2
2022-12-20,50.11646268128758,35574.0,14135.0,HO2301-C-2375,263.8,263.8,228.2,237.6,8,4.0,240.4,HO2301-C-2400,250.4,250.4,199.0,216.0,17,9.0,217.4,HO2301-C-2425,196.8,196.8,196.4,196.4,6,6.0,194.8,HO2301-C-2450,204.4,204.4,155.0,170.6,46,19.0,173.0,HO2301-C-2475,153.6,153.6,137.4,137.4,6,9.0,152.0,HO2301-C-2500,163.0,165.4,116.8,129.6,175,61.0,130.2,HO2301-C-2550,122.8,123.6,82.4,97.0,400,121.0,97.0,HO2301-C-2600,87.4,90.8,57.0,67.0,1776,588.0,67.0,HO2301-C-2650,50.0,63.6,37.4,44.4,2920,652.0,44.4,HO2301-C-2650,50.0,63.6,37.4,44.4,2920.0,652.0,44.4
2022-12-21,48.97602197240675,17992.0,15656.0,HO2301-C-2325,288.6,290.6,288.6,290.6,2,0.0,290.6,HO2301-C-2350,,,,258.6,0,0.0,265.8,HO2301-C-2375,,,,237.6,0,4.0,242.0,HO2301-C-2400,217.2,225.0,217.2,220.0,5,10.0,218.6,HO2301-C-2425,194.6,199.0,194.6,197.2,4,8.0,195.6,HO2301-C-2450,181.0,181.6,172.8,181.6,30,31.0,173.4,HO2301-C-2475,152.0,155.2,152.0,153.6,13,20.0,152.0,HO2301-C-2500,136.0,140.8,130.0,134.2,65,63.0,134.2,HO2301-C-2550,100.0,103.0,93.0,94.8,119,128.0,95.2,HO2301-C-2550,100.0,103.0,93.0,94.8,119.0,128.0,95.2
2022-12-22,45.560110450297366,24090.0,18832.0,HO2301-C-2325,302.2,302.2,293.8,293.8,2,2.0,303.6,HO2301-C-2350,,,,258.6,0,0.0,279.2,HO2301-C-2375,269.8,269.8,269.8,269.8,1,4.0,255.0,HO2301-C-2400,231.0,231.0,231.0,231.0,1,9.0,231.2,HO2301-C-2425,210.8,217.0,210.8,214.6,4,11.0,208.0,HO2301-C-2450,192.0,199.8,179.8,182.2,20,33.0,185.2,HO2301-C-2475,168.0,173.4,154.4,154.4,24,33.0,163.2,HO2301-C-2500,142.0,158.0,132.4,142.0,87,79.0,142.0,HO2301-C-2550,102.4,119.4,96.8,101.6,199,81.0,103.8,HO2301-C-2550,102.4,119.4,96.8,101.6,199.0,81.0,103.8
2022-12-23,46.30693244304792,19495.0,20368.0,HO2301-C-2325,292.2,300.0,288.8,300.0,9,3.0,301.6,HO2301-C-2350,262.4,274.0,262.4,274.0,8,4.0,277.0,HO2301-C-2375,,,,269.8,0,4.0,253.2,HO2301-C-2400,238.0,238.0,221.4,228.0,14,17.0,229.4,HO2301-C-2425,214.4,215.2,214.4,215.2,2,12.0,206.2,HO2301-C-2450,168.8,189.8,168.8,182.4,33,41.0,182.4,HO2301-C-2475,161.2,172.6,158.4,158.4,26,34.0,161.8,HO2301-C-2500,131.0,152.6,131.0,141.8,89,89.0,143.0,HO2301-C-2550,101.6,113.8,92.6,102.8,269,139.0,102.8,HO2301-C-2550,101.6,113.8,92.6,102.8,269.0,139.0,102.8
2022-12-26,45.60373177283193,16992.0,20848.0,HO2301-C-2325,,,,300.0,0,3.0,290.2,HO2301-C-2350,286.2,286.2,286.2,286.2,2,4.0,266.0,HO2301-C-2375,261.8,261.8,261.8,261.8,2,4.0,242.0,HO2301-C-2400,227.0,238.0,224.2,229.2,7,17.0,218.4,HO2301-C-2425,208.4,208.4,192.4,192.4,4,11.0,195.4,HO2301-C-2450,181.0,183.0,170.2,171.0,7,41.0,172.8,HO2301-C-2475,162.2,162.2,150.4,150.4,8,40.0,151.2,HO2301-C-2500,141.2,146.8,128.4,131.6,70,98.0,131.6,HO2301-C-2550,102.0,107.0,91.6,91.6,51,143.0,91.6,HO2301-C-2500,141.2,146.8,128.4,131.6,70.0,98.0,131.6
2022-12-27,42.411850649350654,15866.0,22176.0,HO2301-C-2325,,,,300.0,0,3.0,318.6,HO2301-C-2350,295.8,295.8,292.0,292.0,2,4.0,293.8,HO2301-C-2375,,,,261.8,0,4.0,269.4,HO2301-C-2400,240.0,245.6,240.0,245.6,3,17.0,244.4,HO2301-C-2425,218.2,219.8,218.2,219.8,2,11.0,220.6,HO2301-C-2450,193.0,201.4,193.0,197.4,47,34.0,196.8,HO2301-C-2475,165.4,174.8,165.4,174.8,9,38.0,174.2,HO2301-C-2500,150.0,157.0,145.6,152.2,54,77.0,152.2,HO2301-C-2550,109.8,116.8,107.0,110.2,60,151.0,110.2,HO2301-C-2550,109.8,116.8,107.0,110.2,60.0,151.0,110.2
2022-12-28,40.02468021068472,14580.0,23922.0,HO2301-C-2325,326.4,326.4,326.4,326.4,2,3.0,322.0,HO2301-C-2350,298.4,300.0,298.4,300.0,2,4.0,297.4,HO2301-C-2375,,,,261.8,0,4.0,272.8,HO2301-C-2400,252.4,252.4,252.4,252.4,4,16.0,248.4,HO2301-C-2425,228.2,228.2,225.6,225.6,3,12.0,225.4,HO2301-C-2450,204.0,204.2,201.4,201.6,8,35.0,201.2,HO2301-C-2475,172.4,180.8,172.4,178.4,3,38.0,177.8,HO2301-C-2500,147.0,161.0,147.0,155.4,41,81.0,155.4,HO2301-C-2550,111.8,121.2,104.2,115.2,77,154.0,113.4,HO2301-C-2550,111.8,121.2,104.2,115.2,77.0,154.0,113.4
2022-12-29,37.49755183230051,16805.0,26142.0,HO2301-C-2325,290.4,305.0,290.4,305.0,6,3.0,306.2,HO2301-C-2350,278.4,279.0,269.2,279.0,4,5.0,280.4,HO2301-C-2375,247.2,255.2,237.8,255.2,6,4.0,255.8,HO2301-C-2400,224.0,229.8,224.0,229.8,3,16.0,233.0,HO2301-C-2425,199.8,206.0,190.2,202.6,8,13.0,208.6,HO2301-C-2450,180.6,184.2,168.0,180.4,16,40.0,186.8,HO2301-C-2475,158.0,159.2,145.4,159.2,9,38.0,162.6,HO2301-C-2500,145.2,145.2,124.8,140.6,62,80.0,140.6,HO2301-C-2550,100.0,102.6,86.6,98.8,129,168.0,99.6,HO2301-C-2550,100.0,102.6,86.6,98.8,129.0,168.0,99.6
