time,小计,期货
2019-11-11,0,0
2019-11-12,0,0
2019-11-13,0,0
2019-11-14,0,0
2019-11-15,0,0
2019-11-18,0,0
2019-11-19,0,0
2019-11-20,0,0
2019-11-21,0,0
2019-11-22,8,0
2019-11-25,3,0
2019-11-26,9,0
2019-11-27,9,0
2019-11-28,9,0
2019-11-29,79,0
2019-12-02,79,0
2019-12-03,78,0
2019-12-04,85,0
2019-12-05,80,0
2019-12-06,80,0
2019-12-09,80,0
2019-12-10,120,0
2019-12-11,120,0
2019-12-12,120,0
2019-12-13,120,0
2019-12-16,120,0
2019-12-17,120,0
2019-12-18,130,0
2019-12-19,130,0
2019-12-20,130,0
2019-12-23,130,0
2019-12-24,130,0
2019-12-25,127,0
2019-12-26,127,0
2019-12-27,62,0
2019-12-30,126,0
2019-12-31,126,0
2020-01-02,126,0
2020-01-03,162,0
2020-01-06,168,0
2020-01-07,174,0
2020-01-08,174,0
2020-01-09,174,0
2020-01-10,213,0
2020-01-13,213,0
2020-01-14,213,0
2020-01-15,235,0
2020-01-16,235,0
2020-01-17,272,0
2020-01-20,272,0
2020-01-21,272,0
2020-01-22,272,0
2020-01-23,272,0
2020-02-03,272,0
2020-02-04,283,0
2020-02-05,350,0
2020-02-06,350,0
2020-02-07,350,0
2020-02-10,350,0
2020-02-11,350,0
2020-02-12,350,0
2020-02-13,350,0
2020-02-14,350,0
2020-02-17,350,0
2020-02-18,372,0
2020-02-19,372,0
2020-02-20,372,0
2020-02-21,372,0
2020-02-24,372,0
2020-02-25,372,0
2020-02-26,372,0
2020-02-27,372,0
2020-02-28,372,0
2020-03-02,378,0
2020-03-03,378,0
2020-03-04,378,0
2020-03-05,378,0
2020-03-06,378,0
2020-03-09,391,0
2020-03-10,396,0
2020-03-11,396,0
2020-03-12,396,0
2020-03-13,396,0
2020-03-16,396,0
2020-03-17,396,0
2020-03-18,406,0
2020-03-19,406,0
2020-03-20,406,0
2020-03-23,406,0
2020-03-24,406,0
2020-03-25,413,0
2020-03-26,413,0
2020-03-27,437,0
2020-03-30,437,0
2020-03-31,437,0
2020-04-01,437,0
2020-04-02,468,0
2020-04-03,468,0
2020-04-07,468,0
2020-04-08,468,0
2020-04-09,479,0
2020-04-10,483,0
2020-04-13,483,0
2020-04-14,483,0
2020-04-15,501,0
2020-04-16,501,0
2020-04-17,501,0
2020-04-20,501,0
2020-04-21,501,0
2020-04-22,501,0
2020-04-23,501,0
2020-04-24,501,0
2020-04-27,501,0
2020-04-28,532,0
2020-04-29,532,0
2020-04-30,532,0
2020-05-06,562,0
2020-05-07,562,0
2020-05-08,566,0
2020-05-11,566,0
2020-05-12,566,0
2020-05-13,566,0
2020-05-14,566,0
2020-05-15,562,0
2020-05-18,574,0
2020-05-19,579,0
2020-05-20,579,0
2020-05-21,584,0
2020-05-22,584,0
2020-05-25,584,0
2020-05-26,584,0
2020-05-27,584,0
2020-05-28,584,0
2020-05-29,584,0
2020-06-01,584,0
2020-06-02,584,0
2020-06-03,584,0
2020-06-04,584,0
2020-06-05,584,0
2020-06-08,590,0
2020-06-09,590,0
2020-06-10,608,0
2020-06-11,608,0
2020-06-12,626,0
2020-06-15,626,0
2020-06-16,626,0
2020-06-17,626,0
2020-06-18,626,0
2020-06-19,626,0
2020-06-22,626,0
2020-06-23,626,0
2020-06-24,626,0
2020-06-29,626,0
2020-06-30,626,0
2020-07-01,624,0
2020-07-02,624,0
2020-07-03,624,0
2020-07-06,624,0
2020-07-07,624,0
2020-07-08,624,0
2020-07-09,624,0
2020-07-10,624,0
2020-07-13,651,0
2020-07-14,651,0
2020-07-15,651,0
2020-07-16,651,0
2020-07-17,651,0
2020-07-20,651,0
2020-07-21,661,0
2020-07-22,661,0
2020-07-23,661,0
2020-07-24,661,0
2020-07-27,661,0
2020-07-28,661,0
2020-07-29,661,0
2020-07-30,661,0
2020-07-31,661,0
2020-08-03,661,0
2020-08-04,661,0
2020-08-05,661,0
2020-08-06,661,0
2020-08-07,659,0
2020-08-10,655,0
2020-08-11,655,0
2020-08-12,655,0
2020-08-13,655,0
2020-08-14,655,0
2020-08-17,655,0
2020-08-18,655,0
2020-08-19,655,0
2020-08-20,655,0
2020-08-21,655,0
2020-08-24,655,0
2020-08-25,744,0
2020-08-26,732,0
2020-08-27,731,0
2020-08-28,711,0
2020-08-31,678,0
2020-09-01,638,0
2020-09-02,566,0
2020-09-03,426,0
2020-09-04,302,0
2020-09-07,234,0
2020-09-08,213,0
2020-09-09,151,0
2020-09-10,89,0
2020-09-11,61,0
2020-09-14,32,0
2020-09-15,32,0
2020-09-16,32,0
2020-09-17,30,0
2020-09-18,11,0
2020-09-21,11,0
2020-09-22,9,0
2020-09-23,3,0
2020-09-24,3,0
2020-09-25,3,0
2020-09-28,3,0
2020-09-29,3,0
2020-09-30,0,0
2020-10-09,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-11-02,0,0
2020-11-03,0,0
2020-11-04,0,0
2020-11-05,0,0
2020-11-06,0,0
2020-11-09,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,0
2020-11-13,0,0
2020-11-16,0,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,0,0
2020-11-20,0,0
2020-11-23,0,0
2020-11-24,0,0
2020-11-25,0,0
2020-11-26,0,0
2020-11-27,0,0
2020-11-30,0,0
2020-12-01,9,0
2020-12-02,104,0
2020-12-03,122,0
2020-12-04,149,0
2020-12-07,149,0
2020-12-08,149,0
2020-12-09,186,0
2020-12-10,214,0
2020-12-11,214,0
2020-12-14,214,0
2020-12-15,214,0
2020-12-16,214,0
2020-12-17,214,0
2020-12-18,214,0
2020-12-21,214,0
2020-12-22,214,0
2020-12-23,336,0
2020-12-24,336,0
2020-12-25,336,0
2020-12-28,328,0
2020-12-29,328,0
2020-12-30,358,0
2020-12-31,358,0
2021-01-04,358,0
2021-01-05,428,0
2021-01-06,540,0
2021-01-07,659,0
2021-01-08,679,0
2021-01-11,678,0
2021-01-12,678,0
2021-01-13,706,0
2021-01-14,706,0
2021-01-15,706,0
2021-01-18,706,0
2021-01-19,706,0
2021-01-20,706,0
2021-01-21,706,0
2021-01-22,706,0
2021-01-25,706,0
2021-01-26,706,0
2021-01-27,722,0
2021-01-28,800,0
2021-01-29,827,0
2021-02-01,837,0
2021-02-02,837,0
2021-02-03,865,0
2021-02-04,865,0
2021-02-05,865,0
2021-02-08,865,0
2021-02-09,865,0
2021-02-10,889,0
2021-02-18,889,0
2021-02-19,889,0
2021-02-22,902,0
2021-02-23,982,0
2021-02-24,987,0
2021-02-25,987,0
2021-02-26,987,0
2021-03-01,1033,0
2021-03-02,1051,0
2021-03-03,1051,0
2021-03-04,1051,0
2021-03-05,1070,0
2021-03-08,1088,0
2021-03-09,1113,0
2021-03-10,1113,0
2021-03-11,1113,0
2021-03-12,1128,0
2021-03-15,1128,0
2021-03-16,1192,0
2021-03-17,1192,0
2021-03-18,1192,0
2021-03-19,1192,0
2021-03-22,1192,0
2021-03-23,1192,0
2021-03-24,1192,0
2021-03-25,1224,0
2021-03-26,1224,0
2021-03-29,1224,0
2021-03-30,1196,0
2021-03-31,1196,0
2021-04-01,1207,0
2021-04-02,1261,0
2021-04-06,1261,0
2021-04-07,1371,0
2021-04-08,1429,0
2021-04-09,1429,0
2021-04-12,1429,0
2021-04-13,1429,0
2021-04-14,1450,0
2021-04-15,1450,0
2021-04-16,1450,0
2021-04-19,1450,0
2021-04-20,1461,0
2021-04-21,1520,0
2021-04-22,1520,0
2021-04-23,1520,0
2021-04-26,1560,0
2021-04-27,1582,0
2021-04-28,1582,0
2021-04-29,1593,0
2021-04-30,1611,0
2021-05-06,1611,0
2021-05-07,1606,0
2021-05-10,1616,0
2021-05-11,1616,0
2021-05-12,1616,0
2021-05-13,1616,0
2021-05-14,1606,0
2021-05-17,1606,0
2021-05-18,1606,0
2021-05-19,1606,0
2021-05-20,1606,0
2021-05-21,1606,0
2021-05-24,1606,0
2021-05-25,1606,0
2021-05-26,1606,0
2021-05-27,1606,0
2021-05-28,1606,0
2021-05-31,1606,0
2021-06-01,1606,0
2021-06-02,1606,0
2021-06-03,1606,0
2021-06-04,1606,0
2021-06-07,1606,0
2021-06-08,1606,0
2021-06-09,1606,0
2021-06-10,1606,0
2021-06-11,1606,0
2021-06-15,1606,0
2021-06-16,1606,0
2021-06-17,1604,0
2021-06-18,1610,0
2021-06-21,1610,0
2021-06-22,1605,0
2021-06-23,1576,0
2021-06-24,1576,0
2021-06-25,1576,0
2021-06-28,1576,0
2021-06-29,1612,0
2021-06-30,1642,0
2021-07-01,1642,0
2021-07-02,1630,0
2021-07-05,1624,0
2021-07-06,1632,0
2021-07-07,1629,0
2021-07-08,1629,0
2021-07-09,1629,0
2021-07-12,1629,0
2021-07-13,1629,0
2021-07-14,1629,0
2021-07-15,1629,0
2021-07-16,1635,0
2021-07-19,1635,0
2021-07-20,1878,0
2021-07-21,1878,0
2021-07-22,1878,0
2021-07-23,1878,0
2021-07-26,1876,0
2021-07-27,1876,0
2021-07-28,1876,0
2021-07-29,1876,0
2021-07-30,1876,0
2021-08-02,1876,0
2021-08-03,1864,0
2021-08-04,1864,0
2021-08-05,1864,0
2021-08-06,1862,0
2021-08-09,1862,0
2021-08-10,1858,0
2021-08-11,1858,0
2021-08-12,1855,0
2021-08-13,1855,0
2021-08-16,1945,0
2021-08-17,1945,0
2021-08-18,1945,0
2021-08-19,1945,0
2021-08-20,1945,0
2021-08-23,1943,0
2021-08-24,1943,0
2021-08-25,1943,0
2021-08-26,1943,0
2021-08-27,1923,0
2021-08-30,1923,0
2021-08-31,1923,0
2021-09-01,1923,0
2021-09-02,1923,0
2021-09-03,1923,0
2021-09-06,1923,0
2021-09-07,1923,0
2021-09-08,1923,0
2021-09-09,1923,0
2021-09-10,1923,0
2021-09-13,1923,0
2021-09-14,1923,0
2021-09-15,1923,0
2021-09-16,1923,0
2021-09-17,1923,0
2021-09-22,1919,0
2021-09-23,1919,0
2021-09-24,1674,0
2021-09-27,1476,0
2021-09-28,1456,0
2021-09-29,1173,0
2021-09-30,0,0
2021-10-08,0,0
2021-10-11,0,0
2021-10-12,0,0
2021-10-13,0,0
2021-10-14,0,0
2021-10-15,0,0
2021-10-18,0,0
2021-10-19,0,0
2021-10-20,0,0
2021-10-21,0,0
2021-10-22,0,0
2021-10-25,0,0
2021-10-26,0,0
2021-10-27,0,0
2021-10-28,0,0
2021-10-29,0,0
2021-11-01,0,0
2021-11-02,0,0
2021-11-03,0,0
2021-11-04,0,0
2021-11-05,164,0
2021-11-08,319,0
2021-11-09,653,0
2021-11-10,918,0
2021-11-11,1055,0
2021-11-12,2127,0
2021-11-15,2718,0
2021-11-16,2996,0
2021-11-17,3301,0
2021-11-18,3535,0
2021-11-19,4128,0
2021-11-22,4553,0
2021-11-23,5157,0
2021-11-24,5345,0
2021-11-25,5450,0
2021-11-26,5485,0
2021-11-29,6164,0
2021-11-30,6669,0
2021-12-01,6773,0
2021-12-02,6894,0
2021-12-03,7424,0
2021-12-06,7871,0
2021-12-07,8184,0
2021-12-08,8464,0
2021-12-09,8703,0
2021-12-10,8849,0
2021-12-13,9347,0
2021-12-14,9689,0
2021-12-15,9800,0
2021-12-16,10015,0
2021-12-17,10286,0
2021-12-20,10727,0
2021-12-21,10793,0
2021-12-22,10875,0
2021-12-23,11181,0
2021-12-24,11435,0
2021-12-27,11741,0
2021-12-28,11989,0
2021-12-29,12009,0
2021-12-30,12388,0
2021-12-31,12476,0
2022-01-04,12770,0
2022-01-05,12917,0
2022-01-06,12917,0
2022-01-07,13273,0
2022-01-10,13474,0
2022-01-11,13642,0
2022-01-12,13728,0
2022-01-13,13865,0
2022-01-14,14071,0
2022-01-17,14560,0
2022-01-18,14819,0
2022-01-19,14881,0
2022-01-20,15212,0
