time,index,index,index,c1,c1,c1,c1,c1,c1,c1,c1,c2,c2,c2,c2,c2,c2,c2,c2,c3,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c4,c5,c5,c5,c5,c5,c5,c5,c5,c6,c6,c6,c6,c6,c6,c6,c6,c7,c7,c7,c7,c7,c7,c7,c7,c8,c8,c8,c8,c8,c8,c8,c8,c9,c9,c9,c9,c9,c9,c9,c9,dom,dom,dom,dom,dom,dom,dom,dom
Unnamed: 0_level_1,close,vol,oi,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle
2021-02-01,10509.83021096359,540120.0,49108.0,PK110,9866.0,10630.0,9866.0,10504.0,521558,45054,10346.0,PK111,9820.0,10630.0,9820.0,10524.0,4558,759,10314.0,PK112,9950.0,10650.0,9938.0,10550.0,1070,306,10346.0,PK201,10112.0,10660.0,10050.0,10590.0,12934,2989,10450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,9866.0,10630.0,9866.0,10504.0,521558.0,45054.0,10346.0
2021-02-02,10415.646521948462,576862.0,47771.0,PK110,10504.0,10754.0,10352.0,10414.0,566353,44592,10566.0,PK111,10530.0,10740.0,10350.0,10398.0,1854,499,10564.0,PK112,10550.0,10760.0,10380.0,10410.0,537,246,10572.0,PK201,10598.0,10798.0,10396.0,10450.0,8118,2434,10628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10504.0,10754.0,10352.0,10414.0,566353.0,44592.0,10566.0
2021-02-03,10304.08904383878,371977.0,42451.0,PK110,10330.0,10396.0,10124.0,10304.0,365639,39129,10264.0,PK111,10450.0,10450.0,10146.0,10278.0,646,441,10260.0,PK112,10344.0,10380.0,10168.0,10300.0,174,204,10270.0,PK201,10398.0,10404.0,10168.0,10310.0,5518,2677,10290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10330.0,10396.0,10124.0,10304.0,365639.0,39129.0,10264.0
2021-02-04,10303.107525723211,165160.0,37126.0,PK110,10348.0,10416.0,10232.0,10302.0,163381,34081,10308.0,PK111,10366.0,10400.0,10232.0,10316.0,327,439,10318.0,PK112,10370.0,10416.0,10278.0,10334.0,42,185,10348.0,PK201,10302.0,10414.0,10252.0,10314.0,1410,2421,10328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10348.0,10416.0,10232.0,10302.0,163381.0,34081.0,10308.0
2021-02-05,10288.407445097331,103504.0,30463.0,PK110,10340.0,10400.0,10266.0,10288.0,102226,27237,10326.0,PK111,10322.0,10382.0,10242.0,10286.0,198,346,10312.0,PK112,10330.0,10388.0,10246.0,10300.0,75,198,10326.0,PK201,10334.0,10400.0,10274.0,10292.0,1005,2682,10336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10340.0,10400.0,10266.0,10288.0,102226.0,27237.0,10326.0
2021-02-08,10346.436970137374,93421.0,28899.0,PK110,10290.0,10466.0,10284.0,10346.0,92351,25857,10386.0,PK111,10298.0,10456.0,10298.0,10348.0,173,301,10378.0,PK112,10362.0,10430.0,10330.0,10356.0,44,177,10400.0,PK201,10300.0,10458.0,10298.0,10350.0,853,2564,10384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10290.0,10466.0,10284.0,10346.0,92351.0,25857.0,10386.0
2021-02-09,10375.058866995074,68874.0,24360.0,PK110,10380.0,10444.0,10354.0,10376.0,67913,21307,10394.0,PK111,10342.0,10426.0,10278.0,10362.0,96,266,10386.0,PK112,10400.0,10428.0,10280.0,10360.0,198,248,10368.0,PK201,10390.0,10438.0,10354.0,10370.0,667,2539,10384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10380.0,10444.0,10354.0,10376.0,67913.0,21307.0,10394.0
2021-02-10,10351.94679054054,43807.0,21312.0,PK110,10398.0,10424.0,10290.0,10354.0,43182,18297,10352.0,PK111,10382.0,10384.0,10280.0,10334.0,44,258,10336.0,PK112,10364.0,10386.0,10292.0,10340.0,87,289,10300.0,PK201,10376.0,10410.0,10290.0,10340.0,494,2468,10324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10398.0,10424.0,10290.0,10354.0,43182.0,18297.0,10352.0
2021-02-18,10396.408847121364,30053.0,21069.0,PK110,10398.0,10498.0,10380.0,10400.0,29513,18231,10426.0,PK111,10410.0,10468.0,10378.0,10400.0,165,189,10406.0,PK112,10444.0,10444.0,10380.0,10384.0,19,272,10398.0,PK201,10396.0,10466.0,10360.0,10370.0,356,2377,10404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10398.0,10498.0,10380.0,10400.0,29513.0,18231.0,10426.0
2021-02-19,10363.236735665,27620.0,21015.0,PK110,10416.0,10422.0,10216.0,10368.0,26687,18047,10332.0,PK111,10576.0,10576.0,10224.0,10350.0,31,190,10324.0,PK112,10564.0,10564.0,10280.0,10340.0,163,416,10332.0,PK201,10368.0,10370.0,10182.0,10332.0,739,2362,10322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10416.0,10422.0,10216.0,10368.0,26687.0,18047.0,10332.0
2021-02-22,10647.222668086151,57417.0,24422.0,PK110,10408.0,10732.0,10404.0,10650.0,56427,21270,10540.0,PK111,10434.0,10686.0,10410.0,10600.0,157,128,10552.0,PK112,10408.0,10638.0,10404.0,10638.0,107,510,10588.0,PK201,10398.0,10656.0,10380.0,10628.0,726,2514,10488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10408.0,10732.0,10404.0,10650.0,56427.0,21270.0,10540.0
2021-02-23,10671.97389343776,93477.0,25281.0,PK110,10700.0,10966.0,10520.0,10702.0,91217,21664,10836.0,PK111,10720.0,10854.0,10446.0,10500.0,70,131,10672.0,PK112,10738.0,10808.0,10404.0,10510.0,164,608,10668.0,PK201,10658.0,10814.0,10392.0,10488.0,2026,2878,10638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10700.0,10966.0,10520.0,10702.0,91217.0,21664.0,10836.0
2021-02-24,10669.133073360956,43587.0,24618.0,PK110,10750.0,10798.0,10564.0,10710.0,42202,20897,10702.0,PK111,10746.0,10764.0,10340.0,10470.0,81,130,10632.0,PK112,10338.0,10584.0,10336.0,10406.0,254,810,10378.0,PK201,10524.0,10570.0,10360.0,10448.0,1050,2781,10464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10750.0,10798.0,10564.0,10710.0,42202.0,20897.0,10702.0
2021-02-25,10809.82721317612,39039.0,26715.0,PK110,10732.0,10920.0,10732.0,10862.0,36914,21839,10854.0,PK111,10644.0,10726.0,10616.0,10712.0,51,123,10678.0,PK112,10518.0,10710.0,10518.0,10652.0,673,1385,10602.0,PK201,10458.0,10592.0,10458.0,10540.0,1401,3368,10528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10732.0,10920.0,10732.0,10862.0,36914.0,21839.0,10854.0
2021-02-26,10751.900438039876,28072.0,24427.0,PK110,10764.0,10860.0,10654.0,10816.0,27362,19360,10774.0,PK111,10548.0,10666.0,10548.0,10624.0,20,114,10610.0,PK112,10638.0,10638.0,10554.0,10578.0,36,1374,10566.0,PK201,10468.0,10538.0,10380.0,10476.0,654,3579,10458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10764.0,10860.0,10654.0,10816.0,27362.0,19360.0,10774.0
2021-03-01,11043.28678695506,73012.0,26769.0,PK110,10898.0,11288.0,10896.0,11128.0,71843,21879,11144.0,PK111,10736.0,11026.0,10702.0,10846.0,31,112,10894.0,PK112,10648.0,10932.0,10642.0,10660.0,212,1271,10728.0,PK201,10520.0,10782.0,10506.0,10660.0,926,3507,10644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10898.0,11288.0,10896.0,11128.0,71843.0,21879.0,11144.0
2021-03-02,10864.144309968062,49250.0,23796.0,PK110,11050.0,11210.0,10830.0,10922.0,47500,20169,11024.0,PK111,10880.0,10880.0,10658.0,10658.0,12,105,10768.0,PK112,10710.0,10730.0,10588.0,10636.0,555,721,10602.0,PK201,10660.0,10702.0,10470.0,10514.0,1183,2801,10540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,11050.0,11210.0,10830.0,10922.0,47500.0,20169.0,11024.0
2021-03-03,10839.7826562295,30802.0,22867.0,PK110,10960.0,11018.0,10788.0,10902.0,30513,19245,10892.0,PK111,10736.0,10736.0,10714.0,10714.0,2,104,10726.0,PK112,10578.0,10644.0,10510.0,10562.0,9,720,10576.0,PK201,10598.0,10598.0,10452.0,10488.0,278,2798,10510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10960.0,11018.0,10788.0,10902.0,30513.0,19245.0,10892.0
2021-03-04,10817.616601815824,30293.0,23130.0,PK110,10920.0,11022.0,10840.0,10936.0,29730,19203,10942.0,PK111,0.0,0.0,0.0,0.0,0,104,10726.0,PK112,10566.0,10592.0,10566.0,10592.0,5,717,10572.0,PK201,10500.0,10562.0,10462.0,10500.0,558,3106,10508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10920.0,11022.0,10840.0,10936.0,29730.0,19203.0,10942.0
2021-03-05,10719.922171768956,22033.0,20481.0,PK110,10910.0,10940.0,10602.0,10786.0,21467,16699,10792.0,PK111,10564.0,10620.0,10560.0,10580.0,10,101,10580.0,PK112,10456.0,10576.0,10392.0,10548.0,16,717,10538.0,PK201,10490.0,10490.0,10302.0,10394.0,540,2964,10398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PK110,10910.0,10940.0,10602.0,10786.0,21467.0,16699.0,10792.0
