time,index,index,index,c1,c1,c1,c1,c1,c1,c1,c1,c2,c2,c2,c2,c2,c2,c2,c2,c3,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c4,c5,c5,c5,c5,c5,c5,c5,c5,c6,c6,c6,c6,c6,c6,c6,c6,c7,c7,c7,c7,c7,c7,c7,c7,c8,c8,c8,c8,c8,c8,c8,c8,c9,c9,c9,c9,c9,c9,c9,c9,dom,dom,dom,dom,dom,dom,dom,dom
Unnamed: 0_level_1,close,vol,oi,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle
2017-01-03,2277.661254851052,206296.0,365127.0,RM701,2496.0,2496.0,2372.0,2372.0,829,5434,2424.0,RM703,2291.0,2291.0,2272.0,2272.0,6,1357,2285.0,RM705,2300.0,2324.0,2271.0,2278.0,184329,279126,2291.0,RM707,0.0,0.0,0.0,0.0,0,26,2285.0,RM708,0.0,0.0,0.0,0.0,0,83,2330.0,RM709,2296.0,2319.0,2273.0,2277.0,14606,72307,2291.0,RM711,2267.0,2267.0,2233.0,2233.0,6526,6794,2236.0,,,,,,,,,,,,,,,,,RM705,2300.0,2324.0,2271.0,2278.0,184329.0,279126.0,2291.0
2017-01-04,2308.4953760097446,336767.0,374352.0,RM701,2320.0,2440.0,2320.0,2350.0,83,5353,2387.0,RM703,2285.0,2298.0,2275.0,2298.0,4,1358,2286.0,RM705,2279.0,2314.0,2261.0,2310.0,313756,285523,2291.0,RM707,2293.0,2316.0,2280.0,2316.0,12,31,2304.0,RM708,2333.0,2343.0,2333.0,2343.0,2,81,2338.0,RM709,2275.0,2307.0,2265.0,2305.0,21031,73374,2288.0,RM711,2229.0,2267.0,2222.0,2264.0,1879,8632,2237.0,,,,,,,,,,,,,,,,,RM705,2279.0,2314.0,2261.0,2310.0,313756.0,285523.0,2291.0
2017-01-05,2301.0260391686115,286313.0,373207.0,RM701,2270.0,2439.0,2270.0,2438.0,212,5147,2435.0,RM703,2317.0,2319.0,2295.0,2295.0,5,1358,2309.0,RM705,2312.0,2336.0,2297.0,2301.0,264103,282242,2313.0,RM707,2317.0,2324.0,2314.0,2324.0,4,28,2317.0,RM708,2346.0,2346.0,2346.0,2346.0,1,81,2346.0,RM709,2307.0,2328.0,2293.0,2297.0,21913,75713,2307.0,RM711,2262.0,2280.0,2252.0,2256.0,75,8638,2263.0,,,,,,,,,,,,,,,,,RM705,2312.0,2336.0,2297.0,2301.0,264103.0,282242.0,2313.0
2017-01-06,2295.1670548548195,242506.0,378253.0,RM701,2481.0,2481.0,2468.0,2468.0,47,5100,2475.0,RM703,2296.0,2296.0,2265.0,2284.0,15,1355,2278.0,RM705,2298.0,2313.0,2282.0,2296.0,224350,283464,2296.0,RM707,2291.0,2306.0,2290.0,2298.0,13,28,2297.0,RM708,0.0,0.0,0.0,0.0,0,81,2346.0,RM709,2297.0,2307.0,2280.0,2289.0,18028,79562,2293.0,RM711,2251.0,2259.0,2240.0,2246.0,53,8663,2247.0,,,,,,,,,,,,,,,,,RM705,2298.0,2313.0,2282.0,2296.0,224350.0,283464.0,2296.0
2017-01-09,2288.7636582943096,372985.0,408726.0,RM701,2407.0,2407.0,2393.0,2393.0,2,5099,2400.0,RM703,2304.0,2304.0,2273.0,2273.0,26,1379,2278.0,RM705,2296.0,2316.0,2269.0,2290.0,346174,308691,2293.0,RM707,2320.0,2320.0,2282.0,2282.0,9,30,2302.0,RM708,2343.0,2343.0,2325.0,2325.0,3,81,2334.0,RM709,2288.0,2308.0,2267.0,2283.0,26706,84774,2287.0,RM711,2248.0,2266.0,2226.0,2242.0,65,8672,2245.0,,,,,,,,,,,,,,,,,RM705,2296.0,2316.0,2269.0,2290.0,346174.0,308691.0,2293.0
2017-01-10,2260.7755598572576,390525.0,432387.0,RM701,0.0,0.0,0.0,0.0,0,5069,2400.0,RM703,2279.0,2279.0,2261.0,2261.0,6,1379,2270.0,RM705,2292.0,2313.0,2272.0,2291.0,365131,330799,2291.0,RM707,2307.0,2310.0,2299.0,2303.0,6,29,2305.0,RM708,0.0,0.0,0.0,0.0,0,81,2334.0,RM709,2282.0,2301.0,2268.0,2282.0,25302,86339,2283.0,RM711,2244.0,2254.0,2228.0,2239.0,80,8691,2242.0,,,,,,,,,,,,,,,,,RM705,2292.0,2313.0,2272.0,2291.0,365131.0,330799.0,2291.0
2017-01-11,2298.29754213203,520057.0,426101.0,RM701,0.0,0.0,0.0,0.0,0,5069,2400.0,RM703,2288.0,2348.0,2288.0,2341.0,40,1407,2300.0,RM705,2290.0,2347.0,2286.0,2331.0,481772,322857,2321.0,RM707,2309.0,2309.0,2309.0,2309.0,1,29,2309.0,RM708,2368.0,2379.0,2368.0,2374.0,5,81,2373.0,RM709,2281.0,2328.0,2277.0,2314.0,34528,84347,2307.0,RM711,2236.0,2278.0,2236.0,2274.0,3711,12311,2269.0,,,,,,,,,,,,,,,,,RM705,2290.0,2347.0,2286.0,2331.0,481772.0,322857.0,2321.0
2017-01-12,2290.773122849625,323765.0,410103.0,RM701,0.0,0.0,0.0,0.0,0,5019,2409.0,RM703,2338.0,2338.0,2334.0,2334.0,2,1406,2336.0,RM705,2329.0,2345.0,2312.0,2324.0,300257,303558,2330.0,RM707,2347.0,2351.0,2334.0,2335.0,8,24,2344.0,RM708,2381.0,2381.0,2362.0,2362.0,6,78,2372.0,RM709,2311.0,2324.0,2301.0,2310.0,23454,87692,2313.0,RM711,2272.0,2281.0,2262.0,2263.0,38,12326,2273.0,,,,,,,,,,,,,,,,,RM705,2329.0,2345.0,2312.0,2324.0,300257.0,303558.0,2330.0
2017-01-13,2380.132264212704,490603.0,430759.0,RM701,2377.0,2420.0,2306.0,2400.0,64,5049,2387.0,RM703,2351.0,2407.0,2351.0,2359.0,4,1406,2376.0,RM705,2327.0,2412.0,2324.0,2386.0,450843,321311,2373.0,RM707,2352.0,2404.0,2345.0,2400.0,13,23,2370.0,RM708,2379.0,2432.0,2379.0,2432.0,4,78,2393.0,RM709,2315.0,2392.0,2310.0,2369.0,35610,86591,2351.0,RM711,2272.0,2328.0,2271.0,2319.0,4065,16301,2322.0,,,,,,,,,,,,,,,,,RM705,2327.0,2412.0,2324.0,2386.0,450843.0,321311.0,2373.0
2017-01-16,2417.871165392733,366673.0,439191.0,RM701,2267.0,2456.0,2267.0,2300.0,36,0,2432.0,RM703,2420.0,2420.0,2344.0,2414.0,9,1409,2389.0,RM705,2388.0,2433.0,2377.0,2426.0,335860,331815,2408.0,RM707,2418.0,2418.0,2418.0,2418.0,1,23,2418.0,RM708,0.0,0.0,0.0,0.0,0,78,2461.0,RM709,2370.0,2410.0,2361.0,2404.0,26732,85577,2390.0,RM711,2323.0,2359.0,2315.0,2353.0,4035,20289,2351.0,,,,,,,,,,,,,,,,,RM705,2388.0,2433.0,2377.0,2426.0,335860.0,331815.0,2408.0
