time,index,index,index,c1,c1,c1,c1,c1,c1,c1,c1,c2,c2,c2,c2,c2,c2,c2,c2,c3,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c4,c5,c5,c5,c5,c5,c5,c5,c5,c6,c6,c6,c6,c6,c6,c6,c6,c7,c7,c7,c7,c7,c7,c7,c7,c8,c8,c8,c8,c8,c8,c8,c8,c9,c9,c9,c9,c9,c9,c9,c9,dom,dom,dom,dom,dom,dom,dom,dom
Unnamed: 0_level_1,close,vol,oi,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle,inst_id,open,high,low,close,vol,oi,settle
2017-01-03,5442.619024206007,1085043.0,1315913.0,TA701,5324.0,5380.0,5294.0,5298.0,6219,87036,5318.0,TA702,5370.0,5370.0,5370.0,5370.0,1,25,5370.0,TA703,0.0,0.0,0.0,0.0,0,17,5392.0,TA704,0.0,0.0,0.0,0.0,0,14,5426.0,TA705,5472.0,5544.0,5438.0,5446.0,1053219,1116843,5482.0,TA706,5498.0,5552.0,5464.0,5544.0,22,137,5490.0,TA707,5532.0,5532.0,5532.0,5532.0,1,40,5532.0,TA708,5544.0,5544.0,5544.0,5544.0,2,7,5544.0,TA709,5552.0,5620.0,5510.0,5524.0,25576,111739,5560.0,TA705,5472.0,5544.0,5438.0,5446.0,1053219.0,1116843.0,5482.0
2017-01-04,5383.429544690005,1056174.0,1296084.0,TA701,5312.0,5330.0,5216.0,5244.0,9460,81624,5250.0,TA702,5378.0,5378.0,5248.0,5248.0,6,21,5288.0,TA703,5392.0,5400.0,5316.0,5316.0,25,26,5372.0,TA704,0.0,0.0,0.0,0.0,0,14,5374.0,TA705,5476.0,5490.0,5356.0,5386.0,1014398,1104661,5416.0,TA706,5484.0,5498.0,5376.0,5410.0,34,120,5442.0,TA707,5494.0,5494.0,5418.0,5418.0,4,40,5460.0,TA708,5434.0,5434.0,5434.0,5434.0,1,6,5434.0,TA709,5556.0,5564.0,5430.0,5462.0,32061,109504,5478.0,TA705,5476.0,5490.0,5356.0,5386.0,1014398.0,1104661.0,5416.0
2017-01-05,5339.650540222548,635291.0,1300390.0,TA701,5244.0,5244.0,5198.0,5202.0,5218,79669,5214.0,TA702,0.0,0.0,0.0,0.0,0,21,5284.0,TA703,0.0,0.0,0.0,0.0,0,26,5304.0,TA704,5330.0,5330.0,5322.0,5322.0,2,13,5326.0,TA705,5380.0,5398.0,5328.0,5342.0,614250,1110496,5362.0,TA706,5382.0,5382.0,5380.0,5380.0,2,120,5382.0,TA707,5418.0,5418.0,5418.0,5418.0,1,40,5418.0,TA708,0.0,0.0,0.0,0.0,0,6,5420.0,TA709,5450.0,5472.0,5402.0,5418.0,15787,109906,5436.0,TA705,5380.0,5398.0,5328.0,5342.0,614250.0,1110496.0,5362.0
2017-01-06,5350.231621761262,525854.0,1271599.0,TA701,5216.0,5250.0,5200.0,5218.0,10654,76559,5226.0,TA702,0.0,0.0,0.0,0.0,0,21,5284.0,TA703,5290.0,5290.0,5260.0,5260.0,18,13,5264.0,TA704,0.0,0.0,0.0,0.0,0,13,5326.0,TA705,5352.0,5390.0,5342.0,5352.0,498250,1086949,5366.0,TA706,5384.0,5404.0,5384.0,5398.0,11,116,5394.0,TA707,0.0,0.0,0.0,0.0,0,40,5416.0,TA708,0.0,0.0,0.0,0.0,0,6,5420.0,TA709,5440.0,5464.0,5418.0,5434.0,16919,107789,5438.0,TA705,5352.0,5390.0,5342.0,5352.0,498250.0,1086949.0,5366.0
2017-01-09,5374.709507491322,573648.0,1262394.0,TA701,5230.0,5258.0,5184.0,5256.0,13079,73200,5240.0,TA702,0.0,0.0,0.0,0.0,0,21,5284.0,TA703,0.0,0.0,0.0,0.0,0,13,5292.0,TA704,0.0,0.0,0.0,0.0,0,13,5338.0,TA705,5362.0,5392.0,5318.0,5376.0,542782,1082235,5364.0,TA706,0.0,0.0,0.0,0.0,0,116,5394.0,TA707,0.0,0.0,0.0,0.0,0,40,5422.0,TA708,5428.0,5428.0,5428.0,5428.0,1,6,5428.0,TA709,5450.0,5470.0,5400.0,5458.0,17786,106657,5446.0,TA705,5362.0,5392.0,5318.0,5376.0,542782.0,1082235.0,5364.0
2017-01-10,5334.67712055193,678243.0,1280162.0,TA701,5206.0,5238.0,5188.0,5216.0,19249,62654,5210.0,TA702,0.0,0.0,0.0,0.0,0,21,5274.0,TA703,0.0,0.0,0.0,0.0,0,13,5292.0,TA704,5316.0,5328.0,5316.0,5318.0,5,14,5322.0,TA705,5362.0,5374.0,5304.0,5334.0,636531,1107907,5338.0,TA706,5384.0,5404.0,5334.0,5374.0,33,101,5376.0,TA707,5378.0,5400.0,5378.0,5384.0,3,42,5388.0,TA708,0.0,0.0,0.0,0.0,0,6,5424.0,TA709,5442.0,5452.0,5386.0,5416.0,22422,109311,5418.0,TA705,5362.0,5374.0,5304.0,5334.0,636531.0,1107907.0,5338.0
2017-01-11,5420.817920324284,1041095.0,1288749.0,TA701,5220.0,5302.0,5220.0,5292.0,9016,61380,5262.0,TA702,0.0,0.0,0.0,0.0,0,21,5288.0,TA703,0.0,0.0,0.0,0.0,0,13,5318.0,TA704,5320.0,5320.0,5320.0,5320.0,2,13,5320.0,TA705,5340.0,5438.0,5326.0,5418.0,971465,1101460,5402.0,TA706,5462.0,5462.0,5396.0,5396.0,47,102,5414.0,TA707,5442.0,5476.0,5442.0,5470.0,4,39,5460.0,TA708,0.0,0.0,0.0,0.0,0,6,5492.0,TA709,5412.0,5516.0,5410.0,5512.0,60560,125621,5490.0,TA705,5340.0,5438.0,5326.0,5418.0,971465.0,1101460.0,5402.0
2017-01-12,5449.830011686398,823188.0,1301513.0,TA701,5296.0,5338.0,5280.0,5310.0,7980,57495,5314.0,TA702,0.0,0.0,0.0,0.0,0,21,5326.0,TA703,0.0,0.0,0.0,0.0,0,13,5346.0,TA704,0.0,0.0,0.0,0.0,0,13,5406.0,TA705,5428.0,5474.0,5410.0,5448.0,783001,1118513,5442.0,TA706,5436.0,5470.0,5436.0,5470.0,6,103,5450.0,TA707,5494.0,5512.0,5484.0,5484.0,3,39,5498.0,TA708,0.0,0.0,0.0,0.0,0,6,5508.0,TA709,5522.0,5572.0,5500.0,5536.0,32197,125217,5538.0,TA705,5428.0,5474.0,5410.0,5448.0,783001.0,1118513.0,5442.0
2017-01-13,5458.522036212472,564655.0,1312476.0,TA701,5338.0,5340.0,5290.0,5314.0,2590,55580,5316.0,TA702,0.0,0.0,0.0,0.0,0,21,5334.0,TA703,0.0,0.0,0.0,0.0,0,13,5364.0,TA704,0.0,0.0,0.0,0.0,0,13,5414.0,TA705,5468.0,5484.0,5422.0,5456.0,536772,1126232,5458.0,TA706,5508.0,5508.0,5458.0,5488.0,7,104,5492.0,TA707,5490.0,5490.0,5484.0,5484.0,2,37,5488.0,TA708,0.0,0.0,0.0,0.0,0,6,5526.0,TA709,5552.0,5578.0,5516.0,5548.0,25284,130377,5552.0,TA705,5468.0,5484.0,5422.0,5456.0,536772.0,1126232.0,5458.0
