time,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2017-01-03,6650.0,p1701,6578.0,p1705,6278.0,-72.0,-372.0,-0.010827067669172963,-0.05593984962406018
2017-01-04,6580.0,p1701,6488.0,p1705,6212.0,-92.0,-368.0,-0.013981762917933183,-0.05592705167173251
2017-01-05,6610.0,p1701,6434.0,p1705,6170.0,-176.0,-440.0,-0.026626323751891112,-0.06656580937972767
2017-01-06,6587.5,p1701,6366.0,p1705,6128.0,-221.5,-459.5,-0.03362428842504739,-0.06975332068311191
2017-01-09,6535.0,p1701,6366.0,p1705,6108.0,-169.0,-427.0,-0.025860749808722217,-0.06534047436878343
2017-01-10,6542.5,p1701,6366.0,p1705,6148.0,-176.5,-394.5,-0.02697745510126104,-0.06029805120366827
2017-01-11,6585.0,p1701,6356.0,p1705,6212.0,-229.0,-373.0,-0.03477600607441156,-0.05664388762338646
2017-01-12,6652.5,p1701,6356.0,p1705,6264.0,-296.5,-388.5,-0.044569710635099624,-0.05839909808342725
2017-01-13,6655.0,p1701,6392.0,p1705,6288.0,-263.0,-367.0,-0.03951915852742294,-0.0551465063861758
2017-01-16,6660.0,p1701,6528.0,p1705,6306.0,-132.0,-354.0,-0.01981981981981984,-0.053153153153153165
2017-01-17,6670.0,p1702,6486.0,p1705,6320.0,-184.0,-350.0,-0.02758620689655178,-0.052473763118440764
2017-01-18,6645.0,p1702,6486.0,p1705,6316.0,-159.0,-329.0,-0.023927765237020338,-0.0495109104589917
2017-01-19,6655.0,p1702,6308.0,p1705,6308.0,-347.0,-347.0,-0.05214124718256952,-0.05214124718256952
2017-01-20,6650.0,p1702,6308.0,p1705,6290.0,-342.0,-360.0,-0.05142857142857138,-0.0541353383458647
2017-01-23,6650.0,p1702,6188.0,p1705,6246.0,-462.0,-404.0,-0.06947368421052635,-0.06075187969924811
2017-01-24,6650.0,p1702,6202.0,p1705,6330.0,-448.0,-320.0,-0.06736842105263163,-0.048120300751879674
