time,小计,期货
2020-07-29,1000,0
2020-07-30,2525,0
2020-07-31,2525,0
2020-08-03,2525,0
2020-08-04,2575,0
2020-08-05,2575,0
2020-08-06,2575,0
2020-08-07,2575,0
2020-08-10,2575,0
2020-08-11,2575,0
2020-08-12,2575,0
2020-08-13,2575,0
2020-08-14,2575,0
2020-08-17,2575,0
2020-08-18,2575,0
2020-08-19,2575,0
2020-08-20,2575,0
2020-08-21,2575,0
2020-08-24,2575,0
2020-08-25,2575,0
2020-08-26,2575,0
2020-08-27,2575,0
2020-08-28,2575,0
2020-08-31,2575,0
2020-09-01,2575,0
2020-09-02,2575,0
2020-09-03,2575,0
2020-09-04,2575,0
2020-09-07,2575,0
2020-09-08,2575,0
2020-09-09,2525,0
2020-09-10,2525,0
2020-09-11,2525,0
2020-09-14,2525,0
2020-09-15,2775,0
2020-09-16,2775,0
2020-09-17,2775,0
2020-09-18,2775,0
2020-09-21,3775,0
2020-09-22,3775,0
2020-09-23,3775,0
2020-09-24,3775,0
2020-09-25,3775,0
2020-09-28,3775,0
2020-09-29,3775,0
2020-09-30,3775,0
2020-10-09,3775,0
2020-10-12,3775,0
2020-10-13,3775,0
2020-10-14,3800,0
2020-10-15,3800,0
2020-10-16,4025,0
2020-10-19,4025,0
2020-10-20,4025,0
2020-10-21,4025,0
2020-10-22,4175,0
2020-10-23,4175,0
2020-10-26,4175,0
2020-10-27,4176,0
2020-10-28,4176,0
2020-10-29,4176,0
2020-10-30,4176,0
2020-11-02,4226,0
2020-11-03,4226,0
2020-11-04,4366,0
2020-11-05,4366,0
2020-11-06,4386,0
2020-11-09,4636,0
2020-11-10,4641,0
2020-11-11,4501,0
2020-11-12,4510,0
2020-11-13,4535,0
2020-11-16,5035,0
2020-11-17,5035,0
2020-11-18,5035,0
2020-11-19,6159,0
2020-11-20,6307,0
2020-11-23,6309,0
2020-11-24,6309,0
2020-11-25,6309,0
2020-11-26,6309,0
2020-11-27,6559,0
2020-11-30,6559,0
2020-12-01,6759,0
2020-12-02,6759,0
2020-12-03,6759,0
2020-12-04,6759,0
2020-12-07,6759,0
2020-12-08,6759,0
2020-12-09,6759,0
2020-12-10,6759,0
2020-12-11,6759,0
2020-12-14,6759,0
2020-12-15,6759,0
2020-12-16,6759,0
2020-12-17,6759,0
2020-12-18,7584,0
2020-12-21,9184,0
2020-12-22,9584,0
2020-12-23,9584,0
2020-12-24,9685,0
2020-12-25,10075,0
2020-12-28,10075,0
2020-12-29,10075,0
2020-12-30,9825,0
2020-12-31,9774,0
2021-01-04,9724,0
2021-01-05,9649,0
2021-01-06,9486,0
2021-01-07,9434,0
2021-01-08,9339,0
2021-01-11,9151,0
2021-01-12,9057,0
2021-01-13,8914,0
2021-01-14,8914,0
2021-01-15,8799,0
2021-01-18,8309,0
2021-01-19,7782,0
2021-01-20,7170,0
2021-01-21,7070,0
2021-01-22,7712,0
2021-01-25,7712,0
2021-01-26,7264,0
2021-01-27,7177,0
2021-01-28,6927,0
2021-01-29,6872,0
2021-02-01,6411,0
2021-02-02,6391,0
2021-02-03,6326,0
2021-02-04,6316,0
2021-02-05,6796,0
2021-02-08,6726,0
2021-02-09,6966,0
2021-02-10,6955,0
2021-02-18,6931,0
2021-02-19,6881,0
2021-02-22,6881,0
2021-02-23,6281,0
2021-02-24,4725,0
2021-02-25,4710,0
2021-02-26,4680,0
2021-03-01,4651,0
2021-03-02,3205,0
2021-03-03,3170,0
2021-03-04,2882,0
2021-03-05,2882,0
2021-03-08,2856,0
2021-03-09,2821,0
2021-03-10,2702,0
2021-03-11,2647,0
2021-03-12,2573,0
2021-03-15,2354,0
2021-03-16,2328,0
2021-03-17,2268,0
2021-03-18,2243,0
2021-03-19,2208,0
2021-03-22,2163,0
2021-03-23,2039,0
2021-03-24,2019,0
2021-03-25,815,0
2021-03-26,775,0
2021-03-29,698,0
2021-03-30,154,0
2021-03-31,0,0
2021-04-21,1520,0
2021-04-22,1520,0
2021-04-23,1520,0
2021-04-26,1520,0
2021-04-27,1976,0
2021-04-28,1976,0
2021-04-29,1976,0
2021-04-30,1976,0
2021-05-06,2146,0
2021-05-07,2146,0
2021-05-10,2146,0
2021-05-11,2146,0
2021-05-12,2146,0
2021-05-13,2676,0
2021-05-14,2676,0
2021-05-17,2851,0
2021-05-18,2851,0
2021-05-19,3026,0
2021-05-20,3026,0
2021-05-21,3021,0
2021-05-24,3021,0
2021-05-25,3021,0
2021-05-26,3021,0
2021-05-27,3021,0
2021-05-28,3021,0
2021-05-31,3021,0
2021-06-01,3020,0
2021-06-02,3020,0
2021-06-03,3020,0
2021-06-04,3020,0
2021-06-07,2720,0
2021-06-08,2720,0
2021-06-09,2720,0
2021-06-10,2720,0
2021-06-11,2720,0
2021-06-15,2720,0
2021-06-16,2720,0
2021-06-17,2720,0
2021-06-18,3795,0
2021-06-21,3795,0
2021-06-22,3795,0
2021-06-23,3795,0
2021-06-24,3795,0
2021-06-25,3795,0
2021-06-28,3795,0
2021-06-29,4045,0
2021-06-30,4045,0
2021-07-01,4045,0
2021-07-02,4195,0
2021-07-05,4195,0
2021-07-06,4195,0
2021-07-07,4195,0
2021-07-08,4195,0
2021-07-09,4195,0
2021-07-12,4195,0
2021-07-13,4195,0
2021-07-14,4295,0
2021-07-15,4311,0
2021-07-16,4361,0
2021-07-19,4361,0
2021-07-20,4366,0
2021-07-21,4416,0
2021-07-22,4416,0
2021-07-23,4466,0
2021-07-26,4466,0
2021-07-27,4466,0
2021-07-28,4542,0
2021-07-29,4542,0
2021-07-30,4742,0
2021-08-02,4742,0
2021-08-03,4742,0
2021-08-04,4742,0
2021-08-05,4742,0
2021-08-06,4742,0
2021-08-09,4742,0
2021-08-10,4742,0
2021-08-11,4742,0
2021-08-12,4742,0
2021-08-13,4742,0
2021-08-16,4742,0
2021-08-17,4742,0
2021-08-18,4492,0
2021-08-19,4492,0
2021-08-20,4492,0
2021-08-23,4492,0
2021-08-24,4502,0
2021-08-25,4502,0
2021-08-26,5540,0
2021-08-27,5589,0
2021-08-30,5589,0
2021-08-31,5590,0
2021-09-01,5818,0
2021-09-02,5818,0
2021-09-03,5818,0
2021-09-06,5818,0
2021-09-07,5818,0
2021-09-08,5818,0
2021-09-09,6065,0
2021-09-10,6065,0
2021-09-13,6065,0
2021-09-14,6065,0
2021-09-15,6065,0
2021-09-16,6065,0
2021-09-17,6065,0
2021-09-22,6115,0
2021-09-23,6115,0
2021-09-24,6115,0
2021-09-27,6115,0
2021-09-28,6265,0
2021-09-29,6265,0
2021-09-30,6315,0
2021-10-08,6315,0
2021-10-11,6315,0
2021-10-12,6465,0
2021-10-13,7390,0
2021-10-14,7390,0
2021-10-15,7440,0
2021-10-18,7490,0
2021-10-19,7490,0
2021-10-20,7465,0
2021-10-21,7455,0
2021-10-22,7320,0
2021-10-25,7320,0
2021-10-26,7285,0
2021-10-27,8109,0
2021-10-28,8099,0
2021-10-29,8119,0
2021-11-01,8039,0
2021-11-02,8017,0
2021-11-03,7987,0
2021-11-04,7906,0
2021-11-05,7652,0
2021-11-08,7602,0
2021-11-09,7587,0
2021-11-10,7077,0
2021-11-11,7406,0
2021-11-12,7394,0
2021-11-15,7041,0
2021-11-16,7021,0
2021-11-17,6684,0
2021-11-18,6637,0
2021-11-19,6464,0
2021-11-22,6400,0
2021-11-23,6372,0
2021-11-24,6360,0
2021-11-25,6335,0
2021-11-26,6315,0
2021-11-29,6294,0
2021-11-30,6284,0
2021-12-01,6264,0
2021-12-02,6224,0
2021-12-03,6088,0
2021-12-06,6488,0
2021-12-07,6477,0
2021-12-08,6369,0
2021-12-09,6327,0
2021-12-10,6297,0
2021-12-13,6547,0
