time,小计,期货
2023-06-20,204,0
2023-06-21,392,0
2023-06-26,848,0
2023-06-27,1220,0
2023-06-28,1220,0
2023-06-29,1736,0
2023-06-30,2252,0
2023-07-03,2624,0
2023-07-04,3248,0
2023-07-05,3620,0
2023-07-06,3884,0
2023-07-07,4040,0
2023-07-10,4244,0
2023-07-11,4556,0
2023-07-12,4778,0
2023-07-13,5414,0
2023-07-14,5702,0
2023-07-17,6098,0
2023-07-18,6458,0
2023-07-19,6926,0
2023-07-20,7392,0
2023-07-21,8288,0
2023-07-24,9028,0
2023-07-25,9552,0
2023-07-26,10236,0
2023-07-27,11100,0
2023-07-28,11606,0
2023-07-31,12944,0
2023-08-01,13808,0
2023-08-02,14120,0
2023-08-03,14480,0
2023-08-04,14744,0
2023-08-07,15584,0
2023-08-08,16748,0
2023-08-09,17568,0
2023-08-10,17844,0
2023-08-11,18240,0
2023-08-14,18648,0
2023-08-15,18792,0
2023-08-16,19008,0
2023-08-17,19368,0
2023-08-18,19656,0
2023-08-21,19932,0
2023-08-22,20364,0
2023-08-23,20542,0
2023-08-24,20590,0
2023-08-25,20782,0
2023-08-28,20821,0
2023-08-29,21856,0
2023-08-30,22900,0
2023-08-31,23548,0
2023-09-01,23988,0
2023-09-04,24264,0
2023-09-05,24931,0
2023-09-06,25243,0
2023-09-07,25231,0
2023-09-08,26363,0
2023-09-11,26922,0
2023-09-12,27344,0
2023-09-13,27344,0
2023-09-14,27428,0
2023-09-15,28088,0
2023-09-18,28160,0
2023-09-19,28964,0
2023-09-20,29012,0
2023-09-21,29705,0
2023-09-22,29693,0
2023-09-25,29879,0
2023-09-26,31875,0
2023-09-27,31959,0
2023-09-28,31800,0
2023-10-09,31754,0
2023-10-10,32906,0
2023-10-11,34422,0
2023-10-12,35958,0
2023-10-13,38470,0
2023-10-16,39066,0
2023-10-17,38574,0
2023-10-18,38470,0
2023-10-19,38316,0
2023-10-20,38175,0
2023-10-23,37696,0
2023-10-24,38301,0
2023-10-25,36854,0
2023-10-26,37062,0
2023-10-27,35935,0
2023-10-30,35759,0
2023-10-31,36126,0
2023-11-01,33642,0
2023-11-02,33539,0
2023-11-03,33764,0
2023-11-06,34110,0
2023-11-07,34706,0
2023-11-08,35089,0
2023-11-09,35531,0
2023-11-10,36779,0
2023-11-13,37179,0
2023-11-14,36582,0
2023-11-15,37614,0
2023-11-16,37698,0
2023-11-17,38020,0
2023-11-20,38047,0
2023-11-21,38959,0
2023-11-22,39477,0
2023-11-23,39347,0
2023-11-24,38864,0
2023-11-27,37746,0
2023-11-28,32461,0
2023-11-29,28288,0
2023-11-30,0,0
2023-12-04,20476,0
2023-12-05,21904,0
2023-12-06,26308,0
2023-12-07,26308,0
2023-12-08,27877,0
2023-12-11,30829,0
2023-12-12,31237,0
2023-12-13,31237,0
2023-12-14,31765,0
2023-12-15,31825,0
2023-12-18,32785,0
2023-12-19,32785,0
2023-12-20,33769,0
2023-12-21,33769,0
2023-12-22,34345,0
2023-12-25,35557,0
2023-12-26,35557,0
2023-12-27,35977,0
2023-12-28,37261,0
2023-12-29,38065,0
2024-01-02,38065,0
2024-01-03,39251,0
2024-01-04,39527,0
2024-01-05,40091,0
