time,c1,c1,c1,c1,c1,c1,c1,c1,c2,c2,c2,c2,c2,c2,c2,c2,c3,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c4,c5,c5,c5,c5,c5,c5,c5,c5,c6,c6,c6,c6,c6,c6,c6,c6,c7,c7,c7,c7,c7,c7,c7,c7,c8,c8,c8,c8,c8,c8,c8,c8,c9,c9,c9,c9,c9,c9,c9,c9
time,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi,inst_id,open,high,low,close,settle,volume,oi
2018-02-01,FEF1802,72.06,72.18,71.57,72.1,72.09,10631,107871,FEF1803,71.56,71.66,71.09,71.4,71.61,11099,107101,FEF1804,70.69,71.0,70.45,71.0,70.95,4108,43772,FEF1805,69.87,70.35,69.76,70.35,70.31,5719,37723,FEF1806,69.68,69.77,69.42,69.75,69.76,2886,32235,FEF1807,69.25,69.27,69.08,69.27,69.29,1917,16569,FEF1808,68.64,68.64,68.64,68.64,68.85,1895,15455,FEF1809,0.0,0.0,0.0,0.0,68.4,1870,14883,FEF1810,0.0,0.0,0.0,0.0,67.77,2780,9850
2018-02-02,FEF1802,72.1,72.9,72.1,72.57,72.87,14417,105893,FEF1803,71.62,72.55,71.6,72.55,72.5,12609,110547,FEF1804,70.98,71.88,70.97,71.82,71.87,5196,44430,FEF1805,70.99,71.29,70.75,71.26,71.27,4079,38983,FEF1806,70.6,70.68,70.4,70.68,70.72,497,32306,FEF1807,70.07,70.07,69.67,69.75,70.25,823,16490,FEF1808,0.0,0.0,0.0,0.0,69.8,730,15360,FEF1809,0.0,0.0,0.0,0.0,69.33,730,14733,FEF1810,0.0,0.0,0.0,0.0,68.64,510,10200
2018-02-05,FEF1802,73.05,74.46,72.91,74.4,74.35,8540,106046,FEF1803,72.69,74.0,72.4,74.0,73.97,8844,111424,FEF1804,72.0,73.35,71.7,73.35,73.32,6293,45181,FEF1805,71.76,72.86,71.16,72.8,72.7,6562,40830,FEF1806,71.74,71.74,71.74,71.74,72.11,1829,32573,FEF1807,70.3,71.2,69.89,71.2,71.5,2639,16617,FEF1808,69.87,69.87,69.22,69.25,70.95,2736,15323,FEF1809,69.09,70.1,68.97,70.1,70.47,2456,14992,FEF1810,0.0,0.0,0.0,0.0,69.76,0,10200
2018-02-06,FEF1802,74.43,74.49,73.2,74.49,74.57,10047,105420,FEF1803,74.08,74.16,73.04,74.1,74.16,12559,114946,FEF1804,73.5,73.5,72.52,73.14,73.54,9756,48289,FEF1805,72.83,72.9,71.55,72.88,72.88,7637,42223,FEF1806,72.0,72.0,71.29,71.87,72.19,3622,32609,FEF1807,71.27,71.27,70.72,71.03,71.46,2669,17452,FEF1808,69.84,70.43,69.84,70.43,70.74,3012,16170,FEF1809,69.45,69.45,69.41,69.41,70.21,2579,15748,FEF1810,0.0,0.0,0.0,0.0,69.58,0,10200
2018-02-07,FEF1802,74.4,75.18,74.4,75.18,75.12,7668,106607,FEF1803,74.2,74.9,73.7,74.85,74.77,12788,118077,FEF1804,73.3,74.06,73.0,74.06,74.06,7741,49956,FEF1805,72.36,73.28,72.18,73.28,73.29,5441,41947,FEF1806,72.36,72.61,72.36,72.54,72.54,2350,32342,FEF1807,0.0,0.0,0.0,0.0,71.77,1491,18107,FEF1808,0.0,0.0,0.0,0.0,71.08,1493,16745,FEF1809,0.0,0.0,0.0,0.0,70.49,1480,16253,FEF1810,0.0,0.0,0.0,0.0,69.86,446,10216
2018-02-08,FEF1802,75.3,75.7,74.8,75.7,75.64,12597,106270,FEF1803,75.0,75.1,74.06,75.1,75.05,13585,120624,FEF1804,74.01,74.1,73.38,74.0,74.34,10021,53666,FEF1805,73.19,73.59,72.49,73.43,73.53,5530,43862,FEF1806,72.13,72.69,71.82,72.61,72.73,1642,32884,FEF1807,71.38,71.8,71.13,71.8,71.97,2356,17033,FEF1808,70.67,70.78,70.4,70.76,71.24,2250,15618,FEF1809,69.83,69.84,69.83,69.84,70.63,2333,15144,FEF1810,0.0,0.0,0.0,0.0,69.98,500,9916
2018-02-09,FEF1802,76.03,76.03,74.5,74.5,75.58,14934,109867,FEF1803,74.8,75.72,74.3,74.75,74.93,19994,123501,FEF1804,74.36,74.76,73.58,74.25,74.16,6896,55324,FEF1805,73.43,74.0,72.78,73.5,73.33,3904,44341,FEF1806,73.21,73.24,72.2,72.35,72.49,1805,33243,FEF1807,71.92,72.06,71.51,71.6,71.66,2200,16488,FEF1808,71.35,71.52,70.64,70.64,70.85,2166,15270,FEF1809,70.35,70.55,70.09,70.12,70.19,2324,14678,FEF1810,0.0,0.0,0.0,0.0,69.5,539,9938
2018-02-12,FEF1802,75.21,75.7,74.8,75.57,75.56,2843,110405,FEF1803,74.7,75.1,74.01,74.85,74.8,14263,121542,FEF1804,73.92,74.39,73.3,74.16,74.06,9310,57106,FEF1805,72.68,73.52,72.45,73.24,73.14,6234,45595,FEF1806,72.19,72.7,72.19,72.27,72.23,3055,33434,FEF1807,71.42,71.92,71.3,71.45,71.39,979,16738,FEF1808,70.79,71.18,70.53,70.53,70.58,946,15628,FEF1809,69.92,69.92,69.91,69.91,69.87,938,14928,FEF1810,0.0,0.0,0.0,0.0,69.2,0,9938
2018-02-13,FEF1802,75.95,76.28,75.94,75.96,76.27,1577,111452,FEF1803,74.85,76.15,74.82,75.83,75.86,13803,123081,FEF1804,74.14,75.11,74.12,75.11,75.21,9928,63078,FEF1805,73.44,74.39,73.09,74.37,74.31,1940,46211,FEF1806,72.65,73.45,72.59,73.45,73.39,2354,34456,FEF1807,71.9,72.55,71.9,72.55,72.55,161,16787,FEF1808,71.23,71.74,71.2,71.64,71.75,207,15688,FEF1809,0.0,0.0,0.0,0.0,70.96,100,14978,FEF1810,0.0,0.0,0.0,0.0,70.32,0,9938
