time,小计,期货
2017-01-03,,930.0
2017-01-04,,930.0
2017-01-05,,930.0
2017-01-06,0.0,930.0
2017-01-09,,930.0
2017-01-10,,927.0
2017-01-11,,927.0
2017-01-12,,927.0
2017-01-13,0.0,927.0
2017-01-16,,927.0
2017-01-17,,927.0
2017-01-18,,927.0
2017-01-19,,927.0
2017-01-20,0.0,927.0
2017-01-23,,792.0
2017-01-24,,792.0
2017-01-25,,792.0
2017-01-26,0.0,792.0
2017-02-03,0.0,792.0
2017-02-06,,792.0
2017-02-07,,792.0
2017-02-08,,792.0
2017-02-09,,792.0
2017-02-10,0.0,792.0
2017-02-13,,792.0
2017-02-14,,792.0
2017-02-15,,792.0
2017-02-16,,792.0
2017-02-17,0.0,792.0
2017-02-20,,792.0
2017-02-21,,792.0
2017-02-22,,792.0
2017-02-23,,756.0
2017-02-24,0.0,756.0
2017-02-27,,756.0
2017-02-28,,756.0
2017-03-01,,756.0
2017-03-02,,756.0
2017-03-03,0.0,756.0
2017-03-06,,756.0
2017-03-07,,756.0
2017-03-08,,756.0
2017-03-09,,756.0
2017-03-10,0.0,756.0
2017-03-13,,756.0
2017-03-14,,756.0
2017-03-15,,756.0
2017-03-16,,756.0
2017-03-17,0.0,756.0
2017-03-20,,756.0
2017-03-21,,756.0
2017-03-22,,756.0
2017-03-23,,756.0
2017-03-24,0.0,756.0
2017-03-27,,756.0
2017-03-28,,756.0
2017-03-29,,756.0
2017-03-30,,756.0
2017-03-31,0.0,756.0
2017-04-05,,756.0
2017-04-06,,756.0
2017-04-07,0.0,756.0
2017-04-10,,756.0
2017-04-11,,756.0
2017-04-12,,756.0
2017-04-13,,756.0
2017-04-14,0.0,756.0
2017-04-17,,756.0
2017-04-18,,756.0
2017-04-19,,756.0
2017-04-20,,756.0
2017-04-21,0.0,756.0
2017-04-24,,645.0
2017-04-25,,645.0
2017-04-26,,645.0
2017-04-27,,645.0
2017-04-28,0.0,645.0
2017-05-02,,645.0
2017-05-03,,645.0
2017-05-04,,645.0
2017-05-05,0.0,645.0
2017-05-08,,645.0
2017-05-09,,645.0
2017-05-10,,645.0
2017-05-11,,645.0
2017-05-12,0.0,645.0
2017-05-15,,645.0
2017-05-16,,645.0
2017-05-17,,645.0
2017-05-18,,645.0
2017-05-19,0.0,645.0
2017-05-22,,645.0
2017-05-23,,645.0
2017-05-24,,645.0
2017-05-25,,645.0
2017-05-26,0.0,645.0
2017-05-31,,645.0
2017-06-01,,1155.0
2017-06-02,0.0,1155.0
2017-06-05,,1665.0
2017-06-06,,1665.0
2017-06-07,,2175.0
2017-06-08,,2175.0
2017-06-09,0.0,2685.0
2017-06-12,,2685.0
2017-06-13,,2685.0
2017-06-14,,2685.0
2017-06-15,,2805.0
2017-06-16,0.0,2805.0
2017-06-19,,2805.0
2017-06-20,,2805.0
2017-06-21,,2805.0
2017-06-22,,2250.0
2017-06-23,0.0,1830.0
2017-06-26,,1410.0
2017-06-27,,990.0
2017-06-28,,624.0
2017-06-29,,624.0
2017-06-30,0.0,624.0
2017-07-03,,624.0
2017-07-04,,624.0
2017-07-05,,624.0
2017-07-06,,624.0
2017-07-07,0.0,624.0
2017-07-10,,624.0
2017-07-11,,624.0
2017-07-12,,624.0
2017-07-13,,624.0
2017-07-14,0.0,624.0
2017-07-17,,624.0
2017-07-18,,624.0
2017-07-19,,624.0
2017-07-20,,624.0
2017-07-21,0.0,624.0
2017-07-24,,624.0
2017-07-25,,624.0
2017-07-26,,624.0
2017-07-27,,624.0
2017-07-28,0.0,624.0
2017-07-31,,624.0
2017-08-01,,624.0
2017-08-02,,624.0
2017-08-03,,624.0
2017-08-04,0.0,624.0
2017-08-07,,624.0
2017-08-08,,624.0
2017-08-09,,624.0
2017-08-10,,624.0
2017-08-11,0.0,624.0
2017-08-14,,624.0
2017-08-15,,624.0
2017-08-16,,624.0
2017-08-17,,624.0
2017-08-18,0.0,624.0
2017-08-21,,624.0
2017-08-22,,624.0
2017-08-23,,621.0
2017-08-24,,621.0
2017-08-25,0.0,621.0
2017-08-28,,621.0
2017-08-29,,621.0
2017-08-30,,621.0
2017-08-31,,621.0
2017-09-01,0.0,621.0
2017-09-04,,621.0
2017-09-05,,621.0
2017-09-06,,621.0
2017-09-07,,621.0
2017-09-08,0.0,621.0
2017-09-11,,621.0
2017-09-12,,621.0
2017-09-13,,621.0
2017-09-14,,621.0
2017-09-15,0.0,621.0
2017-09-18,,621.0
2017-09-19,,621.0
2017-09-20,,621.0
2017-09-21,,621.0
2017-09-22,0.0,621.0
2017-09-25,,621.0
2017-09-26,,621.0
2017-09-27,,621.0
2017-09-28,,621.0
2017-09-29,0.0,621.0
2017-10-09,,621.0
2017-10-10,,621.0
2017-10-11,,621.0
2017-10-12,,621.0
2017-10-13,0.0,621.0
2017-10-16,,621.0
2017-10-17,,621.0
2017-10-18,,621.0
2017-10-19,,621.0
2017-10-20,0.0,621.0
2017-10-23,,621.0
2017-10-24,,621.0
2017-10-25,,621.0
2017-10-26,,621.0
2017-10-27,0.0,621.0
2017-10-30,,621.0
2017-10-31,,621.0
2017-11-01,,621.0
2017-11-02,,621.0
2017-11-03,0.0,621.0
2017-11-06,,621.0
2017-11-07,,621.0
2017-11-08,,621.0
2017-11-09,,621.0
2017-11-10,0.0,621.0
2017-11-13,,621.0
2017-11-14,,621.0
2017-11-15,,621.0
2017-11-16,,621.0
2017-11-17,0.0,621.0
2017-11-20,,621.0
2017-11-21,,621.0
2017-11-22,,621.0
2017-11-23,,621.0
2017-11-24,0.0,621.0
2017-11-27,,621.0
2017-11-28,,621.0
2017-11-29,,1641.0
2017-11-30,,2151.0
2017-12-01,0.0,2661.0
2017-12-04,,3171.0
2017-12-05,,3681.0
2017-12-06,,4194.0
2017-12-07,,4704.0
2017-12-08,0.0,4704.0
2017-12-11,,4704.0
2017-12-12,,4704.0
2017-12-13,,4704.0
2017-12-14,,4704.0
2017-12-15,0.0,4704.0
2017-12-18,,4704.0
2017-12-19,,4704.0
2017-12-20,,4704.0
2017-12-21,,4704.0
2017-12-22,0.0,2685.0
2017-12-25,,2388.0
2017-12-26,,2388.0
2017-12-27,,2307.0
2017-12-28,,2307.0
2017-12-29,0.0,2307.0
2018-01-02,,2307.0
2018-01-03,,2157.0
2018-01-04,,2157.0
2018-01-05,0.0,2157.0
2018-01-08,,2157.0
2018-01-09,,2154.0
2018-01-10,,2154.0
2018-01-11,,2154.0
2018-01-12,0.0,2154.0
2018-01-15,,1656.0
2018-01-16,,1656.0
2018-01-17,,1656.0
2018-01-18,,1656.0
