time,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2023-07-31,10940.0,br2401,10965.0,br2401,10965.0,25.0,25.0,0.0022851919561244216,0.0022851919561244216
2023-08-01,10940.0,br2401,10955.0,br2401,10955.0,15.0,15.0,0.0013711151736746086,0.0013711151736746086
2023-08-02,10940.0,br2401,11010.0,br2401,11010.0,70.0,70.0,0.006398537477148025,0.006398537477148025
2023-08-03,11020.0,br2401,11315.0,br2401,11315.0,295.0,295.0,0.026769509981851236,0.026769509981851236
2023-08-04,11140.0,br2401,11325.0,br2401,11325.0,185.0,185.0,0.016606822262118515,0.016606822262118515
2023-08-07,11230.0,br2401,11320.0,br2401,11320.0,90.0,90.0,0.00801424755120217,0.00801424755120217
2023-08-08,11320.0,br2401,11370.0,br2401,11370.0,50.0,50.0,0.004416961130742081,0.004416961130742081
2023-08-09,11320.0,br2401,11305.0,br2401,11305.0,-15.0,-15.0,-0.0013250883392226243,-0.0013250883392226243
2023-08-10,11320.0,br2401,11310.0,br2401,11310.0,-10.0,-10.0,-0.0008833922261484162,-0.0008833922261484162
2023-08-11,11370.0,br2401,11310.0,br2401,11310.0,-60.0,-60.0,-0.00527704485488123,-0.00527704485488123
2023-08-14,11390.0,br2401,11295.0,br2401,11295.0,-95.0,-95.0,-0.008340649692712865,-0.008340649692712865
2023-08-15,11410.0,br2401,11335.0,br2401,11335.0,-75.0,-75.0,-0.006573181419807228,-0.006573181419807228
2023-08-16,11440.0,br2401,11295.0,br2401,11295.0,-145.0,-145.0,-0.01267482517482521,-0.01267482517482521
2023-08-17,11440.0,br2401,11315.0,br2401,11315.0,-125.0,-125.0,-0.010926573426573438,-0.010926573426573438
2023-08-18,11440.0,br2401,11350.0,br2401,11350.0,-90.0,-90.0,-0.00786713286713292,-0.00786713286713292
2023-08-21,11440.0,br2401,11355.0,br2401,11355.0,-85.0,-85.0,-0.007430069930069894,-0.007430069930069894
2023-08-22,11440.0,br2401,11405.0,br2401,11405.0,-35.0,-35.0,-0.0030594405594405183,-0.0030594405594405183
2023-08-23,11440.0,br2401,11535.0,br2401,11535.0,95.0,95.0,0.008304195804195835,0.008304195804195835
2023-08-24,11440.0,br2401,11605.0,br2401,11605.0,165.0,165.0,0.014423076923076872,0.014423076923076872
2023-08-25,11500.0,br2401,11700.0,br2401,11700.0,200.0,200.0,0.017391304347825987,0.017391304347825987
2023-08-28,11650.0,br2401,11960.0,br2401,11960.0,310.0,310.0,0.026609442060085753,0.026609442060085753
2023-08-29,11650.0,br2401,12000.0,br2401,12000.0,350.0,350.0,0.030042918454935563,0.030042918454935563
2023-08-30,11930.0,br2401,12070.0,br2401,12070.0,140.0,140.0,0.011735121542330251,0.011735121542330251
2023-08-31,11970.0,br2401,12090.0,br2401,12090.0,120.0,120.0,0.010025062656641603,0.010025062656641603
2023-09-01,11970.0,br2401,12780.0,br2401,12780.0,810.0,810.0,0.06766917293233088,0.06766917293233088
2023-09-04,11970.0,br2401,14115.0,br2401,14115.0,2145.0,2145.0,0.1791979949874687,0.1791979949874687
2023-09-05,12660.0,br2401,14305.0,br2401,14305.0,1645.0,1645.0,0.1299368088467614,0.1299368088467614
2023-09-06,12960.0,br2401,14300.0,br2401,14300.0,1340.0,1340.0,0.10339506172839497,0.10339506172839497
2023-09-07,12960.0,br2401,13930.0,br2401,13930.0,970.0,970.0,0.07484567901234573,0.07484567901234573
2023-09-08,13560.0,br2401,13850.0,br2401,13850.0,290.0,290.0,0.02138643067846613,0.02138643067846613
2023-09-11,13560.0,br2401,13640.0,br2401,13640.0,80.0,80.0,0.005899705014749346,0.005899705014749346
2023-09-12,13640.0,br2401,14035.0,br2401,14035.0,395.0,395.0,0.028958944281525012,0.028958944281525012
2023-09-13,13880.0,br2401,13855.0,br2401,13855.0,-25.0,-25.0,-0.0018011527377521652,-0.0018011527377521652
2023-09-14,13790.0,br2401,13755.0,br2401,13755.0,-35.0,-35.0,-0.0025380710659898,-0.0025380710659898
2023-09-15,13820.0,br2401,13850.0,br2401,13850.0,30.0,30.0,0.0021707670043416005,0.0021707670043416005
2023-09-18,13820.0,br2401,13820.0,br2401,13820.0,0.0,0.0,0.0,0.0
2023-09-19,13840.0,br2401,13875.0,br2401,13875.0,35.0,35.0,0.0025289017341041387,0.0025289017341041387
2023-09-20,13840.0,br2401,13740.0,br2401,13740.0,-100.0,-100.0,-0.007225433526011571,-0.007225433526011571
2023-09-21,13790.0,br2401,13405.0,br2401,13405.0,-385.0,-385.0,-0.027918781725888353,-0.027918781725888353
2023-09-22,13660.0,br2401,13400.0,br2401,13400.0,-260.0,-260.0,-0.019033674963396807,-0.019033674963396807
2023-09-25,13590.0,br2401,13340.0,br2401,13340.0,-250.0,-250.0,-0.01839587932303166,-0.01839587932303166
2023-09-26,13480.0,br2401,12970.0,br2401,12970.0,-510.0,-510.0,-0.03783382789317502,-0.03783382789317502
2023-09-27,13320.0,br2401,12750.0,br2401,12750.0,-570.0,-570.0,-0.0427927927927928,-0.0427927927927928
2023-09-28,13280.0,br2401,12890.0,br2401,12890.0,-390.0,-390.0,-0.029367469879518104,-0.029367469879518104
2023-10-09,13000.0,br2401,12650.0,br2401,12650.0,-350.0,-350.0,-0.02692307692307694,-0.02692307692307694
2023-10-10,12850.0,br2401,12680.0,br2401,12680.0,-170.0,-170.0,-0.01322957198443575,-0.01322957198443575
2023-10-11,12850.0,br2401,12605.0,br2401,12605.0,-245.0,-245.0,-0.019066147859922222,-0.019066147859922222
2023-10-12,12850.0,br2401,12845.0,br2401,12845.0,-5.0,-5.0,-0.00038910505836575737,-0.00038910505836575737
2023-10-13,12850.0,br2401,13100.0,br2401,13100.0,250.0,250.0,0.01945525291828787,0.01945525291828787
2023-10-16,12850.0,br2401,13130.0,br2401,13130.0,280.0,280.0,0.021789883268482413,0.021789883268482413
2023-10-17,12890.0,br2401,13000.0,br2401,13000.0,110.0,110.0,0.00853374709076804,0.00853374709076804
2023-10-18,12890.0,br2401,12730.0,br2401,12730.0,-160.0,-160.0,-0.01241272304111718,-0.01241272304111718
2023-10-19,12740.0,br2401,12635.0,br2401,12635.0,-105.0,-105.0,-0.008241758241758212,-0.008241758241758212
2023-10-20,12740.0,br2401,12870.0,br2401,12870.0,130.0,130.0,0.010204081632652962,0.010204081632652962
2023-10-23,12720.0,br2401,12815.0,br2401,12815.0,95.0,95.0,0.0074685534591194536,0.0074685534591194536
2023-10-24,12720.0,br2401,12835.0,br2401,12835.0,115.0,115.0,0.009040880503144555,0.009040880503144555
2023-10-25,12740.0,br2401,12885.0,br2401,12885.0,145.0,145.0,0.011381475667189944,0.011381475667189944
2023-10-26,12740.0,br2401,13055.0,br2401,13055.0,315.0,315.0,0.024725274725274637,0.024725274725274637
2023-10-27,12740.0,br2401,12970.0,br2402,12825.0,230.0,85.0,0.018053375196232402,0.006671899529042458
2023-10-30,12820.0,br2401,12985.0,br2402,12830.0,165.0,10.0,0.01287051482059276,0.0007800312012480326
2023-10-31,12820.0,br2401,12880.0,br2402,12735.0,60.0,-85.0,0.004680187207488196,-0.006630265210608388
2023-11-01,12860.0,br2401,12955.0,br2402,12800.0,95.0,-60.0,0.0073872472783826915,-0.004665629860031051
2023-11-02,12870.0,br2401,13035.0,br2402,12870.0,165.0,0.0,0.012820512820512775,0.0
2023-11-03,12900.0,br2401,13065.0,br2402,12900.0,165.0,0.0,0.012790697674418539,0.0
2023-11-06,12900.0,br2401,12880.0,br2402,12725.0,-20.0,-175.0,-0.0015503875968991832,-0.013565891472868241
2023-11-07,12900.0,br2401,12675.0,br2402,12545.0,-225.0,-355.0,-0.01744186046511631,-0.027519379844961223
2023-11-08,12680.0,br2401,12600.0,br2402,12470.0,-80.0,-210.0,-0.006309148264984188,-0.016561514195583604
2023-11-09,12630.0,br2401,12595.0,br2402,12465.0,-35.0,-165.0,-0.0027711797307996555,-0.013064133016627122
2023-11-10,12490.0,br2401,12450.0,br2402,12330.0,-40.0,-160.0,-0.0032025620496397567,-0.012810248198558805
2023-11-13,12380.0,br2401,12340.0,br2402,12265.0,-40.0,-115.0,-0.003231017770597755,-0.009289176090468532
2023-11-14,12380.0,br2401,12400.0,br2402,12315.0,20.0,-65.0,0.001615508885298933,-0.00525040387722131
2023-11-15,12370.0,br2401,12405.0,br2402,12335.0,35.0,-35.0,0.0028294260307195618,-0.0028294260307194508
2023-11-16,12370.0,br2401,12425.0,br2402,12385.0,55.0,15.0,0.004446240905416232,0.0012126111560226693
