time,index,index,index,c1,c1,c1,c1,c2,c2,c2,c2,c3,c3,c3,c3,c4,c4,c4,c4,c5,c5,c5,c5,c6,c6,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c9,c9,c9
time,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi
2023-08-15 21:03:30,4434.876810526071,,257798.0,lu2309,4406,13.0,3150,lu2310,4459,284,10640,lu2311,4444,10741,212701,lu2312,4395,2899,25322,lu2401,4342,22.0,931,lu2402,4280,,13,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:06:30,4447.676302080303,,257799.0,lu2309,4406,13.0,3150,lu2310,4474,412,10646,lu2311,4457,14356,212735,lu2312,4409,4029,25280,lu2401,4362,42.0,934,lu2402,4280,,13,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:13:30,4447.932853995579,,258273.0,lu2309,4406,13.0,3150,lu2310,4477,533,10626,lu2311,4457,18915,213320,lu2312,4410,5578,25185,lu2401,4363,60.0,938,lu2402,4280,,13,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:23:30,4450.125171337634,,258262.0,lu2309,4430,17.0,3152,lu2310,4479,885,10494,lu2311,4459,22524,213365,lu2312,4412,7409,25231,lu2401,4363,99.0,966,lu2402,4280,,13,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:33:31,4438.262579590699,,258196.0,lu2309,4425,18.0,3152,lu2310,4465,1078,10419,lu2311,4447,26461,213372,lu2312,4399,9638,25224,lu2401,4352,127.0,974,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:36:31,4436.339850317262,,258146.0,lu2309,4421,20.0,3150,lu2310,4465,1172,10384,lu2311,4445,28496,213365,lu2312,4397,10821,25218,lu2401,4346,136.0,974,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:38:31,4438.383733588505,,258127.0,lu2309,4421,20.0,3150,lu2310,4467,1235,10361,lu2311,4447,29556,213353,lu2312,4400,11433,25234,lu2401,4352,138.0,974,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:48:31,4427.617937650623,,258094.0,lu2309,4421,20.0,3150,lu2310,4456,1435,10308,lu2311,4436,34679,213330,lu2312,4388,14615,25273,lu2401,4340,159.0,978,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 21:57:31,4417.950934226284,,258021.0,lu2309,4410,22.0,3149,lu2310,4446,1674,10271,lu2311,4426,38604,213334,lu2312,4379,17146,25235,lu2401,4343,168.0,977,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 22:08:31,4404.99085698743,,257355.0,lu2309,4392,28.0,3143,lu2310,4433,2373,10245,lu2311,4413,49953,212694,lu2312,4365,21417,25227,lu2401,4322,227.0,991,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 22:18:32,4368.1148569737925,,256876.0,lu2309,4364,29.0,3143,lu2310,4399,2639,10252,lu2311,4375,60293,212230,lu2312,4328,25289,25220,lu2401,4285,278.0,976,lu2402,4319,1.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 22:27:32,4376.779622694559,,256079.0,lu2309,4372,30.0,3142,lu2310,4405,2848,10233,lu2311,4384,66858,211443,lu2312,4337,27250,25248,lu2401,4294,335.0,958,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 22:38:32,4379.756312815054,,255512.0,lu2309,4367,32.0,3142,lu2310,4407,3205,10237,lu2311,4387,73141,210866,lu2312,4342,29810,25260,lu2401,4295,444.0,952,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 22:48:32,4390.292556862745,,255000.0,lu2309,4376,41.0,3137,lu2310,4420,3436,10229,lu2311,4398,78932,210429,lu2312,4350,31712,25192,lu2401,4306,493.0,958,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 22:58:33,4379.536955299907,,254429.0,lu2309,4376,124.0,3083,lu2310,4409,3588,10172,lu2311,4387,82335,210002,lu2312,4338,33103,25153,lu2401,4296,550.0,964,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 23:08:33,4378.621677221414,,254230.0,lu2309,4370,133.0,3083,lu2310,4411,3613,10153,lu2311,4386,82876,209832,lu2312,4337,33277,25142,lu2401,4298,551.0,965,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-15 23:18:33,4378.621677221414,,254230.0,lu2309,4370,133.0,3083,lu2310,4411,3613,10153,lu2311,4386,82876,209832,lu2312,4337,33277,25142,lu2401,4298,551.0,965,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 00:15:35,4378.621677221414,,254230.0,lu2309,4370,133.0,3083,lu2310,4411,3613,10153,lu2311,4386,82876,209832,lu2312,4337,33277,25142,lu2401,4298,551.0,965,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 00:27:35,4378.621677221414,,254230.0,lu2309,4370,133.0,3083,lu2310,4411,3613,10153,lu2311,4386,82876,209832,lu2312,4337,33277,25142,lu2401,4298,551.0,965,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 00:41:35,4378.621677221414,,254230.0,lu2309,4370,133.0,3083,lu2310,4411,3613,10153,lu2311,4386,82876,209832,lu2312,4337,33277,25142,lu2401,4298,551.0,965,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 10:15:00,4380.203716130866,,253328.0,lu2309,4396,188.0,3033,lu2310,4419,5046,9988,lu2311,4387,106518,209050,lu2312,4339,42945,25215,lu2401,4296,656.0,987,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 10:54:09,4377.413924315449,,253341.0,lu2309,4396,188.0,3033,lu2310,4419,5308,10001,lu2311,4384,110409,209083,lu2312,4336,45072,25184,lu2401,4290,670.0,985,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 11:26:10,4363.962588377409,,253317.0,lu2309,4396,188.0,3033,lu2310,4407,5488,9941,lu2311,4370,115465,209121,lu2312,4322,47868,25215,lu2401,4283,722.0,951,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 11:30:00,4362.142624206437,,253288.0,lu2309,4396,188.0,3033,lu2310,4406,5504,9938,lu2311,4368,116484,209139,lu2312,4321,48092,25173,lu2401,4273,732.0,949,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 13:34:12,4364.81477576935,,253266.0,lu2309,4396,188.0,3033,lu2310,4406,5553,9939,lu2311,4371,117821,209060,lu2312,4323,48584,25228,lu2401,4275,733.0,950,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 13:54:13,4368.5968398561845,,252267.0,lu2309,4386,197.0,3026,lu2310,4409,5660,9918,lu2311,4375,123268,208066,lu2312,4328,51359,25241,lu2401,4280,761.0,960,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 14:14:13,4366.439507054832,,251955.0,lu2309,4386,197.0,3026,lu2310,4411,5732,9908,lu2311,4373,128416,207374,lu2312,4323,54289,25613,lu2401,4281,808.0,978,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 14:34:14,4371.726923335988,,252387.0,lu2309,4376,198.0,3025,lu2310,4414,5811,9914,lu2311,4379,132722,207475,lu2312,4327,57182,25909,lu2401,4282,870.0,1008,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 14:55:15,4358.141596466933,,252019.0,lu2309,4375,201.0,3022,lu2310,4403,6227,9886,lu2311,4365,139330,207105,lu2312,4312,60228,25923,lu2401,4265,896.0,1027,lu2402,4256,2.0,14,lu2403,4336,,11,lu2404,4235,,12,lu2405,4242,,4667
2023-08-16 21:00:40,4390.666079396313,,252581.0,lu2309,4393,1.0,3022,lu2310,4434,90,9936,lu2311,4399,3543,206713,lu2312,4346,948,26327,lu2401,4272,,1027,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
2023-08-16 21:15:40,4390.066934515344,,253128.0,lu2309,4396,6.0,3022,lu2310,4435,566,9915,lu2311,4398,15453,207375,lu2312,4346,5476,26215,lu2401,4300,41.0,1045,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
2023-08-16 21:30:40,4399.998550472775,,253186.0,lu2309,4402,17.0,3012,lu2310,4438,852,9912,lu2311,4408,22179,207713,lu2312,4360,10988,25960,lu2401,4311,148.0,1033,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
2023-08-16 21:45:41,4420.882039886761,,252916.0,lu2309,4405,31.0,3008,lu2310,4450,1416,9829,lu2311,4430,30981,207595,lu2312,4382,15949,25893,lu2401,4330,205.0,1035,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
2023-08-16 22:00:41,4397.615614915811,,253181.0,lu2309,4409,36.0,3007,lu2310,4427,2983,9224,lu2311,4406,43448,208231,lu2312,4357,20204,26124,lu2401,4312,255.0,1039,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
2023-08-16 22:15:42,4397.532530768076,,253022.0,lu2309,4409,36.0,3007,lu2310,4426,3445,9122,lu2311,4406,50319,208194,lu2312,4357,23043,26103,lu2401,4303,275.0,1040,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
2023-08-16 22:30:42,4401.105793251434,,252587.0,lu2309,4391,37.0,3007,lu2310,4428,3713,9090,lu2311,4410,55588,207745,lu2312,4361,26664,26152,lu2401,4312,289.0,1037,lu2402,4256,,14,lu2403,4269,,11,lu2404,4235,,12,lu2405,4242,500.0,5167
