time,小计,期货
2017-01-03,,20418.0
2017-01-04,,20418.0
2017-01-05,,20418.0
2017-01-06,28986.0,20368.0
2017-01-09,,22005.0
2017-01-10,,22357.0
2017-01-11,,26466.0
2017-01-12,,27448.0
2017-01-13,39071.0,27448.0
2017-01-16,,34273.0
2017-01-17,,35277.0
2017-01-18,,35277.0
2017-01-19,,35277.0
2017-01-20,42097.0,35885.0
2017-01-23,,35885.0
2017-01-24,,35885.0
2017-01-25,,35885.0
2017-01-26,46271.0,35885.0
2017-02-03,46918.0,35885.0
2017-02-06,,35885.0
2017-02-07,,37953.0
2017-02-08,,39316.0
2017-02-09,,39821.0
2017-02-10,49473.0,39871.0
2017-02-13,,43843.0
2017-02-14,,47088.0
2017-02-15,,49969.0
2017-02-16,,54909.0
2017-02-17,61946.0,54909.0
2017-02-20,,54127.0
2017-02-21,,54352.0
2017-02-22,,54102.0
2017-02-23,,54379.0
2017-02-24,67935.0,54559.0
2017-02-27,,53206.0
2017-02-28,,55833.0
2017-03-01,,54904.0
2017-03-02,,54554.0
2017-03-03,68419.0,57268.0
2017-03-06,,57091.0
2017-03-07,,57796.0
2017-03-08,,58867.0
2017-03-09,,58491.0
2017-03-10,72159.0,60963.0
2017-03-13,,62323.0
2017-03-14,,62198.0
2017-03-15,,64975.0
2017-03-16,,64975.0
2017-03-17,73665.0,64800.0
2017-03-20,,64800.0
2017-03-21,,64800.0
2017-03-22,,64800.0
2017-03-23,,65254.0
2017-03-24,74176.0,65254.0
2017-03-27,,64900.0
2017-03-28,,64648.0
2017-03-29,,62935.0
2017-03-30,,64041.0
2017-03-31,72218.0,62385.0
2017-04-05,,62158.0
2017-04-06,,61126.0
2017-04-07,72450.0,59671.0
2017-04-10,,60570.0
2017-04-11,,59943.0
2017-04-12,,59641.0
2017-04-13,,60807.0
2017-04-14,72662.0,64813.0
2017-04-17,,70408.0
2017-04-18,,69829.0
2017-04-19,,68499.0
2017-04-20,,68273.0
2017-04-21,72288.0,67871.0
2017-04-24,,67871.0
2017-04-25,,67470.0
2017-04-26,,66716.0
2017-04-27,,66390.0
2017-04-28,72070.0,66390.0
2017-05-02,,66391.0
2017-05-03,,66391.0
2017-05-04,,66391.0
2017-05-05,75225.0,65913.0
2017-05-08,,70913.0
2017-05-09,,70814.0
2017-05-10,,70184.0
2017-05-11,,69756.0
2017-05-12,81499.0,77421.0
2017-05-15,,80112.0
2017-05-16,,80462.0
2017-05-17,,80089.0
2017-05-18,,79712.0
2017-05-19,83622.0,77928.0
2017-05-22,,76022.0
2017-05-23,,74180.0
2017-05-24,,73554.0
2017-05-25,,74211.0
2017-05-26,82968.0,73909.0
2017-05-31,,73306.0
2017-06-01,,71348.0
2017-06-02,80302.0,71323.0
2017-06-05,,70846.0
2017-06-06,,70693.0
2017-06-07,,71669.0
2017-06-08,,70916.0
2017-06-09,80173.0,69362.0
2017-06-12,,69228.0
2017-06-13,,69065.0
2017-06-14,,65821.0
2017-06-15,,66424.0
2017-06-16,74576.0,64299.0
2017-06-19,,62816.0
2017-06-20,,58870.0
2017-06-21,,53935.0
2017-06-22,,49689.0
2017-06-23,64466.0,47057.0
2017-06-26,,43995.0
2017-06-27,,43067.0
2017-06-28,,42767.0
2017-06-29,,42743.0
2017-06-30,61170.0,42643.0
2017-07-03,,43020.0
2017-07-04,,42767.0
2017-07-05,,42615.0
2017-07-06,,42415.0
2017-07-07,55245.0,37349.0
2017-07-10,,37397.0
2017-07-11,,36917.0
2017-07-12,,38373.0
2017-07-13,,38775.0
2017-07-14,55846.0,40036.0
2017-07-17,,40865.0
2017-07-18,,40865.0
2017-07-19,,40664.0
2017-07-20,,40917.0
2017-07-21,54857.0,39588.0
2017-07-24,,39136.0
2017-07-25,,38934.0
2017-07-26,,36898.0
2017-07-27,,36347.0
2017-07-28,53068.0,36095.0
2017-07-31,,35918.0
2017-08-01,,36498.0
2017-08-02,,36271.0
2017-08-03,,35846.0
2017-08-04,50126.0,35846.0
2017-08-07,,35797.0
2017-08-08,,35797.0
2017-08-09,,35141.0
2017-08-10,,34991.0
2017-08-11,49121.0,33327.0
2017-08-14,,35066.0
2017-08-15,,35246.0
2017-08-16,,33891.0
2017-08-17,,33865.0
2017-08-18,44113.0,33464.0
2017-08-21,,31422.0
2017-08-22,,29608.0
2017-08-23,,26966.0
2017-08-24,,25204.0
2017-08-25,38347.0,23972.0
2017-08-28,,23344.0
2017-08-29,,22413.0
2017-08-30,,21082.0
2017-08-31,,21082.0
2017-09-01,33085.0,20455.0
2017-09-04,,20130.0
2017-09-05,,19277.0
2017-09-06,,18320.0
2017-09-07,,14732.0
2017-09-08,29850.0,13275.0
2017-09-11,,12369.0
2017-09-12,,9735.0
2017-09-13,,8984.0
2017-09-14,,8076.0
2017-09-15,16568.0,7925.0
2017-09-18,,7925.0
2017-09-19,,7925.0
2017-09-20,,7045.0
2017-09-21,,6944.0
2017-09-22,13462.0,6249.0
2017-09-25,,4864.0
2017-09-26,,3630.0
2017-09-27,,4581.0
2017-09-28,,4581.0
2017-09-29,14161.0,5084.0
2017-10-09,,7441.0
2017-10-10,,8388.0
2017-10-11,,8885.0
2017-10-12,,9288.0
2017-10-13,19314.0,10436.0
2017-10-16,,15721.0
2017-10-17,,15695.0
2017-10-18,,15619.0
2017-10-19,,15420.0
2017-10-20,22863.0,15168.0
2017-10-23,,15168.0
2017-10-24,,14969.0
2017-10-25,,14869.0
2017-10-26,,14819.0
2017-10-27,22762.0,14670.0
2017-10-30,,14545.0
2017-10-31,,15448.0
2017-11-01,,16297.0
2017-11-02,,16222.0
2017-11-03,24167.0,16172.0
2017-11-06,,18027.0
2017-11-07,,18027.0
2017-11-08,,18027.0
2017-11-09,,18531.0
2017-11-10,28313.0,18531.0
2017-11-13,,21985.0
2017-11-14,,21935.0
2017-11-15,,25563.0
2017-11-16,,25563.0
2017-11-17,33218.0,25563.0
2017-11-20,,22333.0
2017-11-21,,22333.0
2017-11-22,,21881.0
2017-11-23,,22612.0
2017-11-24,34442.0,22111.0
2017-11-27,,23093.0
2017-11-28,,22319.0
2017-11-29,,22319.0
2017-11-30,,22319.0
2017-12-01,36642.0,23205.0
2017-12-04,,23205.0
2017-12-05,,23205.0
2017-12-06,,23155.0
