time,index,index,index,c1,c1,c1,c1,c2,c2,c2,c2,c3,c3,c3,c3,c4,c4,c4,c4,c5,c5,c5,c5,c6,c6,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c9,c9,c9
time,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi
2023-08-15 21:03:30,212486.88465221747,,90847.0,sn2309,212420,6067.0,46049,sn2310,212590,4014,29753,sn2311,212610,931,7049,sn2312,212500,33.0,2091,sn2401,212220,100.0,4644,sn2402,214060,,163,sn2403,213500,,355,sn2404,211410,1.0,501,sn2405,213540,,134
2023-08-15 21:06:30,212570.24324354125,,90691.0,sn2309,212500,7650.0,45799,sn2310,212710,5078,29795,sn2311,212650,1165,7094,sn2312,212450,65.0,2098,sn2401,212180,132.0,4645,sn2402,214060,,163,sn2403,213500,,355,sn2404,212010,2.0,500,sn2405,213540,,134
2023-08-15 21:13:30,213151.49554856712,,90308.0,sn2309,213110,10950.0,45321,sn2310,213250,7644,29885,sn2311,213240,1747,7122,sn2312,213160,97.0,2101,sn2401,212820,237.0,4619,sn2402,214060,,163,sn2403,213500,,355,sn2404,212010,2.0,500,sn2405,213540,,134
2023-08-15 21:23:30,213727.7933728838,,89843.0,sn2309,213690,13903.0,44712,sn2310,213820,9827,29993,sn2311,213890,2253,7156,sn2312,213640,183.0,2097,sn2401,213480,304.0,4625,sn2402,214060,,163,sn2403,213500,,355,sn2404,212010,2.0,500,sn2405,213540,,134
2023-08-15 21:33:31,213404.3122131423,,89330.0,sn2309,213340,15792.0,44270,sn2310,213490,11233,29891,sn2311,213560,2544,7201,sn2312,213560,256.0,2105,sn2401,213260,416.0,4603,sn2402,214060,,163,sn2403,213500,,355,sn2404,212010,2.0,500,sn2405,213540,,134
2023-08-15 21:36:31,213159.6949015558,,89086.0,sn2309,213110,16539.0,44085,sn2310,213250,11797,29821,sn2311,213290,2602,7196,sn2312,213350,259.0,2106,sn2401,212860,553.0,4618,sn2402,213080,1.0,162,sn2403,213200,1.0,356,sn2404,212010,2.0,500,sn2405,213540,,134
2023-08-15 21:38:31,213128.00590858544,,89023.0,sn2309,213090,16978.0,44036,sn2310,213230,12084,29823,sn2311,213270,2621,7190,sn2312,213130,282.0,2096,sn2401,212700,564.0,4618,sn2402,213080,1.0,162,sn2403,213200,1.0,356,sn2404,212010,2.0,500,sn2405,213540,,134
2023-08-15 21:48:31,212754.25471390504,,88939.0,sn2309,212680,18489.0,43931,sn2310,212820,13163,29858,sn2311,212930,2774,7183,sn2312,213080,309.0,2099,sn2401,212630,607.0,4607,sn2402,213080,1.0,162,sn2403,213200,1.0,356,sn2404,212010,2.0,500,sn2405,212580,1.0,135
2023-08-15 21:57:31,213090.2172936048,,89004.0,sn2309,213030,19283.0,43891,sn2310,213180,14158,29967,sn2311,213280,2904,7184,sn2312,213270,312.0,2098,sn2401,212810,622.0,4603,sn2402,213080,1.0,162,sn2403,213200,1.0,356,sn2404,212010,2.0,500,sn2405,212580,1.0,135
