time,index,index,index,c1,c1,c1,c1,c2,c2,c2,c2,c3,c3,c3,c3,c4,c4,c4,c4,c5,c5,c5,c5,c6,c6,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c9,c9,c9
time,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi,inst_id,close,vol,oi
2023-08-15 21:03:30,15714.465167632254,,168464.0,ss2309,15690,2295.0,33334,ss2310,15740,6515,110878,ss2311,15695,488,9609,ss2312,15635.0,156.0,6894.0,ss2401,15585.0,33.0,5273.0,ss2402,15530.0,,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15395.0,,379.0
2023-08-15 21:06:30,15705.78016711504,,168387.0,ss2309,15685,2879.0,33263,ss2310,15730,8196,110863,ss2311,15685,570,9616,ss2312,15630.0,193.0,6897.0,ss2401,15580.0,48.0,5272.0,ss2402,15505.0,1.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15395.0,,379.0
2023-08-15 21:13:30,15686.87276337221,,168222.0,ss2309,15665,4094.0,32937,ss2310,15710,11137,111017,ss2311,15675,748,9612,ss2312,15620.0,217.0,6904.0,ss2401,15560.0,70.0,5277.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 21:23:30,15724.008706327508,,168613.0,ss2309,15700,4814.0,32875,ss2310,15750,13377,111469,ss2311,15710,925,9609,ss2312,15645.0,296.0,6903.0,ss2401,15585.0,102.0,5282.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 21:33:31,15732.763843831734,,168613.0,ss2309,15705,5676.0,32718,ss2310,15760,15640,111628,ss2311,15715,1048,9610,ss2312,15650.0,313.0,6901.0,ss2401,15605.0,105.0,5281.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 21:36:31,15728.53255101012,,168643.0,ss2309,15700,5741.0,32708,ss2310,15755,15929,111648,ss2311,15715,1068,9623,ss2312,15655.0,324.0,6909.0,ss2401,15600.0,106.0,5280.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 21:38:31,15720.214516951464,,168658.0,ss2309,15695,5789.0,32689,ss2310,15745,16115,111694,ss2311,15705,1096,9602,ss2312,15655.0,344.0,6919.0,ss2401,15595.0,107.0,5279.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 21:48:31,15709.97227104313,,168416.0,ss2309,15685,6071.0,32627,ss2310,15735,17172,111491,ss2311,15695,1162,9633,ss2312,15640.0,347.0,6917.0,ss2401,15580.0,119.0,5273.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 21:57:31,15716.024491275615,,168264.0,ss2309,15695,6235.0,32580,ss2310,15740,18003,111392,ss2311,15700,1192,9626,ss2312,15645.0,363.0,6916.0,ss2401,15590.0,124.0,5275.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 22:08:31,15717.73950538772,,168253.0,ss2309,15690,6809.0,32412,ss2310,15745,19571,111544,ss2311,15700,1228,9626,ss2312,15640.0,376.0,6918.0,ss2401,15575.0,130.0,5278.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 22:18:32,15720.035496027403,,169033.0,ss2309,15695,7435.0,32384,ss2310,15745,21365,111938,ss2311,15710,1884,10033,ss2312,15650.0,421.0,6926.0,ss2401,15585.0,140.0,5277.0,ss2402,15495.0,2.0,1264.0,ss2403,15475.0,,440.0,ss2404,15485.0,,93.0,ss2405,15350.0,2.0,378.0
2023-08-15 22:27:32,15721.40435613343,,169049.0,ss2309,15695,7863.0,32330,ss2310,15745,22674,111946,ss2311,15720,2078,10076,ss2312,15655.0,527.0,6964.0,ss2401,15595.0,190.0,5262.0,ss2402,15525.0,3.0,1264.0,ss2403,15475.0,1.0,439.0,ss2404,15425.0,1.0,92.0,ss2405,15380.0,3.0,377.0
2023-08-15 22:38:32,15721.594110834032,,169226.0,ss2309,15700,8142.0,32275,ss2310,15745,23980,112103,ss2311,15705,2284,10144,ss2312,15660.0,565.0,6975.0,ss2401,15590.0,203.0,5263.0,ss2402,15525.0,5.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-15 22:48:32,15752.042803853055,,169424.0,ss2309,15730,8560.0,32239,ss2310,15775,25939,112330,ss2311,15750,2408,10144,ss2312,15685.0,590.0,6962.0,ss2401,15620.0,285.0,5284.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-15 22:58:33,15742.04687334362,,169798.0,ss2309,15720,8993.0,32220,ss2310,15765,28115,112725,ss2311,15740,2467,10158,ss2312,15670.0,620.0,6950.0,ss2401,15610.0,297.0,5280.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-15 23:08:33,15740.984135101457,,170124.0,ss2309,15715,9192.0,32283,ss2310,15765,29303,112988,ss2311,15735,2476,10161,ss2312,15670.0,621.0,6950.0,ss2401,15615.0,301.0,5277.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-15 23:18:33,15741.486237993126,,170215.0,ss2309,15720,9273.0,32299,ss2310,15765,29474,113060,ss2311,15730,2479,10163,ss2312,15670.0,621.0,6950.0,ss2401,15610.0,302.0,5278.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-16 00:15:35,15750.082891110287,,170163.0,ss2309,15725,9557.0,32322,ss2310,15775,30794,112989,ss2311,15735,2532,10168,ss2312,15680.0,647.0,6939.0,ss2401,15620.0,310.0,5280.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-16 00:27:35,15764.675346783994,,170351.0,ss2309,15740,9835.0,32362,ss2310,15790,31789,113129,ss2311,15750,2552,10174,ss2312,15690.0,651.0,6941.0,ss2401,15635.0,311.0,5280.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-16 00:41:35,15779.02574068212,,170586.0,ss2309,15755,9929.0,32371,ss2310,15805,32818,113350,ss2311,15765,2562,10180,ss2312,15705.0,654.0,6940.0,ss2401,15635.0,311.0,5280.0,ss2402,15545.0,6.0,1262.0,ss2403,15475.0,2.0,439.0,ss2404,15430.0,2.0,91.0,ss2405,15380.0,3.0,377.0
2023-08-16 10:15:00,15702.02026864604,,170559.0,ss2309,15680,15852.0,31483,ss2310,15725,56320,114036,ss2311,15685,3979,10268,ss2312,15630.0,1093.0,6996.0,ss2401,15575.0,524.0,5304.0,ss2402,15535.0,24.0,1260.0,ss2403,15470.0,26.0,450.0,ss2404,15445.0,3.0,91.0,ss2405,15395.0,20.0,376.0
2023-08-16 10:54:09,15737.78557208104,,170780.0,ss2309,15715,16476.0,31384,ss2310,15760,59878,114282,ss2311,15730,4144,10304,ss2312,15670.0,1166.0,7029.0,ss2401,15620.0,550.0,5311.0,ss2402,15550.0,32.0,1260.0,ss2403,15470.0,26.0,450.0,ss2404,15445.0,3.0,91.0,ss2405,15405.0,22.0,375.0
2023-08-16 11:26:10,15746.316825226775,,171754.0,ss2309,15720,17219.0,31280,ss2310,15770,63599,114734,ss2311,15740,4720,10567,ss2312,15675.0,1707.0,7397.0,ss2401,15620.0,584.0,5305.0,ss2402,15555.0,33.0,1260.0,ss2403,15515.0,28.0,451.0,ss2404,15465.0,6.0,91.0,ss2405,15395.0,23.0,375.0
2023-08-16 11:30:00,15740.691016465931,,171870.0,ss2309,15710,17642.0,31184,ss2310,15765,64348,114882,ss2311,15735,4824,10608,ss2312,15660.0,1734.0,7419.0,ss2401,15635.0,586.0,5306.0,ss2402,15555.0,33.0,1260.0,ss2403,15515.0,28.0,451.0,ss2404,15465.0,6.0,91.0,ss2405,15395.0,23.0,375.0
2023-08-16 13:34:12,15749.77443390524,,172056.0,ss2309,15720,17974.0,31114,ss2310,15775,65358,115034,ss2311,15740,4931,10646,ss2312,15675.0,1821.0,7462.0,ss2401,15620.0,628.0,5332.0,ss2402,15555.0,33.0,1260.0,ss2403,15515.0,28.0,451.0,ss2404,15475.0,7.0,90.0,ss2405,15435.0,26.0,373.0
2023-08-16 13:54:13,15751.771522315035,,172507.0,ss2309,15725,18797.0,31094,ss2310,15775,68229,115410,ss2311,15740,5065,10679,ss2312,15680.0,1916.0,7508.0,ss2401,15640.0,659.0,5343.0,ss2402,15575.0,35.0,1261.0,ss2403,15540.0,31.0,453.0,ss2404,15490.0,10.0,92.0,ss2405,15435.0,26.0,373.0
2023-08-16 14:14:13,15750.516683764845,,172533.0,ss2309,15725,19344.0,31017,ss2310,15775,71498,115466,ss2311,15735,5185,10699,ss2312,15675.0,1992.0,7524.0,ss2401,15620.0,682.0,5351.0,ss2402,15565.0,37.0,1261.0,ss2403,15530.0,32.0,454.0,ss2404,15475.0,11.0,93.0,ss2405,15435.0,27.0,373.0
2023-08-16 14:34:14,15748.821730239692,,172138.0,ss2309,15720,20238.0,30954,ss2310,15775,75472,115134,ss2311,15735,5453,10689,ss2312,15665.0,2035.0,7528.0,ss2401,15610.0,715.0,5357.0,ss2402,15565.0,37.0,1261.0,ss2403,15530.0,32.0,454.0,ss2404,15460.0,12.0,94.0,ss2405,15435.0,27.0,373.0
2023-08-16 14:55:15,15715.513561673257,,172287.0,ss2309,15680,22086.0,30870,ss2310,15740,80935,115381,ss2311,15710,6020,10628,ss2312,15645.0,2148.0,7574.0,ss2401,15600.0,723.0,5358.0,ss2402,15565.0,37.0,1261.0,ss2403,15530.0,32.0,454.0,ss2404,15470.0,14.0,95.0,ss2405,15435.0,27.0,373.0
2023-08-16 21:00:40,15683.566112706283,,172395.0,ss2309,15655,1820.0,30592,ss2310,15705,4888,115738,ss2311,15685,202,10614,ss2312,15625.0,30.0,7612.0,ss2401,15550.0,12.0,5362.0,ss2402,15545.0,,1262.0,ss2403,15530.0,,454.0,ss2404,15470.0,,95.0,ss2405,15450.0,1.0,374.0
2023-08-16 21:15:40,15715.093726112436,,172684.0,ss2309,15680,3825.0,30474,ss2310,15740,14299,116104,ss2311,15705,912,10661,ss2312,15650.0,193.0,7602.0,ss2401,15590.0,61.0,5367.0,ss2402,15540.0,2.0,1262.0,ss2403,15530.0,,454.0,ss2404,15425.0,1.0,94.0,ss2405,15450.0,1.0,374.0
2023-08-16 21:30:40,15704.787729968864,,172469.0,ss2309,15670,4605.0,30384,ss2310,15730,16344,116041,ss2311,15690,1285,10598,ss2312,15640.0,228.0,7605.0,ss2401,15575.0,73.0,5365.0,ss2402,15540.0,2.0,1262.0,ss2403,15530.0,,454.0,ss2404,15425.0,1.0,94.0,ss2405,15450.0,1.0,374.0
