time,小计,期货
2017-01-03,,82610.0
2017-01-04,,82315.0
2017-01-05,,79173.0
2017-01-06,157440.0,75222.0
2017-01-09,,76016.0
2017-01-10,,74943.0
2017-01-11,,74747.0
2017-01-12,,75496.0
2017-01-13,159269.0,77010.0
2017-01-16,,75742.0
2017-01-17,,75594.0
2017-01-18,,75494.0
2017-01-19,,75219.0
2017-01-20,159091.0,76516.0
2017-01-23,,76964.0
2017-01-24,,76964.0
2017-01-25,,78265.0
2017-01-26,162205.0,78592.0
2017-02-03,162063.0,78541.0
2017-02-06,,78465.0
2017-02-07,,78465.0
2017-02-08,,80535.0
2017-02-09,,80987.0
2017-02-10,191026.0,84489.0
2017-02-13,,85372.0
2017-02-14,,85872.0
2017-02-15,,87452.0
2017-02-16,,87830.0
2017-02-17,197456.0,88055.0
2017-02-20,,87155.0
2017-02-21,,86705.0
2017-02-22,,83744.0
2017-02-23,,83469.0
2017-02-24,197895.0,83316.0
2017-02-27,,83491.0
2017-02-28,,83335.0
2017-03-01,,83282.0
2017-03-02,,82933.0
2017-03-03,199033.0,82156.0
2017-03-06,,81954.0
2017-03-07,,82304.0
2017-03-08,,83145.0
2017-03-09,,81993.0
2017-03-10,194788.0,80297.0
2017-03-13,,80117.0
2017-03-14,,80762.0
2017-03-15,,81334.0
2017-03-16,,80534.0
2017-03-17,186298.0,80058.0
2017-03-20,,79757.0
2017-03-21,,78481.0
2017-03-22,,78481.0
2017-03-23,,78033.0
2017-03-24,184376.0,79825.0
2017-03-27,,79502.0
2017-03-28,,79829.0
2017-03-29,,81657.0
2017-03-30,,81485.0
2017-03-31,183086.0,81359.0
2017-04-05,,85099.0
2017-04-06,,84954.0
2017-04-07,182244.0,85307.0
2017-04-10,,84526.0
2017-04-11,,82526.0
2017-04-12,,78144.0
2017-04-13,,72836.0
2017-04-14,165398.0,70081.0
2017-04-17,,67925.0
2017-04-18,,64172.0
2017-04-19,,63147.0
2017-04-20,,59366.0
2017-04-21,155352.0,53488.0
2017-04-24,,51889.0
2017-04-25,,49162.0
2017-04-26,,48136.0
2017-04-27,,46658.0
2017-04-28,115040.0,44680.0
2017-05-02,,43145.0
2017-05-03,,42417.0
2017-05-04,,41812.0
2017-05-05,119945.0,40387.0
2017-05-08,,38483.0
2017-05-09,,37229.0
2017-05-10,,36050.0
2017-05-11,,35700.0
2017-05-12,101350.0,35150.0
2017-05-15,,37442.0
2017-05-16,,36917.0
2017-05-17,,36643.0
2017-05-18,,35469.0
2017-05-19,91749.0,32435.0
2017-05-22,,30135.0
2017-05-23,,28182.0
2017-05-24,,25011.0
2017-05-25,,22991.0
