time,open,high,low,close
2008-09-04,5.71680,5.74080,5.57550,5.57750
2008-09-05,5.57100,5.61270,5.52270,5.58130
2008-09-08,5.58540,5.71290,5.53140,5.57660
2008-09-09,5.57050,5.58870,5.46780,5.46780
2008-09-10,5.46490,5.54780,5.44070,5.44910
2008-09-11,5.44570,5.54160,5.41360,5.53440
2008-09-12,5.52900,5.63830,5.48740,5.63830
2008-09-15,5.63240,5.64710,5.49040,5.51280
2008-09-16,5.51870,5.51870,5.37540,5.43860
2008-09-17,5.45120,5.51490,5.34280,5.36620
2008-09-19,5.49350,5.71270,5.48330,5.70040
2008-09-22,5.70350,5.81980,5.66460,5.76240
2008-09-23,5.76380,5.77930,5.65060,5.66250
2008-09-24,5.68410,5.74650,5.66890,5.68660
2008-09-25,5.68680,5.74310,5.68090,5.69150
2008-09-26,5.69190,5.71410,5.65460,5.67390
2008-09-29,5.69310,5.71460,5.47850,5.47850
2008-09-30,5.46770,5.53940,5.40250,5.44110
2008-10-01,5.43750,5.48780,5.38460,5.41370
2008-10-02,5.40670,5.43120,5.27340,5.29560
2008-10-03,5.29190,5.34710,5.28170,5.30210
2008-10-06,5.27950,5.29320,4.79940,4.85720
2008-10-07,4.85940,5.01180,4.81130,4.87650
2008-10-08,4.85390,4.87070,4.43500,4.56320
2008-10-09,4.58090,4.84800,4.54040,4.66030
2008-10-10,4.69040,4.69040,4.33610,4.40020
2008-10-13,4.51750,4.78330,4.47390,4.76420
2008-10-14,4.76550,4.94360,4.75610,4.78340
2008-10-15,4.78380,4.82940,4.44600,4.46180
2008-10-16,4.46850,4.73920,4.45770,4.70320
2008-10-17,4.71150,4.78660,4.60200,4.71890
2008-10-20,4.71200,4.81650,4.70760,4.80590
2008-10-21,4.80420,4.80420,4.58660,4.63160
2008-10-22,4.61900,4.66080,4.54040,4.59350
2008-10-23,4.58870,4.61230,4.47440,4.61230
2008-10-24,4.60770,4.60920,4.15280,4.25200
2008-10-27,4.27600,4.27630,4.13960,4.15830
2008-10-28,4.12720,4.43730,4.12310,4.43730
2008-10-29,4.45560,4.63670,4.33760,4.56670
2008-10-30,4.57250,4.69970,4.54210,4.60430
2008-10-31,4.62130,4.62570,4.49080,4.57130
2008-11-03,4.57000,4.68790,4.54710,4.62590
2008-11-04,4.62750,4.79050,4.52510,4.76960
2008-11-05,4.78330,4.78480,4.66140,4.67330
2008-11-06,4.64240,4.70070,4.53440,4.53940
2008-11-07,4.53140,4.61920,4.49240,4.60200
2008-11-10,4.59140,4.76220,4.54310,4.57190
