time,open,high,low,close
2014-11-24,13.62050,13.66250,13.60020,13.65520
2014-11-25,13.65640,13.68400,13.61500,13.67450
2014-11-26,13.67400,13.76580,13.63900,13.71740
2014-11-27,13.71840,13.78560,13.69150,13.76010
2014-11-28,13.76090,13.95830,13.75050,13.92000
2014-12-01,13.90350,13.99480,13.86330,13.98030
2014-12-02,13.98250,14.13430,13.95600,14.10210
2014-12-03,14.10270,14.13430,14.05180,14.09630
2014-12-04,14.09640,14.16760,14.07150,14.15280
2014-12-05,14.15380,14.45570,14.10300,14.34750
2014-12-08,14.35230,14.45900,14.27750,14.37570
2014-12-09,14.37700,14.42810,14.33300,14.40450
2014-12-10,14.40560,14.57200,14.38050,14.55240
2014-12-11,14.55170,14.81300,14.48400,14.77210
2014-12-12,14.77190,14.94350,14.64650,14.75950
2014-12-15,14.70390,14.82090,14.69030,14.70000
2014-12-16,14.69900,14.86940,14.66400,14.73710
2014-12-17,14.73730,14.79110,14.36250,14.57090
2014-12-18,14.56960,14.60060,14.44100,14.53820
2014-12-19,14.53980,14.70960,14.49510,14.62120
2014-12-22,14.58240,14.67710,14.54400,14.66600
2014-12-23,14.66730,14.79510,14.62170,14.73950
2014-12-24,14.74120,14.79060,14.67630,14.69800
2014-12-25,14.69850,14.74400,14.68770,14.72330
2014-12-26,14.72450,14.74400,14.65520,14.74400
2014-12-29,14.71340,14.78580,14.67060,14.76920
2014-12-30,14.76830,14.79980,14.71120,14.72300
2014-12-31,14.72790,14.77280,14.68550,14.73600
2015-01-01,14.73600,14.73610,14.69380,14.72880
2015-01-02,14.72830,14.87130,14.70820,14.83900
2015-01-05,14.85530,14.98340,14.81050,14.93730
2015-01-06,14.93450,14.99270,14.80650,14.88820
2015-01-07,14.88800,14.91240,14.67820,14.70670
2015-01-08,14.70680,14.74260,14.58600,14.66290
2015-01-09,14.66370,14.70770,14.54200,14.56970
2015-01-12,14.56980,14.67470,14.55780,14.65170
2015-01-13,14.64960,14.67720,14.52800,14.60540
2015-01-14,14.60530,14.70720,14.46970,14.48340
2015-01-15,14.48110,14.68180,14.41750,14.64490
2015-01-16,14.64340,14.69800,14.52000,14.55290
2015-01-19,14.54890,14.67190,14.53350,14.62400
2015-01-20,14.62410,14.67050,14.57400,14.64930
2015-01-21,14.64960,14.79560,14.58250,14.75560
2015-01-22,14.75460,14.78300,14.57280,14.62800
2015-01-23,14.62530,14.73570,14.59700,14.62920
2015-01-26,14.65890,14.69190,14.53970,14.57120
2015-01-27,14.56910,14.64600,14.54100,14.57900
2015-01-28,14.61710,14.75830,14.57900,14.72910
2015-01-29,14.72490,14.89800,14.71650,14.78920
2015-01-30,14.78890,15.06400,14.75670,14.95750
2015-02-02,14.95410,14.99400,14.84450,14.86370
2015-02-03,14.86180,14.90620,14.63520,14.65300
2015-02-04,14.65330,14.91080,14.62250,14.87100
2015-02-05,14.86930,14.91410,14.72270,14.78000
2015-02-06,14.77990,14.95740,14.71930,14.84760
2015-02-09,14.84330,14.87020,14.77100,14.79310
2015-02-10,14.80010,14.98810,14.77750,14.94040
2015-02-11,14.94930,15.15450,14.91950,15.06030
2015-02-12,15.05940,15.09460,14.85550,14.91900
2015-02-13,14.91800,15.00610,14.82550,14.86400
2015-02-16,14.90180,14.93330,14.84150,14.91260
2015-02-17,14.91510,14.93000,14.80620,14.89630
2015-02-18,14.89750,14.96870,14.82170,14.87740
2015-02-19,14.87720,15.03670,14.84950,15.00100
2015-02-20,15.00100,15.10300,14.95300,15.00920
2015-02-23,15.00490,15.13170,15.00300,15.08940
2015-02-24,15.09140,15.14870,14.85320,14.91980
2015-02-25,14.91910,14.94580,14.86150,14.91720
2015-02-26,14.91700,15.01910,14.81100,14.98170
2015-02-27,14.98470,15.03850,14.89670,14.94700
2015-03-02,14.93270,15.02790,14.90820,15.02050
2015-03-03,15.02190,15.05060,14.91820,14.98410
2015-03-04,14.98440,15.11730,14.95500,15.04320
2015-03-05,15.04100,15.26360,15.01780,15.18480
2015-03-06,15.18500,15.52230,15.16100,15.50040
2015-03-09,15.46470,15.52780,15.39900,15.48540
2015-03-10,15.48450,15.66660,15.46800,15.61480
2015-03-11,15.61500,15.66730,15.39320,15.46920
2015-03-12,15.46970,15.49450,15.33270,15.38930
2015-03-13,15.38920,15.56280,15.36630,15.41790
2015-03-16,15.47020,15.51870,15.36450,15.40530
2015-03-17,15.39730,15.44650,15.35570,15.38930
2015-03-18,15.38460,15.44540,14.97970,15.13050
2015-03-19,15.13000,15.35100,15.07450,15.26950
2015-03-20,15.26950,15.29000,14.96750,15.04000
2015-03-23,15.05570,15.07500,14.90950,14.91520
2015-03-24,14.91370,15.01230,14.86000,14.94070
2015-03-25,14.93990,15.00160,14.84670,14.98750
2015-03-26,14.98550,15.17500,14.94500,15.15400
2015-03-27,15.15840,15.24150,15.08400,15.22300
2015-03-30,15.20820,15.27760,15.16900,15.25840
2015-03-31,15.25840,15.35220,15.20620,15.25710
2015-04-01,15.25710,15.30410,15.08870,15.13470
2015-04-02,15.13450,15.15890,14.97550,14.99710
2015-04-03,15.00020,15.03310,14.75850,14.81570
2015-04-06,14.81900,14.93980,14.74670,14.90040
2015-04-07,14.90200,14.95110,14.85250,14.91690
2015-04-08,14.92030,14.96050,14.82500,14.91120
2015-04-09,14.90540,15.10070,14.86230,15.08340
2015-04-10,15.08320,15.23330,15.06090,15.19870
2015-04-13,15.22660,15.40200,15.21020,15.38390
2015-04-14,15.38510,15.40000,15.18800,15.26170
2015-04-15,15.25730,15.41730,15.19700,15.25480
2015-04-16,15.25460,15.32040,15.10250,15.16790
2015-04-17,15.16790,15.38110,15.10600,15.33000
2015-04-20,15.32510,15.46810,15.26050,15.45590
2015-04-21,15.45420,15.49280,15.34430,15.43300
2015-04-22,15.43310,15.47860,15.34080,15.45150
2015-04-23,15.45150,15.48260,15.28020,15.34370
2015-04-24,15.34310,15.44190,15.28400,15.36200
2015-04-27,15.39330,15.43220,15.28000,15.35630
2015-04-28,15.35140,15.39120,15.17700,15.25470
2015-04-29,15.25050,15.30350,15.13320,15.21610
2015-04-30,15.21580,15.40640,15.19050,15.34640
2015-05-01,15.34110,15.59320,15.31640,15.56900
2015-05-04,15.53740,15.57930,15.41670,15.44940
2015-05-05,15.44690,15.48210,15.26230,15.35070
2015-05-06,15.35210,15.36760,15.23450,15.36320
2015-05-07,15.36320,15.43850,15.26200,15.31160
2015-05-08,15.31210,15.33400,15.09820,15.12400
2015-05-11,15.12100,15.36290,15.10980,15.34620
2015-05-12,15.34550,15.42830,15.27020,15.32370
2015-05-13,15.32740,15.33390,15.14630,15.26700
2015-05-14,15.26490,15.29400,15.05950,15.09130
2015-05-15,15.09210,15.14830,14.97330,15.01700
2015-05-18,15.01260,15.14710,14.99050,15.09650
2015-05-19,15.10350,15.22940,15.06150,15.19410
2015-05-20,15.19700,15.24500,15.11550,15.18320
2015-05-21,15.18340,15.26230,15.12280,15.22020
2015-05-22,15.22070,15.33150,15.17350,15.26960
2015-05-25,15.26030,15.28880,15.21480,15.25410
2015-05-26,15.24990,15.34560,15.23080,15.28500
2015-05-27,15.28490,15.40130,15.24250,15.28060
2015-05-28,15.28390,15.41200,15.27200,15.31150
2015-05-29,15.31080,15.44050,15.30130,15.37170
2015-06-01,15.38880,15.53840,15.35400,15.47310
2015-06-02,15.47560,15.49990,15.37680,15.43440
