time,5Y,7Y,10Y,20Y,30Y
2003-01-02,1.75,2.24,2.43,,
2003-01-03,1.75,2.25,2.43,,
2003-01-06,1.79,2.27,2.46,,
2003-01-07,1.76,2.24,2.42,,
2003-01-08,1.68,2.14,2.29,,
2003-01-09,1.82,2.23,2.41,,
2003-01-10,1.8,2.22,2.41,,
2003-01-13,1.77,2.2,2.38,,
2003-01-14,1.72,2.13,2.34,,
2003-01-15,1.69,2.1,2.3,,
2003-01-16,1.71,2.14,2.31,,
2003-01-17,1.6,2.06,2.25,,
2003-01-21,1.62,2.05,2.23,,
2003-01-22,1.6,2.04,2.23,,
2003-01-23,1.55,2.0,2.2,,
2003-01-24,1.47,1.93,2.14,,
2003-01-27,1.5,1.94,2.16,,
2003-01-28,1.52,1.98,2.19,,
2003-01-29,1.55,1.98,2.21,,
2003-01-30,1.56,2.0,2.2,,
2003-01-31,1.53,1.97,2.19,,
2003-02-03,1.53,2.0,2.2,,
2003-02-04,1.45,1.9,2.12,,
2003-02-05,1.46,1.91,2.12,,
2003-02-06,1.4,1.85,2.09,,
2003-02-07,1.37,1.84,2.07,,
2003-02-10,1.37,1.84,2.06,,
2003-02-11,1.38,1.84,2.05,,
2003-02-12,1.32,1.79,2.04,,
2003-02-13,1.29,1.76,2.01,,
2003-02-14,1.29,1.78,2.03,,
2003-02-18,1.29,1.78,2.05,,
2003-02-19,1.25,1.75,1.99,,
2003-02-20,1.13,1.64,1.91,,
2003-02-21,1.13,1.64,1.93,,
2003-02-24,1.04,1.59,1.87,,
2003-02-25,1.0,1.53,1.84,,
2003-02-26,1.01,1.55,1.84,,
2003-02-27,0.98,1.54,1.82,,
2003-02-28,0.94,1.48,1.77,,
2003-03-03,0.93,1.47,1.77,,
2003-03-04,0.9,1.45,1.77,,
2003-03-05,0.9,1.44,1.75,,
2003-03-06,0.9,1.43,1.74,,
2003-03-07,0.82,1.39,1.72,,
2003-03-10,0.79,1.36,1.69,,
2003-03-11,0.78,1.34,1.68,,
2003-03-12,0.78,1.34,1.68,,
2003-03-13,0.88,1.43,1.73,,
2003-03-14,1.15,1.52,1.89,,
2003-03-17,1.15,1.6,1.97,,
2003-03-18,1.3,1.72,2.08,,
2003-03-19,1.39,1.81,2.15,,
2003-03-20,1.35,1.85,2.2,,
2003-03-21,1.42,1.94,2.29,,
2003-03-24,1.32,1.83,2.18,,
2003-03-25,1.33,1.81,2.17,,
2003-03-26,1.29,1.81,2.15,,
2003-03-27,1.21,1.75,2.1,,
2003-03-28,1.14,1.72,2.09,,
2003-03-31,1.13,1.66,2.03,,
2003-04-01,1.14,1.63,2.02,,
2003-04-02,1.23,1.74,2.11,,
2003-04-03,1.23,1.74,2.12,,
2003-04-04,1.25,1.75,2.16,,
2003-04-07,1.38,1.86,2.21,,
2003-04-08,1.34,1.8,2.18,,
2003-04-09,1.32,1.81,2.13,,
2003-04-10,1.25,1.82,2.16,,
2003-04-11,1.33,1.86,2.23,,
2003-04-14,1.36,1.87,2.22,,
2003-04-15,1.34,1.86,2.18,,
2003-04-16,1.37,1.86,2.2,,
2003-04-17,1.41,1.9,2.22,,
2003-04-21,1.46,1.95,2.25,,
2003-04-22,1.5,1.97,2.27,,
2003-04-23,1.48,1.97,2.26,,
2003-04-24,1.46,1.92,2.22,,
2003-04-25,1.42,1.9,2.18,,
2003-04-28,1.42,1.87,2.16,,
2003-04-29,1.47,1.93,2.22,,
2003-04-30,1.4,1.88,2.16,,
2003-05-01,1.52,1.82,2.13,,
2003-05-02,1.56,1.86,2.19,,
2003-05-05,1.37,1.86,2.19,,
2003-05-06,1.34,1.82,2.17,,
2003-05-07,1.26,1.74,2.02,,
2003-05-08,1.28,1.67,2.0,,
2003-05-09,1.21,1.7,2.0,,
2003-05-12,1.21,1.68,1.96,,
2003-05-13,1.19,1.67,1.94,,
2003-05-14,1.15,1.58,1.87,,
2003-05-15,1.13,1.57,1.86,,
2003-05-16,1.12,1.55,1.84,,
2003-05-19,1.07,1.57,1.85,,
2003-05-20,0.99,1.44,1.73,,
2003-05-21,1.03,1.44,1.73,,
2003-05-22,1.02,1.45,1.71,,
2003-05-23,1.02,1.43,1.72,,
2003-05-27,1.09,1.51,1.8,,
2003-05-28,1.12,1.55,1.83,,
2003-05-29,1.04,1.47,1.76,,
2003-05-30,1.04,1.47,1.77,,
2003-06-02,1.08,1.51,1.83,,
2003-06-03,1.0,1.42,1.76,,
2003-06-04,0.94,1.41,1.73,,
2003-06-05,0.94,1.4,1.75,,
2003-06-06,0.96,1.41,1.76,,
2003-06-09,0.88,1.33,1.68,,
2003-06-10,0.81,1.26,1.61,,
2003-06-11,0.8,1.26,1.62,,
2003-06-12,0.78,1.24,1.57,,
2003-06-13,0.71,1.17,1.51,,
2003-06-16,0.79,1.24,1.59,,
2003-06-17,0.91,1.34,1.7,,
2003-06-18,0.98,1.44,1.79,,
2003-06-19,0.89,1.39,1.74,,
2003-06-20,0.92,1.41,1.77,,
2003-06-23,0.88,1.36,1.71,,
2003-06-24,0.84,1.33,1.68,,
2003-06-25,0.87,1.31,1.71,,
2003-06-26,1.02,1.5,1.85,,
2003-06-27,1.04,1.54,1.9,,
2003-06-30,1.01,1.52,1.9,,
2003-07-01,1.03,1.52,1.92,,
2003-07-02,1.04,1.53,1.96,,
2003-07-03,1.11,1.6,2.09,,
2003-07-07,1.19,1.68,2.14,,
2003-07-08,1.24,1.74,2.12,,
2003-07-09,1.17,1.66,2.0,,
2003-07-10,1.14,1.61,1.94,,
2003-07-11,1.1,1.58,1.88,,
2003-07-14,1.13,1.58,1.92,,
2003-07-15,1.28,1.74,2.06,,
2003-07-16,1.31,1.77,2.08,,
2003-07-17,1.31,1.76,2.05,,
2003-07-18,1.28,1.72,2.04,,
2003-07-21,1.47,1.89,2.21,,
2003-07-22,1.48,1.89,2.19,,
2003-07-23,1.37,1.8,2.11,,
2003-07-24,1.41,1.84,2.18,,
2003-07-25,1.34,1.81,2.14,,
2003-07-28,1.49,1.93,2.27,,
2003-07-29,1.63,2.05,2.38,,
2003-07-30,1.54,1.98,2.32,,
2003-07-31,1.63,2.09,2.41,,
2003-08-01,1.62,2.11,2.4,,
2003-08-04,1.52,1.99,2.34,,
2003-08-05,1.62,2.11,2.43,,
2003-08-06,1.53,1.99,2.34,,
2003-08-07,1.41,1.96,2.29,,
2003-08-08,1.43,1.93,2.27,,
2003-08-11,1.44,1.93,2.31,,
2003-08-12,1.42,1.93,2.29,,
2003-08-13,1.55,2.06,2.41,,
2003-08-14,1.53,2.03,2.38,,
2003-08-15,1.5,2.03,2.36,,
2003-08-18,1.49,1.99,2.33,,
2003-08-19,1.4,1.89,2.24,,
2003-08-20,1.41,1.9,2.26,,
2003-08-21,1.45,1.92,2.29,,
2003-08-22,1.42,1.9,2.26,,
2003-08-25,1.49,1.96,2.31,,
2003-08-26,1.47,1.95,2.28,,
2003-08-27,1.54,2.0,2.36,,
2003-08-28,1.44,1.94,2.29,,
2003-08-29,1.47,1.94,2.29,,
2003-09-02,1.63,2.07,2.43,,
2003-09-03,1.58,2.06,2.4,,
2003-09-04,1.49,1.98,2.32,,
2003-09-05,1.31,1.8,2.17,,
2003-09-08,1.38,1.86,2.24,,
2003-09-09,1.34,1.84,2.21,,
2003-09-10,1.28,1.8,2.18,,
2003-09-11,1.32,1.84,2.22,,
2003-09-12,1.27,1.78,2.18,,
2003-09-15,1.25,1.78,2.18,,
2003-09-16,1.32,1.84,2.26,,
2003-09-17,1.29,1.79,2.2,,
2003-09-18,1.3,1.82,2.18,,
2003-09-19,1.3,1.79,2.17,,
2003-09-22,1.32,1.82,2.21,,
2003-09-23,1.29,1.8,2.19,,
2003-09-24,1.21,1.72,2.13,,
2003-09-25,1.14,1.67,2.07,,
2003-09-26,1.04,1.57,1.99,,
2003-09-29,1.07,1.6,2.03,,
2003-09-30,0.99,1.53,1.95,,
2003-10-01,1.0,1.53,1.96,,
2003-10-02,1.07,1.6,2.01,,
2003-10-03,1.23,1.73,2.16,,
2003-10-06,1.19,1.69,2.11,,
2003-10-07,1.24,1.75,2.17,,
2003-10-08,1.25,1.77,2.18,,
2003-10-09,1.25,1.77,2.2,,
2003-10-10,1.18,1.69,2.14,,
2003-10-14,1.23,1.74,2.18,,
2003-10-15,1.28,1.8,2.2,,
2003-10-16,1.32,1.84,2.21,,
2003-10-17,1.26,1.75,2.14,,
2003-10-20,1.27,1.74,2.13,,
2003-10-21,1.27,1.74,2.12,,
2003-10-22,1.24,1.68,2.07,,
2003-10-23,1.23,1.67,2.03,,
2003-10-24,1.14,1.56,1.92,,
2003-10-27,1.19,1.59,1.96,,
2003-10-28,1.11,1.53,1.91,,
2003-10-29,1.17,1.59,1.98,,
2003-10-30,1.24,1.64,1.97,,
2003-10-31,1.21,1.59,1.93,,
2003-11-03,1.27,1.64,1.97,,
2003-11-04,1.22,1.6,1.93,,
2003-11-05,1.34,1.7,2.02,,
2003-11-06,1.41,1.76,2.08,,
2003-11-07,1.42,1.78,2.1,,
2003-11-10,1.4,1.77,2.09,,
2003-11-12,1.36,1.73,2.04,,
2003-11-13,1.24,1.61,1.94,,
2003-11-14,1.17,1.53,1.87,,
2003-11-17,1.12,1.49,1.82,,
2003-11-18,1.14,1.5,1.83,,
2003-11-19,1.22,1.58,1.91,,
2003-11-20,1.23,1.58,1.92,,
2003-11-21,1.23,1.61,1.93,,
2003-11-24,1.26,1.65,1.99,,
2003-11-25,1.21,1.6,1.92,,
2003-11-26,1.26,1.65,1.96,,
2003-11-28,1.36,1.73,2.03,,
2003-12-01,1.42,1.77,2.08,,
2003-12-02,1.38,1.75,2.05,,
2003-12-03,1.4,1.77,2.08,,
2003-12-04,1.35,1.72,2.04,,
2003-12-05,1.2,1.59,1.92,,
2003-12-08,1.22,1.63,1.96,,
2003-12-09,1.24,1.67,2.0,,
2003-12-10,1.19,1.65,1.97,,
2003-12-11,1.1,1.55,1.9,,
2003-12-12,1.13,1.57,1.91,,
2003-12-15,1.18,1.62,1.98,,
2003-12-16,1.19,1.63,1.99,,
2003-12-17,1.18,1.6,1.96,,
2003-12-18,1.2,1.6,1.94,,
2003-12-19,1.18,1.6,1.95,,
2003-12-22,1.21,1.63,1.98,,
2003-12-23,1.26,1.67,2.03,,
2003-12-24,1.19,1.6,1.96,,
2003-12-26,1.16,1.57,1.94,,
2003-12-29,1.21,1.63,1.99,,
2003-12-30,1.23,1.65,2.01,,
2003-12-31,1.22,1.62,2.0,,
2004-01-02,1.28,1.7,2.06,,
2004-01-05,1.3,1.69,2.06,,
2004-01-06,1.21,1.6,1.97,,
2004-01-07,1.2,1.57,1.94,,
2004-01-08,1.25,1.6,1.99,,
2004-01-09,1.12,1.49,1.89,,
2004-01-12,1.11,1.49,1.89,,
2004-01-13,1.03,1.43,1.83,,
2004-01-14,1.05,1.44,1.85,,
2004-01-15,1.01,1.42,1.82,,
2004-01-16,1.02,1.42,1.83,,
2004-01-20,1.01,1.41,1.84,,
2004-01-21,0.96,1.37,1.79,,
2004-01-22,0.94,1.34,1.76,,
2004-01-23,1.01,1.41,1.82,,
2004-01-26,1.07,1.46,1.89,,
2004-01-27,0.98,1.41,1.84,,
2004-01-28,1.09,1.5,1.92,,
2004-01-29,1.07,1.49,1.91,,
2004-01-30,1.01,1.43,1.85,,
2004-02-02,0.96,1.4,1.84,,
2004-02-03,0.93,1.37,1.81,,
2004-02-04,0.95,1.39,1.82,,
2004-02-05,0.99,1.44,1.85,,
2004-02-06,0.95,1.37,1.79,,
2004-02-09,0.92,1.33,1.76,,
2004-02-10,0.96,1.37,1.79,,
2004-02-11,0.88,1.32,1.75,,
2004-02-12,0.9,1.34,1.77,,
2004-02-13,0.85,1.28,1.74,,
2004-02-17,0.84,1.3,1.75,,
2004-02-18,0.84,1.31,1.75,,
2004-02-19,0.82,1.3,1.76,,
2004-02-20,0.84,1.32,1.79,,
2004-02-23,0.8,1.28,1.76,,
2004-02-24,0.78,1.26,1.74,,
2004-02-25,0.74,1.22,1.71,,
2004-02-26,0.72,1.2,1.69,,
2004-02-27,0.63,1.11,1.61,,
2004-03-01,0.58,1.05,1.55,,
2004-03-02,0.62,1.09,1.58,,
2004-03-03,0.64,1.1,1.59,,
2004-03-04,0.67,1.12,1.6,,
2004-03-05,0.53,0.99,1.46,,
2004-03-08,0.49,0.94,1.43,,
2004-03-09,0.48,0.92,1.4,,
2004-03-10,0.53,0.97,1.45,,
2004-03-11,0.57,1.02,1.5,,
2004-03-12,0.59,1.04,1.52,,
2004-03-15,0.54,0.99,1.47,,
2004-03-16,0.45,0.92,1.4,,
2004-03-17,0.39,0.87,1.36,,
2004-03-18,0.4,0.88,1.37,,
2004-03-19,0.48,0.95,1.44,,
2004-03-22,0.45,0.93,1.42,,
2004-03-23,0.45,0.92,1.41,,
2004-03-24,0.41,0.88,1.38,,
2004-03-25,0.44,0.91,1.4,,
2004-03-26,0.51,0.99,1.47,,
2004-03-29,0.55,1.02,1.5,,
2004-03-30,0.57,1.04,1.52,,
2004-03-31,0.51,0.99,1.48,,
2004-04-01,0.53,1.01,1.48,,
2004-04-02,0.77,1.25,1.69,,
2004-04-05,0.84,1.32,1.75,,
2004-04-06,0.82,1.3,1.73,,
2004-04-07,0.91,1.39,1.82,,
2004-04-08,0.88,1.37,1.8,,
2004-04-12,0.91,1.38,1.81,,
2004-04-13,0.98,1.46,1.88,,
2004-04-14,1.01,1.49,1.91,,
2004-04-15,1.03,1.49,1.93,,
2004-04-16,0.95,1.43,1.87,,
2004-04-19,0.96,1.45,1.87,,
2004-04-20,1.07,1.55,1.97,,
2004-04-21,1.07,1.54,1.96,,
2004-04-22,1.1,1.56,1.98,,
2004-04-23,1.29,1.74,2.12,,
2004-04-26,1.2,1.66,2.03,,
2004-04-27,1.14,1.63,2.0,,
2004-04-28,1.26,1.72,2.1,,
2004-04-29,1.32,1.78,2.15,,
2004-04-30,1.29,1.75,2.11,,
2004-05-03,1.28,1.73,2.09,,
2004-05-04,1.26,1.74,2.1,,
2004-05-05,1.29,1.76,2.1,,
2004-05-06,1.34,1.8,2.15,,
2004-05-07,1.5,1.93,2.24,,
2004-05-10,1.53,1.95,2.25,,
2004-05-11,1.49,1.91,2.21,,
2004-05-12,1.42,1.86,2.17,,
2004-05-13,1.43,1.86,2.18,,
2004-05-14,1.41,1.84,2.16,,
2004-05-17,1.33,1.75,2.07,,
2004-05-18,1.33,1.75,2.05,,
2004-05-19,1.32,1.74,2.03,,
2004-05-20,1.25,1.67,1.96,,
2004-05-21,1.34,1.75,2.04,,
2004-05-24,1.27,1.71,2.01,,
2004-05-25,1.29,1.72,2.03,,
2004-05-26,1.23,1.66,1.99,,
2004-05-27,1.19,1.62,1.97,,
2004-05-28,1.26,1.68,2.0,,
2004-06-01,1.22,1.63,1.97,,
2004-06-02,1.29,1.71,2.04,,
2004-06-03,1.31,1.73,2.05,,
2004-06-04,1.37,1.78,2.11,,
2004-06-07,1.37,1.78,2.11,,
2004-06-08,1.43,1.83,2.15,,
2004-06-09,1.47,1.87,2.2,,
2004-06-10,1.45,1.87,2.18,,
2004-06-14,1.55,1.94,2.26,,
2004-06-15,1.38,1.79,2.16,,
2004-06-16,1.43,1.82,2.18,,
2004-06-17,1.42,1.8,2.16,,
2004-06-18,1.4,1.79,2.15,,
2004-06-21,1.4,1.8,2.16,,
2004-06-22,1.41,1.81,2.17,,
2004-06-23,1.42,1.81,2.18,,
2004-06-24,1.4,1.79,2.15,,
2004-06-25,1.43,1.81,2.16,,
2004-06-28,1.52,1.9,2.23,,
2004-06-29,1.5,1.87,2.2,,
2004-06-30,1.38,1.75,2.1,,
2004-07-01,1.3,1.7,2.04,,
2004-07-02,1.21,1.6,1.96,,
2004-07-06,1.23,1.62,1.97,,
2004-07-07,1.23,1.64,2.0,,
2004-07-08,1.22,1.63,2.02,,
2004-07-09,1.23,1.64,2.02,,
2004-07-12,1.24,1.64,2.02,,
2004-07-13,1.26,1.66,2.03,,
2004-07-14,1.27,1.67,2.02,,
2004-07-15,1.27,1.66,2.01,,
2004-07-16,1.19,1.59,1.94,,
2004-07-19,1.21,1.61,1.96,,
2004-07-20,1.32,1.72,2.05,,
2004-07-21,1.35,1.72,2.05,,
2004-07-22,1.34,1.71,2.03,,
2004-07-23,1.31,1.69,2.0,,
2004-07-26,1.37,1.74,2.05,,
2004-07-27,1.47,1.85,2.15,2.49,
2004-07-28,1.42,1.8,2.11,2.46,
