time,AAA:1M,AAA:3M,AAA:6M,AAA:9M,AAA:1Y,AAA:2Y,AAA:3Y,AAA:5Y,AAA:7Y,AAA:10Y,AAA:15Y,AAA:20Y,AAA:30Y,AA:1M,AA:3M,AA:6M,AA:9M,AA:1Y,AA:2Y,AA:3Y,AA:5Y,AA:7Y,AA:10Y,AA:15Y,A:1M,A:3M,A:6M,A:9M,A:1Y,A:2Y,A:3Y,A:5Y,A:7Y,A:10Y,A:15Y,AAA:4Y,AAA:6Y,AAA:8Y,AAA:9Y,AAA:11Y,AAA:12Y,AAA:13Y,AAA:14Y,AAA:16Y,AAA:17Y,AAA:18Y,AAA:19Y,AAA:21Y,AAA:22Y,AAA:23Y,AAA:24Y,AAA:25Y,AAA:26Y,AAA:27Y,AAA:28Y,AAA:29Y,AA:4Y,AA:6Y,AA:8Y,AA:9Y,AA:11Y,AA:12Y,AA:13Y,AA:14Y,A:4Y,A:6Y,A:8Y,A:9Y,A:11Y,A:12Y,A:13Y,A:14Y
2018-09-03,2.3588,2.7787,3.2083,3.4174,3.427,3.9748,4.0661,4.3783,4.62,4.7284,4.8349,4.8596,5.0877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,2.4835,2.7733,3.2486,3.4503,3.5216,4.0077,4.085,4.4038,4.6553,4.7531,4.8646,4.8967,5.1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05,2.5809,2.6969,3.2182,3.4085,3.476,3.9756,4.0684,4.3783,4.632,4.7297,4.8512,4.8733,5.0903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-06,2.4106,2.5866,3.1364,3.3481,3.4155,3.9876,4.0763,4.3836,4.5987,4.6975,4.8455,4.8706,5.0648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-07,2.4831,2.6892,3.1984,3.4112,3.5006,3.9728,4.1007,4.3934,4.5942,4.6937,4.8432,4.8665,5.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-10,2.5207,2.688,3.264,3.4565,3.4958,3.9923,4.1296,4.3718,4.5958,4.6821,4.8316,4.8549,5.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-12,2.6728,2.7319,3.3523,3.5311,3.5705,4.0569,4.2019,4.4667,4.6684,4.7538,4.8815,4.8938,5.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-13,2.7101,2.7429,3.3203,3.5269,3.5703,4.0539,4.1833,4.4449,4.6578,4.7427,4.8604,4.8627,5.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-14,2.6555,2.6847,3.2706,3.4928,3.5481,4.0016,4.1578,4.4301,4.645,4.7439,4.853,4.8628,5.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,2.632,2.6455,3.2277,3.4866,3.4906,3.9895,4.1406,4.4198,4.6245,4.7118,4.8612,4.8693,5.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,2.7161,2.6857,3.2809,3.5,3.5121,4.0035,4.1142,4.4358,4.644,4.7233,4.8623,4.8684,5.0579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-25,2.6332,2.686,3.2692,3.506,3.5275,3.9704,4.097,4.4381,4.6104,4.6893,4.8321,4.8438,5.0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,2.6846,2.7074,3.2708,3.507,3.5741,3.9683,4.0801,4.4107,4.6298,4.7177,4.8539,4.8572,5.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,2.8615,2.7478,3.2912,3.5058,3.537,3.9112,4.0175,4.3584,4.6075,4.6822,4.8306,4.8532,5.0442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,2.9072,2.8079,3.2572,3.5011,3.5533,3.9385,4.0157,4.3618,4.6306,4.6861,4.8422,4.8645,5.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,2.8219,2.8365,3.2764,3.5126,3.5396,3.9382,4.0374,4.3632,4.6223,4.6891,4.8498,4.8532,5.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-11,2.4873,2.7618,3.2042,3.4371,3.465,3.8886,3.9711,4.3196,4.5836,4.6568,4.8385,4.8439,5.0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12,2.5334,2.9075,3.2542,3.4306,3.4865,3.8306,3.9345,4.2572,4.5612,4.6284,4.8365,4.8429,5.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17,2.4623,2.8108,3.3492,3.44,3.4876,3.8149,3.9182,4.2316,4.5688,4.6109,4.8154,4.8293,4.9644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18,2.4846,2.8436,3.2967,3.4411,3.4863,3.8035,3.9506,4.2301,4.5664,4.5928,4.8009,4.8148,4.9297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,2.572,3.0016,3.3642,3.5003,3.5251,3.8218,3.9793,4.2126,4.5583,4.6023,4.815,4.8253,4.9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-23,2.6163,2.9655,3.3608,3.5224,3.5649,3.827,3.9903,4.2061,4.5704,4.6071,4.7946,4.8044,4.9309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-24,2.5341,3.0428,3.3054,3.5089,3.5585,3.806,3.9907,4.1853,4.55,4.5996,4.7814,4.777,4.9346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,2.5478,3.1514,3.3086,3.5253,3.5804,3.7869,3.9883,4.2169,4.5273,4.5621,4.7403,4.7585,4.9071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-26,2.5001,3.0725,3.3116,3.4891,3.5067,3.8026,3.9486,4.2094,4.5216,4.5531,4.7223,4.7317,4.8882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-29,2.4449,3.0564,3.2691,3.507,3.5129,3.7608,3.9446,4.221,4.5414,4.5627,4.7133,4.7227,4.8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,2.3956,3.0513,3.2491,3.5216,3.5284,3.7756,3.9248,4.1967,4.5014,4.5363,4.7008,4.7193,4.8554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,2.5233,3.1039,3.3035,3.4971,3.5208,3.8054,3.9304,4.1323,4.4791,4.5035,4.6785,4.6946,4.8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-02,2.302,3.0357,3.2859,3.485,3.4909,3.7864,3.9158,4.1135,4.4539,4.4825,4.6437,4.6628,4.8144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,2.3643,3.0829,3.3418,3.5107,3.5266,3.8324,3.9452,4.1623,4.4765,4.5011,4.6832,4.6939,4.8461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,2.3305,3.0276,3.2553,3.4954,3.5105,3.8285,3.9208,4.1576,4.4543,4.4827,4.6563,4.6786,4.8291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,2.3055,3.0127,3.2495,3.497,3.5167,3.8038,3.9132,4.1285,4.4412,4.4728,4.6301,4.6568,4.8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,2.2905,3.1078,3.2604,3.5053,3.5114,3.825,3.9135,4.1256,4.4205,4.4378,4.6008,4.6271,4.7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,2.2795,3.0815,3.2954,3.5128,3.5307,3.8163,3.9234,4.1185,4.4166,4.4531,4.6162,4.6324,4.7979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,2.3388,3.0819,3.3034,3.5028,3.5231,3.8247,3.9148,4.1205,4.404,4.4311,4.5988,4.615,4.7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,2.3281,3.0657,3.2755,3.4708,3.5391,3.7725,3.8385,4.0977,4.3748,4.4086,4.5632,4.5861,4.7472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,2.3341,3.1024,3.2796,3.479,3.5043,3.7512,3.8295,4.032,4.3338,4.3655,4.5388,4.5507,4.7117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
