time,公共设施管理业民间固定资产投资_累计增长,通用设备制造业民间固定资产投资_累计增长,汽车制造业民间固定资产投资_累计增长,采矿业民间固定资产投资_累计增长,非金属矿物制品业民间固定资产投资_累计增长,有色金属冶炼和压延加工业民间固定资产投资_累计增长,电力、热力生产和供应业民间固定资产投资_累计增长,农林牧渔业民间固定资产投资_累计增长,石油和天然气开采业民间固定资产投资_累计增长,电力、热力、燃气及水的生产和供应业民间固定资产投资_累计增长,有色金属矿采选业民间固定资产投资_累计增长,黑色金属冶炼和压延加工业民间固定资产投资_累计增长,第三产业民间固定资产投资_累计增长,第二产业民间固定资产投资_累计增长,制造业民间固定资产投资_累计增长,水利管理业民间固定资产投资_累计增长,文化、体育和娱乐业民间固定资产投资_累计增长,电气机械和器材制造业民间固定资产投资_累计增长,铁路运输业民间固定资产投资_累计增长,第一产业民间固定资产投资_累计增长,卫生和社会工作民间固定资产投资_累计增长,交通运输、仓储和邮政业民间固定资产投资_累计增长,铁路、船舶、航空航天和其他运输设备制造业民间固定资产投资_累计增长,计算机、通信和其他电子设备制造业民间固定资产投资_累计增长,水利、环境和公共设施管理业民间固定资产投资_累计增长,黑色金属矿采选业民间固定资产投资_累计增长,建筑业民间固定资产投资_累计增长,非金属矿采选业民间固定资产投资_累计增长,教育民间固定资产投资_累计增长,道路运输业民间固定资产投资_累计增长,专用设备制造业民间固定资产投资_累计增长,煤炭开采和洗选业民间固定资产投资_累计增长,公共管理、社会保障和社会组织民间固定资产投资_累计增长
2012-03,24.7,30.4,46.4,32.8,24.9,23.0,19.3,39.1,108.2,21.9,33.1,4.3,28.0,29.3,29.1,-8.8,35.8,15.9,-0.1,39.1,77.2,34.8,9.9,44.0,21.0,27.5,55.8,36.1,42.1,36.0,65.5,24.0,16.1
2012-04,25.8,31.0,47.4,32.9,23.7,14.5,19.8,42.1,63.0,22.5,42.7,7.3,24.9,28.7,28.6,-6.9,36.6,13.1,-0.1,42.1,60.1,33.5,14.6,40.2,23.0,27.9,35.3,30.8,40.6,40.3,64.6,25.5,14.7
2012-05,26.1,31.3,47.5,34.2,23.4,15.3,23.0,38.0,89.4,25.9,45.3,10.0,23.2,29.2,29.1,-4.4,39.3,13.4,-11.0,38.0,39.2,32.3,15.0,39.4,23.7,33.2,30.7,34.5,37.6,46.0,60.0,24.0,14.8
2012-06,27.3,36.3,46.0,29.2,22.4,18.6,20.9,31.2,89.2,23.5,32.4,10.9,22.0,28.9,29.1,-5.8,38.1,11.8,-11.7,31.2,43.1,34.1,10.5,39.1,23.6,25.6,31.9,33.5,40.2,39.7,57.7,21.6,7.0
2012-07,24.6,36.1,44.9,25.8,21.7,19.7,20.6,32.2,112.1,23.0,26.0,10.3,21.1,29.2,29.6,3.1,34.5,12.8,-15.4,32.2,43.4,34.7,17.8,43.9,22.0,29.3,35.0,31.1,41.7,37.4,58.8,15.3,6.4
2012-08,24.1,34.6,41.4,26.4,21.2,19.9,22.2,36.7,85.1,24.0,24.3,11.8,20.9,28.2,28.6,5.7,29.5,13.1,-13.5,36.7,45.0,32.6,9.6,42.4,21.7,32.0,18.5,33.9,46.0,36.9,57.5,15.7,5.5
2012-09,24.1,33.9,41.2,25.7,21.5,20.8,23.0,37.4,76.9,25.4,26.6,8.2,21.4,27.9,28.4,7.0,38.4,11.8,-12.5,37.4,46.6,31.7,10.8,43.6,21.8,31.4,13.9,35.5,48.2,34.9,59.1,13.0,5.0
2012-10,25.3,33.5,40.8,23.1,22.0,21.9,23.3,37.7,63.8,26.2,21.7,9.3,21.6,27.7,28.2,7.7,38.2,11.3,-18.0,37.7,46.0,28.9,11.2,42.4,23.0,28.2,20.6,34.6,46.0,31.0,60.1,11.3,4.0
2012-11,23.3,34.0,39.5,20.1,20.8,21.2,23.3,35.8,61.3,25.0,21.7,8.0,22.3,26.9,27.8,5.5,38.2,11.6,-15.7,35.8,45.7,28.7,12.1,41.4,21.0,25.9,14.0,28.8,41.7,29.4,59.4,8.2,5.4
2012-12,23.5,35.5,40.2,20.4,22.0,21.4,20.6,39.2,55.4,22.5,20.1,4.7,22.2,26.4,27.2,7.3,43.8,9.9,2.6,39.2,49.5,28.9,7.7,38.5,21.2,29.5,17.3,30.0,42.8,29.7,56.9,8.1,7.5
