time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P
time,3200,3200,3200,3250,3250,3250,3300,3300,3300,3350,3350,3350,3400,3400,3400,3450,3450,3450,3500,3500,3500,3550,3550,3550,3600,3600,3600,3650,3650,3650,3700,3700,3700,3750,3750,3750,3800,3800,3800,3850,3850,3850,3900,3900,3900,3950,3950,3950,3200,3200,3200,3250,3250,3250,3300,3300,3300,3350,3350,3350,3400,3400,3400,3450,3450,3450,3500,3500,3500,3550,3550,3550,3600,3600,3600,3650,3650,3650,3700,3700,3700,3750,3750,3750,3800,3800,3800,3850,3850,3850,3900,3900,3900,3950,3950,3950,3150,3150,3150,3150,3150,3150,3100,3100,3100,3100,3100,3100,3050,3050,3050,3050,3050,3050,3000,3000,3000,3000,3000,3000,2950,2950,2950,2950,2950,2950
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-11-20 10:42:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,207.6,0.0,0.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,67.0,12.0,12.0,51.4,19.0,19.0,37.2,7.0,6.0,30.0,3.0,3.0,22.6,2.0,2.0,17.6,2.0,2.0,15.0,14.0,14.0,9.2,63.0,53.0,9.0,1.0,1.0,13.6,1.0,1.0,22.0,1.0,1.0,30.8,0.0,0.0,48.6,2.0,2.0,66.2,1.0,1.0,82.6,0.0,0.0,114.8,1.0,1.0,144.2,4.0,4.0,179.4,2.0,2.0,222.0,3.0,3.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 10:53:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,207.6,0.0,0.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,67.0,12.0,12.0,51.2,21.0,21.0,39.6,8.0,7.0,30.0,3.0,3.0,22.6,2.0,2.0,17.6,2.0,2.0,15.0,14.0,14.0,9.8,66.0,55.0,9.0,1.0,1.0,13.6,1.0,1.0,22.0,1.0,1.0,30.8,0.0,0.0,48.6,2.0,2.0,66.2,1.0,1.0,87.0,1.0,1.0,114.8,1.0,1.0,144.2,4.0,4.0,179.4,2.0,2.0,222.0,3.0,3.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 11:03:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,207.6,0.0,0.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,67.0,12.0,12.0,51.2,22.0,22.0,40.0,9.0,8.0,30.0,3.0,3.0,22.6,2.0,2.0,17.6,2.0,2.0,15.0,14.0,14.0,9.8,66.0,55.0,9.0,1.0,1.0,13.6,1.0,1.0,22.0,1.0,1.0,30.8,0.0,0.0,48.6,2.0,2.0,66.2,1.0,1.0,87.0,1.0,1.0,114.8,1.0,1.0,144.2,4.0,4.0,179.4,2.0,2.0,216.0,4.0,4.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 11:13:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,207.6,0.0,0.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,67.0,12.0,12.0,55.0,26.0,26.0,40.0,9.0,8.0,30.0,3.0,3.0,22.6,2.0,2.0,17.6,2.0,2.0,15.0,14.0,14.0,9.8,66.0,55.0,9.0,1.0,1.0,13.6,1.0,1.0,22.0,1.0,1.0,30.8,0.0,0.0,48.6,2.0,2.0,66.2,1.0,1.0,87.0,1.0,1.0,114.8,1.0,1.0,144.2,4.0,4.0,179.4,2.0,2.0,216.0,6.0,6.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 11:24:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,207.6,0.0,0.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,67.0,12.0,12.0,60.8,30.0,30.0,40.0,9.0,8.0,30.0,3.0,3.0,22.6,2.0,2.0,17.6,2.0,2.0,16.6,27.0,27.0,9.8,66.0,55.0,9.0,1.0,1.0,13.6,1.0,1.0,22.0,1.0,1.0,30.8,2.0,2.0,42.4,3.0,3.0,58.2,2.0,2.0,87.0,1.0,1.0,102.0,2.0,2.0,144.2,4.0,4.0,165.0,4.0,4.0,216.0,6.0,6.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 13:53:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,222.6,1.0,1.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,74.8,17.0,16.0,58.4,34.0,34.0,43.4,14.0,13.0,33.4,6.0,5.0,27.2,6.0,6.0,20.6,15.0,15.0,15.8,48.0,47.0,8.8,67.0,56.0,9.0,1.0,1.0,13.6,1.0,1.0,22.4,6.0,6.0,30.8,2.0,2.0,42.4,3.0,3.0,58.2,2.0,2.0,87.0,1.0,1.0,102.0,2.0,2.0,144.2,4.0,4.0,165.0,4.0,4.0,216.0,6.0,6.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 14:04:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,222.6,1.0,1.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,74.8,17.0,16.0,58.4,34.0,34.0,43.6,19.0,18.0,33.4,6.0,5.0,27.2,6.0,6.0,20.6,15.0,15.0,16.4,53.0,47.0,9.0,72.0,58.0,9.0,1.0,1.0,13.6,1.0,1.0,22.4,6.0,6.0,31.2,7.0,7.0,42.4,3.0,3.0,58.2,2.0,2.0,87.0,1.0,1.0,102.0,2.0,2.0,144.2,4.0,4.0,165.0,4.0,4.0,216.0,6.0,6.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20 14:14:00,380.4,0.0,0.0,334.0,0.0,0.0,289.4,0.0,0.0,247.2,0.0,0.0,222.6,1.0,1.0,171.4,0.0,0.0,138.8,0.0,0.0,110.4,0.0,0.0,83.0,12.0,12.0,74.8,17.0,16.0,56.8,36.0,36.0,43.6,19.0,18.0,33.4,6.0,5.0,27.2,6.0,6.0,20.6,15.0,15.0,16.4,53.0,47.0,9.0,72.0,58.0,9.0,1.0,1.0,13.6,1.0,1.0,22.4,6.0,6.0,31.2,7.0,7.0,42.4,3.0,3.0,58.2,2.0,2.0,87.0,1.0,1.0,102.0,2.0,2.0,144.2,4.0,4.0,165.0,4.0,4.0,216.0,6.0,6.0,259.4,4.0,2.0,288.4,0.0,0.0,332.6,0.0,0.0,378.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
