time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
time,2200,2200,2200,2225,2225,2225,2250,2250,2250,2275,2275,2275,2300,2300,2300,2325,2325,2325,2350,2350,2350,2375,2375,2375,2400,2400,2400,2425,2425,2425,2450,2450,2450,2475,2475,2475,2500,2500,2500,2550,2550,2550,2600,2600,2600,2650,2650,2650,2700,2700,2700,2750,2750,2750,2800,2800,2800,2850,2850,2850,2900,2900,2900,2950,2950,2950,3000,3000,3000,3100,3100,3100,3200,3200,3200,2200,2200,2200,2225,2225,2225,2250,2250,2250,2275,2275,2275,2300,2300,2300,2325,2325,2325,2350,2350,2350,2375,2375,2375,2400,2400,2400,2425,2425,2425,2450,2450,2450,2475,2475,2475,2500,2500,2500,2550,2550,2550,2600,2600,2600,2650,2650,2650,2700,2700,2700,2750,2750,2750,2800,2800,2800,2850,2850,2850,2900,2900,2900,2950,2950,2950,3000,3000,3000,3100,3100,3100,3200,3200,3200
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-09-08 14:24:00,325.8,3.0,41.0,300.8,3.0,28.0,311.0,0.0,29.0,246.4,2.0,41.0,220.6,2.0,133.0,230.8,0.0,39.0,168.4,2.0,152.0,149.6,11.0,79.0,129.2,149.0,365.0,100.0,221.0,514.0,76.4,254.0,505.0,54.6,734.0,993.0,37.2,3351.0,3301.0,14.4,5486.0,5064.0,5.0,4221.0,9544.0,2.0,1864.0,6076.0,1.0,722.0,6023.0,0.6,634.0,2906.0,0.6,165.0,3842.0,0.4,23.0,1132.0,0.4,90.0,1533.0,0.4,25.0,546.0,0.4,13.0,1820.0,0.2,43.0,744.0,0.2,150.0,3149.0,0.2,59.0,247.0,0.2,72.0,168.0,0.2,74.0,311.0,0.4,78.0,204.0,0.4,5.0,557.0,0.4,103.0,607.0,0.4,82.0,735.0,0.4,132.0,992.0,0.8,312.0,1412.0,1.2,494.0,1027.0,3.2,1181.0,1694.0,6.8,2179.0,1945.0,14.0,4936.0,2976.0,41.2,3109.0,2773.0,81.6,1075.0,2251.0,125.0,107.0,943.0,174.8,14.0,1108.0,229.2,2.0,194.0,244.0,0.0,402.0,297.0,0.0,84.0,377.0,1.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,685.6,0.0,179.0
2023-09-08 14:29:00,325.8,3.0,41.0,300.8,3.0,28.0,311.0,0.0,29.0,246.4,2.0,41.0,223.2,3.0,132.0,230.8,0.0,39.0,168.4,2.0,152.0,149.6,11.0,79.0,129.2,149.0,365.0,99.8,222.0,514.0,76.4,254.0,505.0,55.0,736.0,993.0,37.4,3360.0,3302.0,14.2,5538.0,5056.0,5.0,4423.0,9459.0,2.0,1864.0,6076.0,1.0,722.0,6023.0,0.6,634.0,2906.0,0.6,165.0,3842.0,0.4,23.0,1132.0,0.4,90.0,1533.0,0.4,25.0,546.0,0.4,18.0,1825.0,0.4,49.0,743.0,0.4,174.0,3137.0,0.2,59.0,247.0,0.2,72.0,168.0,0.2,74.0,311.0,0.4,78.0,204.0,0.4,5.0,557.0,0.4,103.0,607.0,0.4,82.0,735.0,0.4,132.0,992.0,0.8,312.0,1412.0,1.2,494.0,1027.0,3.0,1196.0,1687.0,6.8,2197.0,1940.0,13.8,4979.0,2970.0,40.8,3124.0,2761.0,81.4,1076.0,2250.0,125.0,107.0,943.0,174.8,14.0,1108.0,229.2,2.0,194.0,244.0,0.0,402.0,297.0,0.0,84.0,377.0,1.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,685.6,0.0,179.0
2023-09-08 14:40:00,325.8,3.0,41.0,300.8,3.0,28.0,311.0,0.0,29.0,246.4,2.0,41.0,223.2,3.0,132.0,230.8,0.0,39.0,168.4,2.0,152.0,149.6,11.0,79.0,120.8,155.0,371.0,98.8,223.0,514.0,71.4,304.0,541.0,51.6,776.0,993.0,35.2,3654.0,3362.0,13.2,6007.0,4929.0,4.4,4585.0,9363.0,1.8,1887.0,6067.0,0.8,746.0,6020.0,0.4,716.0,2837.0,0.6,165.0,3842.0,0.4,23.0,1132.0,0.4,94.0,1529.0,0.4,25.0,546.0,0.4,18.0,1825.0,0.2,54.0,740.0,0.4,174.0,3137.0,0.2,59.0,247.0,0.2,72.0,168.0,0.2,74.0,311.0,0.4,78.0,204.0,0.4,5.0,557.0,0.4,103.0,607.0,0.4,82.0,735.0,0.4,132.0,992.0,0.8,312.0,1412.0,1.4,525.0,1027.0,3.4,1267.0,1663.0,7.6,2277.0,1914.0,15.0,5267.0,2861.0,43.8,3261.0,2725.0,84.8,1110.0,2233.0,133.4,111.0,939.0,174.8,14.0,1108.0,229.2,2.0,194.0,244.0,0.0,402.0,297.0,0.0,84.0,377.0,1.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,685.6,0.0,179.0
2023-09-08 14:50:00,325.8,3.0,41.0,300.8,3.0,28.0,311.0,0.0,29.0,246.4,2.0,41.0,223.2,3.0,132.0,230.8,0.0,39.0,168.4,2.0,152.0,149.6,11.0,79.0,119.0,158.0,372.0,95.6,225.0,516.0,74.2,315.0,543.0,52.6,819.0,1005.0,36.2,3726.0,3336.0,14.0,6179.0,4940.0,4.8,4767.0,9252.0,1.8,1996.0,6052.0,1.0,810.0,6060.0,0.6,717.0,2837.0,0.6,165.0,3842.0,0.4,23.0,1132.0,0.4,94.0,1529.0,0.4,25.0,546.0,0.4,18.0,1825.0,0.2,54.0,740.0,0.4,174.0,3137.0,0.2,59.0,247.0,0.2,72.0,168.0,0.2,74.0,311.0,0.4,78.0,204.0,0.4,5.0,557.0,0.4,103.0,607.0,0.4,82.0,735.0,0.4,132.0,992.0,0.8,312.0,1412.0,1.4,562.0,1037.0,3.2,1282.0,1658.0,7.8,2324.0,1930.0,15.4,5372.0,2862.0,43.2,3327.0,2716.0,84.2,1134.0,2228.0,131.0,117.0,934.0,174.8,14.0,1108.0,229.2,2.0,194.0,244.0,0.0,402.0,297.0,0.0,84.0,377.0,1.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,685.6,0.0,179.0
2023-09-08 14:55:00,325.8,3.0,41.0,300.8,3.0,28.0,311.0,0.0,29.0,246.4,2.0,41.0,223.2,3.0,132.0,230.8,0.0,39.0,168.4,2.0,152.0,149.6,11.0,79.0,121.4,159.0,371.0,98.8,230.0,511.0,75.0,324.0,547.0,54.2,829.0,1003.0,37.4,3816.0,3347.0,14.4,6250.0,4926.0,5.0,4838.0,9200.0,1.8,2041.0,6050.0,0.8,853.0,6020.0,0.6,717.0,2837.0,0.6,165.0,3842.0,0.4,23.0,1132.0,0.4,94.0,1529.0,0.4,25.0,546.0,0.4,18.0,1825.0,0.4,74.0,745.0,0.4,174.0,3137.0,0.2,59.0,247.0,0.2,72.0,168.0,0.2,74.0,311.0,0.4,78.0,204.0,0.4,5.0,557.0,0.4,103.0,607.0,0.4,82.0,735.0,0.4,132.0,992.0,0.8,312.0,1412.0,1.4,562.0,1037.0,3.4,1310.0,1659.0,7.4,2359.0,1947.0,15.0,5596.0,2986.0,41.8,3373.0,2721.0,83.0,1147.0,2224.0,131.0,118.0,933.0,174.8,14.0,1108.0,229.2,2.0,194.0,244.0,0.0,402.0,297.0,0.0,84.0,377.0,1.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,685.6,0.0,179.0
2023-09-08 14:59:00,325.8,3.0,41.0,300.8,3.0,28.0,311.0,0.0,29.0,246.4,2.0,41.0,223.2,3.0,132.0,230.8,0.0,39.0,168.4,2.0,152.0,149.6,11.0,79.0,121.4,159.0,371.0,98.8,230.0,511.0,76.0,326.0,546.0,55.6,845.0,1004.0,38.2,3850.0,3342.0,14.8,6287.0,4939.0,5.0,4912.0,9163.0,1.8,2057.0,6053.0,1.0,862.0,6021.0,0.6,724.0,2838.0,0.4,180.0,3828.0,0.6,24.0,1132.0,0.6,95.0,1530.0,0.4,26.0,545.0,0.6,19.0,1825.0,0.4,76.0,746.0,0.4,175.0,3137.0,0.2,59.0,247.0,0.2,72.0,168.0,0.2,74.0,311.0,0.4,79.0,204.0,0.4,5.0,557.0,0.4,103.0,607.0,0.4,83.0,736.0,0.4,133.0,993.0,0.8,314.0,1414.0,1.6,563.0,1037.0,3.6,1317.0,1660.0,7.6,2366.0,1948.0,15.2,5626.0,2991.0,42.4,3378.0,2723.0,83.0,1147.0,2224.0,131.0,118.0,933.0,174.8,14.0,1108.0,229.2,2.0,194.0,244.0,0.0,402.0,297.0,0.0,84.0,377.0,1.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,685.6,0.0,179.0
2023-09-11 10:06:00,331.8,2.0,42.0,307.2,2.0,29.0,281.8,4.0,29.0,254.6,3.0,40.0,226.0,2.0,132.0,204.2,2.0,38.0,182.2,2.0,153.0,154.4,4.0,80.0,128.8,27.0,376.0,101.2,92.0,488.0,77.6,188.0,550.0,56.0,457.0,1001.0,36.0,1291.0,3312.0,12.8,2539.0,5088.0,4.0,984.0,9297.0,1.8,557.0,6180.0,0.8,309.0,5794.0,0.6,71.0,2757.0,0.2,91.0,3775.0,0.4,74.0,1106.0,0.4,66.0,1499.0,0.2,12.0,527.0,0.2,64.0,1835.0,0.2,38.0,729.0,0.2,36.0,3118.0,0.2,0.0,224.0,0.2,0.0,142.0,0.2,0.0,289.0,0.4,0.0,175.0,0.4,0.0,557.0,0.2,13.0,592.0,0.2,104.0,682.0,0.4,80.0,924.0,0.4,52.0,1353.0,0.6,100.0,990.0,1.6,344.0,1704.0,4.2,642.0,1988.0,10.4,2410.0,3418.0,37.2,1585.0,2761.0,77.4,401.0,2236.0,125.8,34.0,923.0,173.0,7.0,1109.0,218.0,1.0,195.0,244.0,0.0,402.0,318.6,1.0,83.0,377.0,0.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,669.8,12.0,179.0
2023-09-11 10:11:00,331.8,2.0,42.0,307.2,2.0,29.0,281.8,4.0,29.0,254.6,3.0,40.0,226.0,3.0,131.0,204.2,2.0,38.0,182.2,2.0,153.0,154.4,4.0,80.0,128.8,27.0,376.0,99.4,102.0,488.0,77.6,188.0,550.0,55.8,469.0,997.0,36.4,1320.0,3314.0,13.0,2594.0,5113.0,4.0,1130.0,9286.0,1.8,557.0,6180.0,0.8,319.0,5784.0,0.6,71.0,2757.0,0.4,122.0,3744.0,0.4,74.0,1106.0,0.4,66.0,1499.0,0.2,12.0,527.0,0.2,64.0,1835.0,0.2,38.0,729.0,0.2,36.0,3118.0,0.2,0.0,224.0,0.2,0.0,142.0,0.2,0.0,289.0,0.4,0.0,175.0,0.4,0.0,557.0,0.2,20.0,592.0,0.2,104.0,682.0,0.4,80.0,924.0,0.6,102.0,1386.0,0.6,100.0,990.0,1.4,360.0,1707.0,4.2,662.0,1991.0,9.8,2488.0,3406.0,36.4,1635.0,2753.0,76.8,420.0,2229.0,125.8,34.0,923.0,176.4,10.0,1108.0,218.0,1.0,195.0,244.0,0.0,402.0,318.6,1.0,83.0,377.0,0.0,268.0,394.6,0.0,41.0,459.6,0.0,92.0,549.8,0.0,103.0,669.8,12.0,179.0
