time,dom1,dom2,dom3
2023-09-18,SH405,SH406,
2023-09-19,SH405,SH406,
2023-09-20,SH405,SH406,
2023-09-21,SH405,SH406,
2023-09-22,SH405,SH406,
2023-09-25,SH405,SH406,
2023-09-26,SH405,SH406,
2023-09-27,SH405,SH406,
2023-09-28,SH405,SH406,
2023-10-09,SH405,SH406,
2023-10-10,SH405,SH406,
2023-10-11,SH405,SH406,
2023-10-12,SH405,SH406,
2023-10-13,SH405,SH406,
2023-10-16,SH405,SH406,
2023-10-17,SH405,SH406,
2023-10-18,SH405,SH406,
2023-10-19,SH405,SH406,
2023-10-20,SH405,SH406,
2023-10-23,SH405,SH406,
2023-10-24,SH405,SH406,
2023-10-25,SH405,SH406,
2023-10-26,SH405,SH406,
2023-10-27,SH405,SH406,
2023-10-30,SH405,SH406,
2023-10-31,SH405,SH406,
2023-11-01,SH405,SH406,
2023-11-02,SH405,SH406,
2023-11-03,SH405,SH406,
2023-11-06,SH405,SH406,
2023-11-07,SH405,SH406,
2023-11-08,SH405,SH406,
2023-11-09,SH405,SH406,
2023-11-10,SH405,SH406,
2023-11-13,SH405,SH406,
2023-11-14,SH405,SH406,
2023-11-15,SH405,SH406,
2023-11-16,SH405,SH406,
2023-11-17,SH405,SH406,
2023-11-20,SH405,SH406,
2023-11-21,SH405,SH406,
2023-11-22,SH405,SH406,
2023-11-23,SH405,SH406,
2023-11-24,SH405,SH406,
2023-11-27,SH405,SH406,
2023-11-28,SH405,SH406,
2023-11-29,SH405,SH406,
2023-11-30,SH405,SH406,
2023-12-01,SH405,SH406,
2023-12-04,SH405,SH406,
2023-12-05,SH405,SH406,
2023-12-06,SH405,SH406,
2023-12-07,SH405,SH406,
2023-12-08,SH405,SH406,
2023-12-11,SH405,SH406,
2023-12-12,SH405,SH406,
2023-12-13,SH405,SH406,
2023-12-14,SH405,SH406,
2023-12-15,SH405,SH406,
2023-12-18,SH405,SH406,
2023-12-19,SH405,SH406,
2023-12-20,SH405,SH406,
2023-12-21,SH405,SH406,
2023-12-22,SH405,SH406,
2023-12-25,SH405,SH406,
2023-12-26,SH405,SH406,
2023-12-27,SH405,SH406,
2023-12-28,SH405,SH406,
2023-12-29,SH405,SH406,
2024-01-02,SH405,SH406,
2024-01-03,SH405,SH406,
2024-01-04,SH405,SH406,
2024-01-05,SH405,SH406,
