time,total_put_volume,total_call_volume,total_put_oi,total_call_oi,total_put_exercise,total_call_exercise,dom1,dom1_c_40d_put_iv,dom1_c_40d_call_iv,dom1_c_atm_put_iv,dom1_c_atm_call_iv,dom1_c_25d_put_iv,dom1_c_25d_call_iv,dom1_c_10d_put_iv,dom1_c_10d_call_iv,dom1_c_5d_put_iv,dom1_c_5d_call_iv,dom1_put_volume,dom1_call_volume,dom1_put_oi,dom1_call_oi,dom1_put_exercise,dom1_call_exercise,dom1_put_volume_max1,dom1_put_volume_max1_strike,dom1_put_volume_max2,dom1_put_volume_max2_strike,dom1_put_volume_max3,dom1_put_volume_max3_strike,dom1_put_volume_max4,dom1_put_volume_max4_strike,dom1_put_volume_max5,dom1_put_volume_max5_strike,dom1_call_volume_max1,dom1_call_volume_max1_strike,dom1_call_volume_max2,dom1_call_volume_max2_strike,dom1_call_volume_max3,dom1_call_volume_max3_strike,dom1_call_volume_max4,dom1_call_volume_max4_strike,dom1_call_volume_max5,dom1_call_volume_max5_strike,dom1_put_oi_max1,dom1_put_oi_max1_strike,dom1_put_oi_max2,dom1_put_oi_max2_strike,dom1_put_oi_max3,dom1_put_oi_max3_strike,dom1_put_oi_max4,dom1_put_oi_max4_strike,dom1_put_oi_max5,dom1_put_oi_max5_strike,dom1_call_oi_max1,dom1_call_oi_max1_strike,dom1_call_oi_max2,dom1_call_oi_max2_strike,dom1_call_oi_max3,dom1_call_oi_max3_strike,dom1_call_oi_max4,dom1_call_oi_max4_strike,dom1_call_oi_max5,dom1_call_oi_max5_strike,dom2,dom2_c_40d_put_iv,dom2_c_40d_call_iv,dom2_c_atm_put_iv,dom2_c_atm_call_iv,dom2_c_25d_put_iv,dom2_c_25d_call_iv,dom2_c_10d_put_iv,dom2_c_10d_call_iv,dom2_c_5d_put_iv,dom2_c_5d_call_iv,dom2_put_volume,dom2_call_volume,dom2_put_oi,dom2_call_oi,dom2_put_exercise,dom2_call_exercise,dom2_put_volume_max1,dom2_put_volume_max1_strike,dom2_put_volume_max2,dom2_put_volume_max2_strike,dom2_put_volume_max3,dom2_put_volume_max3_strike,dom2_put_volume_max4,dom2_put_volume_max4_strike,dom2_put_volume_max5,dom2_put_volume_max5_strike,dom2_call_volume_max1,dom2_call_volume_max1_strike,dom2_call_volume_max2,dom2_call_volume_max2_strike,dom2_call_volume_max3,dom2_call_volume_max3_strike,dom2_call_volume_max4,dom2_call_volume_max4_strike,dom2_call_volume_max5,dom2_call_volume_max5_strike,dom2_put_oi_max1,dom2_put_oi_max1_strike,dom2_put_oi_max2,dom2_put_oi_max2_strike,dom2_put_oi_max3,dom2_put_oi_max3_strike,dom2_put_oi_max4,dom2_put_oi_max4_strike,dom2_put_oi_max5,dom2_put_oi_max5_strike,dom2_call_oi_max1,dom2_call_oi_max1_strike,dom2_call_oi_max2,dom2_call_oi_max2_strike,dom2_call_oi_max3,dom2_call_oi_max3_strike,dom2_call_oi_max4,dom2_call_oi_max4_strike,dom2_call_oi_max5,dom2_call_oi_max5_strike,dom3,dom3_c_40d_put_iv,dom3_c_40d_call_iv,dom3_c_atm_put_iv,dom3_c_atm_call_iv,dom3_c_25d_put_iv,dom3_c_25d_call_iv,dom3_c_10d_put_iv,dom3_c_10d_call_iv,dom3_c_5d_put_iv,dom3_c_5d_call_iv,dom3_put_volume,dom3_call_volume,dom3_put_oi,dom3_call_oi,dom3_put_exercise,dom3_call_exercise,dom3_put_volume_max1,dom3_put_volume_max1_strike,dom3_put_volume_max2,dom3_put_volume_max2_strike,dom3_put_volume_max3,dom3_put_volume_max3_strike,dom3_put_volume_max4,dom3_put_volume_max4_strike,dom3_put_volume_max5,dom3_put_volume_max5_strike,dom3_call_volume_max1,dom3_call_volume_max1_strike,dom3_call_volume_max2,dom3_call_volume_max2_strike,dom3_call_volume_max3,dom3_call_volume_max3_strike,dom3_call_volume_max4,dom3_call_volume_max4_strike,dom3_call_volume_max5,dom3_call_volume_max5_strike,dom3_put_oi_max1,dom3_put_oi_max1_strike,dom3_put_oi_max2,dom3_put_oi_max2_strike,dom3_put_oi_max3,dom3_put_oi_max3_strike,dom3_put_oi_max4,dom3_put_oi_max4_strike,dom3_put_oi_max5,dom3_put_oi_max5_strike,dom3_call_oi_max1,dom3_call_oi_max1_strike,dom3_call_oi_max2,dom3_call_oi_max2_strike,dom3_call_oi_max3,dom3_call_oi_max3_strike,dom3_call_oi_max4,dom3_call_oi_max4_strike,dom3_call_oi_max5,dom3_call_oi_max5_strike
2023-09-18,289.0,743.0,201.0,402.0,0.0,0.0,SH405,0.2813890272373541,0.238518910891089,0.31583,0.238814,0.27584203539823,0.179409898785425,0.1089302507192766,0.0525432128397917,0.0505784217016029,0.0102543175245806,283.0,727.0,199.0,387.0,0.0,0.0,107.0,2960,67.0,2600,31.0,2720,21.0,2880,17.0,2840,529.0,3240,73.0,3000,37.0,2880,18.0,3040,17.0,3200,105.0,2960,39.0,2600,11.0,2920,10.0,2840,9.0,2720,246.0,3240,60.0,3000,28.0,2880,15.0,3040,11.0,3200,SH406,0.2793554335071708,,0.0050049999999999,-0.0050549999999999,0.2793896577574967,0.1681963254113345,0.1111259564164649,0.0678032723948811,0.0544713962873285,0.0343389213893967,6.0,16.0,2.0,15.0,0.0,0.0,5.0,3080,1.0,2560,0.0,2840,0.0,2600,0.0,2640,16.0,3200,0.0,2880,0.0,2600,0.0,2640,0.0,2680,1.0,2560,1.0,3080,0.0,2840,0.0,2600,0.0,2640,15.0,3200,0.0,2880,0.0,2600,0.0,2640,0.0,2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-19,1008.0,2982.0,555.0,1200.0,0.0,0.0,SH405,0.311,0.2475770290344362,0.31889,0.27284,0.3000160714285714,0.1424318568534773,0.1644113974287311,0.0372866846725185,0.0753616489659027,0.0022382939455323,898.0,2809.0,458.0,1042.0,0.0,0.0,486.0,2600,154.0,2560,58.0,2960,41.0,2640,28.0,2720,2247.0,3240,115.0,3160,100.0,3000,74.0,3040,73.0,3200,160.0,2600,117.0,2960,53.0,2560,18.0,2920,15.0,2640,757.0,3240,71.0,3000,49.0,3160,33.0,3200,28.0,3040,SH406,0.2921864864864865,0.2416144410006641,0.047474,0.227983,0.2901227450980392,0.1394072238211202,0.1595252934600335,0.0372000066415762,0.0780496087199553,0.0031309342483949,110.0,173.0,97.0,158.0,0.0,0.0,14.0,2520,14.0,2600,14.0,2800,12.0,2840,11.0,2960,62.0,3200,42.0,3160,27.0,3120,12.0,3080,9.0,3040,11.0,2520,11.0,2960,11.0,2800,9.0,2840,9.0,2560,65.0,3200,33.0,3160,21.0,3120,12.0,3080,9.0,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,641.0,2188.0,844.0,1602.0,0.0,0.0,SH405,0.3264661352657004,0.29479,0.33517175,0.2838259999999999,0.3327996256684492,0.29479,0.1937237129012719,0.29479,0.0919550878255602,0.29479,572.0,2038.0,693.0,1336.0,0.0,0.0,164.0,3040,135.0,2600,59.0,2880,52.0,2560,45.0,3000,1138.0,3240,549.0,3360,156.0,3120,59.0,3080,29.0,3160,200.0,2600,126.0,2960,98.0,3040,73.0,2560,53.0,2880,680.0,3240,206.0,3360,121.0,3120,71.0,3000,55.0,3160,SH406,0.3035975238095238,0.260385820229993,0.305319,-0.0051465,0.3138644693094629,0.1631692044121098,0.1910348145933014,0.0659525885942267,0.1032746471291866,0.0335470499882656,69.0,150.0,151.0,266.0,0.0,0.0,42.0,2520,9.0,2560,3.0,3160,3.0,3120,3.0,3080,53.0,3240,49.0,3320,36.0,3280,12.0,3200,0.0,2880,44.0,2520,15.0,2560,11.0,2800,11.0,2960,9.0,2840,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-21,723.0,1289.0,1039.0,1772.0,0.0,0.0,SH405,0.3027288636363636,0.285066,0.305938,0.275086,0.310531923076923,0.1978168798842257,0.1726483813747228,0.0587011056439942,0.0841672283813747,0.0123291808972503,723.0,1286.0,888.0,1503.0,0.0,0.0,161.0,2600,91.0,2960,87.0,3040,63.0,2560,63.0,2760,624.0,3240,261.0,3360,157.0,3440,77.0,3000,33.0,3120,234.0,2600,129.0,2960,84.0,2560,77.0,3040,57.0,2880,721.0,3240,224.0,3360,114.0,3120,93.0,3440,73.0,3000,SH406,-0.0126555084067253,0.27035,0.005101,-0.005181,-0.0075018855084067,0.1943862218370883,-0.002348262610088,0.0767952339688041,-0.0006303883106485,0.0375982380127094,0.0,3.0,151.0,269.0,0.0,0.0,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,3.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,44.0,2520,15.0,2560,11.0,2800,11.0,2960,9.0,2840,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-22,353.0,1102.0,1178.0,1940.0,0.0,0.0,SH405,0.3043564601769911,0.27047864,0.30796,0.2598574999999999,0.3046566367713004,0.1891317329462989,0.1956670224378411,0.0596048824383163,0.1134262704669496,0.0164292656023222,338.0,1078.0,1020.0,1659.0,0.0,0.0,108.0,2600,81.0,2560,56.0,3000,19.0,2800,19.0,2920,537.0,3240,279.0,3440,113.0,3360,40.0,3000,26.0,3400,279.0,2600,132.0,2560,126.0,2960,77.0,3040,61.0,2920,741.0,3240,226.0,3360,162.0,3440,117.0,3120,108.0,3000,SH406,0.2041588712011577,0.2586039436619718,0.00506825,-0.005192,0.2630535890014472,0.1874616666666667,0.1710595590828924,0.0755866666666666,0.0841312815990594,0.038295,15.0,24.0,158.0,281.0,0.0,0.0,15.0,2520,0.0,3400,0.0,2960,0.0,2600,0.0,2640,9.0,3400,3.0,3320,3.0,3280,3.0,3200,3.0,3160,51.0,2520,15.0,2560,11.0,2800,11.0,2960,9.0,2840,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,1493.0,1721.0,1583.0,2030.0,0.0,0.0,SH405,0.301372,0.2623436708860759,0.30120625,0.25087125,0.2998161538461539,0.2484816230366492,0.2970413014827018,0.079981249065071,0.2944716968698517,0.0238144577412116,1493.0,1721.0,1425.0,1749.0,0.0,0.0,371.0,2600,123.0,2640,118.0,2760,115.0,2960,109.0,2680,734.0,3240,380.0,3440,138.0,3360,65.0,3400,57.0,3080,380.0,2600,175.0,2960,133.0,2560,114.0,2640,83.0,3040,629.0,3240,258.0,3440,215.0,3360,124.0,3120,120.0,3000,SH406,-0.0186382888021615,0.0186977181745396,0.005064,-0.00518,-0.0123128610027018,0.0123596477181745,-0.0059874332032422,0.0060215772618094,-0.003878957270089,0.0039088871096877,0.0,0.0,158.0,281.0,0.0,0.0,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,51.0,2520,15.0,2560,11.0,2800,11.0,2960,9.0,2840,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,1120.0,1783.0,1751.0,2227.0,0.0,0.0,SH405,0.2968,0.2541746959459459,0.2967525,0.2500305,0.2812456914893617,0.2638244055944056,0.3007755693733236,0.0914481343283582,0.3020862253108998,0.0294871061359867,1120.0,1783.0,1593.0,1946.0,0.0,0.0,360.0,2600,119.0,2960,79.0,2560,78.0,3000,77.0,2880,494.0,3240,188.0,3360,149.0,3280,148.0,3320,134.0,3440,473.0,2600,150.0,2960,144.0,2560,119.0,2640,85.0,3040,562.0,3240,368.0,3440,242.0,3360,137.0,3120,88.0,3000,SH406,-0.02030848994296,0.020413618895116,0.0050875,-0.00519875,-0.0133406124287,0.0134195236188951,-0.0063727349144401,0.0064254283426741,-0.0040501090763534,0.0040940632506004,0.0,0.0,158.0,281.0,0.0,0.0,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,51.0,2520,15.0,2560,11.0,2800,11.0,2960,9.0,2840,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-27,867.0,890.0,1831.0,2244.0,0.0,0.0,SH405,0.2933101612903225,0.2584125,0.293764,0.2447,0.2904492727272727,0.2677170629370629,0.1142353233404711,0.0930392482150357,0.0478712976445396,0.028455039899202,867.0,890.0,1673.0,1963.0,0.0,0.0,355.0,2600,224.0,2560,83.0,2800,40.0,2840,37.0,2720,546.0,3240,105.0,3440,61.0,3200,52.0,3360,22.0,2880,527.0,2600,151.0,2960,149.0,2560,119.0,2640,91.0,2680,519.0,3240,362.0,3440,249.0,3360,140.0,3120,93.0,3200,SH406,-0.0194773178542834,0.0195903002101471,0.0051639999999999,-0.0052135,-0.0117641473178542,0.0118403752626838,-0.0040509767814251,0.0040904503152206,-0.0014799199359487,0.0015071419993995,0.0,0.0,158.0,281.0,0.0,0.0,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,0.0,3400,0.0,2960,0.0,2600,0.0,2640,0.0,2680,51.0,2520,15.0,2560,11.0,2800,11.0,2960,9.0,2840,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,812.0,719.0,1912.0,2382.0,0.0,0.0,SH405,0.2901082954545454,0.2794651836734693,0.29101,0.28042,0.2709650151057401,0.2737563386727689,0.2830036336485814,0.1292339416058394,0.2823080139372823,0.0519346715328467,800.0,713.0,1745.0,2095.0,0.0,0.0,350.0,2600,82.0,2800,79.0,2960,58.0,2440,45.0,2840,330.0,3240,102.0,3440,62.0,2920,37.0,3320,28.0,3120,619.0,2600,145.0,2560,140.0,2960,122.0,2640,91.0,2680,600.0,3240,362.0,3440,246.0,3360,155.0,3120,101.0,3200,SH406,0.2051499291309213,0.2181823150357995,0.0051484999999999,-0.005198,0.2468974114136516,0.2822753937947494,0.1337945869676757,0.1226429856584093,0.0668063878912262,0.0604461147327249,12.0,6.0,167.0,287.0,0.0,0.0,12.0,2400,0.0,2480,0.0,3000,0.0,2600,0.0,2640,3.0,3400,3.0,3360,0.0,2480,0.0,3000,0.0,2600,51.0,2520,15.0,2560,11.0,2960,11.0,2800,9.0,2400,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-09,929.0,1326.0,2248.0,2622.0,0.0,0.0,SH405,0.2994606037735848,0.2506382653061224,0.29808625,0.23900775,0.2912625409836065,0.2716082511210762,0.29049,0.2805644407008086,0.2904899999999999,0.2778146933962264,925.0,1326.0,2080.0,2335.0,0.0,0.0,435.0,2440,109.0,2600,86.0,2560,59.0,2960,42.0,2760,475.0,3440,310.0,3240,105.0,3320,99.0,3280,83.0,3000,587.0,2600,356.0,2440,183.0,2560,123.0,2640,105.0,2960,699.0,3240,286.0,3440,260.0,3360,162.0,3120,154.0,3320,SH406,0.2938499999999999,,,,0.2938499999999999,,0.29385,,0.29385,,4.0,0.0,168.0,287.0,0.0,0.0,4.0,2360,0.0,3040,0.0,2600,0.0,2640,0.0,2680,0.0,2360,0.0,3040,0.0,2600,0.0,2640,0.0,2680,51.0,2520,15.0,2560,11.0,2960,11.0,2800,9.0,2400,68.0,3200,38.0,3240,37.0,3320,33.0,3160,30.0,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
