time,total_put_volume,total_call_volume,total_put_oi,total_call_oi,total_put_exercise,total_call_exercise,dom1,dom1_c_40d_put_iv,dom1_c_40d_call_iv,dom1_c_atm_put_iv,dom1_c_atm_call_iv,dom1_c_25d_put_iv,dom1_c_25d_call_iv,dom1_c_10d_put_iv,dom1_c_10d_call_iv,dom1_c_5d_put_iv,dom1_c_5d_call_iv,dom1_put_volume,dom1_call_volume,dom1_put_oi,dom1_call_oi,dom1_put_exercise,dom1_call_exercise,dom1_put_volume_max1,dom1_put_volume_max1_strike,dom1_put_volume_max2,dom1_put_volume_max2_strike,dom1_put_volume_max3,dom1_put_volume_max3_strike,dom1_put_volume_max4,dom1_put_volume_max4_strike,dom1_put_volume_max5,dom1_put_volume_max5_strike,dom1_call_volume_max1,dom1_call_volume_max1_strike,dom1_call_volume_max2,dom1_call_volume_max2_strike,dom1_call_volume_max3,dom1_call_volume_max3_strike,dom1_call_volume_max4,dom1_call_volume_max4_strike,dom1_call_volume_max5,dom1_call_volume_max5_strike,dom1_put_oi_max1,dom1_put_oi_max1_strike,dom1_put_oi_max2,dom1_put_oi_max2_strike,dom1_put_oi_max3,dom1_put_oi_max3_strike,dom1_put_oi_max4,dom1_put_oi_max4_strike,dom1_put_oi_max5,dom1_put_oi_max5_strike,dom1_call_oi_max1,dom1_call_oi_max1_strike,dom1_call_oi_max2,dom1_call_oi_max2_strike,dom1_call_oi_max3,dom1_call_oi_max3_strike,dom1_call_oi_max4,dom1_call_oi_max4_strike,dom1_call_oi_max5,dom1_call_oi_max5_strike,dom2,dom2_c_40d_put_iv,dom2_c_40d_call_iv,dom2_c_atm_put_iv,dom2_c_atm_call_iv,dom2_c_25d_put_iv,dom2_c_25d_call_iv,dom2_c_10d_put_iv,dom2_c_10d_call_iv,dom2_c_5d_put_iv,dom2_c_5d_call_iv,dom2_put_volume,dom2_call_volume,dom2_put_oi,dom2_call_oi,dom2_put_exercise,dom2_call_exercise,dom2_put_volume_max1,dom2_put_volume_max1_strike,dom2_put_volume_max2,dom2_put_volume_max2_strike,dom2_put_volume_max3,dom2_put_volume_max3_strike,dom2_put_volume_max4,dom2_put_volume_max4_strike,dom2_put_volume_max5,dom2_put_volume_max5_strike,dom2_call_volume_max1,dom2_call_volume_max1_strike,dom2_call_volume_max2,dom2_call_volume_max2_strike,dom2_call_volume_max3,dom2_call_volume_max3_strike,dom2_call_volume_max4,dom2_call_volume_max4_strike,dom2_call_volume_max5,dom2_call_volume_max5_strike,dom2_put_oi_max1,dom2_put_oi_max1_strike,dom2_put_oi_max2,dom2_put_oi_max2_strike,dom2_put_oi_max3,dom2_put_oi_max3_strike,dom2_put_oi_max4,dom2_put_oi_max4_strike,dom2_put_oi_max5,dom2_put_oi_max5_strike,dom2_call_oi_max1,dom2_call_oi_max1_strike,dom2_call_oi_max2,dom2_call_oi_max2_strike,dom2_call_oi_max3,dom2_call_oi_max3_strike,dom2_call_oi_max4,dom2_call_oi_max4_strike,dom2_call_oi_max5,dom2_call_oi_max5_strike,dom3,dom3_c_40d_put_iv,dom3_c_40d_call_iv,dom3_c_atm_put_iv,dom3_c_atm_call_iv,dom3_c_25d_put_iv,dom3_c_25d_call_iv,dom3_c_10d_put_iv,dom3_c_10d_call_iv,dom3_c_5d_put_iv,dom3_c_5d_call_iv,dom3_put_volume,dom3_call_volume,dom3_put_oi,dom3_call_oi,dom3_put_exercise,dom3_call_exercise,dom3_put_volume_max1,dom3_put_volume_max1_strike,dom3_put_volume_max2,dom3_put_volume_max2_strike,dom3_put_volume_max3,dom3_put_volume_max3_strike,dom3_put_volume_max4,dom3_put_volume_max4_strike,dom3_put_volume_max5,dom3_put_volume_max5_strike,dom3_call_volume_max1,dom3_call_volume_max1_strike,dom3_call_volume_max2,dom3_call_volume_max2_strike,dom3_call_volume_max3,dom3_call_volume_max3_strike,dom3_call_volume_max4,dom3_call_volume_max4_strike,dom3_call_volume_max5,dom3_call_volume_max5_strike,dom3_put_oi_max1,dom3_put_oi_max1_strike,dom3_put_oi_max2,dom3_put_oi_max2_strike,dom3_put_oi_max3,dom3_put_oi_max3_strike,dom3_put_oi_max4,dom3_put_oi_max4_strike,dom3_put_oi_max5,dom3_put_oi_max5_strike,dom3_call_oi_max1,dom3_call_oi_max1_strike,dom3_call_oi_max2,dom3_call_oi_max2_strike,dom3_call_oi_max3,dom3_call_oi_max3_strike,dom3_call_oi_max4,dom3_call_oi_max4_strike,dom3_call_oi_max5,dom3_call_oi_max5_strike
2020-10-09,14272.0,23118.0,63528.0,128219.0,10.0,0.0,TA101,0.2228396884735202,0.2303960211267605,0.2241168,0.2264132,0.2283318775510204,0.2490845652173913,0.2553495575221239,0.2989322368421052,,0.3518098113207547,7721.0,17289.0,40607.0,96611.0,0.0,0.0,1501.0,3100,1285.0,3000,938.0,3350,831.0,3450,715.0,3300,4416.0,5000,1827.0,3700,1691.0,4000,1494.0,3500,1335.0,3450,4308.0,3500,3290.0,3400,2896.0,3100,2702.0,3000,2526.0,3450,21037.0,5000,12429.0,4000,7498.0,3750,5840.0,3700,5428.0,3800,TA011,0.225173001345895,0.207742049382716,0.2232896,0.21163,0.2215648913592723,0.2005939012345679,0.1965295199595755,0.2245870247933884,0.27182671875,0.2448731297709923,5427.0,4698.0,19466.0,26928.0,10.0,0.0,2247.0,3300,881.0,3400,445.0,3350,424.0,3250,355.0,3200,1863.0,3450,748.0,3400,631.0,3500,321.0,3600,179.0,3350,3885.0,3300,1637.0,3600,1160.0,3100,990.0,3350,933.0,3750,2373.0,3700,1960.0,3800,1940.0,5600,1647.0,3750,1617.0,3900,TA012,0.2504251741293533,0.2334971364148816,0.2461452,0.2344928,0.2615681129032258,0.228564484029484,0.2825595575221239,0.2402707715133531,,0.2441787096774193,1124.0,1131.0,3455.0,4680.0,0.0,0.0,307.0,3150.0,177.0,3300.0,139.0,3200.0,117.0,3350.0,96.0,3400.0,186.0,3750.0,126.0,3700.0,119.0,3550.0,116.0,3800.0,106.0,3650.0,566.0,3350.0,351.0,3250.0,338.0,3150.0,322.0,3300.0,253.0,3450.0,473.0,3650.0,460.0,3750.0,428.0,3400.0,394.0,3700.0,387.0,3800.0
2020-10-12,34701.0,60108.0,70096.0,148974.0,10.0,0.0,TA101,0.2103163950276243,0.2295802372881356,0.217254,0.207538,0.1994518181818181,0.2630661513157895,0.1945098876404494,0.3290993333333333,0.209544465408805,0.3704252830188679,22386.0,44171.0,45827.0,114300.0,0.0,0.0,3224.0,3000,3061.0,3400,2155.0,3350,2028.0,3100,1954.0,3300,8794.0,5000,6622.0,3500,5251.0,4000,3813.0,3750,3211.0,3700,5137.0,3400,4846.0,3500,3339.0,3350,2929.0,3450,2749.0,3100,27396.0,5000,15126.0,4000,8295.0,3750,6381.0,3700,6314.0,3800,TA011,0.2560042142088267,0.2913532881136951,0.243808,0.2803319999999999,0.2673168168544013,0.310134379256155,0.2834233333333333,0.3464143749999999,0.3067566666666667,0.3688192771084337,7062.0,10519.0,19171.0,28191.0,10.0,0.0,1746.0,3300,1418.0,3400,1152.0,3350,800.0,3450,410.0,3500,3710.0,3450,3422.0,3400,1514.0,3500,543.0,3350,461.0,3600,3329.0,3300,1658.0,3600,1159.0,3100,1141.0,3400,971.0,3350,2367.0,3700,1965.0,3450,1952.0,5600,1940.0,3800,1644.0,3750,TA012,0.2228154027504911,0.2230715434083601,0.2278887999999999,0.2259787999999999,0.2381984952120382,0.2249994019138756,0.2565348942598187,0.2405145180722891,,0.2464931092436974,5253.0,5418.0,5098.0,6483.0,0.0,0.0,954.0,3150.0,847.0,3200.0,760.0,3300.0,604.0,3250.0,499.0,3100.0,1009.0,3700.0,851.0,3750.0,778.0,3800.0,640.0,3650.0,342.0,3600.0,701.0,3350.0,601.0,3250.0,599.0,3300.0,510.0,3150.0,459.0,3200.0,793.0,3750.0,729.0,3700.0,722.0,3650.0,540.0,3800.0,498.0,3950.0
2020-10-13,35276.0,60848.0,58543.0,138461.0,7241.0,1255.0,TA101,0.218625914893617,0.2468701795332136,0.2282199999999999,0.234792,0.2071222429906541,0.2825761042944785,0.2048188235294117,0.3406013934426229,0.2071026363636363,0.4077496551724138,22160.0,43218.0,51875.0,129749.0,0.0,0.0,2481.0,3300,2370.0,3400,2126.0,3350,2116.0,3200,1957.0,3000,7906.0,4000,6306.0,3500,4338.0,5000,3131.0,3800,2893.0,3600,5864.0,3500,5760.0,3400,3932.0,3350,3644.0,3300,3200.0,3000,30231.0,5000,18478.0,4000,9320.0,3500,8408.0,3750,6896.0,3800,TA012,0.2331754858299595,0.240204343786295,0.2352236,0.2411556,0.2369784337349397,0.2457355140186916,0.2478677282850779,0.2560328431372549,0.265881421319797,0.2738987431693989,7992.0,10516.0,6668.0,8712.0,0.0,0.0,1836.0,3250,1265.0,3100,1176.0,3150,659.0,3200,650.0,3300,1317.0,3650,1294.0,3750,1233.0,3700,1025.0,3800,1005.0,3450,888.0,3250,816.0,3350,708.0,3150,648.0,3300,572.0,3200,1169.0,3650,931.0,3700,910.0,3750,839.0,3450,650.0,3600,TA011,0.0782304704359085,0.2908822618315919,,,0.0977880880448856,0.2251219668100799,0.1173457056538627,0.1593616717885679,0.2291160975609756,0.2196727329192546,5124.0,7114.0,0.0,0.0,7241.0,1255.0,1786.0,3400.0,802.0,3450.0,676.0,3350.0,459.0,3600.0,373.0,3500.0,2879.0,3450.0,2365.0,3400.0,857.0,3500.0,511.0,3350.0,169.0,3550.0,0.0,5600.0,0.0,5500.0,0.0,4000.0,0.0,3950.0,0.0,3900.0,0.0,5600.0,0.0,5500.0,0.0,4000.0,0.0,3950.0,0.0,3900.0
2020-10-14,45023.0,82391.0,67557.0,166010.0,0.0,0.0,TA101,0.242794415781487,0.2573686813186813,0.2475816,0.2475036,0.2225051515151515,0.2879558103975535,0.2312895075757576,0.3600792307692307,0.2404190510948905,0.4043644444444444,34631.0,66445.0,57511.0,150873.0,0.0,0.0,5237.0,3200,3827.0,3000,3673.0,3400,3163.0,3350,2759.0,3300,12421.0,4000,7813.0,3500,7268.0,5000,5228.0,3700,3890.0,3750,7692.0,3400,6766.0,3500,5418.0,3350,3656.0,3000,3585.0,3300,33149.0,5000,24180.0,4000,11657.0,3500,8932.0,3750,7800.0,3800,TA012,0.2458457971014492,0.2711901240694789,0.2508608,0.256454,0.2350269777777777,0.2832914076782449,0.2453978199052132,0.2919744628099173,0.2558022033898305,0.2976516788321168,6494.0,12050.0,7581.0,12284.0,0.0,0.0,1049.0,3350,975.0,3300,736.0,3200,608.0,3250,583.0,3450,1818.0,3700,1584.0,3600,1500.0,3900,1236.0,3750,986.0,3800,1181.0,3350,914.0,3250,728.0,3200,699.0,3300,674.0,3400,1912.0,3700,1314.0,3750,1249.0,3650,1181.0,3600,871.0,3800,TA102,0.2373488050314465,0.2247133178654292,0.2356324,0.211444,0.2226954184100418,0.2559328682170543,0.221879003436426,,,,3898.0,3896.0,2465.0,2853.0,0.0,0.0,522.0,3150.0,514.0,3250.0,443.0,3200.0,429.0,3300.0,338.0,3350.0,628.0,4000.0,481.0,3900.0,423.0,3850.0,376.0,3950.0,346.0,3800.0,332.0,3150.0,286.0,3200.0,270.0,3250.0,212.0,3300.0,207.0,3350.0,368.0,4000.0,263.0,3950.0,256.0,3900.0,255.0,3700.0,255.0,3850.0
2020-10-15,36749.0,95678.0,80132.0,192413.0,0.0,10.0,TA101,0.2414523383084577,0.2581489043824701,0.2471479999999999,0.24581,0.2255767532467532,0.2850386153846154,0.2269125278810408,0.3386617821782178,0.2451434513274336,0.3900204255319148,24402.0,70009.0,62536.0,163321.0,0.0,9.0,3101.0,3400,2425.0,3300,2375.0,3250,2369.0,3200,1633.0,3350,14113.0,4000,8846.0,3700,6208.0,5000,5877.0,3600,5258.0,3800,8495.0,3400,6799.0,3500,5528.0,3350,4035.0,3300,3865.0,3000,35897.0,5000,27062.0,4000,10036.0,3500,9679.0,3800,9501.0,3600,TA012,0.2464265690376569,0.2560153223915592,0.25126,0.2390428,0.2376417487046632,0.270153227665706,0.2541837455830388,0.2943486384976526,0.2687195633187773,0.310785671641791,10374.0,21134.0,10058.0,15739.0,0.0,1.0,1899.0,3300,1518.0,3250,1214.0,3200,1152.0,3150,1021.0,3350,3539.0,3700,2374.0,3800,2229.0,3600,2219.0,3900,2105.0,3650,1868.0,3250,1490.0,3300,1406.0,3350,798.0,3450,713.0,3200,2505.0,3700,1674.0,3600,1667.0,3800,1523.0,3900,1522.0,3750,TA105,0.2566370764119601,0.247923650190114,0.26197,0.22865,0.236287120743034,,,,,,1973.0,4535.0,7538.0,13353.0,0.0,0.0,364.0,3250.0,222.0,3550.0,217.0,3600.0,163.0,3500.0,159.0,3350.0,1082.0,4000.0,487.0,3800.0,313.0,3650.0,281.0,4100.0,274.0,4050.0,800.0,3600.0,742.0,3250.0,669.0,3550.0,634.0,3750.0,516.0,3350.0,2186.0,4000.0,1702.0,4300.0,1078.0,4050.0,957.0,3700.0,931.0,3650.0
2020-10-16,32631.0,89825.0,84497.0,199258.0,0.0,2.0,TA101,0.2386736619718309,0.2447482570422535,0.2485036,0.2316016,0.2208604716981132,0.2713972413793103,0.214014214876033,0.3232628346456693,0.2320797945205479,0.3637597222222222,20927.0,69821.0,64932.0,169126.0,0.0,2.0,2440.0,3400,2064.0,3300,2038.0,3100,1943.0,3450,1405.0,3350,22799.0,4000,5671.0,3700,5511.0,3800,5462.0,5000,5317.0,3750,9018.0,3400,6927.0,3500,6002.0,3350,4818.0,3300,3921.0,3200,39359.0,5000,29660.0,4000,10488.0,3800,9996.0,3600,8935.0,3500,TA012,0.2422443217054263,0.2437884566596194,0.2446847999999999,0.2327004,0.2325887543655413,0.2577672054794521,0.2439037019230769,0.2837270588235294,0.2771630769230769,0.2998597142857143,8950.0,15975.0,11937.0,16076.0,0.0,0.0,1630.0,3300,1513.0,3250,966.0,3200,844.0,3350,794.0,3450,2766.0,3700,2177.0,3800,1872.0,3750,1582.0,3600,1460.0,3900,2361.0,3250,2185.0,3300,1514.0,3350,1027.0,3450,875.0,3400,2336.0,3700,1929.0,3800,1714.0,3900,1408.0,3650,1397.0,3750,TA105,0.2534072413793103,0.2383133333333333,0.2554724,0.22098,0.2284253153153153,,,,,,2754.0,4029.0,7628.0,14056.0,0.0,0.0,826.0,3250.0,391.0,3300.0,232.0,3350.0,224.0,3700.0,212.0,3750.0,776.0,4000.0,527.0,4150.0,494.0,3700.0,307.0,3650.0,288.0,3900.0,754.0,3600.0,731.0,3550.0,708.0,3750.0,695.0,3250.0,542.0,3350.0,2533.0,4000.0,1636.0,4300.0,1079.0,4050.0,1013.0,3700.0,1004.0,3650.0
2020-10-19,36956.0,95968.0,88853.0,216395.0,0.0,0.0,TA101,0.249965856,0.2625590215264188,0.26815,0.25023,0.2331223411371237,0.2918104532577903,0.2383239382239382,0.3454060194174757,0.2526956756756757,0.3891660869565217,25869.0,75436.0,68095.0,183977.0,0.0,0.0,3619.0,3400,3171.0,3450,2818.0,3350,2593.0,3550,2327.0,3200,19784.0,4000,10666.0,5000,8155.0,3800,4801.0,3700,4600.0,3600,9369.0,3400,6762.0,3500,6715.0,3350,4913.0,3300,4388.0,3450,45911.0,5000,33585.0,4000,12125.0,3800,10010.0,3600,8816.0,3750,TA012,0.2404187647593097,0.2471495070422534,0.246836,0.238418,0.2388280947012401,0.2631048023426062,0.2375320161290322,0.293140562248996,0.2955085660377359,0.3156968571428571,8402.0,14029.0,12294.0,16778.0,0.0,0.0,1310.0,3400,922.0,3350,864.0,3300,762.0,3450,753.0,3250,3064.0,3700,1590.0,3900,1423.0,3800,1304.0,3650,1171.0,3600,2388.0,3250,2274.0,3300,1543.0,3350,1106.0,3450,1015.0,3400,2254.0,3900,2121.0,3800,2082.0,3700,1567.0,3650,1245.0,3600,TA105,0.2577456957928802,0.2537338589211618,0.266088,0.2278664,0.2336579629629629,,,,,,2685.0,6503.0,8464.0,15640.0,0.0,0.0,670.0,3250.0,435.0,3550.0,268.0,3600.0,201.0,3400.0,166.0,3700.0,1621.0,4000.0,915.0,3750.0,724.0,3700.0,706.0,3900.0,333.0,3850.0,1017.0,3550.0,864.0,3600.0,789.0,3250.0,700.0,3750.0,560.0,3350.0,3026.0,4000.0,1684.0,4300.0,1145.0,3900.0,1075.0,4050.0,1063.0,3700.0
2020-10-20,28823.0,75121.0,93695.0,234721.0,0.0,0.0,TA101,0.248896309148265,0.258817486631016,0.2535252,0.2407624,0.2304120785597381,0.2843017867435158,0.2238035269709543,0.3396783333333333,0.2408633333333333,0.3653406756756757,17652.0,61115.0,71327.0,199737.0,0.0,0.0,2825.0,3400,2170.0,3200,2047.0,3350,1634.0,3450,1363.0,3300,19318.0,4000,5536.0,5000,4831.0,3800,4550.0,3700,3582.0,3600,10237.0,3400,7693.0,3350,6772.0,3500,5416.0,3300,4627.0,3450,49102.0,5000,39829.0,4000,13059.0,3800,10009.0,3600,9832.0,3700,TA012,0.2205048841059602,0.2363181151346332,0.2254395999999999,0.2192476,0.2126294160583941,0.2604830649350649,0.2034320256776034,0.2903894670846395,0.2525508333333333,0.3074852564102564,8601.0,10576.0,13516.0,17921.0,0.0,0.0,1243.0,3450,1017.0,3300,982.0,3250,965.0,3500,785.0,3350,1538.0,3900,1167.0,3700,1041.0,3850,997.0,4050,984.0,3600,2543.0,3250,2286.0,3300,1576.0,3350,1308.0,3450,1082.0,3400,2417.0,3700,2407.0,3900,2347.0,3800,1550.0,3650,1356.0,3750,TA105,0.2535222044728434,0.2497782608695652,0.2604735999999999,0.228218,0.2380808408408408,,,,,,2570.0,3430.0,8852.0,17063.0,0.0,0.0,601.0,3250.0,475.0,3500.0,333.0,3300.0,295.0,3400.0,199.0,3350.0,979.0,4200.0,511.0,4100.0,327.0,3700.0,294.0,4000.0,258.0,4300.0,1019.0,3550.0,858.0,3600.0,728.0,3750.0,719.0,3250.0,582.0,3350.0,3111.0,4000.0,1712.0,4300.0,1295.0,3900.0,1268.0,3700.0,1197.0,4100.0
2020-10-21,26542.0,98493.0,96342.0,252125.0,0.0,1.0,TA101,0.2476175646879756,0.2626931249999999,0.255122,0.24642,0.2282952135493372,0.293491045751634,0.2181137267080745,0.3512342056074766,0.237348547008547,0.378641875,18771.0,77219.0,73163.0,214125.0,0.0,1.0,2388.0,3450,2215.0,3500,2067.0,3400,1994.0,3300,1950.0,3350,21479.0,4000,9589.0,5000,7386.0,3800,5561.0,3700,3835.0,3600,10235.0,3400,7986.0,3350,7079.0,3500,5517.0,3300,5019.0,3450,53882.0,5000,42924.0,4000,14185.0,3800,10837.0,3700,9584.0,3600,TA012,0.225118742810189,0.2457521106557377,0.2323028,0.2373579999999999,0.2183259299191374,0.2668825779967159,0.216108854961832,0.2988583377308706,0.234264652014652,0.2959369421487602,6009.0,17528.0,14030.0,19824.0,0.0,0.0,1033.0,3300,782.0,3400,746.0,3500,663.0,3450,648.0,3350,2397.0,3700,2352.0,4000,1761.0,3600,1611.0,3900,1601.0,3750,2652.0,3300,2533.0,3250,1548.0,3350,1172.0,3450,1121.0,3400,2694.0,3900,2442.0,3800,2367.0,3700,1554.0,4050,1530.0,3650,TA105,0.2586840983606557,0.2582081818181818,0.2634564,0.2344992,0.2420767558528427,,,,,,1762.0,3746.0,9149.0,18176.0,0.0,0.0,570.0,3250.0,192.0,3300.0,172.0,3500.0,113.0,3400.0,98.0,3600.0,613.0,4300.0,529.0,4000.0,403.0,4200.0,386.0,4100.0,356.0,3700.0,1024.0,3550.0,850.0,3600.0,805.0,3250.0,726.0,3750.0,672.0,3500.0,3362.0,4000.0,2067.0,4300.0,1371.0,4100.0,1355.0,3900.0,1252.0,3700.0
2020-10-22,49164.0,95721.0,107090.0,270479.0,0.0,7.0,TA101,0.2199412530712531,0.2341856058158319,0.2329004,0.2224548,0.1980610543657331,0.2533721481481482,0.202555989010989,0.3113914285714285,0.2281754455445544,0.3567552631578947,37251.0,76608.0,83425.0,233504.0,0.0,5.0,8317.0,3450,7897.0,3500,4062.0,3400,2811.0,3300,2751.0,3350,16277.0,4000,8165.0,3600,7919.0,3800,7728.0,5000,6710.0,3700,11094.0,3400,9787.0,3450,9462.0,3500,8118.0,3350,5570.0,3300,57972.0,5000,46466.0,4000,16001.0,3800,14437.0,3600,11061.0,3700,TA012,0.2081712566641279,0.2153072260273972,0.2076036,0.2120888,0.207443352793995,0.228437270718232,0.2264887628865979,0.2457369047619047,0.2745540540540541,0.2812455813953488,10028.0,14345.0,14504.0,18803.0,0.0,2.0,1552.0,3350,1552.0,3400,1160.0,3450,1139.0,3300,996.0,3500,2583.0,3700,2336.0,3600,1667.0,3650,1431.0,3750,1320.0,3800,2687.0,3300,2568.0,3250,1443.0,3350,1334.0,3400,1231.0,3450,2684.0,3900,2427.0,3800,2202.0,3700,1527.0,4050,1400.0,4000,TA105,0.2489659627329192,0.2410036,0.2537368,0.2175452,0.2346469182389937,0.2702533879781421,,,,,1885.0,4768.0,9161.0,18172.0,0.0,0.0,460.0,3250.0,228.0,3550.0,162.0,3350.0,133.0,3300.0,132.0,3600.0,1091.0,4000.0,633.0,3700.0,558.0,4300.0,443.0,4250.0,396.0,3900.0,1003.0,3550.0,854.0,3600.0,852.0,3250.0,726.0,3750.0,672.0,3500.0,3394.0,4000.0,2087.0,4300.0,1623.0,3900.0,1180.0,4100.0,1100.0,3800.0
