time,total_put_volume,total_call_volume,total_put_oi,total_call_oi,total_put_exercise,total_call_exercise,dom1,dom1_c_40d_put_iv,dom1_c_40d_call_iv,dom1_c_atm_put_iv,dom1_c_atm_call_iv,dom1_c_25d_put_iv,dom1_c_25d_call_iv,dom1_c_10d_put_iv,dom1_c_10d_call_iv,dom1_c_5d_put_iv,dom1_c_5d_call_iv,dom1_put_volume,dom1_call_volume,dom1_put_oi,dom1_call_oi,dom1_put_exercise,dom1_call_exercise,dom1_put_volume_max1,dom1_put_volume_max1_strike,dom1_put_volume_max2,dom1_put_volume_max2_strike,dom1_put_volume_max3,dom1_put_volume_max3_strike,dom1_put_volume_max4,dom1_put_volume_max4_strike,dom1_put_volume_max5,dom1_put_volume_max5_strike,dom1_call_volume_max1,dom1_call_volume_max1_strike,dom1_call_volume_max2,dom1_call_volume_max2_strike,dom1_call_volume_max3,dom1_call_volume_max3_strike,dom1_call_volume_max4,dom1_call_volume_max4_strike,dom1_call_volume_max5,dom1_call_volume_max5_strike,dom1_put_oi_max1,dom1_put_oi_max1_strike,dom1_put_oi_max2,dom1_put_oi_max2_strike,dom1_put_oi_max3,dom1_put_oi_max3_strike,dom1_put_oi_max4,dom1_put_oi_max4_strike,dom1_put_oi_max5,dom1_put_oi_max5_strike,dom1_call_oi_max1,dom1_call_oi_max1_strike,dom1_call_oi_max2,dom1_call_oi_max2_strike,dom1_call_oi_max3,dom1_call_oi_max3_strike,dom1_call_oi_max4,dom1_call_oi_max4_strike,dom1_call_oi_max5,dom1_call_oi_max5_strike,dom2,dom2_c_40d_put_iv,dom2_c_40d_call_iv,dom2_c_atm_put_iv,dom2_c_atm_call_iv,dom2_c_25d_put_iv,dom2_c_25d_call_iv,dom2_c_10d_put_iv,dom2_c_10d_call_iv,dom2_c_5d_put_iv,dom2_c_5d_call_iv,dom2_put_volume,dom2_call_volume,dom2_put_oi,dom2_call_oi,dom2_put_exercise,dom2_call_exercise,dom2_put_volume_max1,dom2_put_volume_max1_strike,dom2_put_volume_max2,dom2_put_volume_max2_strike,dom2_put_volume_max3,dom2_put_volume_max3_strike,dom2_put_volume_max4,dom2_put_volume_max4_strike,dom2_put_volume_max5,dom2_put_volume_max5_strike,dom2_call_volume_max1,dom2_call_volume_max1_strike,dom2_call_volume_max2,dom2_call_volume_max2_strike,dom2_call_volume_max3,dom2_call_volume_max3_strike,dom2_call_volume_max4,dom2_call_volume_max4_strike,dom2_call_volume_max5,dom2_call_volume_max5_strike,dom2_put_oi_max1,dom2_put_oi_max1_strike,dom2_put_oi_max2,dom2_put_oi_max2_strike,dom2_put_oi_max3,dom2_put_oi_max3_strike,dom2_put_oi_max4,dom2_put_oi_max4_strike,dom2_put_oi_max5,dom2_put_oi_max5_strike,dom2_call_oi_max1,dom2_call_oi_max1_strike,dom2_call_oi_max2,dom2_call_oi_max2_strike,dom2_call_oi_max3,dom2_call_oi_max3_strike,dom2_call_oi_max4,dom2_call_oi_max4_strike,dom2_call_oi_max5,dom2_call_oi_max5_strike,dom3,dom3_c_40d_put_iv,dom3_c_40d_call_iv,dom3_c_atm_put_iv,dom3_c_atm_call_iv,dom3_c_25d_put_iv,dom3_c_25d_call_iv,dom3_c_10d_put_iv,dom3_c_10d_call_iv,dom3_c_5d_put_iv,dom3_c_5d_call_iv,dom3_put_volume,dom3_call_volume,dom3_put_oi,dom3_call_oi,dom3_put_exercise,dom3_call_exercise,dom3_put_volume_max1,dom3_put_volume_max1_strike,dom3_put_volume_max2,dom3_put_volume_max2_strike,dom3_put_volume_max3,dom3_put_volume_max3_strike,dom3_put_volume_max4,dom3_put_volume_max4_strike,dom3_put_volume_max5,dom3_put_volume_max5_strike,dom3_call_volume_max1,dom3_call_volume_max1_strike,dom3_call_volume_max2,dom3_call_volume_max2_strike,dom3_call_volume_max3,dom3_call_volume_max3_strike,dom3_call_volume_max4,dom3_call_volume_max4_strike,dom3_call_volume_max5,dom3_call_volume_max5_strike,dom3_put_oi_max1,dom3_put_oi_max1_strike,dom3_put_oi_max2,dom3_put_oi_max2_strike,dom3_put_oi_max3,dom3_put_oi_max3_strike,dom3_put_oi_max4,dom3_put_oi_max4_strike,dom3_put_oi_max5,dom3_put_oi_max5_strike,dom3_call_oi_max1,dom3_call_oi_max1_strike,dom3_call_oi_max2,dom3_call_oi_max2_strike,dom3_call_oi_max3,dom3_call_oi_max3_strike,dom3_call_oi_max4,dom3_call_oi_max4_strike,dom3_call_oi_max5,dom3_call_oi_max5_strike
2020-10-09,34417.0,29607.0,147550.0,148607.0,0.0,327.0,c2101,0.1866129722921914,0.1653165418502202,0.1880975,0.166562,0.1806043003412969,0.1743754088050314,0.1842,,0.1946272380952381,,29942.0,27968.0,118671.0,132577.0,0.0,0.0,2954.0,2260,2875.0,2440,2633.0,2200,2548.0,2400,2262.0,2300,3745.0,2520,2725.0,2620,1990.0,2500,1824.0,2700,1726.0,2540,18521.0,2200,10724.0,2260,8695.0,2240,7267.0,2300,6723.0,2220,17402.0,2480,9860.0,2500,9759.0,2420,8955.0,2520,5238.0,2160,c2105,0.1671882113821138,0.1582472289156626,0.170016,0.12489,0.1741145294117647,0.1460897385620915,0.20692432,,0.2285390909090909,,3971.0,1078.0,11441.0,7258.0,0.0,0.0,629.0,2100,568.0,2080,322.0,2440,264.0,2180,238.0,2420,121.0,2820,121.0,2560,100.0,2420,89.0,2600,74.0,2400,882.0,2100,641.0,2240,637.0,2040,631.0,2080,626.0,2400,480.0,2580,448.0,2600,429.0,2180,392.0,2620,383.0,2420,c2011,0.1556355417754569,0.1547235833891493,0.161379,0.145149,0.1887058956916099,0.1595624212271973,0.1760849736564805,0.1613442726081258,0.1960398430493273,0.1550454271356784,504.0,561.0,17438.0,8772.0,0.0,327.0,393.0,2340,30.0,2140,15.0,2500,15.0,2360,10.0,2480,164.0,2500,136.0,2480,76.0,2460,56.0,2540,36.0,2380,2802.0,2340,2115.0,2140,1625.0,2360,1577.0,2320,1511.0,2200,1381.0,2260,1043.0,2280,962.0,2380,799.0,2500,665.0,2400
2020-10-12,35933.0,33987.0,158421.0,154991.0,0.0,144.0,c2101,0.1985774528301886,0.1754303827751196,0.195004,0.1665745,0.1868890196078431,0.1808041558441558,0.1831407491856677,,0.1989666666666666,,31693.0,32373.0,128781.0,138745.0,0.0,0.0,2985.0,2440,2512.0,2200,2354.0,2400,2303.0,2300,1884.0,2540,4014.0,2600,3277.0,2560,2895.0,2720,2268.0,2640,2159.0,2840,19726.0,2200,10881.0,2260,8827.0,2300,8817.0,2240,6547.0,2220,16865.0,2480,9649.0,2420,9393.0,2500,8606.0,2520,5237.0,2160,c2105,0.1751621428571428,0.1227297297297296,0.17701,0.12337,0.1703059459459459,0.1424120159151193,0.1808207547169811,,0.1925022222222222,,3651.0,955.0,12435.0,7563.0,0.0,0.0,850.0,2380,467.0,2400,396.0,2100,377.0,2080,197.0,2500,107.0,2500,96.0,2880,94.0,2580,86.0,2640,80.0,2660,899.0,2400,843.0,2380,660.0,2460,640.0,2240,636.0,2040,469.0,2580,464.0,2600,429.0,2180,387.0,2540,382.0,2620,c2011,0.4459453954697364,0.1850517322372284,0.4495619999999999,0.125417,0.2808896955068696,0.1801278399999999,0.1859928195488721,0.1929717486338798,0.202492,0.1874435483870967,589.0,659.0,17205.0,8683.0,0.0,144.0,326.0,2240,100.0,2340,38.0,2400,36.0,2380,15.0,1840,111.0,2500,94.0,2460,59.0,2420,55.0,2520,45.0,2540,2814.0,2340,2115.0,2140,1625.0,2360,1577.0,2320,1511.0,2200,1381.0,2260,1043.0,2280,953.0,2380,757.0,2500,664.0,2400
2020-10-13,25560.0,27783.0,165518.0,159846.0,0.0,2215.0,c2101,0.1863901449275362,0.1625840084388186,0.187119,0.164979,0.1818176288659793,0.1626616949152542,0.1795415384615384,0.1761257471264367,0.19903453125,,23377.0,26522.0,135405.0,145457.0,0.0,200.0,2403.0,2200,2306.0,2300,2160.0,2420,2035.0,2400,2015.0,2440,4802.0,2560,4416.0,2720,2397.0,2600,1830.0,2580,1469.0,2640,21548.0,2200,10982.0,2260,9761.0,2300,8643.0,2240,5646.0,2100,16360.0,2480,9579.0,2420,9358.0,2500,8344.0,2520,8043.0,2720,c2105,0.1702661481481481,0.131655744680851,0.17343,0.125948,0.1704217808219178,0.1405301369863013,0.1722042307692307,,0.1782226436781609,,2133.0,1116.0,12876.0,7707.0,0.0,0.0,351.0,2380,212.0,2100,163.0,2080,138.0,2240,123.0,2180,265.0,2580,166.0,2600,121.0,2520,112.0,2680,84.0,2800,939.0,2380,934.0,2400,720.0,2460,646.0,2040,640.0,2240,599.0,2580,505.0,2600,429.0,2180,383.0,2620,363.0,2420,c2011,0.1522851386481802,0.1517224332200097,0.147091,0.139127,0.158558749244713,0.1755518213660245,0.158647395459976,0.1793597670682731,0.1586175268817204,0.1651469156626506,50.0,145.0,17237.0,6682.0,0.0,2015.0,15.0,2380,5.0,1840,5.0,2280,5.0,2540,5.0,2560,35.0,2500,29.0,2520,20.0,2400,16.0,2560,12.0,2580,2809.0,2340,2115.0,2140,1625.0,2360,1577.0,2320,1511.0,2200,755.0,2500,736.0,2260,714.0,2280,568.0,2400,528.0,2380
2020-10-14,34113.0,24484.0,174963.0,164224.0,0.0,932.0,c2101,0.1801744315545243,0.1591182051282051,0.183843,0.1600649999999999,0.177487461928934,0.1628979784366576,0.1707368115942029,0.174195960591133,0.1845941176470588,,31354.0,22218.0,144020.0,150060.0,0.0,42.0,4825.0,2200,3418.0,2380,2403.0,2300,2173.0,2400,1788.0,2240,2542.0,2580,2477.0,2840,2028.0,2600,1855.0,2740,1474.0,2720,23163.0,2200,11127.0,2260,10460.0,2300,8349.0,2240,5997.0,2220,16404.0,2480,9464.0,2420,9138.0,2500,8292.0,2520,7998.0,2720,c2105,0.1496380676328502,0.1342597163120567,0.162282,0.121691,0.1619411494252873,0.1513023206751055,0.1648042424242424,,0.1862664077669903,,2608.0,1705.0,13637.0,8206.0,0.0,0.0,509.0,2500,200.0,2300,188.0,2240,165.0,2440,165.0,2400,351.0,2660,319.0,2580,282.0,2880,107.0,2700,99.0,2540,1022.0,2400,921.0,2380,730.0,2460,711.0,2240,706.0,2500,543.0,2600,538.0,2580,429.0,2180,384.0,2620,369.0,2500,c2011,0.170836702057067,0.1833287985865724,0.15927,0.158025,0.1885613408723748,0.1838334974689369,0.1881664335126825,0.1950904243743199,0.1812140891621829,0.2660997397769516,151.0,561.0,17306.0,5958.0,0.0,890.0,39.0,2560,32.0,2520,20.0,2400,18.0,2500,15.0,2440,161.0,2640,129.0,2500,83.0,2540,51.0,2560,46.0,2600,2809.0,2340,2115.0,2140,1631.0,2360,1577.0,2320,1511.0,2200,726.0,2260,704.0,2280,695.0,2500,433.0,2380,305.0,2400
2020-10-15,34635.0,28209.0,164768.0,164881.0,44.0,5007.0,c2101,0.1835536363636363,0.1609503195488722,0.184493,0.1589155,0.1731191666666666,0.1622585286783042,0.1664194841269841,0.1748729341317365,0.179908904109589,,31029.0,25464.0,150591.0,156312.0,0.0,0.0,3275.0,2400,2634.0,2200,2461.0,2420,2078.0,2300,1953.0,2440,3582.0,2600,2926.0,2580,2191.0,2740,2162.0,2680,1894.0,2720,23509.0,2200,11303.0,2300,11072.0,2260,8416.0,2240,6614.0,2440,16250.0,2480,9422.0,2420,9252.0,2500,8397.0,2560,8074.0,2520,c2105,0.1677214487632509,0.1278523529411764,0.173551,0.112181,0.1652536734693877,0.140354366197183,0.1775989655172414,,0.1872197260273972,,3326.0,1386.0,14177.0,8569.0,0.0,0.0,795.0,2300,745.0,2320,120.0,2700,120.0,2100,105.0,2680,409.0,2600,228.0,2700,137.0,2580,80.0,2660,70.0,2500,1025.0,2400,922.0,2380,821.0,2300,709.0,2500,700.0,2240,861.0,2600,590.0,2580,429.0,2180,395.0,2620,359.0,2500,c2011,0.1123708098336948,0.2092219419669402,0.100506,,0.1226940202458423,0.1337474503508146,0.2370537683284457,0.2250348795180722,0.3104995482546201,0.2862988581314878,280.0,1359.0,0.0,0.0,44.0,5007.0,69.0,2520,52.0,2560,32.0,2540,29.0,2160,25.0,2200,865.0,2500,165.0,2540,130.0,2480,46.0,2460,35.0,2520,0.0,2800,0.0,2060,0.0,2260,0.0,2240,0.0,2220,0.0,2800,0.0,2060,0.0,2260,0.0,2240,0.0,2220
2020-10-16,18527.0,19689.0,167479.0,169098.0,0.0,137.0,c2101,0.1867551480637813,0.1578158396946564,0.19145,0.165396,0.182271443298969,0.1633167173252279,0.1787513157894737,,0.1857024637681159,,16471.0,18804.0,151696.0,159969.0,0.0,137.0,1468.0,2400,1355.0,2200,1145.0,2480,1115.0,2540,1054.0,2500,2577.0,2720,2368.0,2560,1592.0,2580,1569.0,2640,1333.0,2600,23870.0,2200,11430.0,2300,10984.0,2260,7994.0,2240,6626.0,2440,16082.0,2480,9432.0,2420,9352.0,2500,8892.0,2560,8788.0,2720,c2105,0.1778687003610108,0.1327011705685618,0.1839105,0.1220715,0.166328992248062,0.1325797282608695,0.1822577777777777,,0.19058,,1835.0,860.0,14985.0,8725.0,0.0,0.0,494.0,2320,275.0,2300,132.0,2500,55.0,1980,54.0,2480,165.0,2880,154.0,2600,92.0,2580,80.0,2620,63.0,2700,1118.0,2320,1027.0,2400,938.0,2300,921.0,2380,800.0,2500,801.0,2600,599.0,2580,473.0,2620,455.0,2880,429.0,2180,c2109,0.1729985714285714,0.1064147014925373,0.174064,0.093464,0.156065139442231,0.1179837931034482,0.1501618103448276,,,,221.0,25.0,798.0,404.0,0.0,0.0,58.0,2200,30.0,2320,25.0,2220,16.0,2300,15.0,2240,15.0,2900,10.0,2880,0.0,2640,0.0,2400,0.0,2560,190.0,2200,81.0,2300,50.0,2260,50.0,2280,43.0,2400,114.0,2900,58.0,2700,46.0,2500,25.0,2880,20.0,2660
2020-10-19,37100.0,41915.0,172051.0,169265.0,0.0,1.0,c2101,0.2026853472222222,0.176836862745098,0.2029695,0.1801005,0.1980038947368421,0.1777199472295514,0.1953037234042553,,0.2036569158878504,,34218.0,40488.0,155301.0,159933.0,0.0,1.0,4832.0,2200,2899.0,2500,2490.0,2400,2394.0,2260,2349.0,2540,4940.0,2840,4596.0,2600,4430.0,2480,3063.0,2680,2551.0,2720,25715.0,2200,11333.0,2300,9351.0,2260,7894.0,2240,6982.0,2400,12418.0,2480,9457.0,2500,9109.0,2420,8899.0,2720,8619.0,2560,c2105,0.1829301265822784,0.1464459459459459,0.17736,0.140125,0.1774163876651982,0.1527928155339805,0.1879943661971831,,0.1999650980392157,,2572.0,1355.0,15880.0,8878.0,0.0,0.0,596.0,2320,286.0,2500,191.0,2300,158.0,2420,130.0,2660,292.0,2880,134.0,2600,107.0,2580,105.0,2680,93.0,2400,1651.0,2320,1040.0,2400,954.0,2380,945.0,2500,871.0,2300,776.0,2600,637.0,2880,575.0,2580,481.0,2620,429.0,2180,c2109,0.1714389523809524,0.1260671144278607,0.1735539999999999,0.111794,0.1604029687499999,,0.1597257894736842,,,,310.0,72.0,870.0,454.0,0.0,0.0,156.0,2200,31.0,2300,20.0,2320,11.0,2400,10.0,2520,27.0,2900,10.0,2820,10.0,2880,5.0,2760,5.0,2860,230.0,2200,82.0,2300,50.0,2260,50.0,2280,50.0,2320,124.0,2900,58.0,2700,46.0,2500,35.0,2880,25.0,2760
2020-10-20,25342.0,20728.0,178309.0,171761.0,0.0,195.0,c2101,0.1994538554216867,0.173787983014862,0.197944,0.169933,0.193462,0.1762144660194174,0.1885083838383838,,0.1957447058823529,,22243.0,18248.0,159502.0,159993.0,0.0,195.0,3044.0,2500,2762.0,2400,1657.0,2440,1378.0,2420,1255.0,2300,2282.0,2600,1737.0,2840,1627.0,2320,1441.0,2720,1289.0,2660,25860.0,2200,11342.0,2300,9342.0,2260,7716.0,2240,7607.0,2400,12243.0,2480,9400.0,2500,9098.0,2420,8942.0,2720,8470.0,2560,c2105,0.1752628076923077,0.1498985281385281,0.174192,0.134938,0.1784722907488987,0.1582355102040816,0.1797521875,,0.1884054838709677,,3019.0,2405.0,17265.0,9758.0,0.0,0.0,1170.0,2500,558.0,2400,186.0,2380,126.0,2420,111.0,2040,1419.0,2700,310.0,2880,153.0,2660,116.0,2580,102.0,2680,1722.0,2500,1648.0,2320,1451.0,2400,1025.0,2380,864.0,2300,1125.0,2700,749.0,2600,699.0,2880,547.0,2580,439.0,2620,c2107,0.1655626086956521,0.1358122580645161,0.16653,0.125582,0.1606035885167464,0.143469022556391,0.1521408396946564,,0.154430909090909,,80.0,75.0,1542.0,2010.0,0.0,0.0,20.0,2300,15.0,2320,15.0,2280,10.0,2220,5.0,2240,20.0,2820,15.0,2840,10.0,2860,5.0,2740,5.0,2660,137.0,2000,95.0,2180,95.0,2160,75.0,2120,75.0,2200,775.0,2600,62.0,2900,60.0,2760,57.0,2540,55.0,2580
2020-10-21,26679.0,23675.0,182655.0,170213.0,0.0,71.0,c2101,0.1938877272727272,0.1670055888223553,0.1949229999999999,0.1672485,0.1909681145584725,0.1679318848167539,0.1867814498141263,,0.2068103703703703,,23743.0,21017.0,163854.0,158340.0,0.0,71.0,3141.0,2400,2947.0,2500,1947.0,2300,1700.0,2420,1609.0,2200,4025.0,2640,2498.0,2600,1633.0,2620,1506.0,2720,1355.0,2840,26302.0,2200,11955.0,2300,9096.0,2400,8430.0,2260,7717.0,2240,11999.0,2480,9208.0,2500,9085.0,2420,8994.0,2720,8344.0,2560,c2105,0.1815359591836734,0.1389190163934426,0.178495,0.1341375,0.1807178602620087,0.1458817204301075,0.1738331111111111,,0.1727636585365853,,2933.0,2557.0,17920.0,11365.0,0.0,0.0,486.0,2300,378.0,2400,260.0,2500,162.0,2320,141.0,2080,1691.0,2700,291.0,2880,166.0,2580,92.0,2660,62.0,2680,1788.0,2320,1632.0,2500,1542.0,2400,1110.0,2300,1044.0,2380,2454.0,2700,928.0,2880,781.0,2600,537.0,2580,439.0,2620,c2109,0.1705405970149253,0.1184120535714285,0.1714284999999999,0.1127374999999999,0.164265652173913,0.1296348314606741,0.1573196875,,,,3.0,101.0,881.0,508.0,0.0,0.0,2.0,2820,1.0,2400,0.0,2420,0.0,2580,0.0,2560,15.0,2900,15.0,2880,10.0,2740,10.0,2780,10.0,2840,239.0,2200,82.0,2300,52.0,2320,50.0,2260,50.0,2280,129.0,2900,58.0,2700,45.0,2500,40.0,2880,26.0,2820
2020-10-22,18835.0,14550.0,186078.0,172714.0,0.0,0.0,c2101,0.1865908333333333,0.1597654368932038,0.188275,0.1528499999999999,0.1846758072289156,0.1622264142538975,0.1802238709677419,0.1795666473988439,0.2029074647887324,,16150.0,12793.0,165868.0,158025.0,0.0,0.0,2275.0,2400,2004.0,2500,1659.0,2380,1288.0,2420,1004.0,2360,2456.0,2640,1270.0,2840,1171.0,2600,954.0,2800,661.0,2720,26434.0,2200,12135.0,2300,9567.0,2400,8418.0,2260,7717.0,2240,11857.0,2480,9275.0,2500,9075.0,2420,9016.0,2720,8277.0,2560,c2105,0.1796951219512195,0.1350823529411764,0.1813865,0.1301485,0.1734768656716418,0.1425650588235294,0.1723508759124087,,0.1726835483870967,,2595.0,1732.0,18229.0,12379.0,0.0,0.0,330.0,2500,324.0,2100,227.0,2400,212.0,2460,143.0,2480,828.0,2700,409.0,2880,113.0,2640,70.0,2660,64.0,2600,1788.0,2320,1619.0,2500,1511.0,2400,1155.0,2300,1041.0,2380,3060.0,2700,1297.0,2880,815.0,2600,548.0,2580,449.0,2620,c2103,0.2134848507462686,0.1806613286713287,0.215426,0.176278,0.2091951599147121,0.1531860245901639,0.2052208965517241,,0.2026430136986301,,90.0,25.0,1981.0,2310.0,0.0,0.0,40.0,1960,20.0,1900,15.0,1920,10.0,1940,5.0,2400,10.0,2740,5.0,2780,5.0,2720,5.0,2760,0.0,2440,145.0,1980,140.0,1900,140.0,2020,100.0,2220,90.0,1960,130.0,2620,108.0,2500,100.0,2600,100.0,2220,95.0,2560
