time,dom1,dom2,dom3
2020-10-09,m2101,m2105,m2011
2020-10-12,m2101,m2105,m2011
2020-10-13,m2101,m2105,m2012
2020-10-14,m2101,m2105,m2011
2020-10-15,m2101,m2105,m2011
2020-10-16,m2101,m2105,m2012
2020-10-19,m2101,m2105,m2012
2020-10-20,m2101,m2105,m2012
2020-10-21,m2101,m2105,m2012
2020-10-22,m2101,m2105,m2012
2020-10-23,m2101,m2105,m2012
2020-10-26,m2101,m2105,m2012
2020-10-27,m2101,m2105,m2012
2020-10-28,m2101,m2105,m2012
2020-10-29,m2101,m2105,m2109
2020-10-30,m2101,m2105,m2012
2020-11-02,m2101,m2105,m2012
2020-11-03,m2101,m2105,m2012
2020-11-04,m2101,m2105,m2012
2020-11-05,m2101,m2105,m2012
2020-11-06,m2101,m2105,m2012
2020-11-09,m2101,m2105,m2109
2020-11-10,m2101,m2105,m2109
2020-11-11,m2101,m2105,m2109
2020-11-12,m2101,m2105,m2109
2020-11-13,m2101,m2105,m2109
2020-11-16,m2101,m2105,m2109
2020-11-17,m2101,m2105,m2109
2020-11-18,m2105,m2101,m2109
2020-11-19,m2101,m2105,m2109
2020-11-20,m2101,m2105,m2109
2020-11-23,m2101,m2105,m2109
2020-11-24,m2101,m2105,m2109
2020-11-25,m2101,m2105,m2109
2020-11-26,m2101,m2105,m2109
2020-11-27,m2101,m2105,m2103
2020-11-30,m2101,m2105,m2109
2020-12-01,m2101,m2105,m2109
2020-12-02,m2105,m2101,m2109
2020-12-03,m2105,m2101,m2109
2020-12-04,m2101,m2105,m2109
2020-12-07,m2105,m2101,m2103
2020-12-08,m2105,m2107,m2103
2020-12-09,m2105,m2107,m2109
2020-12-10,m2105,m2107,m2103
2020-12-11,m2105,m2107,m2109
2020-12-14,m2105,m2107,m2109
2020-12-15,m2105,m2107,m2109
2020-12-16,m2105,m2107,m2109
2020-12-17,m2105,m2107,m2109
2020-12-18,m2105,m2107,m2103
2020-12-21,m2105,m2107,m2109
2020-12-22,m2105,m2107,m2103
2020-12-23,m2105,m2107,m2109
2020-12-24,m2105,m2107,m2109
2020-12-25,m2105,m2107,m2109
2020-12-28,m2105,m2107,m2103
2020-12-29,m2105,m2107,m2109
2020-12-30,m2105,m2107,m2103
2020-12-31,m2105,m2107,m2109
2021-01-04,m2105,m2107,m2109
2021-01-05,m2105,m2107,m2103
2021-01-06,m2105,m2107,m2109
2021-01-07,m2105,m2109,m2103
2021-01-08,m2105,m2109,m2107
2021-01-11,m2105,m2109,m2103
