time,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P
time,6200,6200,6200,6200,6200,6200,6300,6300,6300,6300,6300,6300,6400,6400,6400,6400,6400,6400,6500,6500,6500,6500,6500,6500,6600,6600,6600,6600,6600,6600,6700,6700,6700,6700,6700,6700,6800,6800,6800,6800,6800,6800,6900,6900,6900,6900,6900,6900,7000,7000,7000,7000,7000,7000,7100,7100,7100,7100,7100,7100,7200,7200,7200,7200,7200,7200,7300,7300,7300,7300,7300,7300,7400,7400,7400,7400,7400,7400,7500,7500,7500,7500,7500,7500,7600,7600,7600,7600,7600,7600,7700,7700,7700,7700,7700,7700,7800,7800,7800,7800,7800,7800,7900,7900,7900,7900,7900,7900,8000,8000,8000,8000,8000,8000,8100,8100,8100,8100,8100,8100,8200,8200,8200,8200,8200,8200,8300,8300,8300,8300,8300,8300,8400,8400,8400,8400,8400,8400,8500,8500,8500,8500,8500,8500,8600,8600,8600,8600,8600,8600,8700,8700,8700,8700,8700,8700,8800,8800,8800,8800,8800,8800,8900,8900,8900,8900,8900,8900,9000,9000,9000,9000,9000,9000,9100,9100,9100,9100,9100,9100,9200,9200,9200,9200,9200,9200,9300,9300,9300,9300,9300,9300,9400,9400,9400,9400,9400,9400,9500,9500,9500,9500,9500,9500,9600,9600,9600,9600,9600,9600,9700,9700,9700,9700,9700,9700,9800,9800,9800,9800,9800,9800,9900,9900,9900,9900,9900,9900
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-08-31 21:10:00,,0,10,,0,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,,0,375,,0,10,,0,259,,0,5,,0,321,,0.0,5.0,2.0,1.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,,0.0,1032.0,,0.0,65.0,,0.0,621.0,,0.0,63.0,13.0,37.0,1888.0,,0.0,130.0,,0.0,1132.0,,0.0,341.0,29.0,159.0,1644.0,,0.0,1289.0,42.5,35.0,1006.0,,0.0,561.0,61.0,82.0,905.0,,0.0,325.0,85.5,232.0,977.0,,0.0,365.0,117.5,65.0,780.0,306.5,40.0,849.0,155.0,25.0,614.0,255.0,36.0,820.0,202.0,20.0,548.0,208.0,10.0,877.0,255.0,32.0,520.0,169.5,118.0,1162.0,317.0,36.0,542.0,137.0,14.0,1508.0,380.5,16.0,263.0,111.0,150.0,4697.0,455.5,20.0,173.0,87.5,12.0,673.0,,0.0,43.0,71.0,1.0,788.0,,0.0,71.0,,0.0,536.0,,0.0,34.0,45.0,21.0,927.0,,0.0,0.0,35.5,143.0,1388.0,,0.0,0.0,28.5,46.0,718.0,,0.0,0.0,23.0,25.0,455.0,,0.0,0.0,18.0,5.0,616.0,,0.0,0.0,14.0,86.0,2764.0,,0.0,37.0
2023-08-31 21:21:00,,0,10,,0,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,,0,375,,0,10,,0,259,,0,5,,0,321,,0.0,5.0,2.0,1.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,,0.0,1032.0,,0.0,65.0,8.5,15.0,606.0,,0.0,63.0,13.0,37.0,1888.0,,0.0,130.0,,0.0,1132.0,,0.0,341.0,29.5,179.0,1654.0,,0.0,1289.0,43.5,85.0,996.0,,0.0,561.0,62.5,150.0,877.0,428.5,11.0,335.0,88.0,405.0,1076.0,,0.0,365.0,119.0,71.0,782.0,305.5,102.0,848.0,154.5,39.0,605.0,252.5,49.0,820.0,202.0,20.0,548.0,208.5,12.0,877.0,255.0,32.0,520.0,167.0,162.0,1175.0,315.0,39.0,545.0,138.5,15.0,1508.0,384.5,20.0,267.0,112.0,314.0,4823.0,453.5,30.0,183.0,87.5,30.0,690.0,,0.0,43.0,70.5,6.0,783.0,,0.0,71.0,57.0,10.0,546.0,,0.0,34.0,45.0,39.0,927.0,,0.0,0.0,37.0,214.0,1432.0,,0.0,0.0,29.0,64.0,718.0,,0.0,0.0,23.0,25.0,455.0,,0.0,0.0,18.0,5.0,616.0,,0.0,0.0,14.5,97.0,2768.0,,0.0,37.0
2023-08-31 21:27:00,,0,10,,0,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,,0,375,,0,10,,0,259,,0,5,,0,321,,0.0,5.0,2.0,1.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,,0.0,1032.0,,0.0,65.0,8.5,27.0,607.0,,0.0,63.0,13.5,57.0,1888.0,,0.0,130.0,,0.0,1132.0,,0.0,341.0,31.0,210.0,1674.0,,0.0,1289.0,44.5,98.0,1009.0,,0.0,561.0,66.0,261.0,905.0,428.5,11.0,335.0,90.5,406.0,1075.0,,0.0,365.0,121.0,73.0,780.0,292.5,139.0,867.0,167.0,47.0,603.0,241.5,77.0,835.0,215.0,36.0,550.0,200.0,14.0,876.0,270.5,52.0,530.0,159.0,177.0,1178.0,333.0,69.0,575.0,138.5,15.0,1508.0,391.5,25.0,272.0,105.5,440.0,4893.0,453.5,30.0,183.0,84.5,40.0,700.0,,0.0,43.0,66.5,17.0,772.0,,0.0,71.0,55.5,70.0,593.0,,0.0,34.0,43.5,59.0,927.0,,0.0,0.0,34.0,308.0,1382.0,,0.0,0.0,27.0,103.0,741.0,,0.0,0.0,22.0,27.0,456.0,,0.0,0.0,18.0,5.0,616.0,,0.0,0.0,13.5,115.0,2777.0,,0.0,37.0
2023-08-31 21:33:00,,0,10,0.5,48,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,1.0,39,399,,0,10,1.0,58,235,,0,5,,0,321,,0.0,5.0,2.0,1.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,,0.0,1032.0,,0.0,65.0,9.5,51.0,631.0,,0.0,63.0,13.5,57.0,1888.0,,0.0,130.0,23.0,31.0,1153.0,,0.0,341.0,35.0,306.0,1689.0,561.5,36.0,1289.0,51.0,214.0,1039.0,,0.0,561.0,70.5,370.0,915.0,390.0,82.0,365.0,98.5,567.0,1162.0,,0.0,365.0,137.5,76.0,779.0,274.5,210.0,884.0,183.0,79.0,587.0,227.0,150.0,853.0,228.5,103.0,550.0,183.0,28.0,883.0,289.0,100.0,538.0,150.5,233.0,1185.0,355.5,123.0,599.0,121.0,130.0,1578.0,422.5,45.0,282.0,97.5,726.0,5027.0,503.0,50.0,203.0,73.5,75.0,730.0,,0.0,43.0,61.5,194.0,659.0,,0.0,71.0,51.0,91.0,604.0,,0.0,34.0,39.0,102.0,929.0,,0.0,0.0,32.0,377.0,1406.0,,0.0,0.0,25.0,107.0,741.0,,0.0,0.0,20.0,29.0,457.0,,0.0,0.0,15.5,17.0,627.0,,0.0,0.0,13.0,235.0,2833.0,,0.0,37.0
2023-08-31 21:40:00,,0,10,0.5,48,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,1.0,39,399,,0,10,1.0,58,235,,0,5,,0,321,,0.0,5.0,2.0,51.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,6.0,15.0,1017.0,,0.0,65.0,10.0,61.0,641.0,,0.0,63.0,15.5,188.0,1908.0,,0.0,130.0,22.0,53.0,1140.0,,0.0,341.0,34.5,394.0,1703.0,561.5,36.0,1289.0,53.0,279.0,1006.0,465.5,22.0,561.0,72.5,412.0,925.0,380.5,92.0,375.0,101.0,698.0,1272.0,,0.0,365.0,136.5,146.0,763.0,268.0,223.0,897.0,182.0,173.0,506.0,224.0,213.0,905.0,232.0,154.0,544.0,180.0,80.0,921.0,295.0,135.0,533.0,148.0,240.0,1183.0,366.5,133.0,609.0,120.0,195.0,1598.0,429.5,46.0,281.0,97.5,874.0,5053.0,503.0,50.0,203.0,77.0,103.0,746.0,,0.0,43.0,60.5,196.0,660.0,,0.0,71.0,51.0,91.0,604.0,,0.0,34.0,40.0,162.0,966.0,,0.0,0.0,32.5,391.0,1405.0,,0.0,0.0,25.5,131.0,741.0,,0.0,0.0,20.0,29.0,457.0,,0.0,0.0,16.5,37.0,622.0,,0.0,0.0,14.0,312.0,2830.0,,0.0,37.0
2023-08-31 21:47:00,,0,10,0.5,48,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,1.0,39,399,,0,10,1.0,67,235,,0,5,,0,321,,0.0,5.0,2.0,76.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,6.0,15.0,1017.0,,0.0,65.0,10.0,91.0,631.0,,0.0,63.0,16.0,240.0,1908.0,,0.0,130.0,23.0,69.0,1149.0,,0.0,341.0,36.0,566.0,1716.0,556.0,40.0,1289.0,52.5,316.0,989.0,465.5,22.0,561.0,77.0,522.0,887.0,381.0,97.0,375.0,103.5,892.0,1322.0,324.5,7.0,360.0,141.5,203.0,730.0,264.0,278.0,917.0,184.5,217.0,506.0,217.0,245.0,927.0,236.5,240.0,543.0,180.0,85.0,917.0,294.5,169.0,558.0,146.0,246.0,1184.0,363.0,140.0,616.0,116.5,231.0,1614.0,429.5,46.0,281.0,95.5,972.0,5087.0,503.0,50.0,203.0,77.0,198.0,796.0,,0.0,43.0,62.0,256.0,691.0,,0.0,71.0,50.0,124.0,631.0,,0.0,34.0,40.5,195.0,956.0,,0.0,0.0,32.5,414.0,1393.0,,0.0,0.0,26.0,189.0,756.0,,0.0,0.0,21.0,52.0,455.0,,0.0,0.0,16.5,94.0,619.0,,0.0,0.0,14.0,349.0,2821.0,,0.0,37.0
2023-08-31 21:53:00,,0,10,0.5,48,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,1.0,69,369,,0,10,1.0,67,235,,0,5,,0,321,,0.0,5.0,2.0,76.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,6.0,15.0,1017.0,,0.0,65.0,9.0,101.0,631.0,,0.0,63.0,14.5,264.0,1932.0,,0.0,130.0,23.0,79.0,1139.0,,0.0,341.0,33.0,623.0,1743.0,556.0,40.0,1289.0,48.5,340.0,990.0,471.0,23.0,560.0,71.0,542.0,887.0,381.0,97.0,375.0,96.5,924.0,1312.0,333.0,10.0,357.0,133.0,208.0,730.0,264.0,278.0,917.0,177.0,249.0,534.0,232.5,348.0,1012.0,226.0,267.0,548.0,186.5,209.0,983.0,295.0,179.0,568.0,150.5,260.0,1190.0,363.0,140.0,616.0,116.5,231.0,1614.0,417.5,47.0,280.0,101.0,1014.0,5093.0,498.0,60.0,213.0,80.5,203.0,793.0,,0.0,43.0,62.0,256.0,691.0,,0.0,71.0,51.0,134.0,631.0,,0.0,34.0,42.0,198.0,959.0,,0.0,0.0,35.0,440.0,1380.0,,0.0,0.0,27.5,216.0,760.0,,0.0,0.0,21.0,52.0,455.0,,0.0,0.0,16.5,94.0,619.0,,0.0,0.0,14.5,446.0,2739.0,,0.0,37.0
2023-08-31 21:59:00,,0,10,0.5,48,508,,0,0,,0,81,,0,0,,0,128,,0,0,,0,119,,0,0,,0,93,,0,1,,0,67,,0,0,,0,93,,0,2,,0,243,,0,2,1.0,69,369,,0,10,1.0,67,235,,0,5,,0,321,,0.0,5.0,2.0,76.0,1999.0,,0.0,2.0,,0.0,2524.0,,0.0,22.0,,0.0,825.0,,0.0,23.0,6.0,15.0,1017.0,,0.0,65.0,9.0,101.0,631.0,,0.0,63.0,14.5,264.0,1932.0,,0.0,130.0,23.0,79.0,1139.0,,0.0,341.0,34.0,633.0,1743.0,556.0,40.0,1289.0,50.0,341.0,991.0,471.0,23.0,560.0,71.0,552.0,877.0,381.0,97.0,375.0,99.0,925.0,1312.0,333.0,10.0,357.0,133.0,208.0,730.0,264.0,278.0,917.0,176.5,252.0,537.0,232.5,348.0,1012.0,228.5,288.0,563.0,185.5,223.0,993.0,287.0,204.0,585.0,150.0,261.0,1190.0,363.0,140.0,616.0,121.5,238.0,1616.0,417.5,47.0,280.0,99.0,1047.0,5104.0,498.0,60.0,213.0,80.5,203.0,793.0,,0.0,43.0,62.0,256.0,691.0,,0.0,71.0,51.0,144.0,621.0,,0.0,34.0,41.0,210.0,970.0,,0.0,0.0,33.0,474.0,1384.0,,0.0,0.0,26.0,230.0,771.0,,0.0,0.0,21.0,52.0,455.0,,0.0,0.0,16.5,94.0,619.0,,0.0,0.0,14.0,466.0,2739.0,,0.0,37.0
