time,inst_ids
2023-09-01 13:34:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 13:45:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 13:56:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 14:08:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 14:20:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 14:32:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 14:43:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 14:54:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 15:05:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 15:15:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-01 21:06:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 10:12:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 10:34:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 10:45:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 10:57:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 11:08:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 11:19:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 11:29:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 13:34:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 13:45:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 13:56:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 14:07:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 14:18:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 14:29:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 14:40:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-04 14:51:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 10:36:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 10:47:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 10:58:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 13:34:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 13:46:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 13:57:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 14:08:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 14:19:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 14:30:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 14:41:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-05 14:52:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 10:35:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 10:46:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 10:57:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 11:08:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 11:19:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 13:58:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 14:09:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 14:20:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 14:32:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 14:43:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-06 14:54:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 10:10:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 10:31:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 10:42:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 11:24:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 13:36:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 13:48:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 13:59:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 14:10:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 14:21:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 14:32:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 14:43:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-07 14:54:00,"si2310,si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 10:54:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 11:05:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 11:16:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 11:27:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 13:31:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 13:42:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 13:53:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 14:04:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 14:15:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 14:26:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 14:38:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 14:47:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-08 14:57:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 10:11:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 10:37:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 10:46:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 10:55:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 11:04:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 11:14:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 11:23:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 14:07:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 14:16:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 14:25:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 14:34:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 14:43:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-11 14:52:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 10:37:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 10:47:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 10:56:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 11:05:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 11:14:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 11:23:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 13:35:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 13:44:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 13:53:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:02:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:11:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:21:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:30:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:39:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:48:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-12 14:57:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 11:09:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 11:18:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 11:27:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 13:31:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 13:40:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 13:49:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 13:58:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 14:08:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 14:17:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 14:26:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 14:35:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 14:44:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-13 14:53:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-14 10:06:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-14 10:32:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-14 10:41:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
2023-09-14 10:50:00,"si2311,si2312,si2401,si2402,si2403,si2404,"
