time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,135.00,135.00,135.00,135.00,137.50,137.50,137.50,137.50,140.00,140.00,140.00,140.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,135.00,135.00,135.00,135.00,137.50,137.50,137.50,137.50,140.00,140.00,140.00,140.00,142.50,142.50,142.50,142.50,145.00,145.00,145.00,145.00,147.50,147.50,147.50,147.50,150.00,150.00,150.00,150.00,142.50,142.50,142.50,142.50,145.00,145.00,145.00,145.00,147.50,147.50,147.50,147.50,150.00,150.00,150.00,150.00,49.00,49.00,49.00,49.00,49.00,49.00,49.00,49.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-05-31 16:00:00,77.9,26.47,0,0,0.44,24.75,0,0,0.44,23.11,0,0,0.44,21.56,0,0,0.43,20.07,0,0,0.43,18.67,0,0,0.43,17.33,6,6,0.42,16.11,0,0,0.42,14.94,0,0,0.42,13.83,0,0,0.42,12.79,0,0,0.42,12.1,0,0,0.43,11.03,0,0,0.42,10.19,0,0,0.42,9.45,0,0,0.42,8.77,0,0,0.42,8.15,0,0,0.42,7.56,0,0,0.42,7.02,30,30,0.42,3.72,396,392,0.42,4.45,3,3,0.42,5.36,6,6,0.42,6.28,0,0,0.42,7.34,0,0,0.42,8.27,11,11,0.42,9.36,0,0,0.41,10.55,1,1,0.41,11.85,75,75,0.41,13.21,30,30,0.41,14.66,0,0,0.41,16.16,0,0,0.41,17.79,0,0,0.41,19.44,0,0,0.41,21.18,0,0,0.41,22.99,0,0,0.41,24.84,0,0,0.41,26.78,0,0,0.41,28.76,0,0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 16:00:00,77.3,26.15,0,0,0.45,24.44,0,0,0.45,22.82,0,0,0.44,21.28,0,0,0.44,19.82,0,0,0.44,18.45,0,0,0.44,17.16,0,6,0.43,15.95,0,0,0.43,14.82,0,0,0.43,13.75,10,10,0.43,12.76,15,15,0.43,11.83,8,8,0.43,10.93,0,0,0.43,10.13,2,2,0.42,9.4,5,5,0.42,8.71,0,0,0.42,8.06,0,0,0.42,7.46,1,1,0.42,6.9,1,31,0.42,3.86,0,392,0.42,4.64,0,3,0.42,5.46,0,6,0.42,6.34,0,0,0.42,7.25,0,0,0.41,8.27,3,14,0.41,9.37,0,0,0.41,10.61,2,3,0.41,11.88,1,76,0.4,13.31,1,31,0.4,14.75,0,0,0.4,16.25,0,0,0.4,17.86,0,0,0.4,19.49,0,0,0.4,21.19,0,0,0.4,23.0,0,0,0.39,24.87,0,0,0.4,26.8,0,0,0.4,28.77,0,0,0.39,27.95,0.0,0.0,0.46,3.13,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02 16:00:00,82.5,30.85,0,0,0.45,29.04,0,0,0.45,27.3,0,0,0.44,25.62,0,0,0.44,24.0,0,0,0.44,22.47,0,0,0.43,20.87,6,0,0.43,19.64,0,0,0.43,18.22,0,0,0.42,17.01,0,10,0.42,15.86,1,15,0.42,14.78,0,8,0.42,13.85,0,0,0.42,12.89,2,3,0.42,12.07,5,5,0.42,11.17,0,0,0.42,10.46,0,0,0.42,9.69,1,2,0.42,9.02,1,32,0.42,2.89,0,392,0.42,3.55,1,4,0.42,4.26,0,6,0.42,5.08,1,1,0.42,5.96,0,0,0.42,6.92,4,12,0.42,7.91,0,0,0.42,8.94,0,3,0.42,10.06,2,78,0.42,11.31,2,32,0.42,12.57,2,2,0.41,13.88,0,0,0.41,15.37,0,0,0.41,16.87,0,0,0.41,18.45,0,0,0.41,20.09,0,0,0.41,21.81,0,0,0.41,23.58,0,0,0.41,25.41,0,0,0.41,32.74,0.0,0.0,0.46,2.34,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05 16:00:00,82.75,30.95,0,0,0.45,29.13,0,0,0.44,27.38,0,0,0.44,25.69,0,0,0.44,24.08,0,0,0.43,22.54,0,0,0.43,20.95,0,0,0.42,19.58,0,0,0.42,18.28,0,0,0.42,17.23,0,10,0.43,15.95,0,15,0.42,14.88,1,9,0.42,13.88,0,0,0.42,12.86,0,3,0.42,11.95,0,5,0.42,11.22,0,0,0.42,10.49,0,0,0.42,9.71,10,12,0.42,9.04,0,32,0.42,2.84,0,392,0.42,3.49,0,4,0.42,4.2,0,6,0.42,5.0,0,1,0.42,5.89,6,6,0.42,6.83,0,12,0.42,7.77,5,5,0.42,8.85,0,3,0.42,9.96,1,79,0.42,11.11,1,33,0.41,12.43,0,2,0.41,13.78,2,2,0.41,15.22,0,0,0.41,16.65,0,0,0.41,18.25,0,0,0.41,19.9,0,0,0.41,21.61,0,0,0.41,23.38,10,10,0.41,25.22,0,0,0.41,32.81,0.0,0.0,0.45,2.29,2.0,2.0,0.42,36.83,0.0,0.0,0.47,34.82,0.0,0.0,0.46,8.38,0.0,0.0,0.42,7.86,0.0,0.0,0.42,7.31,1.0,1.0,0.42,6.81,0.0,0.0,0.42,6.3,0.0,0.0,0.42,5.93,0.0,0.0,0.42,5.54,0.0,0.0,0.42,5.15,0.0,0.0,0.42,4.79,0.0,0.0,0.42,4.45,0.0,0.0,0.42,4.13,0.0,0.0,0.42,3.84,0.0,0.0,0.42,3.57,0.0,0.0,0.42,3.32,0.0,0.0,0.42,2.99,0.0,0.0,0.42,1.4,1.0,1.0,0.42,1.81,0.0,0.0,0.42,27.1,0.0,0.0,0.41,29.04,0.0,0.0,0.41,31.03,0.0,0.0,0.41,33.07,0.0,0.0,0.41,35.17,0.0,0.0,0.41,37.29,0.0,0.0,0.42,39.46,0.0,0.0,0.42,41.65,0.0,0.0,0.42,43.89,0.0,0.0,0.42,46.16,0.0,0.0,0.42,48.46,0.0,0.0,0.43,50.8,0.0,0.0,0.43,53.11,0.0,0.0,0.43,55.48,0.0,0.0,0.43,57.9,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 16:00:00,82.35,30.42,0,0,0.44,28.58,0,0,0.44,26.82,0,0,0.43,25.13,0,0,0.43,23.52,0,0,0.42,22.01,0,0,0.42,20.67,0,0,0.42,19.28,0,0,0.42,17.97,0,0,0.42,16.74,0,10,0.42,15.58,0,15,0.42,14.46,3,11,0.41,13.48,0,0,0.42,12.55,0,3,0.41,11.66,0,5,0.41,10.84,0,0,0.41,10.09,0,0,0.41,9.39,2,12,0.41,8.71,0,32,0.41,2.8,4,392,0.42,3.44,0,4,0.42,4.15,0,6,0.42,4.95,0,1,0.42,5.84,0,6,0.42,6.78,0,12,0.42,7.74,25,20,0.41,8.78,2,5,0.41,9.9,0,79,0.41,11.1,2,33,0.41,12.39,0,2,0.41,13.75,0,2,0.41,15.19,0,0,0.41,16.7,0,0,0.41,18.26,0,0,0.4,19.92,0,0,0.4,21.65,0,0,0.4,23.44,0,10,0.4,25.29,0,0,0.4,32.32,0.0,0.0,0.45,2.25,30.0,32.0,0.41,36.3,0.0,0.0,0.46,34.28,0.0,0.0,0.45,8.1,0.0,0.0,0.41,7.5,20.0,20.0,0.41,7.02,0.0,1.0,0.41,6.56,0.0,0.0,0.42,6.11,1.0,1.0,0.42,5.67,0.0,0.0,0.42,5.26,2.0,2.0,0.42,4.88,0.0,0.0,0.42,4.52,0.0,0.0,0.42,4.2,0.0,0.0,0.42,3.89,0.0,0.0,0.41,3.61,0.0,0.0,0.41,3.35,0.0,0.0,0.41,3.02,0.0,0.0,0.41,2.8,0.0,0.0,0.41,1.36,4.0,5.0,0.41,1.77,0.0,0.0,0.41,27.19,0.0,0.0,0.41,29.15,0.0,0.0,0.41,31.16,0.0,0.0,0.41,33.22,0.0,0.0,0.41,35.32,0.0,0.0,0.41,37.48,0.0,0.0,0.41,39.66,0.0,0.0,0.41,41.89,0.0,0.0,0.41,44.15,0.0,0.0,0.42,46.43,0.0,0.0,0.42,48.74,0.0,0.0,0.42,51.09,0.0,0.0,0.43,53.45,0.0,0.0,0.43,55.84,0.0,0.0,0.43,58.24,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:00:00,84.05,32.04,0,0,0.45,30.2,0,0,0.44,28.41,0,0,0.44,26.69,0,0,0.44,25.01,0,0,0.43,23.46,0,0,0.43,21.96,0,0,0.43,20.54,0,0,0.42,19.18,0,0,0.42,18.01,0,10,0.42,16.79,0,15,0.42,15.65,2,11,0.42,14.57,0,0,0.42,13.51,1,4,0.42,12.57,0,5,0.42,11.7,0,0,0.41,10.9,0,0,0.41,10.19,1,13,0.42,9.44,0,32,0.41,2.61,0,392,0.42,3.19,4,2,0.42,3.89,0,6,0.42,4.61,3,4,0.42,5.5,0,6,0.42,6.36,0,12,0.42,7.29,0,20,0.42,8.29,0,5,0.41,9.36,0,79,0.41,10.49,26,58,0.41,11.74,0,2,0.41,13.05,0,2,0.41,14.43,0,0,0.41,15.89,0,0,0.41,17.43,0,0,0.4,19.01,0,0,0.4,20.69,0,0,0.4,22.42,0,10,0.4,24.22,0,0,0.4,34.0,0.0,0.0,0.46,2.07,0.0,32.0,0.42,38.01,0.0,0.0,0.47,35.97,0.0,0.0,0.46,8.79,0.0,0.0,0.41,8.2,0.0,20.0,0.41,7.62,0.0,1.0,0.41,7.1,0.0,0.0,0.41,6.62,0.0,1.0,0.42,6.15,0.0,0.0,0.41,5.77,0.0,2.0,0.42,5.39,0.0,0.0,0.42,5.01,0.0,0.0,0.42,4.66,0.0,0.0,0.42,4.33,0.0,0.0,0.42,4.02,0.0,0.0,0.42,3.74,2.0,2.0,0.42,3.47,1.0,1.0,0.42,3.13,0.0,0.0,0.41,1.24,6.0,11.0,0.42,1.64,0.0,0.0,0.42,26.1,0.0,0.0,0.4,27.99,0.0,0.0,0.41,29.93,0.0,0.0,0.4,31.94,0.0,0.0,0.4,34.0,0.0,0.0,0.41,36.1,0.0,0.0,0.41,38.24,0.0,0.0,0.41,40.45,0.0,0.0,0.41,42.7,0.0,0.0,0.41,44.89,0.0,0.0,0.41,47.17,120.0,120.0,0.42,49.51,0.0,0.0,0.42,51.88,0.0,0.0,0.42,54.26,0.0,0.0,0.43,56.61,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08 16:00:00,83.35,31.4,0,0,0.45,29.55,0,0,0.44,27.77,0,0,0.44,26.06,0,0,0.43,24.42,0,0,0.43,22.86,0,0,0.43,21.37,0,0,0.43,19.94,0,0,0.42,18.61,0,0,0.42,17.35,0,10,0.42,16.17,0,15,0.42,15.1,2,13,0.42,14.02,0,0,0.42,13.06,0,4,0.42,12.14,0,5,0.41,11.3,0,0,0.41,10.52,1,1,0.41,9.79,0,13,0.41,9.11,0,32,0.41,2.65,0,392,0.41,3.25,1,3,0.41,3.95,0,6,0.42,4.7,0,4,0.42,5.58,0,6,0.42,6.48,0,12,0.42,7.41,29,49,0.41,8.42,20,25,0.41,9.52,0,79,0.41,10.69,3,58,0.41,11.94,39,41,0.41,13.28,0,2,0.41,14.69,0,0,0.4,16.18,0,0,0.41,17.75,0,0,0.4,19.36,0,0,0.4,21.06,0,0,0.4,22.82,0,10,0.4,24.64,0,0,0.4,33.32,1.0,1.0,0.45,2.11,0.0,32.0,0.41,37.29,0.0,0.0,0.47,35.31,0.0,0.0,0.46,8.5,20.0,20.0,0.41,7.89,0.0,20.0,0.41,7.35,0.0,1.0,0.41,6.85,0.0,0.0,0.42,6.39,1.0,2.0,0.42,5.93,0.0,0.0,0.42,5.5,0.0,2.0,0.42,5.11,0.0,0.0,0.42,4.74,0.0,0.0,0.41,4.4,0.0,0.0,0.41,4.08,2.0,2.0,0.41,3.79,0.0,0.0,0.41,3.51,0.0,2.0,0.41,3.26,0.0,1.0,0.41,2.94,2.0,2.0,0.41,1.26,1.0,12.0,0.41,1.66,0.0,0.0,0.41,26.52,0.0,0.0,0.4,28.45,0.0,0.0,0.41,30.43,0.0,0.0,0.41,32.46,0.0,0.0,0.41,34.54,0.0,0.0,0.41,36.65,0.0,0.0,0.41,38.81,1.0,1.0,0.41,41.01,0.0,0.0,0.41,43.24,0.0,0.0,0.41,45.5,0.0,0.0,0.42,47.8,0.0,120.0,0.42,50.13,0.0,0.0,0.42,52.47,0.0,0.0,0.42,54.84,0.0,0.0,0.43,57.22,5.0,5.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09 16:00:00,83.9,31.95,0,0,0.45,30.07,0,0,0.45,28.26,0,0,0.44,26.53,0,0,0.44,24.87,0,0,0.43,23.28,0,0,0.43,21.77,0,0,0.43,20.34,5,5,0.42,19.02,0,0,0.42,17.74,0,10,0.42,16.53,0,15,0.42,15.4,5,15,0.42,14.31,0,0,0.42,13.31,0,4,0.41,12.39,0,5,0.41,11.53,0,0,0.41,10.72,0,1,0.41,9.98,0,13,0.41,9.29,0,32,0.41,2.53,0,392,0.41,3.09,2,5,0.41,3.79,0,6,0.41,4.51,0,4,0.41,5.38,0,6,0.41,6.25,0,12,0.41,7.16,1,50,0.41,8.14,0,25,0.41,9.2,0,79,0.41,10.35,2,60,0.4,11.57,0,41,0.4,12.88,1,2,0.4,14.27,0,0,0.4,15.76,0,0,0.4,17.3,0,0,0.4,18.87,0,0,0.4,20.55,0,0,0.4,22.29,0,10,0.4,24.1,0,0,0.4,33.88,0.0,1.0,0.46,1.99,0.0,32.0,0.41,37.92,0.0,0.0,0.48,35.83,0.0,0.0,0.46,8.64,0.0,20.0,0.41,8.05,0.0,20.0,0.41,7.5,0.0,1.0,0.41,6.97,0.0,0.0,0.41,6.47,0.0,2.0,0.41,6.0,0.0,0.0,0.41,5.57,0.0,2.0,0.41,5.17,91.0,91.0,0.41,4.8,0.0,0.0,0.41,4.45,0.0,0.0,0.41,4.13,0.0,2.0,0.41,3.83,0.0,0.0,0.41,3.55,0.0,2.0,0.41,3.29,0.0,1.0,0.41,3.06,0.0,2.0,0.41,1.19,0.0,12.0,0.41,1.58,0.0,0.0,0.41,25.96,0.0,0.0,0.4,27.88,0.0,0.0,0.4,29.85,0.0,0.0,0.4,31.87,0.0,0.0,0.4,33.94,0.0,0.0,0.4,36.05,0.0,0.0,0.4,38.17,0.0,1.0,0.4,40.36,0.0,0.0,0.4,42.58,0.0,0.0,0.4,44.84,0.0,0.0,0.41,47.12,29.0,149.0,0.41,49.44,0.0,0.0,0.41,51.78,0.0,0.0,0.41,54.15,0.0,0.0,0.41,56.53,0.0,5.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
