time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
time,close,3.90,3.90,3.90,3.90,4.00,4.00,4.00,4.00,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,4.30,4.30,4.30,4.30,4.40,4.40,4.40,4.40,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,3.90,3.90,3.90,3.90,4.00,4.00,4.00,4.00,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,4.30,4.30,4.30,4.30,4.40,4.40,4.40,4.40,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,3.50,3.50,3.50,3.50,3.60,3.60,3.60,3.60,3.70,3.70,3.70,3.70,3.80,3.80,3.80,3.80,3.50,3.50,3.50,3.50,3.60,3.60,3.60,3.60,3.70,3.70,3.70,3.70,3.80,3.80,3.80,3.80
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-04-17 16:00:00,5.16,1.29,0,0,0.31,1.19,0,0,0.27,1.09,0,0,0.24,0.99,0,0,0.2,0.89,0,0,0.14,0.79,0,0,,0.7,0,0,0.2,0.6,0,436,0.17,0.52,0,525,0.2,0.42,0,125,0.17,0.35,0,0,0.19,0.28,0,5,0.19,0.14,0,35,0.18,0.06,40,40,0.18,0.02,30,60,0.18,0.01,0,30,0.2,0.01,78,158,0.24,0.01,0,0,0.28,0.01,0,320,0.31,0.01,0,0,0.35,0.01,0,0,0.38,0.01,206,206,0.22,0.01,0,0,0.2,0.01,0,0,0.18,0.02,0,0,0.18,0.03,0,0,0.18,0.05,0,0,0.18,0.07,10,23,0.17,0.11,10,10,0.18,0.14,0,35,0.17,0.19,0,113,0.17,0.25,0,49,0.17,0.31,0,168,0.16,0.5,0,0,0.15,0.74,0,0,0.17,0.98,0,35,0.17,1.23,0,0,0.22,1.47,0,0,,1.72,0,0,,1.97,0,0,0.24,2.22,0,0,0.3,2.47,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 16:00:00,5.1,1.23,0,0,0.32,1.13,0,0,0.29,1.03,0,0,0.26,0.93,0,0,0.22,0.83,0,0,0.19,0.73,0,0,0.16,0.64,0,0,0.2,0.54,0,436,0.17,0.46,0,525,0.2,0.37,0,125,0.18,0.29,0,0,0.17,0.23,0,65,0.18,0.11,0,95,0.19,0.05,0,40,0.2,0.02,0,60,0.2,0.01,0,30,0.22,0.01,0,158,0.26,0.01,0,0,0.3,0.01,0,320,0.33,0.01,0,0,0.37,0.01,0,0,0.4,0.01,0,206,0.22,0.01,0,0,0.19,0.01,0,0,0.17,0.02,0,0,0.17,0.03,0,0,0.16,0.05,0,0,0.16,0.08,0,23,0.17,0.12,0,44,0.17,0.16,0,35,0.17,0.22,0,113,0.17,0.28,0,49,0.17,0.36,350,350,0.17,0.56,350,350,0.16,0.77,0,0,,1.04,0,35,0.16,1.29,0,0,0.22,1.54,0,0,0.26,1.78,0,0,,2.03,0,0,,2.28,0,0,,2.53,0,0,0.32,0.01,0.0,0.0,0.42,2.78,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 16:00:00,5.05,1.17,0,0,,1.07,0,0,,0.98,0,0,0.27,0.88,0,0,0.24,0.78,0,0,0.21,0.68,0,0,0.18,0.58,0,0,0.15,0.49,0,436,0.17,0.41,0,525,0.19,0.33,0,125,0.19,0.26,0,0,0.19,0.19,0,65,0.18,0.09,0,95,0.19,0.04,0,40,0.2,0.01,0,60,0.19,0.01,0,30,0.24,0.01,0,158,0.28,0.01,0,0,0.32,0.01,0,320,0.35,0.01,0,0,0.39,0.01,0,0,0.42,0.01,0,206,0.21,0.01,0,0,0.19,0.01,0,0,0.16,0.02,0,0,0.16,0.04,0,0,0.17,0.06,0,0,0.17,0.1,0,24,0.18,0.14,0,54,0.18,0.19,0,35,0.17,0.24,0,113,0.16,0.31,0,49,0.16,0.38,0,350,0.15,0.6,0,350,0.14,0.85,0,0,0.19,1.09,0,35,,1.34,0,0,0.18,1.59,0,0,0.25,1.84,0,0,0.3,2.09,0,0,0.34,2.33,0,0,,2.58,0,0,,0.01,0.0,0.0,0.45,2.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-28 16:00:00,5.06,1.18,0,0,,1.08,0,0,,0.98,0,0,,0.89,0,0,0.25,0.79,0,0,0.22,0.69,0,0,0.19,0.59,0,0,0.16,0.5,0,436,0.18,0.41,0,525,0.18,0.33,0,125,0.18,0.26,0,0,0.18,0.2,0,65,0.19,0.09,0,95,0.19,0.03,11,29,0.18,0.01,0,60,0.19,0.01,0,30,0.24,0.01,0,158,0.28,0.01,0,0,0.32,0.01,0,320,0.36,0.01,0,0,0.39,0.01,0,0,0.42,0.01,0,206,0.22,0.01,0,0,0.19,0.01,0,0,0.16,0.03,0,0,0.19,0.05,0,0,0.19,0.07,0,0,0.19,0.09,1,25,0.17,0.13,0,54,0.17,0.18,0,35,0.17,0.24,0,113,0.17,0.31,0,49,0.17,0.38,0,350,0.16,0.59,0,350,0.13,0.81,0,0,,1.08,0,35,,1.33,0,0,,1.58,0,0,0.21,1.83,0,0,0.28,2.08,0,0,0.33,2.33,0,0,0.37,2.57,0,0,,0.01,0.0,0.0,0.45,2.82,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02 16:00:00,5.23,1.35,0,0,,1.25,0,0,,1.15,0,0,,1.05,0,0,,0.95,0,0,,0.86,0,0,0.25,0.76,0,0,0.21,0.66,0,436,0.18,0.56,0,525,0.15,0.47,0,125,0.17,0.39,0,0,0.19,0.31,0,65,0.18,0.16,0,95,0.19,0.07,0,29,0.19,0.02,0,60,0.18,0.01,0,30,0.21,0.01,0,158,0.25,0.01,0,0,0.29,0.01,0,320,0.33,0.01,0,0,0.37,0.01,0,0,0.4,0.01,0,206,0.26,0.01,0,0,0.23,0.01,0,0,0.2,0.01,0,0,0.18,0.02,0,0,0.18,0.04,0,0,0.2,0.05,10,15,0.18,0.08,10,44,0.18,0.11,2,36,0.18,0.15,0,113,0.17,0.2,0,49,0.17,0.26,0,350,0.17,0.45,30,380,0.17,0.67,0,0,0.14,0.92,0,35,0.19,1.16,0,0,,1.41,0,0,,1.66,0,0,,1.91,0,0,0.26,2.16,0,0,0.32,2.41,0,0,0.37,0.01,0.0,0.0,0.43,2.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04 16:00:00,5.37,1.49,0,0,,1.39,0,0,,1.29,0,0,,1.19,0,0,,1.09,0,0,,0.99,0,0,,0.89,0,0,,0.8,0,436,0.23,0.7,0,525,0.2,0.61,0,125,0.22,0.52,0,0,0.21,0.45,0,65,0.24,0.26,0,95,0.22,0.14,0,29,0.22,0.06,4,64,0.22,0.03,9,39,0.23,0.01,0,158,0.23,0.01,0,0,0.27,0.01,0,320,0.31,0.01,0,0,0.34,0.01,0,0,0.38,0.01,0,206,0.28,0.01,0,0,0.26,0.01,0,0,0.24,0.01,0,0,0.21,0.01,0,0,0.19,0.02,0,0,0.19,0.03,10,25,0.19,0.05,0,46,0.19,0.08,0,36,0.2,0.11,0,113,0.19,0.14,0,49,0.18,0.19,0,350,0.18,0.34,0,380,0.17,0.54,0,0,0.14,0.8,0,35,0.22,1.03,0,0,0.19,1.28,0,0,0.24,1.52,0,0,,1.77,0,0,,2.02,0,0,,2.27,0,0,0.28,0.01,0.0,0.0,0.41,2.52,0.0,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-05 16:00:00,5.45,1.57,0,0,,1.47,0,0,,1.37,0,0,,1.27,0,0,,1.17,0,0,,1.07,0,0,,0.97,0,0,,0.87,0,436,,0.78,0,525,0.22,0.68,0,125,0.19,0.59,0,0,0.21,0.5,0,65,0.21,0.3,0,95,0.2,0.16,72,97,0.2,0.08,0,64,0.21,0.03,0,39,0.21,0.01,0,158,0.21,0.01,0,0,0.25,0.01,0,320,0.29,0.01,0,0,0.33,0.01,0,0,0.36,0.01,0,206,0.3,0.01,0,0,0.28,0.01,0,0,0.25,0.01,0,0,0.23,0.01,0,0,0.2,0.02,0,0,0.21,0.03,0,25,0.21,0.05,0,46,0.21,0.07,0,36,0.21,0.09,10,123,0.2,0.12,0,49,0.19,0.16,0,350,0.19,0.3,0,380,0.18,0.5,0,0,0.2,0.71,0,35,0.18,0.95,0,0,0.18,1.2,0,0,0.22,1.44,0,0,,1.69,0,0,,1.94,0,0,,2.19,0,0,0.24,0.01,0.0,0.0,0.39,2.44,0.0,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08 16:00:00,5.59,1.71,0,0,0.38,1.61,0,0,0.33,1.51,0,0,,1.41,0,0,,1.31,0,0,,1.21,0,0,,1.11,0,0,,1.01,0,436,,0.92,0,525,0.27,0.82,0,125,0.24,0.73,0,0,0.25,0.63,0,65,0.22,0.42,0,95,0.23,0.25,400,497,0.22,0.14,600,664,0.23,0.07,0,39,0.24,0.03,0,158,0.24,0.02,0,0,0.26,0.01,0,320,0.27,0.01,0,0,0.31,0.01,2,2,0.34,0.01,0,206,0.33,0.01,0,0,0.31,0.01,0,0,0.28,0.01,0,0,0.26,0.01,0,0,0.23,0.02,0,0,0.25,0.03,0,25,0.24,0.04,0,46,0.24,0.05,0,36,0.22,0.08,0,123,0.23,0.1,0,49,0.22,0.14,2,350,0.23,0.25,0,380,0.22,0.42,10,10,0.23,0.62,0,35,0.24,0.83,0,0,0.22,1.07,0,0,0.24,1.31,0,0,0.23,1.56,0,0,0.28,1.8,0,0,,2.05,0,0,,0.01,0.0,0.0,0.38,2.3,0.0,0.0,,0.01,0.0,0.0,0.41,2.55,0.0,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
