time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,135.00,135.00,135.00,135.00,137.50,137.50,137.50,137.50,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,135.00,135.00,135.00,135.00,137.50,137.50,137.50,137.50,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,87.50,87.50,87.50,87.50,87.50,87.50,87.50,87.50,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-30 16:00:00,116.1,34.81,0,0,0.4,33.12,0,0,0.4,31.49,0,0,0.4,29.85,0,0,0.39,28.4,0,0,0.39,26.98,0,0,0.39,25.6,0,0,0.39,24.27,0,0,0.39,23.04,0,0,0.39,22.07,0,0,0.39,20.92,0,0,0.39,19.81,0,0,0.39,18.55,0,0,0.38,17.51,0,0,0.38,16.81,0,0,0.39,15.91,0,0,0.39,14.93,0,0,0.38,14.07,0,0,0.38,13.32,0,0,0.38,6.24,0,0,0.39,7.08,0,0,0.39,7.94,0,0,0.39,8.89,6,6,0.39,9.93,0,0,0.39,10.95,0,0,0.39,11.99,0,0,0.39,13.09,0,0,0.39,14.27,0,0,0.39,15.49,0,0,0.38,16.75,0,0,0.38,18.12,0,0,0.38,19.52,0,0,0.38,20.98,0,0,0.38,22.5,0,0,0.38,24.08,0,0,0.38,25.7,0,0,0.38,27.38,0,0,0.38,29.12,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01 16:00:00,114.9,33.92,0,0,0.41,32.29,0,0,0.4,30.71,0,0,0.4,29.19,0,0,0.4,27.73,0,0,0.4,26.29,0,0,0.4,24.94,0,0,0.39,23.65,0,0,0.39,22.42,0,0,0.39,21.25,0,0,0.39,20.13,0,0,0.39,19.06,0,0,0.39,18.11,0,0,0.39,17.15,0,0,0.39,16.01,0,0,0.38,15.15,0,0,0.38,14.37,0,0,0.39,13.79,0,0,0.39,12.86,24,22,0.39,6.67,3,3,0.39,7.52,0,0,0.39,8.4,0,0,0.39,9.43,0,6,0.4,10.48,0,0,0.4,11.52,0,0,0.4,12.59,0,0,0.39,13.73,0,0,0.39,14.92,0,0,0.39,16.19,0,0,0.39,17.5,0,0,0.39,18.86,0,0,0.39,20.29,0,0,0.39,21.8,0,0,0.39,23.36,0,0,0.39,24.96,0,0,0.39,26.62,0,0,0.39,28.34,0,0,0.39,30.1,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04 16:00:00,111.6,31.35,0,0,0.41,29.77,0,0,0.4,28.26,0,0,0.4,26.83,0,0,0.4,25.45,0,0,0.4,24.11,0,0,0.4,22.64,0,0,0.39,21.62,0,0,0.4,20.48,0,0,0.4,19.34,0,0,0.39,18.09,0,0,0.39,17.09,0,0,0.39,16.35,0,0,0.39,15.47,0,0,0.39,14.41,0,0,0.39,13.58,0,0,0.39,13.04,0,0,0.39,12.17,0,0,0.39,11.75,2,23,0.39,7.31,0,3,0.39,8.2,0,0,0.4,9.24,0,0,0.4,10.17,0,6,0.39,11.14,0,0,0.39,12.41,0,0,0.39,13.61,0,0,0.39,14.78,0,0,0.39,15.88,0,0,0.39,17.42,0,0,0.39,18.82,0,0,0.39,20.04,0,0,0.38,21.79,0,0,0.39,23.37,0,0,0.39,24.94,0,0,0.39,26.4,0,0,0.38,28.34,0,0,0.39,30.15,0,0,0.39,31.75,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05 16:00:00,108.9,28.92,0,0,0.4,27.42,0,0,0.4,26.18,0,0,0.4,24.54,0,0,0.39,22.98,0,0,0.39,21.8,0,0,0.39,20.69,0,0,0.39,19.61,0,0,0.39,18.47,0,0,0.39,17.55,0,0,0.39,16.57,0,0,0.39,15.57,0,0,0.39,14.73,0,0,0.39,13.8,0,0,0.39,13.18,0,0,0.39,12.46,0,0,0.39,11.77,0,0,0.39,11.15,0,0,0.39,10.4,1,24,0.39,8.04,0,3,0.4,9.08,0,0,0.4,10.13,0,0,0.4,11.2,0,6,0.4,12.43,0,0,0.4,13.63,0,0,0.4,14.95,0,0,0.4,16.28,0,0,0.4,17.62,0,0,0.4,18.64,0,0,0.39,20.52,0,0,0.4,21.89,0,0,0.4,23.72,0,0,0.4,25.05,0,0,0.39,26.9,0,0,0.4,28.76,0,0,0.4,30.24,0,0,0.39,32.0,0,0,0.39,34.34,0,0,0.4,30.95,0.0,0.0,0.41,6.95,0.0,0.0,0.39,,,,,,,,,,,,,,,,
2023-12-06 16:00:00,112.4,32.15,0,0,0.41,30.56,0,0,0.41,29.03,0,0,0.41,27.55,0,0,0.41,26.13,0,0,0.4,24.77,0,0,0.4,23.49,0,0,0.4,21.85,0,0,0.39,20.88,0,0,0.39,19.94,0,0,0.4,18.88,0,0,0.4,17.86,0,0,0.4,16.9,0,0,0.4,16.01,0,0,0.4,15.14,0,0,0.4,13.93,0,0,0.39,13.33,0,0,0.39,12.78,0,0,0.39,11.89,8,30,0.39,7.21,0,3,0.4,8.07,1,1,0.4,9.09,0,0,0.4,10.02,0,6,0.4,10.82,0,0,0.39,12.16,0,0,0.4,13.23,0,0,0.39,14.2,0,0,0.39,15.66,0,0,0.39,16.74,0,0,0.38,18.31,0,0,0.39,19.74,0,0,0.39,21.2,0,0,0.39,22.76,0,0,0.38,24.36,0,0,0.38,26.07,0,0,0.38,27.53,0,0,0.38,29.57,0,0,0.38,31.09,0,0,0.38,33.8,0.0,0.0,0.42,6.36,0.0,0.0,0.4,35.5,0.0,0.0,0.42,5.53,0.0,0.0,0.4,,,,,,,,
2023-12-07 16:00:00,111.4,30.73,0,0,0.4,29.2,0,0,0.4,27.69,0,0,0.39,26.25,0,0,0.39,24.87,0,0,0.39,23.55,0,0,0.39,22.29,0,0,0.39,21.08,0,0,0.39,19.93,0,0,0.39,18.85,0,0,0.39,17.82,0,0,0.39,16.82,0,0,0.39,15.9,0,0,0.39,15.01,0,0,0.39,14.34,0,0,0.39,13.42,0,0,0.39,12.68,0,0,0.39,12.0,0,0,0.39,11.34,0,30,0.39,7.41,0,3,0.4,8.31,0,1,0.4,9.35,0,0,0.4,10.4,0,6,0.4,11.47,0,0,0.4,12.7,0,0,0.4,13.86,0,0,0.4,14.86,0,0,0.39,16.36,0,0,0.4,17.7,0,0,0.4,19.14,0,0,0.4,20.61,0,0,0.4,22.14,0,0,0.4,23.72,0,0,0.39,25.37,0,0,0.39,26.84,0,0,0.39,28.58,0,0,0.39,30.51,0,0,0.39,32.31,0,0,0.39,32.34,0.0,0.0,0.4,6.56,0.0,0.0,0.4,34.02,0.0,0.0,0.4,5.71,34.0,34.0,0.4,,,,,,,,
2023-12-08 16:00:00,111.8,31.22,0,0,0.4,29.3,0,0,0.39,27.8,0,0,0.39,26.36,0,0,0.39,24.97,0,0,0.39,23.65,0,0,0.39,22.39,0,0,0.39,21.24,0,0,0.39,20.04,0,0,0.38,19.3,0,0,0.39,18.27,0,0,0.39,17.3,0,0,0.39,16.37,0,0,0.39,15.29,0,0,0.39,14.47,0,0,0.39,13.87,0,0,0.39,13.13,0,0,0.39,12.44,0,0,0.39,11.78,0,30,0.39,7.55,0,3,0.4,8.45,0,1,0.4,9.5,0,0,0.41,10.55,0,6,0.41,11.62,0,0,0.41,12.72,0,0,0.4,13.88,0,0,0.4,15.1,0,0,0.4,16.35,0,0,0.4,17.89,0,0,0.4,19.29,0,0,0.4,20.64,0,0,0.4,22.14,0,0,0.4,23.73,0,0,0.4,25.37,0,0,0.4,27.22,0,0,0.4,28.81,0,0,0.4,30.6,0,0,0.4,32.44,0,0,0.4,32.84,0.0,0.0,0.4,6.69,0.0,0.0,0.4,34.52,0.0,0.0,0.41,5.85,0.0,34.0,0.4,,,,,,,,
2023-12-11 16:00:00,108.2,28.61,0,0,0.41,27.11,0,0,0.41,25.67,0,0,0.4,24.29,0,0,0.4,22.96,0,0,0.4,21.4,0,0,0.39,20.51,0,0,0.4,19.55,0,0,0.4,17.97,0,0,0.39,17.25,0,0,0.4,16.82,0,0,0.41,15.39,0,0,0.4,14.52,0,0,0.4,13.5,0,0,0.39,13.13,0,0,0.4,12.23,0,0,0.4,11.54,0,0,0.4,10.92,0,0,0.4,10.42,1,31,0.4,8.31,0,3,0.4,9.36,0,1,0.4,10.41,0,0,0.4,11.51,0,6,0.41,12.67,0,0,0.4,13.75,0,0,0.4,14.99,0,0,0.4,16.09,0,0,0.39,17.62,0,0,0.4,19.14,0,0,0.4,20.61,0,0,0.4,22.15,0,0,0.4,23.75,0,0,0.4,25.55,0,0,0.4,27.14,0,0,0.4,28.72,0,0,0.39,30.71,0,0,0.4,32.81,0,0,0.4,34.49,0,0,0.4,30.1,0.0,0.0,0.41,7.38,0.0,0.0,0.4,31.7,0.0,0.0,0.41,6.52,0.0,34.0,0.4,,,,,,,,
