time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,18.50,18.50,18.50,18.50,18.50,18.50,18.50,18.50,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,15.50,15.50,15.50,15.50,15.50,15.50,15.50,15.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-02-28 16:00:00,26.55,7.81,0,0,0.21,7.33,0,0,0.2,6.87,0,0,0.21,5.97,0,0,0.21,5.13,0,0,0.2,4.37,0,0,0.2,3.7,0,0,0.21,3.1,0,0,0.21,2.57,0,0,0.21,2.11,0,0,0.21,1.72,0,0,0.21,1.39,0,0,0.21,1.12,0,0,0.21,0.89,0,0,0.21,0.7,0,0,0.21,0.55,0,0,0.21,0.43,0,0,0.21,0.33,0,0,0.21,0.26,0,0,0.21,0.12,7,7,0.2,0.17,0,0,0.21,0.22,0,0,0.21,0.36,0,0,0.21,0.56,0,0,0.21,0.82,0,0,0.21,1.16,0,0,0.21,1.56,0,0,0.21,2.05,0,0,0.21,2.54,0,0,0.21,3.16,0,0,0.21,3.85,0,0,0.21,4.6,0,0,0.21,5.4,0,0,0.21,6.24,0,0,0.2,7.13,0,0,0.21,8.04,0,0,0.21,8.97,0,0,0.21,9.92,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 16:00:00,26.8,8.05,0,0,0.21,7.57,0,0,0.21,7.09,0,0,0.2,6.18,0,0,0.2,5.33,0,0,0.2,4.55,0,0,0.2,3.85,0,0,0.2,3.24,0,0,0.2,2.69,0,0,0.2,2.23,0,0,0.2,1.79,0,0,0.2,1.49,0,0,0.21,1.19,0,0,0.2,0.96,0,0,0.21,0.76,0,0,0.21,0.58,0,0,0.2,0.45,0,0,0.2,0.35,0,0,0.2,0.27,0,0,0.2,0.11,0,7,0.21,0.14,0,0,0.2,0.19,0,0,0.2,0.32,0,0,0.21,0.5,0,0,0.21,0.75,0,0,0.21,1.06,0,0,0.21,1.45,0,0,0.21,1.91,0,0,0.21,2.41,0,0,0.21,2.99,0,0,0.2,3.67,0,0,0.2,4.4,0,0,0.2,5.19,0,0,0.2,6.03,0,0,0.2,6.91,0,0,0.2,7.81,0,0,0.2,8.74,0,0,0.2,9.69,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 16:00:00,26.9,8.11,0,0,0.21,7.63,0,0,0.21,7.15,0,0,0.21,6.24,0,0,0.21,5.38,0,0,0.21,4.6,0,0,0.21,3.9,0,0,0.21,3.28,0,0,0.21,2.73,0,0,0.21,2.27,0,0,0.21,1.82,0,0,0.21,1.48,0,0,0.21,1.19,0,0,0.21,0.95,0,0,0.21,0.77,0,0,0.21,0.63,0,0,0.21,0.49,0,0,0.21,0.39,0,0,0.21,0.3,0,0,0.21,0.13,0,7,0.21,0.17,0,0,0.21,0.22,0,0,0.21,0.37,0,0,0.21,0.56,0,0,0.21,0.82,0,0,0.21,1.14,0,0,0.21,1.49,0,0,0.21,1.9,0,0,0.21,2.42,0,0,0.2,3.09,0,0,0.21,3.75,0,0,0.21,4.48,0,0,0.21,5.25,0,0,0.21,6.08,0,0,0.21,6.95,0,0,0.21,7.84,0,0,0.21,8.76,0,0,0.21,9.7,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-06 16:00:00,27.3,8.5,0,0,0.21,8.02,0,0,0.21,7.54,0,0,0.21,6.61,0,0,0.21,5.73,0,0,0.21,4.92,0,0,0.21,4.2,0,0,0.21,3.55,0,0,0.21,2.98,0,0,0.21,2.48,0,0,0.21,2.05,0,0,0.21,1.68,0,0,0.21,1.33,0,0,0.21,1.08,0,0,0.21,0.86,0,0,0.21,0.68,0,0,0.21,0.56,0,0,0.21,0.44,0,0,0.21,0.34,0,0,0.21,0.11,0,7,0.21,0.14,0,0,0.21,0.19,0,0,0.21,0.31,0,3,0.21,0.49,0,0,0.21,0.72,0,0,0.21,1.0,0,0,0.21,1.33,0,0,0.21,1.73,0,0,0.21,2.22,0,0,0.2,2.86,0,0,0.21,3.5,0,0,0.21,4.2,0,0,0.21,4.96,0,0,0.21,5.76,0,0,0.21,6.61,0,0,0.21,7.49,0,0,0.21,8.4,0,0,0.21,9.33,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13 16:00:00,26.8,7.99,0,0,0.21,7.51,0,0,0.21,7.04,0,0,0.22,6.13,0,0,0.22,5.28,0,0,0.21,4.51,0,0,0.21,3.82,0,0,0.21,3.21,0,0,0.21,2.67,0,0,0.21,2.22,0,0,0.22,1.82,0,0,0.21,1.44,0,0,0.21,1.16,0,0,0.21,0.93,0,0,0.21,0.74,0,0,0.21,0.61,0,0,0.22,0.47,0,0,0.21,0.37,0,0,0.21,0.29,0,0,0.21,0.14,3,10,0.22,0.18,0,0,0.21,0.23,0,0,0.21,0.39,0,3,0.22,0.59,0,0,0.22,0.85,0,0,0.22,1.19,0,0,0.22,1.54,0,0,0.21,1.98,0,0,0.21,2.47,0,0,0.21,3.16,0,0,0.21,3.84,0,0,0.21,4.57,0,0,0.21,5.35,0,0,0.21,6.19,0,0,0.22,7.06,0,0,0.22,7.96,0,0,0.22,8.88,0,0,0.21,9.83,0,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-14 16:00:00,25.9,7.11,0,0,0.22,6.64,0,0,0.22,6.18,0,0,0.22,5.31,0,0,0.22,4.52,0,0,0.22,3.81,0,0,0.22,3.19,0,0,0.22,2.64,0,0,0.22,2.23,0,0,0.22,1.81,0,0,0.22,1.49,0,0,0.22,1.2,0,0,0.22,0.95,0,0,0.22,0.76,0,0,0.22,0.58,0,0,0.22,0.45,0,0,0.22,0.35,0,0,0.22,0.27,0,0,0.22,0.21,0,0,0.22,0.2,0,10,0.22,0.26,0,0,0.22,0.34,0,0,0.22,0.53,0,3,0.22,0.78,0,0,0.22,1.1,108,108,0.22,1.49,0,0,0.22,1.97,0,0,0.22,2.52,0,0,0.22,3.06,0,0,0.22,3.73,0,0,0.22,4.46,0,0,0.22,5.24,0,0,0.22,6.08,0,0,0.22,6.95,0,0,0.22,7.85,0,0,0.22,8.78,0,0,0.22,9.73,0,0,0.22,10.69,0,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15 16:00:00,25.9,7.12,0,0,0.22,6.65,0,0,0.22,6.19,0,0,0.22,5.33,0,0,0.22,4.55,0,0,0.22,3.85,0,0,0.22,3.23,0,0,0.22,2.69,0,0,0.22,2.27,0,0,0.23,1.86,0,0,0.22,1.53,0,0,0.23,1.21,0,0,0.22,0.97,0,0,0.22,0.77,0,0,0.22,0.61,0,0,0.22,0.48,0,0,0.22,0.38,0,0,0.22,0.29,0,0,0.22,0.23,0,0,0.22,0.21,0,10,0.22,0.28,0,0,0.22,0.36,0,0,0.22,0.56,0,3,0.22,0.82,0,0,0.23,1.14,0,108,0.23,1.54,0,0,0.23,2.01,0,0,0.23,2.46,0,0,0.22,3.11,0,0,0.22,3.78,0,0,0.22,4.5,0,0,0.22,5.28,0,0,0.22,6.11,0,0,0.22,6.98,0,0,0.22,7.88,0,0,0.22,8.8,0,0,0.22,9.74,0,0,0.22,10.7,0,0,0.22,7.59,0.0,0.0,0.22,0.17,0.0,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-16 16:00:00,24.9,6.2,0,0,0.24,5.76,0,0,0.24,5.5,0,0,0.27,4.71,0,0,0.26,4.0,0,0,0.25,3.34,0,0,0.25,2.75,0,0,0.24,2.26,0,0,0.24,1.85,0,0,0.23,1.5,0,0,0.23,1.22,0,0,0.23,0.99,0,0,0.23,0.8,0,0,0.23,0.66,0,0,0.24,0.53,0,0,0.24,0.42,0,0,0.24,0.33,0,0,0.24,0.26,0,0,0.24,0.2,0,0,0.24,0.38,2,12,0.24,0.49,0,0,0.24,0.6,2,2,0.24,0.87,0,3,0.24,1.2,0,0,0.24,1.61,0,108,0.24,2.07,0,0,0.24,2.59,0,0,0.24,3.19,0,0,0.24,3.86,0,0,0.24,4.58,0,0,0.24,5.35,0,0,0.24,6.17,0,0,0.24,7.03,0,0,0.24,7.92,0,0,0.24,8.84,0,0,0.24,9.77,0,0,0.24,10.73,0,0,0.24,11.69,0,0,0.24,6.65,0.0,0.0,0.24,0.3,4.0,4.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
