time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,15.50,15.50,15.50,15.50,15.50,15.50,15.50,15.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-08-31 16:00:00,21.8,5.72,0,0,0.2,5.3,0,0,0.21,4.89,0,0,0.2,4.49,0,0,0.2,4.12,0,0,0.21,3.76,0,0,0.2,3.41,0,0,0.2,3.09,0,0,0.2,2.51,0,0,0.2,1.94,0,0,0.2,1.58,0,0,0.2,1.23,0,0,0.2,0.95,0,0,0.2,0.72,0,0,0.2,0.54,0,0,0.2,0.4,0,0,0.2,0.29,0,0,0.2,0.21,0,0,0.2,0.16,0,0,0.21,0.15,0,0,0.2,0.21,0,0,0.21,0.28,0,0,0.2,0.37,20,20,0.21,0.47,0,0,0.2,0.6,0,0,0.21,0.74,0,0,0.2,0.91,0,0,0.2,1.31,0,0,0.2,1.87,0,0,0.21,2.41,0,0,0.2,3.1,0,0,0.2,3.89,0,0,0.2,4.76,0,0,0.2,5.7,0,0,0.2,6.68,0,0,0.21,7.68,0,0,0.23,8.67,0,0,0.23,9.67,0,0,0.25,,,,,,,,,,,,,,,,
2023-09-04 16:00:00,22.5,6.35,0,0,0.2,5.91,0,0,0.2,5.49,0,0,0.2,5.07,0,0,0.2,4.67,0,0,0.2,4.29,0,0,0.2,3.92,0,0,0.2,3.57,0,0,0.2,2.93,0,0,0.2,2.29,0,0,0.19,1.88,0,0,0.2,1.48,0,0,0.2,1.15,0,0,0.2,0.88,0,0,0.2,0.67,0,0,0.2,0.5,0,0,0.2,0.37,0,0,0.2,0.27,0,0,0.2,0.19,0,0,0.2,0.11,0,0,0.2,0.14,0,0,0.2,0.19,0,0,0.2,0.26,0,20,0.2,0.34,0,0,0.2,0.44,0,0,0.2,0.56,0,0,0.2,0.69,0,0,0.2,1.03,0,0,0.2,1.51,0,0,0.21,1.99,0,0,0.2,2.62,0,0,0.2,3.34,0,0,0.2,4.15,0,0,0.2,5.05,0,0,0.2,6.0,0,0,0.2,6.99,0,0,0.21,7.99,0,0,0.23,8.99,0,0,0.25,,,,,,,,,,,,,,,,
2023-09-12 16:00:00,22.15,6.0,0,0,0.2,5.57,0,0,0.2,5.14,0,0,0.2,4.74,0,0,0.2,4.35,0,0,0.2,3.97,0,0,0.2,3.62,0,0,0.2,3.28,0,0,0.2,2.67,0,0,0.2,2.07,0,0,0.19,1.69,0,0,0.2,1.31,0,0,0.2,1.01,0,0,0.2,0.76,0,0,0.2,0.57,0,0,0.2,0.42,0,0,0.2,0.31,0,0,0.2,0.22,0,0,0.2,0.16,0,0,0.2,0.12,0,10,0.2,0.16,0,3,0.2,0.22,0,10,0.2,0.3,0,20,0.2,0.39,0,0,0.2,0.5,0,0,0.2,0.63,0,0,0.2,0.78,0,0,0.2,1.15,0,2,0.2,1.67,0,0,0.21,2.18,0,0,0.2,2.85,0,0,0.2,3.6,0,0,0.2,4.45,0,0,0.2,5.38,0,0,0.2,6.37,0,0,0.21,7.37,0,0,0.24,8.37,0,0,0.26,9.37,0,0,0.28,,,,,,,,,,,,,,,,
2023-09-13 16:00:00,22.2,6.04,0,0,0.2,5.61,0,0,0.2,5.19,0,0,0.2,4.78,0,0,0.2,4.38,0,0,0.2,4.01,0,0,0.2,3.65,0,0,0.2,3.31,0,0,0.2,2.69,0,0,0.2,2.09,0,0,0.19,1.7,0,0,0.2,1.32,0,0,0.2,0.98,40,40,0.2,0.77,0,0,0.2,0.57,0,0,0.2,0.42,0,0,0.2,0.31,0,0,0.2,0.23,0,0,0.2,0.16,0,0,0.2,0.12,0,10,0.2,0.16,0,3,0.2,0.21,0,10,0.2,0.29,0,20,0.2,0.38,0,0,0.2,0.48,0,0,0.2,0.61,0,0,0.2,0.76,0,0,0.2,1.12,5,7,0.2,1.63,0,0,0.21,2.15,0,0,0.2,2.81,4,4,0.2,3.56,0,0,0.2,4.4,0,0,0.2,5.33,0,0,0.2,6.33,0,0,0.22,7.33,0,0,0.24,8.33,0,0,0.27,9.33,0,0,0.29,,,,,,,,,,,,,,,,
2023-09-14 16:00:00,21.9,6.03,0,0,0.19,5.57,0,0,0.19,5.12,0,0,0.19,4.68,0,0,0.19,4.25,0,0,0.19,3.85,0,0,0.19,3.46,0,0,0.19,3.09,0,0,0.19,2.43,0,0,0.19,1.89,0,0,0.19,1.41,0,0,0.19,1.04,0,0,0.19,0.76,0,40,0.19,0.54,0,0,0.19,0.38,0,0,0.19,0.27,0,0,0.19,0.18,0,0,0.19,0.12,0,0,0.19,0.09,0,0,0.19,0.15,0,10,0.19,0.2,0,3,0.19,0.27,0,10,0.19,0.36,0,20,0.19,0.47,0,0,0.19,0.6,0,0,0.19,0.75,0,0,0.19,0.92,0,0,0.19,1.34,0,7,0.19,1.83,3,3,0.19,2.45,0,0,0.19,3.13,0,4,0.19,3.87,0,0,0.19,4.67,0,0,0.19,5.51,0,0,0.19,6.38,0,0,0.19,7.29,0,0,0.19,8.21,0,0,0.19,9.14,0,0,0.19,,,,,,,,,,,,,,,,
2023-09-15 16:00:00,21.95,6.07,0,0,0.19,5.61,0,0,0.19,5.16,0,0,0.19,4.72,0,0,0.19,4.29,0,0,0.19,3.88,0,0,0.19,3.49,0,0,0.19,3.12,0,0,0.19,2.45,0,0,0.19,1.95,0,0,0.2,1.42,0,0,0.19,1.05,0,0,0.19,0.76,0,40,0.19,0.54,0,0,0.19,0.38,0,0,0.19,0.26,0,0,0.19,0.18,0,0,0.19,0.12,0,0,0.19,0.09,4,4,0.19,0.14,0,10,0.19,0.19,0,3,0.19,0.26,0,10,0.19,0.35,0,20,0.19,0.45,0,0,0.19,0.58,0,0,0.19,0.73,0,0,0.19,0.89,0,0,0.19,1.31,0,7,0.19,1.76,0,3,0.18,2.41,0,0,0.19,3.08,0,4,0.19,3.82,0,0,0.19,4.62,0,0,0.19,5.46,0,0,0.19,6.34,0,0,0.19,7.24,0,0,0.19,8.16,0,0,0.19,9.09,0,0,0.19,,,,,,,,,,,,,,,,
2023-09-20 16:00:00,21.35,5.48,0,0,0.2,5.02,0,0,0.19,4.58,0,0,0.19,4.16,0,0,0.2,3.75,0,0,0.19,3.36,0,0,0.19,3.0,0,0,0.2,2.65,0,0,0.19,2.11,0,0,0.2,1.54,0,0,0.19,1.14,0,0,0.19,0.82,0,0,0.19,0.59,0,40,0.19,0.41,0,0,0.19,0.28,0,0,0.19,0.19,0,0,0.19,0.13,0,0,0.19,0.09,0,0,0.2,0.06,0,4,0.2,0.2,48,73,0.2,0.26,0,3,0.19,0.35,0,10,0.19,0.46,3,23,0.19,0.59,0,0,0.19,0.74,0,2,0.19,0.92,0,0,0.19,1.09,0,0,0.19,1.54,0,7,0.19,2.15,0,3,0.19,2.8,0,0,0.19,3.53,0,4,0.19,4.31,0,0,0.19,5.14,0,0,0.19,6.01,0,0,0.19,6.91,0,0,0.2,7.83,0,0,0.2,8.76,0,0,0.19,9.7,0,0,0.19,,,,,,,,,,,,,,,,
2023-09-21 16:00:00,21.1,5.24,0,0,0.2,4.79,0,0,0.2,4.36,0,0,0.2,3.95,0,0,0.2,3.55,0,0,0.2,3.17,0,0,0.2,2.82,0,0,0.2,2.49,0,0,0.2,1.97,0,0,0.21,1.44,0,0,0.2,1.06,0,0,0.2,0.77,0,0,0.2,0.55,0,40,0.2,0.38,0,0,0.2,0.27,0,0,0.2,0.18,0,0,0.2,0.12,0,0,0.2,0.08,0,0,0.2,0.06,0,4,0.2,0.23,5,78,0.2,0.31,0,3,0.2,0.41,0,10,0.2,0.54,0,23,0.2,0.68,0,0,0.2,0.84,0,2,0.2,1.03,0,0,0.2,1.24,0,0,0.2,1.69,0,7,0.19,2.33,0,3,0.2,3.0,0,0,0.2,3.74,0,4,0.2,4.53,0,0,0.2,5.37,0,0,0.2,6.25,0,0,0.2,7.15,0,0,0.2,8.07,0,0,0.2,9.01,0,0,0.2,9.96,0,0,0.2,5.7,0.0,0.0,0.2,0.17,0.0,0.0,0.2,,,,,,,,
2023-09-22 16:00:00,21.5,5.61,0,0,0.19,5.15,0,0,0.19,4.7,0,0,0.19,4.27,0,0,0.19,3.85,0,0,0.19,3.45,0,0,0.19,3.07,0,0,0.19,2.71,0,0,0.19,2.08,0,0,0.19,1.55,0,0,0.19,1.13,0,0,0.19,0.8,1,1,0.18,0.56,0,40,0.18,0.39,0,0,0.19,0.26,0,0,0.18,0.17,0,0,0.18,0.11,0,0,0.18,0.07,0,0,0.18,0.05,0,4,0.19,0.15,0,78,0.19,0.21,0,3,0.19,0.28,0,10,0.18,0.38,0,23,0.18,0.5,0,0,0.18,0.64,0,2,0.19,0.8,0,0,0.18,0.99,0,0,0.18,1.45,0,7,0.19,1.99,0,3,0.18,2.64,0,0,0.19,3.35,0,4,0.18,4.14,0,0,0.19,4.97,0,0,0.18,5.84,0,0,0.18,6.75,0,0,0.19,7.67,0,0,0.19,8.6,0,0,0.18,9.55,0,0,0.18,6.07,0.0,0.0,0.18,0.11,25.0,25.0,0.19,,,,,,,,
2023-09-26 16:00:00,21.0,5.12,0,0,0.19,4.67,0,0,0.19,4.24,0,0,0.19,3.82,0,0,0.19,3.42,0,0,0.19,3.04,0,0,0.19,2.68,0,0,0.19,2.4,0,0,0.2,1.83,0,0,0.2,1.31,0,0,0.19,0.97,0,0,0.19,0.69,1,1,0.19,0.46,0,40,0.19,0.31,0,0,0.19,0.21,0,0,0.19,0.14,0,0,0.19,0.09,0,0,0.19,0.06,0,0,0.19,0.04,0,4,0.19,0.21,0,78,0.19,0.28,0,3,0.19,0.38,0,10,0.19,0.5,0,23,0.19,0.64,0,0,0.19,0.81,0,2,0.19,1.0,0,0,0.19,1.22,0,0,0.19,1.67,0,7,0.18,2.25,0,3,0.18,3.01,0,0,0.19,3.65,3,7,0.17,4.57,0,0,0.19,5.43,0,0,0.19,6.32,0,0,0.19,7.23,0,0,0.19,8.16,0,0,0.19,9.11,0,0,0.19,10.06,0,0,0.19,5.58,0.0,0.0,0.19,0.15,25.0,50.0,0.19,,,,,,,,
2023-09-27 16:00:00,21.2,5.31,0,0,0.19,4.86,0,0,0.19,4.42,0,0,0.19,4.0,0,0,0.19,3.59,0,0,0.19,3.2,0,0,0.19,2.84,0,0,0.19,2.5,0,0,0.19,1.9,0,0,0.19,1.41,0,0,0.19,1.02,0,0,0.19,0.73,0,1,0.19,0.51,0,40,0.19,0.35,0,0,0.19,0.23,0,0,0.19,0.16,0,0,0.19,0.1,0,0,0.19,0.07,0,0,0.19,0.05,0,4,0.19,0.18,0,78,0.19,0.26,0,3,0.19,0.35,0,10,0.19,0.46,0,23,0.19,0.59,0,0,0.19,0.75,0,2,0.19,0.93,0,0,0.19,1.13,0,0,0.19,1.62,0,7,0.19,2.2,0,3,0.19,2.87,0,0,0.19,3.61,0,7,0.19,4.41,0,0,0.19,5.26,0,0,0.19,6.14,0,0,0.19,7.05,0,0,0.19,7.97,0,0,0.19,8.91,0,0,0.19,9.86,0,0,0.19,5.78,0.0,0.0,0.19,0.14,0.0,50.0,0.19,,,,,,,,
2023-09-28 16:00:00,21.15,5.27,0,0,0.2,4.82,0,0,0.2,4.38,0,0,0.19,3.96,0,0,0.19,3.56,0,0,0.2,3.18,0,0,0.2,2.82,0,0,0.19,2.48,0,0,0.19,1.95,0,0,0.2,1.41,0,0,0.19,1.03,0,0,0.19,0.74,0,1,0.19,0.52,0,40,0.19,0.36,0,0,0.19,0.25,0,0,0.2,0.17,0,0,0.2,0.11,0,0,0.19,0.07,0,0,0.19,0.05,0,4,0.2,0.21,0,78,0.2,0.28,0,3,0.19,0.38,0,10,0.2,0.49,0,23,0.19,0.63,0,0,0.2,0.79,0,2,0.19,0.98,0,0,0.19,1.18,0,0,0.19,1.63,0,7,0.19,2.27,0,3,0.2,2.94,0,0,0.2,3.68,0,7,0.2,4.48,0,0,0.2,5.32,0,0,0.19,6.2,0,0,0.19,7.11,0,0,0.2,8.03,0,0,0.19,8.97,0,0,0.19,9.92,0,0,0.19,5.73,0.0,0.0,0.2,0.15,0.0,50.0,0.2,,,,,,,,
2023-09-29 16:00:00,21.45,5.56,0,0,0.2,5.11,0,0,0.2,4.67,0,0,0.2,4.24,0,0,0.2,3.83,0,0,0.2,3.45,0,0,0.2,3.08,0,0,0.2,2.73,0,0,0.2,2.19,0,0,0.21,1.61,0,0,0.2,1.2,0,0,0.2,0.87,0,1,0.2,0.62,0,40,0.2,0.44,0,0,0.2,0.31,0,0,0.2,0.21,0,0,0.2,0.15,0,0,0.2,0.1,0,0,0.2,0.07,0,4,0.2,0.19,0,78,0.2,0.27,0,3,0.2,0.35,0,10,0.2,0.46,0,23,0.2,0.59,0,0,0.2,0.74,0,2,0.2,0.92,0,0,0.2,1.1,0,0,0.2,1.53,0,7,0.19,2.13,0,3,0.2,2.77,0,0,0.2,3.49,0,7,0.2,4.26,0,0,0.2,5.09,0,0,0.2,5.95,0,0,0.2,6.85,0,0,0.2,7.76,0,0,0.2,8.7,0,0,0.2,9.64,0,0,0.2,6.03,0.0,0.0,0.2,0.14,0.0,50.0,0.2,,,,,,,,
2023-10-06 16:00:00,21.5,5.59,0,0,0.2,5.13,0,0,0.2,4.69,0,0,0.2,4.27,0,0,0.2,3.86,0,0,0.2,3.47,0,0,0.2,3.1,0,0,0.2,2.76,0,0,0.2,2.18,5,5,0.21,1.63,0,0,0.2,1.21,0,0,0.2,0.89,0,1,0.2,0.64,0,40,0.2,0.46,3,3,0.2,0.32,0,0,0.2,0.22,0,0,0.2,0.15,0,0,0.2,0.1,0,0,0.2,0.08,0,4,0.21,0.2,0,98,0.2,0.27,0,3,0.2,0.36,0,10,0.2,0.47,0,23,0.2,0.6,0,0,0.2,0.75,0,2,0.2,0.92,0,0,0.2,1.12,0,0,0.2,1.55,8,15,0.2,2.14,0,3,0.2,2.78,0,0,0.2,3.5,0,7,0.2,4.27,0,0,0.2,5.1,0,0,0.2,5.96,0,0,0.2,6.85,0,0,0.2,7.77,0,0,0.2,8.7,0,0,0.2,9.64,0,0,0.2,6.05,0.0,0.0,0.2,0.15,0.0,50.0,0.21,,,,,,,,
2023-10-12 16:00:00,21.85,5.91,0,0,0.2,5.44,0,0,0.19,4.99,0,0,0.2,4.55,0,0,0.2,4.12,0,0,0.19,3.71,0,0,0.19,3.32,0,0,0.19,2.96,0,0,0.2,2.3,0,5,0.19,1.8,0,0,0.2,1.3,0,0,0.2,0.94,0,43,0.19,0.67,0,40,0.19,0.47,0,3,0.19,0.33,0,6,0.2,0.22,0,0,0.19,0.15,0,0,0.19,0.1,0,0,0.19,0.07,0,4,0.2,0.14,0,98,0.2,0.19,0,3,0.19,0.27,0,10,0.2,0.36,0,23,0.19,0.47,0,0,0.2,0.6,0,2,0.19,0.76,0,0,0.2,0.93,0,0,0.19,1.36,0,15,0.19,1.83,0,3,0.19,2.5,0,0,0.19,3.19,0,7,0.19,3.95,0,0,0.19,4.77,0,0,0.2,5.63,0,0,0.2,6.52,0,0,0.2,7.43,0,0,0.19,8.36,0,0,0.19,9.31,0,0,0.2,6.38,0.0,0.0,0.2,0.1,0.0,50.0,0.2,,,,,,,,
