time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,182.50,182.50,182.50,182.50,185.00,185.00,185.00,185.00,187.50,187.50,187.50,187.50,190.00,190.00,190.00,190.00,192.50,192.50,192.50,192.50,195.00,195.00,195.00,195.00,197.50,197.50,197.50,197.50,200.00,200.00,200.00,200.00,205.00,205.00,205.00,205.00,210.00,210.00,210.00,210.00,215.00,215.00,215.00,215.00,220.00,220.00,220.00,220.00,225.00,225.00,225.00,225.00,230.00,230.00,230.00,230.00,235.00,235.00,235.00,235.00,240.00,240.00,240.00,240.00,245.00,245.00,245.00,245.00,250.00,250.00,250.00,250.00,255.00,255.00,255.00,255.00,182.50,182.50,182.50,182.50,185.00,185.00,185.00,185.00,187.50,187.50,187.50,187.50,190.00,190.00,190.00,190.00,192.50,192.50,192.50,192.50,195.00,195.00,195.00,195.00,197.50,197.50,197.50,197.50,200.00,200.00,200.00,200.00,205.00,205.00,205.00,205.00,210.00,210.00,210.00,210.00,215.00,215.00,215.00,215.00,220.00,220.00,220.00,220.00,225.00,225.00,225.00,225.00,230.00,230.00,230.00,230.00,235.00,235.00,235.00,235.00,240.00,240.00,240.00,240.00,245.00,245.00,245.00,245.00,250.00,250.00,250.00,250.00,255.00,255.00,255.00,255.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,177.50,177.50,177.50,177.50,177.50,177.50,177.50,177.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-30 16:00:00,210.0,48.9,0,0,0.35,47.58,0,0,0.35,46.05,0,0,0.35,44.55,0,0,0.35,43.08,0,0,0.34,41.64,0,0,0.34,40.25,0,0,0.34,38.78,0,0,0.34,36.68,0,0,0.34,34.18,0,0,0.34,31.37,0,0,0.33,29.09,0,0,0.33,27.02,2,1,0.33,25.03,0,0,0.33,23.18,0,0,0.33,21.89,0,0,0.33,20.28,0,0,0.33,18.83,1,1,0.33,17.21,0,0,0.33,13.36,4,4,0.34,14.35,0,0,0.34,15.35,0,0,0.34,16.36,0,0,0.34,17.37,0,0,0.34,18.44,0,0,0.34,19.64,0,0,0.34,20.72,0,0,0.34,22.71,0,0,0.33,25.06,8,8,0.33,27.86,0,0,0.33,30.53,0,0,0.33,33.47,0,0,0.33,36.34,2,2,0.33,39.46,0,0,0.33,42.94,0,0,0.33,46.26,0,0,0.33,49.87,0,0,0.33,53.42,0,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01 16:00:00,206.0,46.39,0,0,0.35,44.91,0,0,0.35,43.43,0,0,0.35,41.94,0,0,0.35,40.59,0,0,0.35,39.3,0,0,0.35,37.76,0,0,0.34,36.41,0,0,0.34,33.91,35,35,0.34,31.84,0,0,0.34,29.64,9,9,0.34,27.55,11,11,0.34,25.26,5,6,0.34,23.64,10,10,0.34,21.74,50,50,0.34,20.08,50,50,0.33,18.59,50,50,0.33,17.49,65,66,0.34,15.91,10,10,0.33,14.6,0,4,0.34,15.56,0,0,0.34,16.52,4,4,0.34,17.52,55,55,0.34,18.5,0,0,0.34,19.55,0,0,0.34,20.63,0,0,0.33,21.8,4,4,0.33,24.09,2,2,0.33,26.58,4,8,0.33,28.97,9,9,0.32,31.98,0,0,0.33,35.1,0,0,0.33,38.18,0,2,0.33,41.42,0,0,0.33,44.8,0,0,0.32,48.31,0,0,0.32,51.94,0,0,0.32,55.7,0,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04 16:00:00,206.6,46.57,0,0,0.35,45.03,0,0,0.35,43.53,0,0,0.35,42.06,1,1,0.35,40.64,0,0,0.34,39.24,0,0,0.34,37.99,0,0,0.34,36.37,0,0,0.34,33.85,20,55,0.34,31.6,40,40,0.34,29.2,40,49,0.33,27.53,0,11,0.34,25.27,0,6,0.33,23.4,0,10,0.33,21.84,1,50,0.33,20.03,0,50,0.33,18.71,0,50,0.33,17.07,0,66,0.33,15.77,6,10,0.33,14.25,0,4,0.34,15.25,0,0,0.34,16.25,0,4,0.34,17.27,0,55,0.34,18.38,0,0,0.34,19.53,0,0,0.34,20.61,0,0,0.34,21.95,0,4,0.34,24.09,0,2,0.34,26.19,0,8,0.33,29.25,0,9,0.33,31.63,0,0,0.33,34.89,0,0,0.33,37.95,0,2,0.33,41.16,0,0,0.33,43.97,0,0,0.32,48.0,0,0,0.33,51.61,0,0,0.33,55.36,15,15,0.33,48.14,0.0,0.0,0.35,13.26,0.0,0.0,0.34,,,,,,,,,,,,,,,,
2023-12-05 16:00:00,207.8,47.67,0,0,0.35,46.11,0,0,0.35,44.58,0,0,0.35,43.09,0,1,0.35,41.65,0,0,0.35,40.21,0,0,0.34,38.71,0,0,0.34,37.33,20,10,0.34,35.03,0,55,0.34,32.44,0,40,0.34,30.3,0,49,0.34,28.06,0,11,0.34,26.08,0,6,0.34,24.0,0,10,0.33,22.36,0,50,0.33,20.53,0,50,0.33,18.99,0,50,0.33,17.54,0,66,0.33,16.24,16,17,0.33,14.02,0,4,0.34,15.02,3,3,0.34,16.02,3,7,0.34,17.03,8,50,0.34,18.08,0,0,0.34,19.16,0,0,0.34,20.44,0,0,0.34,21.55,0,4,0.34,23.74,0,2,0.34,26.29,0,8,0.34,28.92,2,11,0.34,31.5,0,0,0.33,34.72,0,0,0.34,37.66,0,2,0.33,40.95,1,1,0.33,44.11,0,0,0.33,47.57,0,0,0.33,51.14,0,0,0.33,54.92,10,25,0.33,49.35,0.0,0.0,0.36,13.03,4.0,4.0,0.34,,,,,,,,,,,,,,,,
2023-12-06 16:00:00,213.2,51.81,0,0,0.36,50.19,0,0,0.35,48.7,0,0,0.35,47.21,0,1,0.35,45.71,0,0,0.35,43.87,0,0,0.34,42.42,0,0,0.34,41.31,10,20,0.35,38.59,0,55,0.34,36.25,0,40,0.34,33.68,0,49,0.34,31.23,1,12,0.34,29.05,0,6,0.34,26.93,0,10,0.33,25.0,1,50,0.33,23.19,0,50,0.33,21.5,0,50,0.33,19.92,9,66,0.33,18.46,26,43,0.33,12.32,0,4,0.34,13.19,0,3,0.34,14.18,0,7,0.34,15.17,0,50,0.34,16.17,0,0,0.34,17.18,0,0,0.34,18.16,0,0,0.34,19.3,0,4,0.34,21.44,0,2,0.34,23.73,0,8,0.33,26.17,1,12,0.33,28.75,1,1,0.33,31.36,0,0,0.33,34.36,0,2,0.33,37.36,1,1,0.33,40.5,0,0,0.33,43.96,0,0,0.33,47.34,1,1,0.32,50.52,0,25,0.32,53.48,0.0,0.0,0.36,11.5,1.0,4.0,0.34,,,,,,,,,,,,,,,,
2023-12-07 16:00:00,213.0,51.6,0,0,0.36,50.0,0,0,0.35,48.44,0,0,0.35,46.91,0,1,0.35,45.42,0,0,0.35,43.95,0,0,0.35,42.52,0,0,0.35,40.7,0,20,0.34,38.08,0,55,0.34,35.43,0,40,0.34,33.04,0,49,0.34,30.77,7,19,0.33,28.65,0,6,0.33,26.75,0,10,0.33,24.88,0,50,0.33,23.11,0,50,0.33,21.45,2,52,0.33,19.96,2,68,0.33,18.24,4,47,0.33,12.54,15,19,0.34,13.45,0,3,0.34,14.44,0,7,0.34,15.43,0,50,0.34,16.44,0,0,0.34,17.45,0,0,0.34,18.5,0,0,0.34,19.66,26,28,0.34,21.84,0,2,0.34,24.17,0,8,0.34,26.65,1,12,0.34,29.29,1,1,0.34,32.07,1,1,0.34,34.73,0,2,0.33,37.75,0,1,0.33,40.9,1,1,0.33,44.19,0,0,0.33,47.62,0,1,0.33,51.19,0,25,0.33,53.23,0.0,0.0,0.36,11.72,21.0,22.0,0.34,17.05,11.0,11.0,0.33,54.85,0.0,0.0,0.33,,,,,,,,
2023-12-08 16:00:00,210.8,48.94,0,0,0.34,47.37,0,0,0.34,45.85,0,0,0.34,44.36,0,1,0.34,42.9,0,0,0.34,42.14,0,0,0.35,40.87,0,0,0.35,38.88,6,20,0.34,36.11,0,55,0.33,33.77,0,40,0.33,31.28,0,49,0.33,29.23,0,19,0.33,27.13,10,16,0.33,25.28,0,10,0.33,23.49,0,50,0.33,21.69,0,50,0.33,20.26,0,52,0.33,18.78,0,68,0.33,17.21,0,47,0.33,13.02,7,26,0.34,14.01,0,3,0.34,15.0,0,7,0.34,16.0,0,50,0.34,17.02,0,0,0.34,18.05,0,0,0.34,19.22,0,0,0.34,20.42,0,28,0.34,22.68,0,2,0.34,25.08,2,10,0.34,27.64,0,12,0.34,30.34,24,25,0.34,33.21,20,19,0.34,37.16,0,2,0.35,39.52,0,1,0.34,42.58,2,2,0.34,45.82,0,0,0.33,49.52,1,2,0.33,53.17,0,25,0.33,50.53,0.0,0.0,0.34,12.16,8.0,30.0,0.34,16.24,7.0,18.0,0.33,56.94,0.0,0.0,0.34,,,,,,,,
2023-12-11 16:00:00,208.2,47.12,0,0,0.34,45.59,1,1,0.34,44.09,0,0,0.34,42.84,1,1,0.34,41.06,0,0,0.34,40.14,0,0,0.34,38.33,0,0,0.34,36.96,5,21,0.34,34.33,0,55,0.33,32.07,0,40,0.33,29.69,0,49,0.33,27.7,1,18,0.33,25.53,0,16,0.33,23.85,0,10,0.33,22.13,0,50,0.33,20.38,0,50,0.33,19.0,0,52,0.33,17.76,0,68,0.33,16.31,0,47,0.33,13.88,0,26,0.34,14.88,0,3,0.34,15.88,0,7,0.34,16.89,25,75,0.34,17.93,0,0,0.34,19.1,0,0,0.34,20.3,0,0,0.34,21.45,0,28,0.34,23.81,0,2,0.34,26.29,0,10,0.34,28.94,0,12,0.34,31.74,0,25,0.34,34.33,0,19,0.34,37.73,0,2,0.34,40.96,0,1,0.34,43.83,1,2,0.33,48.04,0,0,0.34,51.25,1,3,0.34,54.5,0,25,0.33,48.68,0.0,0.0,0.35,12.89,0.0,30.0,0.34,15.09,0.0,18.0,0.33,58.93,0.0,0.0,0.34,,,,,,,,
