time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-03-24 16:00:00,5.91,1.44,0,0,0.31,1.35,0,0,0.35,1.25,0,0,0.32,1.16,0,0,0.33,1.07,0,0,0.33,0.98,0,20,0.33,0.77,0,0,0.32,0.61,0,0,0.35,0.44,0,15,0.33,0.32,22,412,0.34,0.22,0,323,0.33,0.15,0,466,0.34,0.1,0,67,0.34,0.06,0,48,0.33,0.04,0,0,0.34,0.03,0,0,0.36,0.01,0,0,0.32,0.01,0,0,0.35,0.01,0,0,0.38,0.01,0,0,0.41,0.01,0,0,0.44,0.01,0,0,0.35,0.01,0,0,0.32,0.02,0,0,0.35,0.03,0,0,0.35,0.04,0,0,0.35,0.05,0,3,0.34,0.09,0,20,0.34,0.15,25,35,0.33,0.24,74,274,0.32,0.36,321,379,0.32,0.52,19,382,0.33,0.7,0,470,0.32,0.9,0,292,0.32,1.12,0,0,0.33,1.35,0,0,0.32,1.59,0,0,,1.84,0,0,,2.09,0,0,,2.34,0,0,,2.59,0,0,,2.84,158,670,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29 16:00:00,5.83,1.36,0,0,0.32,1.26,0,0,0.3,1.17,0,0,0.33,1.08,0,0,0.33,0.98,0,0,0.3,0.9,0,20,0.33,0.69,0,0,0.32,0.52,0,0,0.33,0.37,0,15,0.32,0.26,0,414,0.33,0.17,0,323,0.33,0.11,2,463,0.33,0.07,0,57,0.33,0.04,0,44,0.33,0.03,0,0,0.35,0.02,0,0,0.36,0.01,0,0,0.35,0.01,0,0,0.38,0.01,0,0,0.41,0.01,0,0,0.44,0.01,0,0,0.47,0.01,0,0,0.35,0.01,0,0,0.32,0.01,0,0,0.3,0.02,0,0,0.32,0.03,0,0,0.32,0.05,0,3,0.34,0.09,0,20,0.33,0.15,100,135,0.31,0.25,0,314,0.31,0.38,50,339,0.31,0.55,0,449,0.31,0.74,216,686,0.31,0.96,0,292,0.32,1.19,0,0,0.33,1.42,0,0,,1.67,0,0,,1.92,0,0,,2.17,0,0,,2.42,0,0,,2.67,0,0,,2.92,0,670,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-14 16:00:00,6.04,1.56,0,0,0.34,1.46,0,0,0.3,1.36,0,0,0.26,1.26,0,0,0.21,1.16,0,0,,1.07,0,20,0.3,0.83,0,15,0.28,0.62,0,15,0.29,0.43,0,18,0.28,0.27,0,414,0.27,0.16,1005,1009,0.27,0.09,0,463,0.28,0.05,0,57,0.28,0.03,0,44,0.3,0.01,0,0,0.28,0.01,0,0,0.32,0.01,0,0,0.36,0.01,0,0,0.4,0.01,0,0,0.43,0.01,0,0,0.47,0.01,0,0,0.5,0.01,0,0,0.45,0.01,0,0,0.42,0.01,0,0,0.39,0.01,0,0,0.36,0.01,0,0,0.33,0.01,0,3,0.31,0.02,0,20,0.28,0.05,0,151,0.28,0.11,0,364,0.27,0.21,36,399,0.28,0.35,0,458,0.28,0.54,0,686,0.29,0.74,0,292,0.28,0.97,0,0,0.29,1.21,0,0,,1.46,0,0,,1.71,0,0,,1.96,0,0,,2.21,0,0,,2.46,0,0,,2.71,0,382,,1.66,0.0,0.0,0.37,0.01,0.0,0.0,0.47,,,,,,,,,,,,,,,,
2023-04-17 16:00:00,6.24,1.76,0,0,0.41,1.66,0,0,0.38,1.56,0,0,0.35,1.46,0,0,0.31,1.36,0,0,0.28,1.26,0,20,0.25,1.02,0,15,0.29,0.76,0,15,,0.55,0,18,0.23,0.38,0,414,0.26,0.24,700,1709,0.27,0.14,500,662,0.27,0.08,8,57,0.28,0.04,204,218,0.28,0.02,0,0,0.28,0.01,0,0,0.29,0.01,0,0,0.33,0.01,0,0,0.37,0.01,0,0,0.41,0.01,0,0,0.44,0.01,0,0,0.48,0.01,0,0,0.5,0.01,0,0,0.47,0.01,0,0,0.44,0.01,0,0,0.42,0.01,0,0,0.39,0.01,0,3,0.36,0.01,0,20,0.29,0.03,0,151,0.3,0.06,0,364,0.28,0.13,0,399,0.28,0.23,12,458,0.27,0.39,30,716,0.29,0.58,0,292,0.29,0.78,0,0,0.27,1.01,0,0,,1.26,0,0,,1.51,0,0,,1.76,0,0,,2.01,0,0,,2.26,0,0,,2.51,0,382,,1.86,0.0,0.0,0.44,0.01,0.0,0.0,0.53,,,,,,,,,,,,,,,,
2023-04-18 16:00:00,6.5,2.02,0,0,0.47,1.92,0,0,0.43,1.82,0,0,0.4,1.72,0,0,0.37,1.62,0,0,0.34,1.52,0,20,0.31,1.27,0,15,0.21,1.03,0,15,0.28,0.78,0,18,0.21,0.56,0,414,0.23,0.38,5,1709,0.25,0.24,0,662,0.25,0.14,142,199,0.26,0.08,0,218,0.27,0.05,0,0,0.29,0.02,0,0,0.27,0.01,0,0,0.28,0.01,0,0,0.32,0.01,0,0,0.36,0.01,0,0,0.4,0.01,0,0,0.43,0.01,0,0,0.56,0.01,0,0,0.53,0.01,0,0,0.5,0.01,0,0,0.47,0.01,0,0,0.44,0.01,0,3,0.42,0.01,0,20,0.35,0.01,0,151,0.29,0.03,50,364,0.29,0.06,1,399,0.27,0.13,1508,1894,0.28,0.24,10,716,0.28,0.39,0,292,0.29,0.58,0,0,0.3,0.77,0,0,0.26,1.0,0,0,,1.25,0,0,,1.5,0,0,,1.75,0,0,,2.0,0,0,,2.25,0,382,,2.12,0.0,0.0,0.5,0.01,0.0,0.0,0.59,,,,,,,,,,,,,,,,
2023-04-27 16:00:00,6.57,2.08,0,0,,1.98,0,0,,1.88,0,0,,1.78,0,0,,1.68,0,0,,1.58,0,20,,1.34,0,15,0.36,1.09,0,15,0.29,0.85,0,18,0.28,0.6,32,446,0.21,0.41,0,1709,0.25,0.25,200,791,0.25,0.14,0,81,0.26,0.08,0,284,0.28,0.04,0,0,0.28,0.02,0,0,0.29,0.01,0,0,0.3,0.01,0,0,0.35,0.01,0,0,0.39,0.01,0,0,0.43,0.01,0,0,0.47,0.01,0,0,0.64,0.01,0,0,0.61,0.01,0,0,0.58,0.01,0,0,0.55,0.01,0,0,0.52,0.01,0,3,0.49,0.01,0,20,0.41,0.01,1,150,0.34,0.01,40,324,0.27,0.04,0,399,0.29,0.09,140,1974,0.28,0.18,68,966,0.28,0.32,0,316,0.28,0.5,0,19,0.29,0.72,0,0,0.31,0.93,0,0,,1.18,0,0,,1.43,0,0,,1.68,0,0,,1.93,0,0,,2.18,0,382,,2.18,0.0,0.0,,0.01,0.0,0.0,0.68,0.01,0.0,0.0,0.51,2.43,0.0,0.0,,,,,,,,,
2023-05-08 16:00:00,7.01,2.52,0,0,0.69,2.42,0,0,0.65,2.32,0,0,0.61,2.22,0,0,0.57,2.12,0,0,0.53,2.02,0,20,0.48,1.77,0,15,0.31,1.52,0,15,,1.27,0,18,,1.02,0,446,,0.79,0,1709,0.33,0.56,504,821,0.3,0.38,830,860,0.32,0.23,139,513,0.31,0.13,34,34,0.32,0.06,0,0,0.31,0.03,40,75,0.32,0.02,305,320,0.35,0.01,5,5,0.36,0.01,5,5,0.42,0.01,0,0,0.47,0.01,0,0,0.9,0.01,0,0,0.86,0.01,0,0,0.82,0.01,0,0,0.78,0.01,0,0,0.74,0.01,0,3,0.71,0.01,0,20,0.62,0.01,0,150,0.53,0.01,0,324,0.45,0.01,0,599,0.37,0.02,100,1904,0.33,0.04,25,1715,0.3,0.1,320,736,0.3,0.2,0,19,0.3,0.35,37,37,0.31,0.56,0,0,0.35,0.76,0,0,0.32,0.99,0,10,,1.24,0,0,,1.49,0,0,,1.74,0,382,,2.62,0.0,0.0,0.74,0.01,0.0,0.0,0.94,0.01,0.0,0.0,0.51,1.99,0.0,0.0,,,,,,,,,
2023-05-09 16:00:00,7.02,2.53,0,0,0.73,2.43,0,0,0.69,2.33,0,0,0.65,2.23,0,0,0.61,2.13,0,0,0.57,2.03,0,20,0.53,1.78,0,15,0.43,1.53,0,15,0.27,1.28,0,18,,1.03,0,446,,0.82,9,1700,0.41,0.57,0,821,0.31,0.37,868,530,0.3,0.22,69,533,0.3,0.13,64,60,0.32,0.06,55,55,0.31,0.03,0,75,0.32,0.01,0,320,0.31,0.01,0,5,0.37,0.01,0,5,0.42,0.01,5,5,0.47,0.01,0,0,0.92,0.01,0,0,0.88,0.01,0,0,0.84,0.01,0,0,0.8,0.01,0,0,0.76,0.01,0,3,0.72,0.01,0,20,0.63,0.01,0,150,0.55,0.01,0,324,0.46,0.01,0,599,0.38,0.02,0,1904,0.35,0.04,7,1715,0.31,0.09,300,1036,0.3,0.2,1109,1109,0.32,0.35,0,37,0.32,0.54,0,0,0.33,0.75,0,0,0.32,0.98,0,10,,1.23,0,0,,1.48,0,0,,1.73,0,382,,2.63,0.0,0.0,0.77,0.01,0.0,0.0,0.96,0.01,0.0,0.0,0.52,1.98,0.0,0.0,,0.01,0.0,0.0,0.57,2.23,0.0,0.0,
