time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,4.30,4.30,4.30,4.30,4.40,4.40,4.40,4.40,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,4.30,4.30,4.30,4.30,4.40,4.40,4.40,4.40,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-03-31 16:00:00,5.64,1.38,0,0,0.37,1.29,0,0,0.37,1.2,0,0,0.37,1.12,0,0,0.38,1.03,0,0,0.37,0.97,0,0,0.39,0.9,0,0,0.39,0.83,0,0,0.39,0.65,0,0,0.37,0.52,0,0,0.38,0.41,0,0,0.38,0.31,0,0,0.37,0.24,0,0,0.37,0.18,90,90,0.37,0.14,0,0,0.38,0.1,0,0,0.37,0.08,0,0,0.38,0.06,0,0,0.38,0.04,0,0,0.38,0.06,0,0,0.38,0.07,0,0,0.37,0.08,0,0,0.36,0.1,0,0,0.36,0.13,0,0,0.37,0.15,0,0,0.36,0.18,0,0,0.36,0.21,0,0,0.36,0.31,0,0,0.36,0.42,0,0,0.36,0.56,0,0,0.36,0.73,0,0,0.37,0.92,0,0,0.38,1.12,0,0,0.38,1.33,0,0,0.39,1.55,0,0,0.4,1.75,0,0,0.36,1.98,0,0,0.36,2.22,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03 16:00:00,5.77,1.5,0,0,0.36,1.41,0,0,0.38,1.32,0,0,0.38,1.23,0,0,0.37,1.14,0,0,0.37,1.06,0,0,0.37,0.98,0,0,0.37,0.93,0,0,0.4,0.76,0,0,0.4,0.6,0,0,0.38,0.48,0,0,0.38,0.37,0,0,0.38,0.28,0,0,0.37,0.22,0,90,0.38,0.16,0,0,0.37,0.12,0,0,0.37,0.09,0,0,0.38,0.07,0,0,0.38,0.05,0,0,0.38,0.04,0,0,0.36,0.05,0,0,0.36,0.07,0,0,0.37,0.08,0,0,0.36,0.1,0,0,0.36,0.12,0,0,0.36,0.15,0,0,0.37,0.18,0,0,0.37,0.26,0,0,0.36,0.37,0,0,0.36,0.49,0,0,0.36,0.64,0,0,0.36,0.81,0,0,0.36,1.0,0,0,0.36,1.2,0,0,0.36,1.41,0,0,0.36,1.63,0,0,0.36,1.87,0,0,0.38,2.1,0,0,0.37,1.69,0.0,0.0,0.34,1.6,0.0,0.0,0.39,0.04,0.0,0.0,0.39,0.03,0.0,0.0,0.39,0.02,0.0,0.0,0.38,0.01,0.0,0.0,0.36,0.02,0.0,0.0,0.35,0.03,0.0,0.0,0.36,2.34,0.0,0.0,0.38,2.58,0.0,0.0,0.37,2.82,0.0,0.0,0.35,3.07,0.0,0.0,0.38,,,,,,,,
2023-04-04 16:00:00,5.92,1.65,0,0,0.39,1.55,0,0,0.36,1.46,0,0,0.38,1.37,0,0,0.38,1.28,0,0,0.37,1.2,0,0,0.38,1.11,0,0,0.37,1.03,0,0,0.37,0.85,0,0,0.38,0.7,0,0,0.39,0.55,0,0,0.37,0.45,0,0,0.39,0.36,0,0,0.39,0.28,0,90,0.39,0.21,0,0,0.38,0.16,0,0,0.38,0.12,18,18,0.38,0.09,0,0,0.38,0.07,0,0,0.39,0.04,0,0,0.39,0.05,0,0,0.39,0.06,0,0,0.38,0.07,0,0,0.37,0.09,0,0,0.38,0.1,0,0,0.37,0.12,5,5,0.37,0.15,0,0,0.37,0.22,0,0,0.37,0.32,0,0,0.37,0.43,0,0,0.37,0.57,10,10,0.37,0.73,0,0,0.37,0.91,0,0,0.38,1.11,0,0,0.39,1.32,0,0,0.4,1.54,0,0,0.41,1.73,0,0,0.37,1.96,0,0,0.37,1.84,0.0,0.0,0.36,1.74,0.0,0.0,0.33,0.05,0.0,0.0,0.38,0.04,0.0,0.0,0.39,0.03,0.0,0.0,0.39,0.02,0.0,0.0,0.38,0.02,0.0,0.0,0.38,0.03,0.0,0.0,0.38,2.2,0.0,0.0,0.38,2.44,0.0,0.0,0.39,2.68,0.0,0.0,0.39,2.92,0.0,0.0,0.37,,,,,,,,
2023-04-06 16:00:00,6.0,1.72,0,0,0.33,1.63,0,0,0.38,1.53,0,0,0.36,1.44,0,0,0.37,1.35,0,0,0.37,1.26,0,0,0.37,1.18,0,0,0.38,1.1,0,0,0.38,0.91,0,0,0.38,0.74,0,0,0.38,0.6,0,0,0.38,0.48,0,0,0.38,0.38,10,10,0.38,0.3,0,90,0.38,0.23,0,0,0.38,0.17,0,0,0.38,0.13,0,18,0.38,0.1,0,0,0.38,0.08,0,0,0.39,0.03,0,0,0.38,0.04,0,0,0.38,0.05,0,0,0.38,0.07,0,0,0.39,0.08,0,0,0.38,0.1,0,0,0.39,0.12,0,5,0.39,0.14,0,0,0.38,0.2,0,0,0.37,0.29,0,0,0.37,0.4,0,0,0.37,0.53,0,10,0.37,0.7,0,0,0.39,0.87,0,0,0.39,1.06,0,0,0.4,1.27,0,0,0.41,1.48,0,0,0.41,1.7,0,0,0.42,1.89,0,0,0.38,1.92,0.0,0.0,0.38,1.82,0.0,0.0,0.35,0.06,0.0,0.0,0.39,0.04,0.0,0.0,0.38,0.03,0.0,0.0,0.38,0.02,0.0,0.0,0.38,0.01,0.0,0.0,0.34,0.02,0.0,0.0,0.37,2.12,0.0,0.0,0.37,2.36,0.0,0.0,0.38,2.6,0.0,0.0,0.38,2.84,0.0,0.0,0.36,,,,,,,,
2023-04-11 16:00:00,6.04,1.76,0,0,0.37,1.66,0,0,0.35,1.57,0,0,0.38,1.47,0,0,0.36,1.38,0,0,0.37,1.29,0,0,0.37,1.21,0,0,0.38,1.12,0,0,0.37,0.94,0,0,0.39,0.77,0,0,0.39,0.62,0,0,0.39,0.5,0,0,0.39,0.39,0,10,0.38,0.3,0,90,0.38,0.23,0,0,0.38,0.17,0,0,0.38,0.13,0,18,0.38,0.1,0,0,0.38,0.08,0,0,0.39,0.03,0,0,0.39,0.04,0,0,0.4,0.05,0,0,0.39,0.06,0,0,0.39,0.07,0,0,0.38,0.08,0,0,0.37,0.1,0,5,0.38,0.12,0,0,0.38,0.18,0,0,0.37,0.26,0,0,0.37,0.37,0,0,0.37,0.49,0,10,0.36,0.64,0,0,0.37,0.82,0,0,0.38,1.01,0,0,0.38,1.21,0,0,0.39,1.42,0,0,0.39,1.65,0,0,0.41,1.85,0,0,0.37,1.96,0.0,0.0,0.42,1.86,0.0,0.0,0.4,0.06,0.0,0.0,0.39,0.04,0.0,0.0,0.38,0.03,0.0,0.0,0.38,0.02,0.0,0.0,0.38,0.01,0.0,0.0,0.36,0.02,0.0,0.0,0.38,2.08,0.0,0.0,0.37,2.32,0.0,0.0,0.37,2.56,0.0,0.0,0.37,2.81,0.0,0.0,0.39,,,,,,,,
2023-04-12 16:00:00,6.23,1.95,0,0,0.4,1.85,0,0,0.38,1.75,0,0,0.35,1.66,0,0,0.39,1.56,0,0,0.37,1.47,0,0,0.38,1.38,0,0,0.38,1.29,0,0,0.38,1.09,0,0,0.39,0.91,0,0,0.39,0.74,0,0,0.38,0.61,0,0,0.39,0.49,0,10,0.39,0.39,0,90,0.39,0.31,0,0,0.39,0.24,0,0,0.39,0.18,0,18,0.39,0.14,8,8,0.39,0.11,0,0,0.39,0.01,0,0,0.34,0.02,0,0,0.37,0.03,0,0,0.38,0.04,0,0,0.38,0.05,0,0,0.38,0.06,0,0,0.38,0.08,0,5,0.38,0.09,0,0,0.37,0.15,0,0,0.38,0.22,0,0,0.38,0.31,0,0,0.38,0.42,0,10,0.38,0.55,500,500,0.37,0.7,0,0,0.37,0.88,0,0,0.38,1.07,0,0,0.39,1.28,0,0,0.4,1.49,0,0,0.4,1.71,0,0,0.41,2.15,0.0,0.0,0.45,2.05,0.0,0.0,0.43,0.08,0.0,0.0,0.39,0.06,0.0,0.0,0.39,0.05,0.0,0.0,0.4,0.04,0.0,0.0,0.41,0.01,71.0,71.0,0.38,0.01,0.0,0.0,0.36,1.92,0.0,0.0,0.39,2.15,0.0,0.0,0.39,2.38,0.0,0.0,0.37,2.62,0.0,0.0,0.37,,,,,,,,
2023-04-13 16:00:00,6.26,1.98,0,0,0.41,1.88,0,0,0.39,1.78,0,0,0.36,1.68,0,0,0.34,1.59,0,0,0.38,1.49,0,0,0.35,1.4,0,0,0.36,1.31,0,0,0.36,1.1,0,0,0.37,0.92,0,0,0.38,0.75,0,0,0.38,0.6,0,0,0.37,0.48,0,10,0.37,0.38,0,90,0.38,0.3,0,0,0.38,0.23,0,0,0.38,0.17,0,18,0.37,0.13,0,8,0.37,0.1,0,0,0.38,0.01,0,0,0.35,0.02,0,0,0.37,0.03,0,0,0.38,0.04,0,0,0.39,0.05,0,0,0.39,0.06,0,0,0.38,0.07,0,5,0.37,0.09,0,0,0.38,0.13,0,0,0.37,0.19,9,9,0.36,0.28,0,0,0.36,0.39,0,10,0.36,0.52,0,500,0.36,0.68,0,0,0.37,0.86,0,0,0.38,1.04,0,0,0.38,1.24,0,0,0.39,1.46,0,0,0.4,1.68,0,0,0.4,2.17,0.0,0.0,,2.08,0.0,0.0,0.44,0.07,0.0,0.0,0.37,0.06,0.0,0.0,0.39,0.04,0.0,0.0,0.38,0.03,0.0,0.0,0.38,0.01,0.0,71.0,0.39,0.01,0.0,0.0,0.37,1.88,0.0,0.0,0.37,2.11,0.0,0.0,0.36,2.35,0.0,0.0,0.37,2.59,0.0,0.0,0.36,,,,,,,,
2023-04-14 16:00:00,6.26,1.98,0,0,0.42,1.88,0,0,0.39,1.78,0,0,0.37,1.68,0,0,0.34,1.59,0,0,0.38,1.49,0,0,0.36,1.4,0,0,0.37,1.31,0,0,0.37,1.1,0,0,0.37,0.93,0,0,0.39,0.75,0,0,0.38,0.6,0,0,0.37,0.48,0,10,0.38,0.37,0,90,0.37,0.29,0,0,0.37,0.22,0,0,0.37,0.16,0,18,0.36,0.12,0,8,0.37,0.09,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.33,0.02,0,0,0.35,0.03,0,0,0.36,0.04,0,0,0.37,0.05,0,0,0.36,0.07,0,5,0.38,0.08,0,0,0.37,0.12,0,0,0.36,0.19,0,9,0.36,0.27,0,0,0.36,0.38,0,10,0.36,0.5,0,500,0.35,0.65,0,0,0.35,0.83,0,0,0.36,1.0,0,0,0.35,1.2,0,0,0.35,1.42,0,0,0.35,1.64,0,0,0.35,2.17,0.0,0.0,,2.08,0.0,0.0,0.44,0.07,0.0,0.0,0.37,0.05,0.0,0.0,0.37,0.04,0.0,0.0,0.38,0.03,0.0,0.0,0.38,0.01,0.0,71.0,0.39,0.01,0.0,0.0,0.37,1.88,0.0,0.0,0.37,2.11,0.0,0.0,0.36,2.35,0.0,0.0,0.37,2.59,0.0,0.0,0.36,,,,,,,,
2023-04-17 16:00:00,6.42,2.13,0,0,,2.04,0,0,0.43,1.94,0,0,0.41,1.84,0,0,0.39,1.74,0,0,0.36,1.64,0,0,0.34,1.55,0,0,0.37,1.46,0,0,0.38,1.23,0,0,0.36,1.03,0,0,0.37,0.86,0,0,0.38,0.68,0,0,0.36,0.55,0,10,0.37,0.45,0,90,0.38,0.35,3,3,0.38,0.27,50,50,0.37,0.21,0,18,0.38,0.16,0,8,0.38,0.12,0,0,0.38,0.01,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.34,0.02,0,0,0.36,0.03,0,0,0.37,0.04,0,0,0.37,0.05,0,5,0.37,0.07,0,0,0.39,0.1,0,0,0.37,0.15,0,9,0.36,0.23,0,0,0.37,0.32,0,10,0.36,0.44,0,500,0.37,0.57,0,0,0.36,0.76,0,0,0.39,0.92,0,0,0.38,1.11,0,0,0.38,1.32,0,0,0.39,1.53,0,0,0.39,2.33,0.0,0.0,,2.23,0.0,0.0,,0.09,0.0,0.0,0.38,0.07,140.0,140.0,0.38,0.05,0.0,0.0,0.38,0.04,0.0,0.0,0.39,0.01,0.0,71.0,0.41,0.01,0.0,0.0,0.39,1.74,0.0,0.0,0.38,1.97,0.0,0.0,0.38,2.2,0.0,0.0,0.37,2.44,0.0,0.0,0.37,,,,,,,,
2023-04-18 16:00:00,6.37,2.08,0,0,,1.99,0,0,0.44,1.89,0,0,0.41,1.79,0,0,0.39,1.69,0,0,0.36,1.6,0,0,0.39,1.5,0,0,0.37,1.41,0,0,0.38,1.2,0,0,0.39,0.99,0,0,0.37,0.81,0,0,0.37,0.66,0,0,0.38,0.52,0,10,0.37,0.43,180,270,0.39,0.34,0,3,0.39,0.27,4,54,0.39,0.2,0,18,0.38,0.16,0,8,0.39,0.12,0,0,0.39,0.01,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.33,0.02,0,0,0.36,0.03,0,0,0.36,0.04,0,0,0.37,0.05,0,5,0.37,0.07,0,0,0.38,0.11,0,0,0.37,0.17,0,9,0.37,0.25,50,50,0.37,0.35,0,10,0.37,0.46,1000,1500,0.37,0.61,331,256,0.37,0.75,6,6,0.36,0.96,0,0,0.38,1.16,0,0,0.39,1.37,0,0,0.4,1.59,0,0,0.41,2.28,0.0,0.0,,2.18,0.0,0.0,,0.09,0.0,0.0,0.39,0.07,0.0,140.0,0.39,0.05,0.0,0.0,0.39,0.04,0.0,0.0,0.4,0.01,0.0,71.0,0.41,0.01,0.0,0.0,0.39,1.79,0.0,0.0,0.39,2.02,30.0,30.0,0.39,2.24,100.0,100.0,0.35,2.49,0.0,0.0,0.38,,,,,,,,
2023-04-19 16:00:00,6.21,1.92,0,0,,1.83,0,0,0.42,1.73,0,0,0.39,1.63,0,0,0.37,1.53,0,0,0.34,1.44,0,0,0.37,1.35,0,0,0.38,1.26,0,0,0.37,1.04,0,0,0.36,0.88,0,0,0.39,0.71,0,0,0.39,0.56,10,10,0.38,0.44,10,20,0.38,0.34,30,300,0.37,0.26,0,3,0.37,0.19,4,50,0.37,0.15,0,18,0.38,0.11,0,8,0.37,0.08,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.33,0.02,0,0,0.36,0.03,0,0,0.36,0.04,0,0,0.37,0.05,0,0,0.37,0.06,0,5,0.36,0.07,0,0,0.35,0.12,0,0,0.36,0.19,0,9,0.36,0.28,501,500,0.36,0.39,0,10,0.36,0.52,0,1500,0.35,0.68,0,256,0.36,0.86,0,6,0.37,1.04,0,0,0.36,1.25,0,0,0.36,1.46,0,0,0.36,1.69,0,0,0.37,2.12,0.0,0.0,,2.02,0.0,0.0,,0.06,0.0,0.0,0.38,0.04,0.0,140.0,0.37,0.03,0.0,0.0,0.37,0.02,0.0,0.0,0.37,0.01,0.0,71.0,0.39,0.01,0.0,0.0,0.37,1.92,0.0,0.0,0.36,2.16,0.0,30.0,0.37,2.4,0.0,100.0,0.37,2.64,0.0,0.0,0.36,,,,,,,,
2023-04-20 16:00:00,6.25,1.96,0,0,,1.86,0,0,,1.77,0,0,0.4,1.67,0,0,0.38,1.57,0,0,0.36,1.47,0,0,0.33,1.38,0,0,0.36,1.29,0,0,0.36,1.07,0,0,0.36,0.87,0,0,0.35,0.7,0,0,0.35,0.56,0,10,0.36,0.44,0,20,0.36,0.34,0,300,0.36,0.26,0,3,0.36,0.19,0,50,0.36,0.14,81,91,0.36,0.1,0,8,0.35,0.08,0,0,0.37,0.01,0,0,0.36,0.01,0,0,0.34,0.02,0,0,0.36,0.03,0,0,0.37,0.04,0,0,0.37,0.05,35,35,0.37,0.06,0,5,0.37,0.07,0,0,0.36,0.11,0,0,0.35,0.17,0,9,0.35,0.25,100,600,0.34,0.36,0,10,0.35,0.49,0,1500,0.35,0.66,0,256,0.36,0.84,0,6,0.37,1.03,0,0,0.38,1.24,0,0,0.39,1.45,0,0,0.39,1.65,0,0,0.36,2.16,0.0,0.0,,2.06,0.0,0.0,,0.06,0.0,0.0,0.37,0.04,0.0,140.0,0.36,0.03,0.0,0.0,0.37,0.02,0.0,0.0,0.37,0.01,0.0,71.0,0.4,0.01,0.0,0.0,0.38,1.88,0.0,0.0,0.36,2.12,0.0,30.0,0.37,2.36,0.0,100.0,0.37,2.6,0.0,0.0,0.35,,,,,,,,
2023-04-21 16:00:00,6.27,1.98,0,0,,1.88,0,0,,1.78,0,0,,1.69,0,0,0.39,1.59,0,0,0.37,1.49,0,0,0.34,1.4,0,0,0.36,1.31,0,0,0.37,1.09,0,0,0.36,0.89,0,0,0.36,0.72,0,0,0.36,0.57,0,10,0.36,0.45,0,20,0.36,0.35,0,300,0.36,0.27,0,3,0.37,0.2,0,50,0.36,0.15,0,91,0.37,0.11,0,8,0.37,0.08,0,0,0.37,0.01,0,0,0.36,0.01,0,0,0.34,0.02,0,0,0.37,0.03,0,0,0.38,0.04,0,0,0.38,0.05,20,55,0.38,0.06,0,5,0.37,0.07,0,0,0.37,0.11,0,0,0.36,0.17,0,9,0.36,0.25,300,700,0.35,0.36,54,64,0.36,0.49,0,1500,0.36,0.65,0,256,0.37,0.82,0,6,0.37,1.01,0,0,0.37,1.22,0,0,0.39,1.43,0,0,0.39,1.63,0,0,0.36,2.18,0.0,0.0,,2.08,0.0,0.0,,0.06,0.0,0.0,0.37,0.04,0.0,140.0,0.36,0.03,0.0,0.0,0.37,0.02,0.0,0.0,0.36,0.01,0.0,71.0,0.4,0.01,0.0,0.0,0.38,1.86,0.0,0.0,0.36,2.1,0.0,30.0,0.36,2.34,0.0,100.0,0.36,2.58,0.0,0.0,0.34,,,,,,,,
2023-04-24 16:00:00,6.12,1.83,0,0,,1.73,0,0,,1.63,0,0,,1.54,0,0,0.38,1.44,0,0,0.36,1.35,0,0,0.38,1.25,0,0,0.35,1.16,0,0,0.35,0.95,0,0,0.36,0.76,0,0,0.35,0.62,0,0,0.37,0.48,0,10,0.37,0.38,0,20,0.38,0.28,0,300,0.37,0.21,0,3,0.37,0.16,0,50,0.37,0.11,0,91,0.36,0.08,0,8,0.37,0.06,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.33,0.02,0,0,0.35,0.03,0,0,0.36,0.04,0,0,0.36,0.05,0,55,0.36,0.07,0,5,0.37,0.08,0,0,0.36,0.13,20,20,0.35,0.2,0,9,0.35,0.3,150,550,0.36,0.41,0,64,0.35,0.55,0,1500,0.35,0.72,0,256,0.36,0.91,0,6,0.36,1.11,0,0,0.37,1.33,0,0,0.38,1.54,0,0,0.37,1.77,0,0,0.37,2.03,0.0,0.0,,1.93,0.0,0.0,,0.04,0.0,0.0,0.36,0.03,0.0,140.0,0.37,0.02,0.0,0.0,0.37,0.01,0.0,0.0,0.35,0.01,0.0,71.0,0.39,0.01,0.0,0.0,0.37,2.0,0.0,0.0,0.36,2.24,0.0,30.0,0.35,2.49,0.0,100.0,0.38,2.73,0.0,0.0,0.35,,,,,,,,
2023-04-25 16:00:00,5.94,1.65,0,0,,1.55,0,0,,1.45,0,0,,1.36,0,0,0.36,1.26,0,0,0.34,1.17,0,0,0.35,1.08,0,0,0.35,0.99,0,0,0.34,0.8,0,0,0.36,0.62,0,0,0.35,0.48,0,0,0.35,0.37,1,11,0.36,0.28,0,20,0.36,0.2,0,300,0.35,0.15,0,3,0.36,0.1,0,50,0.35,0.07,0,91,0.35,0.05,0,8,0.36,0.04,0,0,0.37,0.01,0,0,0.32,0.02,0,0,0.35,0.03,0,0,0.36,0.04,0,0,0.35,0.05,30,30,0.35,0.06,0,55,0.34,0.08,0,5,0.35,0.1,0,0,0.35,0.16,0,20,0.35,0.24,0,9,0.34,0.35,550,280,0.34,0.49,0,64,0.35,0.66,0,1500,0.36,0.84,0,256,0.36,1.03,0,6,0.35,1.25,0,0,0.37,1.46,0,0,0.35,1.69,0,0,0.35,1.93,0,0,0.36,1.85,0.0,0.0,,1.75,0.0,0.0,,0.03,0.0,0.0,0.38,0.02,140.0,140.0,0.37,0.01,0.0,0.0,0.36,0.01,0.0,0.0,0.38,0.01,0.0,71.0,0.37,0.01,0.0,0.0,0.35,2.17,0.0,0.0,0.35,2.41,0.0,30.0,0.3,2.66,0.0,100.0,0.34,2.91,0.0,0.0,0.37,,,,,,,,
