time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-03 16:00:00,40.85,10.32,0,0,0.16,9.35,0,0,0.2,8.38,0,0,0.19,7.43,0,0,0.19,6.49,0,0,0.19,5.6,0,0,0.19,4.75,0,0,0.19,4.08,0,0,0.21,3.34,0,0,0.2,2.68,0,0,0.2,2.09,0,0,0.2,1.58,0,2,0.19,1.16,0,0,0.19,0.85,15,15,0.19,0.62,0,1,0.19,0.44,0,0,0.19,0.32,0,0,0.19,0.22,0,0,0.19,0.15,0,0,0.19,0.01,0,0,0.21,0.02,0,0,0.2,0.03,0,0,0.19,0.07,0,0,0.2,0.12,15,0,0.19,0.21,0,0,0.19,0.36,0,3,0.19,0.57,1,10,0.19,0.85,30,75,0.2,1.16,109,139,0.19,1.59,41,30,0.19,2.11,15,15,0.18,2.73,45,45,0.18,3.43,0,0,0.18,4.34,0,0,0.19,5.22,0,0,0.19,6.16,0,0,0.19,7.15,0,0,,8.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07 16:00:00,39.5,8.97,0,0,0.2,8.0,0,0,0.2,7.04,0,0,0.19,6.12,0,0,0.19,5.22,0,0,0.19,4.38,0,0,0.19,3.72,0,0,0.21,3.0,0,0,0.2,2.37,0,0,0.2,1.81,15,15,0.2,1.34,0,0,0.19,0.97,0,2,0.19,0.69,0,15,0.19,0.49,0,30,0.19,0.34,0,1,0.19,0.24,0,0,0.19,0.16,0,0,0.19,0.11,0,0,0.2,0.07,0,0,0.2,0.02,0,0,0.21,0.03,0,0,0.19,0.07,0,0,0.2,0.13,0,0,0.2,0.23,0,0,0.2,0.38,0,0,0.2,0.6,0,3,0.2,0.91,0,10,0.2,1.28,0,75,0.19,1.72,0,184,0.19,2.27,15,37,0.18,2.93,15,33,0.18,3.71,0,45,0.18,4.61,0,0,0.19,5.53,0,0,0.19,6.5,0,0,,7.5,0,0,,8.5,0,0,,9.5,0,0,,0.05,0.0,0.0,0.2,10.5,0.0,0.0,,,,,,,,,,,,,,,,,
2023-11-08 16:00:00,39.25,8.72,0,0,0.2,7.76,0,0,0.2,6.81,0,0,0.2,5.9,0,0,0.2,5.03,0,0,0.2,4.34,0,0,0.22,3.57,0,0,0.22,2.88,0,0,0.21,2.28,0,0,0.21,1.75,0,15,0.21,1.3,0,0,0.2,0.95,22,24,0.2,0.68,0,15,0.2,0.48,0,30,0.2,0.34,0,1,0.2,0.24,0,0,0.2,0.17,0,0,0.2,0.11,0,0,0.2,0.07,0,0,0.2,0.02,0,0,0.2,0.05,4,4,0.21,0.09,0,0,0.2,0.17,0,0,0.2,0.28,0,0,0.2,0.47,0,0,0.2,0.72,0,3,0.2,1.06,0,10,0.21,1.48,0,75,0.21,1.91,15,169,0.2,2.5,15,52,0.2,3.14,0,33,0.19,3.93,0,45,0.19,4.86,0,0,0.2,5.78,0,0,0.2,6.75,0,0,,7.75,0,0,,8.75,0,0,,9.75,0,0,,0.05,0.0,0.0,0.21,10.75,0.0,0.0,,9.69,0.0,0.0,0.19,0.01,0.0,0.0,0.21,,,,,,,,
2023-11-10 16:00:00,38.8,8.27,0,0,0.21,7.32,0,0,0.21,6.39,0,0,0.21,5.5,0,0,0.21,4.66,0,0,0.21,4.0,0,0,0.23,3.27,0,0,0.22,2.62,0,0,0.22,2.06,0,0,0.22,1.56,0,30,0.21,1.17,30,60,0.21,0.84,1,24,0.21,0.61,0,15,0.21,0.43,0,30,0.21,0.3,0,9,0.21,0.21,0,0,0.21,0.15,0,0,0.21,0.1,0,0,0.21,0.07,0,0,0.21,0.04,0,0,0.22,0.07,0,4,0.21,0.13,0,0,0.21,0.23,0,0,0.21,0.38,0,0,0.21,0.6,0,0,0.21,0.87,0,3,0.21,1.23,1,11,0.21,1.65,0,75,0.2,2.19,0,174,0.2,2.81,0,52,0.2,3.51,0,33,0.19,4.42,0,45,0.21,5.29,0,0,0.21,6.22,0,0,0.21,7.2,0,0,,8.2,0,0,,9.2,0,0,,10.2,0,0,,0.05,0.0,0.0,0.22,11.2,0.0,0.0,,9.24,0.0,0.0,0.21,0.02,0.0,0.0,0.22,,,,,,,,
2023-11-15 16:00:00,40.85,10.28,0,0,0.21,9.3,0,0,0.2,8.33,0,0,0.2,7.38,0,0,0.21,6.46,0,0,0.21,5.57,0,0,0.21,4.81,0,0,0.22,4.0,0,0,0.22,3.33,0,0,0.22,2.66,0,45,0.21,2.05,0,75,0.21,1.56,2,39,0.2,1.18,187,195,0.2,0.87,6,36,0.2,0.64,1,7,0.2,0.46,0,0,0.21,0.32,3,3,0.2,0.23,17,17,0.21,0.16,0,0,0.21,0.01,0,0,0.22,0.02,0,4,0.21,0.04,0,0,0.21,0.08,12,12,0.21,0.14,0,0,0.21,0.24,0,0,0.21,0.39,0,3,0.21,0.61,0,11,0.21,0.9,20,75,0.21,1.28,205,379,0.21,1.7,0,67,0.21,2.24,0,33,0.21,2.91,0,45,0.21,3.65,0,0,0.21,4.39,0,0,0.21,5.25,0,0,0.21,6.18,0,0,0.21,7.15,0,0,,8.15,0,0,,0.11,0.0,0.0,0.21,9.15,0.0,0.0,,11.26,0.0,0.0,0.2,0.01,0.0,0.0,0.24,,,,,,,,
2023-11-23 16:00:00,41.05,10.44,0,0,0.16,9.46,0,0,0.2,8.48,0,0,0.19,7.52,0,0,0.2,6.57,0,0,0.2,5.65,0,0,0.2,4.78,0,14,0.2,4.09,0,0,0.22,3.32,0,0,0.21,2.64,0,45,0.21,2.05,0,75,0.2,1.53,0,54,0.2,1.12,15,257,0.2,0.81,0,36,0.2,0.56,31,26,0.2,0.41,0,0,0.2,0.28,0,3,0.2,0.18,0,17,0.2,0.12,0,0,0.2,0.01,0,0,0.23,0.01,0,4,0.2,0.02,0,0,0.2,0.04,0,20,0.2,0.09,0,53,0.2,0.16,0,1,0.2,0.28,0,3,0.2,0.47,0,31,0.2,0.73,0,44,0.2,1.07,0,379,0.2,1.51,0,67,0.2,2.0,0,33,0.2,2.58,0,45,0.19,3.3,0,0,0.19,4.15,0,0,0.2,5.02,0,0,0.2,5.96,0,0,0.2,6.95,0,0,,7.95,0,0,,0.08,0.0,0.0,0.2,8.95,0.0,0.0,,11.43,0.0,0.0,0.22,0.01,0.0,0.0,0.25,,,,,,,,
2023-11-24 16:00:00,40.3,9.69,0,0,0.2,8.71,0,0,0.2,7.74,0,0,0.2,6.79,0,0,0.2,5.86,0,0,0.2,4.98,0,0,0.2,4.27,0,14,0.22,3.48,0,0,0.22,2.78,0,0,0.21,2.17,0,45,0.21,1.65,0,75,0.21,1.23,80,134,0.21,0.88,15,272,0.2,0.6,0,36,0.2,0.43,0,26,0.2,0.3,0,0,0.2,0.2,0,3,0.2,0.13,0,17,0.2,0.08,0,0,0.2,0.01,0,0,0.22,0.02,0,4,0.21,0.04,0,0,0.21,0.07,0,20,0.2,0.13,0,53,0.2,0.24,0,1,0.2,0.4,0,3,0.2,0.64,0,31,0.2,0.97,0,44,0.2,1.32,0,379,0.2,1.8,58,125,0.19,2.38,0,33,0.19,3.06,0,45,0.19,3.94,0,0,0.2,4.8,0,0,0.2,5.72,0,0,0.2,6.7,0,0,,7.7,0,0,,8.7,0,0,,0.05,0.0,0.0,0.2,9.7,0.0,0.0,,10.68,0.0,0.0,0.23,0.01,0.0,0.0,0.24,,,,,,,,
2023-11-29 16:00:00,39.15,8.53,0,0,0.21,7.56,0,0,0.21,6.61,0,0,0.21,5.69,0,0,0.21,4.81,0,0,0.21,4.1,0,0,0.23,3.33,0,14,0.23,2.64,0,0,0.22,2.05,0,0,0.22,1.55,45,90,0.22,1.12,6,107,0.21,0.78,0,149,0.21,0.55,0,272,0.21,0.37,1,37,0.21,0.25,0,26,0.21,0.17,0,0,0.21,0.11,0,3,0.21,0.07,0,17,0.21,0.05,0,0,0.22,0.02,0,0,0.22,0.04,0,4,0.22,0.07,0,20,0.21,0.14,0,20,0.21,0.26,0,53,0.21,0.43,15,16,0.21,0.68,30,33,0.21,1.02,0,31,0.21,1.43,0,44,0.21,1.9,10,410,0.21,2.53,0,125,0.21,3.23,0,33,0.2,4.07,0,45,0.21,4.94,0,0,0.21,5.87,0,0,0.21,6.85,0,0,,7.85,0,0,,8.85,0,0,,9.85,0,0,,0.03,0.0,0.0,0.22,10.85,0.0,0.0,,9.51,0.0,0.0,0.21,0.01,0.0,0.0,0.23,,,,,,,,
