time,inst_ids
2023-01-03 16:00:00,"CKH2301,CKH2302,CKH2303,CKH2306,CKH2312,CKH2304,CKH2309,"
2023-01-04 16:00:00,"CKH2302,CKH2301,CKH2303,CKH2304,CKH2306,CKH2312,CKH2309,"
2023-01-06 16:00:00,"CKH2303,CKH2301,CKH2302,CKH2304,CKH2306,CKH2309,CKH2312,"
2023-01-09 16:00:00,"CKH2302,CKH2301,CKH2304,CKH2303,CKH2312,CKH2309,CKH2306,"
2023-01-10 16:00:00,"CKH2301,CKH2302,CKH2303,CKH2312,CKH2304,CKH2309,CKH2306,"
2023-01-11 16:00:00,"CKH2301,CKH2302,CKH2304,CKH2303,CKH2312,CKH2309,CKH2306,"
2023-01-16 16:00:00,"CKH2301,CKH2302,CKH2303,CKH2304,CKH2306,CKH2309,CKH2312,"
2023-01-26 16:00:00,"CKH2302,CKH2301,CKH2303,CKH2304,CKH2306,CKH2312,CKH2309,"
2023-01-30 16:00:00,"CKH2301,CKH2302,CKH2303,CKH2304,CKH2306,CKH2312,CKH2309,"
2023-02-03 16:00:00,"CKH2303,CKH2302,CKH2305,CKH2304,CKH2306,CKH2312,CKH2309,"
2023-02-06 16:00:00,"CKH2304,CKH2303,CKH2305,CKH2309,CKH2302,CKH2312,CKH2306,"
2023-02-07 16:00:00,"CKH2302,CKH2305,CKH2304,CKH2303,CKH2312,CKH2309,CKH2306,"
2023-02-13 16:00:00,"CKH2302,CKH2303,CKH2305,CKH2306,CKH2312,CKH2309,CKH2304,"
2023-02-15 16:00:00,"CKH2304,CKH2305,CKH2303,CKH2302,CKH2306,CKH2312,CKH2309,"
2023-02-22 16:00:00,"CKH2303,CKH2302,CKH2304,CKH2305,CKH2312,CKH2309,CKH2306,"
2023-03-07 16:00:00,"CKH2303,CKH2304,CKH2305,CKH2306,CKH2312,CKH2309,CKH2403,"
2023-03-08 16:00:00,"CKH2303,CKH2304,CKH2306,CKH2305,CKH2403,CKH2312,CKH2309,"
2023-03-09 16:00:00,"CKH2304,CKH2303,CKH2306,CKH2305,CKH2403,CKH2312,CKH2309,"
2023-03-14 16:00:00,"CKH2306,CKH2303,CKH2305,CKH2304,CKH2403,CKH2312,CKH2309,"
2023-03-15 16:00:00,"CKH2303,CKH2305,CKH2306,CKH2304,CKH2309,CKH2312,CKH2403,"
2023-03-16 16:00:00,"CKH2303,CKH2304,CKH2305,CKH2306,CKH2403,CKH2312,CKH2309,"
2023-03-17 16:00:00,"CKH2303,CKH2304,CKH2305,CKH2306,CKH2309,CKH2403,CKH2312,"
2023-03-20 16:00:00,"CKH2303,CKH2305,CKH2304,CKH2306,CKH2312,CKH2309,CKH2403,"
2023-03-21 16:00:00,"CKH2305,CKH2303,CKH2304,CKH2306,CKH2403,CKH2312,CKH2309,"
2023-03-29 16:00:00,"CKH2304,CKH2305,CKH2303,CKH2403,CKH2309,CKH2306,CKH2312,"
2023-04-03 16:00:00,"CKH2306,CKH2304,CKH2305,CKH2312,CKH2307,CKH2403,CKH2309,"
2023-04-06 16:00:00,"CKH2304,CKH2306,CKH2305,CKH2307,CKH2309,CKH2403,CKH2312,"
2023-04-12 16:00:00,"CKH2304,CKH2305,CKH2403,CKH2306,CKH2307,CKH2309,CKH2312,"
2023-04-21 16:00:00,"CKH2304,CKH2403,CKH2305,CKH2306,CKH2307,CKH2309,CKH2312,"
2023-04-24 16:00:00,"CKH2306,CKH2305,CKH2304,CKH2307,CKH2309,CKH2403,CKH2312,"
2023-04-27 16:00:00,"CKH2305,CKH2307,CKH2306,CKH2304,CKH2309,CKH2403,CKH2312,"
2023-04-28 16:00:00,"CKH2305,CKH2306,CKH2307,CKH2403,CKH2308,CKH2309,CKH2312,"
2023-05-02 16:00:00,"CKH2403,CKH2305,CKH2307,CKH2306,CKH2308,CKH2309,CKH2312,"
2023-05-04 16:00:00,"CKH2403,CKH2305,CKH2306,CKH2307,CKH2308,CKH2309,CKH2312,"
2023-05-17 16:00:00,"CKH2305,CKH2306,CKH2307,CKH2308,CKH2403,CKH2312,CKH2309,"
2023-05-18 16:00:00,"CKH2305,CKH2306,CKH2307,CKH2309,CKH2308,CKH2403,CKH2312,"
2023-05-19 16:00:00,"CKH2306,CKH2305,CKH2307,CKH2308,CKH2312,CKH2403,CKH2309,"
2023-05-22 16:00:00,"CKH2305,CKH2306,CKH2307,CKH2308,CKH2312,CKH2403,CKH2309,"
2023-05-23 16:00:00,"CKH2307,CKH2306,CKH2305,CKH2308,CKH2403,CKH2309,CKH2312,"
2023-05-29 16:00:00,"CKH2308,CKH2306,CKH2305,CKH2403,CKH2312,CKH2307,CKH2309,"
2023-05-30 16:00:00,"CKH2403,CKH2312,CKH2306,CKH2305,CKH2307,CKH2308,CKH2309,"
2023-05-31 16:00:00,"CKH2403,CKH2309,CKH2306,CKH2308,CKH2307,CKH2312,CKH2406,"
2023-06-01 16:00:00,"CKH2403,CKH2306,CKH2309,CKH2307,CKH2308,CKH2406,CKH2312,"
2023-06-02 16:00:00,"CKH2306,CKH2308,CKH2307,CKH2309,CKH2406,CKH2312,CKH2403,"
2023-06-05 16:00:00,"CKH2306,CKH2307,CKH2308,CKH2309,CKH2406,CKH2403,CKH2312,"
2023-06-07 16:00:00,"CKH2306,CKH2307,CKH2308,CKH2309,CKH2406,CKH2403,CKH2312,"
2023-06-13 16:00:00,"CKH2307,CKH2308,CKH2306,CKH2309,CKH2312,CKH2406,CKH2403,"
2023-06-14 16:00:00,"CKH2309,CKH2307,CKH2306,CKH2308,CKH2406,CKH2403,CKH2312,"
2023-06-16 16:00:00,"CKH2306,CKH2307,CKH2308,CKH2309,CKH2403,CKH2312,CKH2406,"
2023-06-23 16:00:00,"CKH2307,CKH2306,CKH2308,CKH2309,CKH2406,CKH2312,CKH2403,"
2023-06-27 16:00:00,"CKH2307,CKH2306,CKH2309,CKH2308,CKH2312,CKH2406,CKH2403,"
2023-06-29 16:00:00,"CKH2307,CKH2306,CKH2308,CKH2309,CKH2403,CKH2406,CKH2312,"
2023-07-06 16:00:00,"CKH2307,CKH2308,CKH2309,CKH2403,CKH2312,CKH2310,CKH2406,"
2023-07-07 16:00:00,"CKH2403,CKH2307,CKH2308,CKH2309,CKH2312,CKH2310,CKH2406,"
2023-07-10 16:00:00,"CKH2307,CKH2403,CKH2310,CKH2309,CKH2308,CKH2312,CKH2406,"
2023-07-11 16:00:00,"CKH2307,CKH2308,CKH2310,CKH2309,CKH2403,CKH2406,CKH2312,"
2023-07-13 16:00:00,"CKH2307,CKH2308,CKH2309,CKH2310,CKH2312,CKH2406,CKH2403,"
2023-07-18 16:00:00,"CKH2310,CKH2307,CKH2309,CKH2308,CKH2406,CKH2403,CKH2312,"
2023-07-20 16:00:00,"CKH2309,CKH2308,CKH2307,CKH2310,CKH2312,CKH2406,CKH2403,"
2023-07-24 16:00:00,"CKH2308,CKH2309,CKH2307,CKH2310,CKH2406,CKH2403,CKH2312,"
2023-07-27 16:00:00,"CKH2307,CKH2308,CKH2309,CKH2312,CKH2406,CKH2310,CKH2403,"
2023-07-28 16:00:00,"CKH2308,CKH2307,CKH2309,CKH2310,CKH2406,CKH2403,CKH2312,"
2023-07-31 16:00:00,"CKH2308,CKH2309,CKH2310,CKH2311,CKH2406,CKH2312,CKH2403,"
2023-08-01 16:00:00,"CKH2308,CKH2310,CKH2311,CKH2309,CKH2403,CKH2312,CKH2406,"
2023-08-02 16:00:00,"CKH2308,CKH2309,CKH2312,CKH2310,CKH2311,CKH2406,CKH2403,"
2023-08-04 16:00:00,"CKH2308,CKH2311,CKH2309,CKH2310,CKH2312,CKH2403,CKH2406,"
2023-08-07 16:00:00,"CKH2311,CKH2406,CKH2308,CKH2310,CKH2309,CKH2403,CKH2312,"
2023-08-08 16:00:00,"CKH2406,CKH2308,CKH2310,CKH2309,CKH2311,CKH2312,CKH2403,"
2023-08-09 16:00:00,"CKH2308,CKH2309,CKH2311,CKH2310,CKH2312,CKH2403,CKH2406,"
2023-08-14 16:00:00,"CKH2310,CKH2309,CKH2308,CKH2311,CKH2403,CKH2312,CKH2406,"
2023-08-17 16:00:00,"CKH2308,CKH2309,CKH2311,CKH2310,CKH2406,CKH2312,CKH2403,"
2023-08-18 16:00:00,"CKH2309,CKH2310,CKH2308,CKH2311,CKH2312,CKH2406,CKH2403,"
2023-08-21 16:00:00,"CKH2309,CKH2308,CKH2310,CKH2406,CKH2312,CKH2311,CKH2403,"
2023-08-25 16:00:00,"CKH2309,CKH2308,CKH2311,CKH2310,CKH2312,CKH2403,CKH2406,"
2023-08-30 16:00:00,"CKH2309,CKH2310,CKH2308,CKH2406,CKH2312,CKH2311,CKH2403,"
2023-09-04 16:00:00,"CKH2309,CKH2310,CKH2312,CKH2311,CKH2403,CKH2406,CKH2409,"
2023-09-06 16:00:00,"CKH2309,CKH2311,CKH2310,CKH2312,CKH2409,CKH2403,CKH2406,"
2023-09-07 16:00:00,"CKH2311,CKH2310,CKH2309,CKH2312,CKH2409,CKH2406,CKH2403,"
2023-09-11 16:00:00,"CKH2309,CKH2311,CKH2312,CKH2310,CKH2409,CKH2406,CKH2403,"
2023-09-14 16:00:00,"CKH2309,CKH2310,CKH2311,CKH2312,CKH2403,CKH2409,CKH2406,"
2023-09-27 16:00:00,"CKH2309,CKH2310,CKH2311,CKH2312,CKH2409,CKH2406,CKH2403,"
2023-09-28 16:00:00,"CKH2310,CKH2309,CKH2311,CKH2406,CKH2312,CKH2403,CKH2409,"
2023-09-29 16:00:00,"CKH2310,CKH2311,CKH2312,CKH2401,CKH2403,CKH2406,CKH2409,"
2023-10-03 16:00:00,"CKH2312,CKH2310,CKH2311,CKH2401,CKH2403,CKH2409,CKH2406,"
