time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-07-31 16:00:00,38.45,10.08,0,0,0.35,9.19,0,0,0.35,8.34,0,0,0.35,7.52,0,0,0.35,6.74,0,0,0.35,6.17,0,0,0.37,5.48,0,0,0.37,4.83,0,0,0.36,4.2,0,0,0.36,3.66,0,0,0.36,3.19,200,108,0.36,2.75,152,152,0.35,2.35,0,0,0.35,2.01,0,0,0.35,1.7,0,0,0.35,1.44,0,0,0.35,1.21,20,20,0.35,1.01,0,0,0.35,0.84,7,7,0.35,0.21,0,0,0.35,0.32,0,0,0.35,0.46,0,0,0.35,0.63,4,4,0.35,0.82,30,30,0.34,1.06,30,30,0.34,1.35,36,36,0.34,1.7,32,30,0.34,2.09,19,19,0.34,2.54,3,3,0.34,3.05,124,124,0.33,3.64,156,156,0.34,4.31,0,0,0.34,4.96,0,0,0.34,5.7,0,0,0.34,6.47,0,0,0.35,7.27,0,0,0.35,8.12,0,0,0.35,8.98,0,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01 16:00:00,37.85,9.49,0,0,0.34,8.61,0,0,0.34,7.77,0,0,0.34,6.96,0,0,0.34,6.28,0,0,0.35,5.55,0,0,0.35,4.87,0,0,0.35,4.26,1,1,0.34,3.69,1,1,0.34,3.2,0,0,0.34,2.76,0,108,0.34,2.38,0,152,0.35,2.02,0,0,0.35,1.7,0,0,0.34,1.43,0,0,0.34,1.19,30,30,0.34,0.99,0,20,0.34,0.82,2,2,0.34,0.67,0,7,0.34,0.23,3,3,0.34,0.34,0,0,0.34,0.49,0,0,0.34,0.68,32,36,0.34,0.9,0,30,0.34,1.16,38,68,0.34,1.47,0,36,0.34,1.84,0,30,0.33,2.28,0,19,0.33,2.77,0,3,0.33,3.35,0,124,0.34,3.98,0,156,0.34,4.66,0,0,0.35,5.39,0,0,0.35,6.16,0,0,0.35,6.96,0,0,0.36,7.79,0,0,0.36,8.65,0,0,0.36,9.54,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02 16:00:00,36.75,8.48,0,0,0.34,7.62,0,0,0.34,6.81,0,0,0.34,6.09,0,0,0.34,5.36,0,0,0.34,4.67,0,0,0.34,4.09,0,0,0.34,3.52,1,1,0.34,3.03,0,1,0.34,2.6,0,0,0.34,2.21,0,108,0.34,1.87,0,152,0.34,1.56,40,40,0.34,1.3,0,0,0.34,1.08,0,0,0.34,0.88,0,30,0.34,0.72,0,20,0.34,0.59,0,2,0.34,0.48,0,7,0.34,0.3,0,3,0.34,0.44,0,0,0.34,0.62,26,26,0.34,0.85,0,36,0.34,1.09,70,100,0.34,1.4,40,108,0.33,1.77,1,37,0.33,2.2,0,30,0.33,2.71,0,19,0.33,3.26,0,3,0.33,3.92,0,124,0.34,4.61,0,156,0.34,5.35,0,0,0.35,6.13,0,0,0.35,6.95,0,0,0.36,7.79,0,0,0.36,8.66,0,0,0.36,9.43,0,0,0.34,10.35,0,0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03 16:00:00,37.0,8.71,0,0,0.34,7.86,0,0,0.34,7.04,0,0,0.34,6.41,0,0,0.37,5.63,0,0,0.36,4.94,0,0,0.35,4.29,0,0,0.35,3.75,0,1,0.35,3.22,0,1,0.35,2.77,0,0,0.35,2.36,0,108,0.35,2.0,0,152,0.35,1.68,5,40,0.35,1.41,0,0,0.35,1.17,0,0,0.35,0.97,0,30,0.35,0.79,0,20,0.34,0.65,0,2,0.34,0.53,0,7,0.34,0.29,0,3,0.34,0.43,0,0,0.34,0.6,0,26,0.34,0.82,0,36,0.34,1.06,0,100,0.34,1.34,2,110,0.34,1.7,0,37,0.33,2.11,0,30,0.33,2.58,0,19,0.33,3.14,0,3,0.33,3.73,0,124,0.33,4.39,0,156,0.34,5.12,0,0,0.34,5.88,0,0,0.34,6.68,0,0,0.34,7.52,0,0,0.35,8.38,0,0,0.35,9.22,0,0,0.34,10.13,0,0,0.34,9.6,0.0,0.0,0.34,0.19,0.0,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04 16:00:00,37.4,9.09,0,0,0.35,8.22,0,0,0.34,7.39,0,0,0.34,6.6,0,0,0.34,5.94,0,0,0.36,5.22,0,0,0.35,4.56,0,0,0.35,3.99,0,1,0.35,3.44,0,1,0.35,2.97,30,30,0.35,2.54,31,139,0.35,2.18,59,119,0.35,1.85,30,70,0.35,1.56,30,30,0.35,1.3,0,0,0.35,1.08,0,30,0.35,0.89,0,20,0.35,0.74,0,2,0.35,0.6,0,7,0.35,0.27,0,3,0.35,0.39,0,0,0.35,0.56,0,26,0.35,0.76,0,36,0.35,0.99,1,100,0.35,1.27,0,110,0.34,1.61,0,37,0.34,2.0,0,30,0.34,2.45,0,19,0.34,2.99,30,30,0.34,3.55,0,124,0.34,4.22,0,156,0.34,4.92,0,0,0.35,5.66,0,0,0.35,6.45,0,0,0.35,7.27,0,0,0.36,8.12,0,0,0.36,8.99,0,0,0.37,9.79,0,0,0.35,9.98,0.0,0.0,0.34,0.18,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08 16:00:00,35.75,7.54,0,0,0.34,6.71,0,0,0.34,6.04,0,0,0.36,5.29,0,0,0.35,4.59,0,0,0.35,3.98,0,0,0.35,3.42,0,0,0.35,2.91,0,1,0.35,2.47,0,2,0.35,2.1,230,236,0.35,1.75,52,191,0.35,1.45,0,119,0.35,1.2,0,70,0.35,0.98,0,30,0.35,0.8,0,60,0.35,0.65,0,30,0.35,0.52,60,80,0.34,0.42,0,2,0.34,0.32,0,7,0.34,0.39,0,3,0.34,0.56,5,5,0.34,0.78,21,47,0.35,1.04,0,36,0.34,1.34,0,100,0.34,1.7,0,110,0.34,2.11,254,168,0.33,2.61,0,30,0.34,3.16,0,19,0.34,3.81,0,30,0.34,4.5,0,124,0.34,5.23,0,156,0.35,6.04,0,0,0.35,6.86,0,0,0.36,7.69,0,0,0.36,8.49,0,0,0.34,9.39,0,0,0.34,10.33,0,0,0.34,11.28,0,0,0.34,8.4,0.0,0.0,0.34,0.26,3.0,3.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-09 16:00:00,35.0,6.88,0,0,0.35,6.08,0,0,0.34,5.38,0,0,0.35,4.67,0,0,0.35,4.03,0,0,0.35,3.45,0,0,0.34,2.94,0,0,0.35,2.48,0,1,0.34,2.11,0,2,0.35,1.78,0,236,0.35,1.48,0,191,0.35,1.21,3,122,0.35,0.99,30,100,0.35,0.81,0,30,0.35,0.65,0,60,0.35,0.52,0,30,0.35,0.42,0,80,0.35,0.33,0,2,0.35,0.26,0,7,0.35,0.49,0,3,0.35,0.68,30,35,0.35,0.94,36,83,0.35,1.23,62,98,0.35,1.58,0,100,0.34,1.99,0,110,0.34,2.46,0,168,0.34,3.03,0,30,0.34,3.67,0,19,0.35,4.32,0,30,0.35,5.05,0,124,0.35,5.82,0,156,0.36,6.64,0,0,0.36,7.49,0,0,0.36,8.25,0,0,0.34,9.15,0,0,0.34,10.08,0,0,0.34,11.04,0,0,0.35,12.01,0,0,0.35,7.72,0.0,0.0,0.35,0.33,0.0,3.0,0.35,8.59,0.0,0.0,0.34,0.22,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10 16:00:00,34.95,6.83,0,0,0.35,6.04,0,0,0.35,5.28,0,0,0.34,4.58,0,0,0.34,3.96,0,0,0.34,3.39,0,0,0.34,2.88,0,0,0.34,2.42,0,1,0.34,2.05,91,92,0.35,1.72,62,298,0.35,1.45,25,178,0.35,1.19,0,122,0.35,0.97,0,100,0.35,0.79,0,30,0.35,0.63,0,60,0.35,0.51,0,30,0.35,0.41,0,80,0.35,0.32,0,2,0.35,0.25,0,7,0.35,0.49,0,3,0.35,0.69,0,35,0.35,0.94,68,151,0.35,1.26,0,98,0.35,1.62,0,100,0.35,2.04,0,110,0.35,2.51,0,168,0.35,3.06,0,30,0.35,3.73,0,19,0.36,4.42,0,30,0.36,5.15,0,124,0.36,5.94,0,156,0.37,6.76,0,0,0.38,7.62,0,0,0.38,8.29,0,0,0.34,9.2,0,0,0.35,10.13,0,0,0.35,11.08,0,0,0.34,12.06,0,0,0.35,7.66,0.0,0.0,0.34,0.33,0.0,3.0,0.35,8.54,0.0,0.0,0.35,0.22,0.0,0.0,0.35,9.45,0.0,0.0,0.35,0.14,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
