time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,18.50,18.50,18.50,18.50,18.50,18.50,18.50,18.50,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-30 16:00:00,27.3,8.97,0,0,0.32,8.53,0,0,0.32,8.1,0,0,0.32,7.27,0,0,0.32,6.49,0,0,0.32,5.78,0,0,0.32,5.12,0,0,0.32,4.51,0,0,0.32,3.97,0,0,0.32,3.48,0,0,0.32,3.06,0,0,0.32,2.66,0,0,0.32,2.34,0,0,0.32,2.03,0,0,0.32,1.78,0,0,0.32,1.54,0,0,0.32,1.35,0,0,0.32,1.17,0,0,0.32,1.02,0,0,0.32,0.64,6,6,0.32,0.73,2,2,0.32,0.85,0,0,0.32,1.12,8,8,0.32,1.43,0,0,0.32,1.81,0,0,0.32,2.22,0,0,0.32,2.69,0,0,0.32,3.21,0,0,0.32,3.76,1,1,0.32,4.38,0,0,0.32,5.01,0,0,0.32,5.7,12,12,0.32,6.41,0,0,0.32,7.17,0,0,0.32,7.94,0,0,0.32,8.74,0,0,0.32,9.56,0,0,0.32,10.41,12,12,0.32,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01 16:00:00,26.7,8.38,5,5,0.32,7.94,0,0,0.31,7.51,0,0,0.31,6.69,0,0,0.31,5.91,0,0,0.31,5.19,0,0,0.31,4.53,0,0,0.31,3.93,0,0,0.3,3.41,0,0,0.3,2.95,0,0,0.3,2.56,0,0,0.3,2.2,0,0,0.3,1.88,0,0,0.3,1.62,0,0,0.3,1.38,0,0,0.3,1.19,0,0,0.3,1.01,0,0,0.3,0.88,0,0,0.3,0.74,0,0,0.3,0.61,4,10,0.3,0.73,0,2,0.31,0.83,0,0,0.3,1.11,0,8,0.3,1.44,0,0,0.3,1.82,0,0,0.3,2.26,0,0,0.3,2.83,0,0,0.31,3.35,2,2,0.31,3.9,0,1,0.3,4.51,0,0,0.3,5.2,20,20,0.3,5.9,0,12,0.3,6.66,0,0,0.3,7.44,0,0,0.3,8.25,0,0,0.3,9.08,0,0,0.3,9.93,0,0,0.3,10.8,0,12,0.3,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04 16:00:00,26.35,8.26,0,5,0.38,7.81,0,0,0.37,7.37,0,0,0.36,6.53,0,0,0.34,5.75,0,0,0.33,5.03,0,0,0.32,4.38,1,1,0.32,3.69,0,0,0.3,3.18,0,0,0.3,2.75,0,0,0.3,2.36,0,0,0.3,2.02,0,0,0.3,1.74,8,8,0.3,1.48,0,0,0.3,1.27,0,0,0.3,1.09,0,0,0.3,0.93,0,0,0.3,0.79,2,2,0.3,0.67,0,0,0.3,0.65,0,10,0.3,0.77,0,2,0.31,0.89,9,9,0.3,1.2,0,8,0.31,1.56,1,1,0.31,1.96,0,0,0.31,2.36,0,0,0.3,2.87,0,0,0.3,3.42,0,2,0.3,4.03,0,1,0.3,4.74,0,0,0.31,5.39,0,20,0.3,6.08,0,12,0.3,6.83,0,0,0.3,7.85,5,5,0.33,8.66,2,2,0.33,9.49,0,0,0.33,10.34,0,0,0.33,11.21,0,12,0.33,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05 16:00:00,25.9,7.62,0,5,0.31,7.19,0,0,0.31,6.77,0,0,0.31,5.96,0,0,0.31,5.22,0,0,0.3,4.55,0,0,0.3,3.95,0,1,0.3,3.41,0,0,0.3,2.94,0,0,0.3,2.52,0,0,0.3,2.17,0,0,0.3,1.84,0,0,0.3,1.59,0,8,0.3,1.35,10,10,0.3,1.16,0,0,0.3,0.98,0,0,0.3,0.84,0,0,0.3,0.71,0,2,0.3,0.63,0,0,0.31,0.72,5,15,0.3,0.84,0,2,0.3,0.97,0,9,0.3,1.28,0,8,0.3,1.66,0,1,0.3,2.08,0,0,0.3,2.55,0,0,0.3,3.09,0,0,0.3,3.75,7,9,0.31,4.29,0,1,0.3,4.97,0,0,0.3,5.68,0,20,0.3,6.43,0,12,0.3,7.2,0,0,0.3,8.02,0,5,0.3,8.84,5,7,0.3,9.7,0,0,0.3,10.57,0,0,0.3,11.46,0,12,0.3,8.06,0.0,0.0,0.31,0.62,2.0,2.0,0.31,,,,,,,,,,,,,,,,
2023-12-06 16:00:00,26.55,8.47,0,5,0.39,8.01,0,0,0.37,7.57,0,0,0.36,6.73,0,0,0.35,5.94,0,0,0.34,5.21,0,0,0.33,4.42,0,1,0.31,3.85,0,0,0.31,3.34,0,0,0.31,2.9,0,0,0.31,2.49,0,0,0.31,2.15,0,0,0.31,1.85,0,8,0.31,1.59,0,10,0.31,1.36,0,0,0.31,1.17,0,0,0.31,1.03,30,30,0.31,0.86,0,2,0.31,0.75,31,31,0.31,0.64,0,15,0.31,0.76,0,2,0.31,0.89,0,9,0.31,1.18,0,8,0.31,1.49,0,1,0.31,1.87,0,0,0.31,2.33,0,0,0.31,2.82,0,0,0.31,3.37,0,9,0.31,3.97,0,1,0.31,4.6,0,0,0.31,5.29,0,20,0.31,5.99,0,12,0.3,6.69,0,0,0.3,7.44,0,5,0.29,8.24,0,7,0.29,9.07,0,0,0.29,9.91,0,0,0.28,10.78,0,12,0.28,8.9,0.0,0.0,0.39,0.55,0.0,2.0,0.31,,,,,,,,,,,,,,,,
2023-12-07 16:00:00,25.85,7.78,0,5,0.37,7.34,0,0,0.36,6.9,1,1,0.35,6.08,0,0,0.34,5.33,0,0,0.33,4.57,0,0,0.31,4.03,0,1,0.32,3.38,2,2,0.31,2.91,0,0,0.31,2.49,131,131,0.3,2.14,131,131,0.3,1.82,0,0,0.3,1.57,0,8,0.31,1.33,0,10,0.3,1.14,0,0,0.3,0.97,0,0,0.31,0.83,0,30,0.31,0.7,0,2,0.31,0.6,42,73,0.31,0.75,0,15,0.31,0.84,0,2,0.3,1.02,0,9,0.31,1.3,0,8,0.31,1.67,0,1,0.3,2.1,0,0,0.3,2.58,0,0,0.31,3.12,0,0,0.31,3.7,0,9,0.3,4.38,131,131,0.31,5.01,131,131,0.31,5.71,0,20,0.3,6.47,0,12,0.31,7.19,0,0,0.3,7.99,0,5,0.3,8.81,0,7,0.29,9.64,0,0,0.29,10.5,0,0,0.28,11.38,0,12,0.28,8.23,0.0,0.0,0.39,0.63,4.0,6.0,0.31,,,,,,,,,,,,,,,,
2023-12-08 16:00:00,25.4,7.4,0,5,0.38,7.0,0,0,0.38,6.61,0,1,0.37,5.85,0,0,0.36,5.15,0,0,0.36,4.52,0,0,0.35,3.95,0,1,0.35,3.44,26,28,0.35,2.92,0,0,0.33,2.53,0,131,0.33,2.2,0,131,0.33,1.9,0,0,0.33,1.66,0,8,0.33,1.43,0,10,0.33,1.25,0,0,0.33,1.07,0,0,0.33,0.93,0,30,0.33,0.81,0,2,0.33,0.72,19,92,0.34,1.0,0,15,0.34,1.16,0,2,0.34,1.32,0,9,0.34,1.65,0,8,0.33,2.04,0,1,0.33,2.46,0,0,0.33,2.95,0,0,0.32,3.48,0,0,0.32,4.08,0,9,0.32,4.7,0,131,0.32,5.38,0,131,0.32,6.07,0,20,0.31,6.81,0,12,0.31,7.56,0,0,0.3,8.36,0,5,0.3,9.19,0,7,0.29,10.06,0,0,0.29,10.94,0,0,0.29,11.82,0,12,0.28,7.8,0.0,0.0,0.38,0.87,0.0,6.0,0.34,,,,,,,,,,,,,,,,
2023-12-11 16:00:00,24.95,6.77,0,5,0.33,6.36,0,0,0.33,5.96,0,1,0.32,5.21,0,0,0.32,4.53,0,0,0.32,3.91,0,0,0.32,3.39,0,1,0.32,2.92,0,28,0.32,2.5,0,0,0.32,2.15,0,131,0.32,1.83,0,131,0.32,1.58,0,0,0.32,1.34,0,8,0.32,1.15,0,10,0.32,0.97,0,0,0.32,0.86,20,20,0.32,0.71,0,30,0.32,0.61,8,10,0.32,0.53,0,92,0.32,0.96,0,15,0.32,1.11,0,2,0.32,1.27,10,19,0.32,1.64,0,8,0.32,2.07,0,1,0.32,2.54,0,0,0.32,3.08,0,0,0.32,3.67,0,0,0.32,4.29,0,9,0.32,4.97,0,131,0.32,5.68,0,131,0.32,6.44,0,20,0.32,7.21,0,12,0.32,8.03,0,0,0.32,8.85,0,5,0.32,9.71,0,7,0.32,10.58,0,0,0.32,11.48,0,0,0.32,12.38,0,12,0.32,7.19,0.0,0.0,0.33,0.82,2.0,8.0,0.32,7.62,0.0,0.0,0.33,0.72,30.0,30.0,0.32,,,,,,,,
