time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-10-04 16:00:00,15.72,4.96,0,0,0.42,4.5,0,0,0.41,4.06,0,0,0.4,3.67,0,0,0.42,3.24,0,0,0.4,2.85,0,0,0.39,2.49,0,0,0.39,2.14,0,0,0.38,1.84,0,0,0.38,1.56,0,0,0.37,1.32,0,0,0.37,1.1,0,15,0.37,0.92,0,0,0.37,0.76,0,0,0.37,0.64,0,30,0.37,0.53,13,28,0.37,0.43,0,0,0.37,0.35,0,0,0.37,0.28,0,0,0.37,0.18,235,235,0.37,0.05,0,0,0.38,0.08,0,0,0.37,0.13,0,0,0.37,0.19,0,0,0.37,0.28,0,0,0.37,0.4,0,1,0.38,0.54,3,3,0.37,0.71,0,53,0.38,0.9,0,0,0.37,1.12,0,15,0.37,1.37,0,0,0.37,1.66,0,0,0.37,1.98,0,0,0.37,2.33,0,0,0.37,2.7,0,0,0.37,3.11,0,0,0.37,3.53,0,0,0.38,3.98,0,0,0.39,4.43,0,0,0.39,5.37,0,0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-11 16:00:00,16.08,5.3,0,0,0.44,4.81,0,0,0.4,4.34,0,0,0.38,3.9,0,0,0.38,3.42,0,0,0.35,3.02,0,0,0.35,2.71,0,0,0.38,2.34,0,0,0.37,2.0,0,0,0.37,1.7,0,0,0.36,1.42,0,0,0.36,1.18,0,15,0.35,0.98,0,0,0.35,0.81,0,0,0.36,0.66,0,30,0.35,0.53,0,28,0.35,0.43,0,8,0.35,0.34,0,0,0.35,0.27,15,15,0.35,0.17,0,235,0.35,0.03,0,0,0.37,0.04,0,2,0.35,0.07,0,0,0.35,0.12,0,0,0.36,0.18,0,0,0.35,0.27,0,1,0.36,0.38,15,18,0.35,0.52,0,53,0.35,0.7,0,0,0.36,0.88,0,15,0.35,1.11,0,0,0.35,1.37,0,0,0.35,1.67,0,0,0.34,2.0,0,0,0.35,2.36,0,0,0.35,2.75,0,0,0.35,3.15,0,0,0.35,3.58,0,0,0.35,4.09,0,0,0.38,4.99,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 16:00:00,16.22,5.44,0,0,0.45,4.97,0,0,0.43,4.52,0,0,0.43,4.07,0,0,0.41,3.63,0,0,0.4,3.14,0,0,0.35,2.77,0,0,0.36,2.43,0,0,0.37,2.05,0,0,0.35,1.74,0,0,0.35,1.5,0,0,0.36,1.25,22,37,0.36,1.02,15,15,0.35,0.84,11,11,0.35,0.7,15,15,0.35,0.57,8,28,0.35,0.45,0,8,0.35,0.36,0,0,0.35,0.3,0,15,0.36,0.19,0,235,0.36,0.02,0,0,0.35,0.04,0,2,0.36,0.07,0,0,0.36,0.11,0,0,0.36,0.17,0,0,0.36,0.25,0,1,0.36,0.35,0,18,0.35,0.49,8,61,0.36,0.65,0,0,0.36,0.83,73,66,0.35,1.04,0,0,0.35,1.31,0,0,0.35,1.62,0,0,0.35,1.93,2,2,0.35,2.3,0,0,0.36,2.68,0,0,0.36,3.08,0,0,0.36,3.51,0,0,0.37,3.95,0,0,0.38,4.87,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-13 16:00:00,15.94,5.16,0,0,0.44,4.69,0,0,0.42,4.28,0,0,0.44,3.81,0,0,0.41,3.39,0,0,0.4,2.89,0,0,0.35,2.58,0,0,0.38,2.22,0,0,0.37,1.9,0,0,0.37,1.6,0,0,0.36,1.33,10,10,0.36,1.11,0,37,0.36,0.91,0,15,0.36,0.75,15,15,0.36,0.6,0,15,0.35,0.49,0,28,0.36,0.39,0,8,0.35,0.31,0,0,0.35,0.24,65,80,0.35,0.15,0,235,0.35,0.03,0,0,0.37,0.05,0,2,0.36,0.08,0,0,0.36,0.12,0,0,0.35,0.19,0,0,0.35,0.28,0,1,0.35,0.4,0,18,0.35,0.55,90,126,0.35,0.71,0,0,0.35,0.91,0,66,0.35,1.14,10,10,0.34,1.41,0,0,0.34,1.72,0,0,0.34,2.06,0,2,0.34,2.43,0,0,0.34,2.82,0,0,0.34,3.23,0,0,0.34,3.72,0,0,0.36,4.15,0,0,0.36,5.1,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16 16:00:00,15.54,4.78,0,0,0.45,4.35,0,0,0.46,3.9,0,0,0.44,3.45,0,0,0.41,2.94,0,0,0.35,2.6,0,0,0.38,2.24,0,0,0.37,1.91,0,0,0.37,1.61,0,0,0.37,1.32,0,0,0.36,1.09,30,40,0.36,0.89,0,37,0.35,0.72,0,15,0.35,0.59,0,15,0.36,0.47,0,15,0.36,0.38,0,28,0.36,0.29,0,8,0.35,0.23,15,15,0.36,0.18,200,215,0.36,0.11,0,235,0.36,0.04,0,0,0.37,0.06,0,2,0.36,0.1,0,0,0.36,0.16,0,0,0.36,0.24,15,15,0.36,0.35,215,216,0.36,0.49,200,218,0.36,0.65,2,128,0.35,0.85,30,30,0.35,1.07,15,81,0.35,1.34,0,10,0.35,1.63,0,0,0.34,1.98,0,0,0.35,2.37,0,2,0.36,2.76,0,0,0.36,3.18,0,0,0.36,3.6,0,0,0.36,4.02,0,0,0.34,4.49,0,0,0.34,5.48,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-19 16:00:00,14.88,4.15,0,0,0.44,3.69,0,0,0.42,3.27,0,0,0.42,2.76,0,0,0.35,2.45,0,0,0.39,2.08,0,0,0.38,1.75,0,0,0.37,1.44,0,0,0.36,1.18,0,0,0.36,0.96,0,102,0.36,0.75,0,120,0.35,0.6,12,91,0.35,0.48,13,28,0.35,0.38,0,15,0.36,0.3,4,20,0.36,0.23,0,43,0.36,0.18,0,8,0.36,0.14,12,27,0.36,0.11,0,216,0.36,0.06,0,235,0.36,0.06,1,1,0.37,0.09,0,2,0.36,0.15,0,0,0.36,0.23,0,1,0.36,0.35,0,15,0.36,0.49,0,216,0.36,0.67,0,218,0.36,0.87,39,167,0.36,1.1,0,30,0.35,1.4,0,96,0.36,1.66,5,15,0.34,2.04,0,0,0.35,2.41,0,0,0.34,2.83,5,7,0.35,3.24,0,0,0.34,3.68,0,0,0.34,4.15,0,0,0.34,4.63,0,0,0.34,5.12,0,0,,6.12,0,0,,4.65,0.0,0.0,0.5,0.03,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-20 16:00:00,14.98,4.18,0,0,0.38,3.71,0,0,0.36,3.3,0,0,0.38,2.84,0,0,0.35,2.48,0,0,0.37,2.1,0,0,0.36,1.78,0,0,0.36,1.47,0,0,0.35,1.2,0,0,0.35,0.98,0,102,0.35,0.79,0,120,0.35,0.63,0,91,0.35,0.5,0,28,0.35,0.39,0,15,0.35,0.31,0,20,0.35,0.24,0,43,0.35,0.19,0,8,0.36,0.14,0,27,0.35,0.11,0,216,0.36,0.06,0,235,0.36,0.05,0,1,0.36,0.08,0,2,0.35,0.14,0,0,0.36,0.21,0,1,0.35,0.32,0,15,0.36,0.46,0,216,0.36,0.63,0,218,0.36,0.83,0,167,0.36,1.06,1,31,0.35,1.34,0,96,0.36,1.65,0,15,0.35,2.0,0,0,0.36,2.38,0,0,0.36,2.78,0,7,0.36,3.2,0,0,0.36,3.68,0,0,0.39,4.15,0,0,0.4,4.62,0,0,0.42,5.11,0,0,0.44,6.11,0,0,0.49,4.64,0.0,0.0,0.37,0.03,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25 16:00:00,14.9,4.1,0,0,0.39,3.64,0,0,0.38,3.17,0,0,0.35,2.72,0,0,0.33,2.32,0,0,0.33,1.94,0,0,0.33,1.62,0,1,0.33,1.32,0,0,0.33,1.06,0,0,0.33,0.84,0,102,0.33,0.66,0,130,0.33,0.51,15,91,0.33,0.4,0,28,0.33,0.3,0,15,0.33,0.23,1,20,0.33,0.18,0,43,0.34,0.12,0,8,0.33,0.1,0,27,0.34,0.07,0,216,0.34,0.04,0,235,0.34,0.04,0,1,0.35,0.07,0,2,0.35,0.11,0,0,0.34,0.18,0,1,0.34,0.28,0,15,0.34,0.42,0,218,0.34,0.58,0,218,0.34,0.78,0,167,0.34,1.04,0,36,0.34,1.33,0,96,0.35,1.64,0,15,0.34,1.96,0,0,0.33,2.39,0,0,0.35,2.81,0,7,0.36,3.29,0,0,0.38,3.74,0,0,0.39,4.21,0,0,0.41,4.68,0,0,0.42,5.2,0,0,0.46,6.18,0,0,0.5,4.58,0.0,0.0,0.42,0.02,0.0,0.0,0.35,5.05,0.0,0.0,0.42,0.01,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,
