time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,4.00,4.00,4.00,4.00,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,4.30,4.30,4.30,4.30,4.40,4.40,4.40,4.40,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,4.00,4.00,4.00,4.00,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,4.30,4.30,4.30,4.30,4.40,4.40,4.40,4.40,4.50,4.50,4.50,4.50,4.60,4.60,4.60,4.60,4.70,4.70,4.70,4.70,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-03-07 16:00:00,5.46,1.49,0,0,0.28,1.4,0,0,0.34,1.3,0,0,0.31,1.21,0,0,0.33,1.11,0,0,0.3,1.03,0,0,0.33,0.94,0,0,0.32,0.85,0,0,0.31,0.77,0,0,0.31,0.7,0,0,0.32,0.63,30,20,0.32,0.48,0,0,0.33,0.34,8,38,0.32,0.24,0,529,0.32,0.16,0,1227,0.32,0.11,0,20,0.33,0.07,0,0,0.32,0.04,0,0,0.32,0.03,0,0,0.33,0.01,0,0,0.3,0.01,0,0,0.33,0.01,0,0,0.36,0.01,0,0,0.35,0.01,0,0,0.33,0.01,0,0,0.31,0.01,0,0,0.28,0.02,0,0,0.3,0.03,0,5,0.3,0.04,0,40,0.3,0.06,0,0,0.31,0.08,0,0,0.31,0.1,0,0,0.31,0.13,0,0,0.31,0.21,0,0,0.3,0.33,0,0,0.31,0.47,0,450,0.3,0.66,0,0,0.31,0.86,0,0,0.32,1.07,60,60,0.31,1.3,0,0,0.3,1.54,0,0,,1.79,0,0,,2.04,0,0,,2.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-10 16:00:00,5.25,1.28,0,0,0.27,1.19,0,0,0.31,1.09,0,0,0.28,1.0,0,0,0.29,0.91,0,0,0.29,0.83,0,0,0.31,0.75,0,0,0.31,0.67,0,0,0.31,0.59,0,0,0.3,0.52,0,0,0.3,0.47,0,20,0.32,0.33,0,0,0.31,0.22,0,45,0.31,0.14,0,529,0.31,0.09,0,1247,0.31,0.06,0,20,0.32,0.03,0,0,0.3,0.02,0,0,0.32,0.01,0,20,0.31,0.01,0,0,0.34,0.01,0,0,0.37,0.01,0,0,0.4,0.01,0,0,0.32,0.01,0,0,0.3,0.01,0,0,0.27,0.02,0,0,0.29,0.03,0,0,0.29,0.05,0,5,0.31,0.06,0,40,0.29,0.08,0,0,0.3,0.11,0,0,0.3,0.14,0,0,0.3,0.17,0,0,0.3,0.28,0,0,0.3,0.42,0,0,0.29,0.61,0,450,0.31,0.81,0,0,0.31,1.02,0,0,0.29,1.26,0,60,0.31,1.5,0,0,,1.75,0,0,,2.0,0,0,,2.25,0,0,,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15 16:00:00,5.74,1.77,0,0,0.37,1.67,0,0,0.34,1.57,0,0,0.31,1.47,0,0,0.28,1.38,0,0,0.33,1.28,0,0,0.31,1.19,0,0,0.32,1.1,0,0,0.32,1.01,0,0,0.32,0.93,0,0,0.33,0.85,0,20,0.33,0.66,0,0,0.33,0.51,0,75,0.34,0.37,0,529,0.34,0.26,0,1267,0.33,0.18,0,20,0.33,0.12,0,0,0.33,0.08,0,0,0.34,0.05,0,20,0.33,0.03,0,0,0.33,0.02,0,0,0.34,0.01,0,0,0.33,0.01,0,0,0.42,0.01,0,0,0.39,0.01,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.32,0.01,0,5,0.3,0.02,0,40,0.32,0.04,0,0,0.35,0.05,0,0,0.34,0.06,0,0,0.33,0.08,0,0,0.34,0.13,0,0,0.32,0.21,414,414,0.32,0.33,0,450,0.32,0.49,0,0,0.34,0.64,150,150,0.32,0.84,0,60,0.32,1.06,0,0,0.34,1.28,0,0,0.33,1.52,0,0,0.34,1.76,0,0,,2.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-16 16:00:00,5.79,1.82,0,0,0.39,1.72,0,0,0.36,1.62,0,0,0.33,1.53,0,0,0.37,1.43,0,0,0.35,1.34,0,0,0.36,1.24,0,0,0.33,1.15,0,0,0.34,1.07,0,0,0.36,0.98,0,0,0.35,0.9,0,20,0.35,0.71,0,0,0.35,0.56,30,75,0.36,0.42,0,529,0.36,0.31,199,1267,0.36,0.22,0,20,0.36,0.15,0,0,0.36,0.1,0,0,0.35,0.07,10,30,0.36,0.05,0,0,0.37,0.03,0,0,0.36,0.02,0,0,0.36,0.01,0,0,0.43,0.01,0,0,0.4,0.01,0,0,0.38,0.01,0,0,0.36,0.01,0,0,0.33,0.02,0,5,0.35,0.03,0,40,0.36,0.04,0,0,0.36,0.05,0,0,0.36,0.06,0,0,0.35,0.08,0,0,0.35,0.13,0,0,0.34,0.22,0,414,0.35,0.32,0,450,0.34,0.46,0,0,0.34,0.62,0,150,0.33,0.82,0,60,0.35,1.03,0,0,0.35,1.25,0,0,0.36,1.48,0,0,0.36,1.72,0,0,0.37,1.96,0,0,,0.01,0.0,0.0,0.35,2.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 16:00:00,6.06,2.09,0,0,0.43,1.99,0,0,0.4,1.89,0,0,0.37,1.79,0,0,0.34,1.69,0,0,0.31,1.6,0,0,0.37,1.5,0,0,0.34,1.41,0,0,0.36,1.32,0,0,0.37,1.23,0,0,0.36,1.14,0,20,0.36,0.93,0,0,0.36,0.74,0,75,0.35,0.59,0,529,0.37,0.45,0,1267,0.37,0.33,0,20,0.36,0.24,0,0,0.36,0.17,0,0,0.36,0.12,0,30,0.36,0.08,0,0,0.36,0.06,0,0,0.37,0.04,0,0,0.37,0.01,0,0,0.47,0.01,0,0,0.45,0.01,0,0,0.42,0.01,0,0,0.4,0.01,0,0,0.38,0.01,0,5,0.36,0.01,0,40,0.33,0.02,0,0,0.36,0.03,0,0,0.37,0.04,0,0,0.36,0.05,0,0,0.36,0.09,0,0,0.36,0.14,0,414,0.34,0.23,0,450,0.35,0.33,0,0,0.34,0.46,0,150,0.34,0.62,0,60,0.33,0.82,0,0,0.35,1.02,0,0,0.35,1.24,0,0,0.36,1.48,684,684,0.39,1.7,0,0,0.35,0.02,0.0,0.0,0.35,1.94,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-20 16:00:00,5.89,1.92,0,0,0.43,1.82,0,0,0.4,1.72,0,0,0.37,1.63,0,0,0.41,1.53,0,0,0.38,1.44,0,0,0.4,1.35,0,0,0.4,1.26,0,0,0.4,1.17,0,0,0.39,1.08,0,0,0.38,1.0,0,20,0.39,0.81,0,0,0.39,0.62,16,61,0.37,0.5,0,529,0.39,0.39,11,1267,0.4,0.29,0,20,0.4,0.21,0,0,0.4,0.15,0,0,0.4,0.11,0,30,0.4,0.07,0,0,0.39,0.05,0,0,0.4,0.03,0,0,0.39,0.01,0,0,0.46,0.01,0,0,0.43,0.01,0,0,0.41,0.01,0,0,0.38,0.01,0,0,0.36,0.02,0,5,0.38,0.03,0,40,0.39,0.04,0,0,0.39,0.05,0,0,0.39,0.07,0,0,0.4,0.08,0,0,0.39,0.14,0,0,0.39,0.21,0,414,0.38,0.31,460,910,0.38,0.44,30,30,0.38,0.61,0,150,0.39,0.78,0,60,0.39,0.97,0,0,0.39,1.18,0,0,0.39,1.4,0,0,0.39,1.63,0,684,0.39,1.87,0,0,0.39,0.02,0.0,0.0,0.39,2.11,0.0,0.0,,0.01,0.0,0.0,0.37,2.36,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27 16:00:00,5.58,1.6,0,0,,1.51,0,0,0.39,1.41,0,0,0.36,1.31,0,0,0.33,1.22,0,0,0.35,1.13,0,0,0.36,1.04,0,0,0.36,0.95,0,0,0.35,0.87,0,0,0.36,0.78,0,0,0.35,0.71,0,20,0.36,0.55,0,0,0.37,0.4,0,61,0.37,0.28,420,714,0.36,0.19,0,1267,0.36,0.13,0,20,0.36,0.08,0,0,0.36,0.05,0,0,0.36,0.03,0,30,0.36,0.02,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.39,0.01,0,0,0.43,0.01,0,0,0.4,0.01,0,0,0.37,0.01,0,0,0.35,0.01,0,0,0.32,0.02,0,5,0.34,0.04,0,40,0.37,0.05,0,0,0.36,0.06,0,0,0.35,0.08,0,0,0.36,0.11,0,0,0.37,0.18,0,0,0.36,0.27,0,416,0.34,0.42,0,910,0.36,0.59,0,30,0.37,0.77,0,150,0.36,0.97,0,60,0.35,1.2,0,0,0.36,1.43,0,0,0.35,1.67,0,0,,1.92,0,684,,2.17,0,0,,0.01,0.0,0.0,0.42,2.42,0.0,0.0,,0.01,0.0,0.0,0.45,2.67,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29 16:00:00,5.49,1.51,0,0,,1.42,0,0,0.38,1.32,0,0,0.35,1.23,0,0,0.37,1.13,0,0,0.34,1.04,0,0,0.35,0.96,0,0,0.37,0.87,0,0,0.36,0.79,0,0,0.36,0.71,0,0,0.36,0.64,0,20,0.37,0.48,0,0,0.37,0.34,6,67,0.36,0.24,12,714,0.37,0.16,27,1267,0.37,0.11,0,20,0.37,0.07,0,0,0.37,0.04,0,0,0.36,0.03,0,30,0.38,0.01,0,0,0.34,0.01,0,0,0.38,0.01,0,0,0.41,0.01,0,0,0.42,0.01,0,0,0.39,0.01,0,0,0.36,0.01,0,0,0.33,0.02,0,0,0.35,0.04,0,5,0.39,0.05,0,40,0.38,0.06,0,0,0.37,0.08,0,0,0.37,0.1,0,0,0.37,0.12,20,20,0.36,0.21,0,0,0.36,0.32,0,416,0.36,0.47,0,910,0.36,0.64,0,30,0.36,0.84,0,150,0.37,1.05,0,60,0.36,1.28,0,0,0.37,1.52,0,0,0.38,1.76,0,0,,2.01,0,684,,2.26,0,0,,0.01,0.0,0.0,0.44,2.51,0.0,0.0,,0.01,0.0,0.0,0.47,2.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
