time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-06-15 16:00:00,34.1,15.13,0,0,0.41,14.3,0,0,0.41,13.48,0,0,0.4,12.67,0,0,0.4,11.71,0,0,0.37,10.96,0,0,0.37,10.23,0,0,0.37,9.5,0,0,0.36,8.86,0,0,0.36,8.22,0,0,0.36,7.65,0,0,0.36,7.08,0,0,0.36,6.56,0,0,0.36,6.07,0,0,0.36,5.59,0,0,0.36,5.18,0,0,0.36,4.77,0,0,0.36,4.39,0,0,0.36,4.05,0,0,0.36,3.71,0,0,0.36,3.42,0,0,0.36,3.15,0,0,0.36,2.87,0,0,0.36,2.64,0,0,0.36,0.27,0,0,0.36,0.37,0,0,0.36,0.5,0,0,0.36,0.65,0,0,0.36,0.83,0,2,0.36,1.04,0,1,0.36,1.29,0,0,0.36,1.56,0,0,0.36,1.88,0,1,0.36,2.22,0,0,0.36,2.61,0,0,0.36,3.02,0,1,0.36,3.48,0,0,0.36,3.97,0,0,0.36,4.47,0,0,0.36,5.04,0,0,0.36,5.61,0,0,0.36,6.23,0,0,0.36,6.87,0,0,0.36,7.53,0,0,0.36,8.23,0,0,0.36,8.96,0,0,0.36,9.69,0,0,0.36,10.78,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-23 16:00:00,31.75,13.14,0,0,0.45,12.3,0,0,0.44,11.41,0,0,0.42,10.71,0,0,0.42,9.97,0,0,0.41,9.25,0,0,0.41,8.34,0,0,0.37,7.71,0,0,0.37,7.14,0,0,0.37,6.58,0,0,0.37,6.08,0,0,0.37,5.59,0,0,0.37,5.14,0,0,0.37,4.73,0,0,0.37,4.32,0,0,0.37,3.98,0,0,0.37,3.65,0,0,0.37,3.33,0,0,0.37,3.06,0,0,0.37,2.79,0,0,0.37,2.54,0,0,0.37,2.33,0,0,0.37,2.13,0,0,0.37,1.93,0,0,0.37,0.43,0,0,0.37,0.58,0,0,0.37,0.76,0,0,0.37,0.96,0,0,0.37,1.22,0,2,0.38,1.48,0,1,0.37,1.81,0,0,0.37,2.15,0,1,0.37,2.56,0,1,0.38,2.97,0,0,0.37,3.44,1,1,0.37,3.94,0,1,0.37,4.47,0,0,0.37,5.04,0,0,0.37,5.63,0,0,0.38,6.27,0,0,0.37,6.93,0,0,0.37,7.61,0,0,0.37,8.33,0,0,0.37,9.07,0,0,0.38,10.12,0,0,0.4,10.87,0,0,0.4,11.76,0,0,0.41,12.43,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-27 16:00:00,33.75,14.95,0,0,0.45,14.12,0,0,0.45,13.31,0,0,0.44,12.5,0,0,0.43,11.71,0,0,0.42,10.94,0,0,0.41,10.03,0,0,0.39,9.24,0,0,0.37,8.6,0,0,0.37,7.98,0,0,0.37,7.42,0,0,0.37,6.86,0,0,0.37,6.36,0,0,0.37,5.88,0,0,0.37,5.43,0,0,0.37,5.01,0,0,0.37,4.6,0,0,0.37,4.25,0,0,0.37,3.92,0,0,0.37,3.58,0,0,0.37,3.31,0,0,0.37,3.04,0,0,0.37,2.77,0,0,0.37,2.56,0,0,0.37,0.3,0,0,0.37,0.41,0,0,0.37,0.55,0,0,0.37,0.71,0,0,0.37,0.91,0,2,0.37,1.13,0,1,0.37,1.39,0,0,0.37,1.68,1,1,0.37,2.01,0,1,0.37,2.36,0,0,0.37,2.77,0,1,0.37,3.19,0,1,0.37,3.67,0,0,0.37,4.16,0,0,0.37,4.7,0,0,0.37,5.27,0,0,0.37,5.85,0,0,0.37,6.49,0,0,0.37,7.14,0,0,0.37,7.8,0,0,0.37,8.53,0,0,0.37,9.25,0,0,0.37,9.99,0,0,0.37,10.78,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10 16:00:00,31.45,12.86,0,0,0.46,12.03,0,0,0.44,11.23,0,0,0.43,10.24,0,0,0.39,9.5,0,0,0.39,8.73,0,0,0.38,8.1,0,0,0.38,7.47,0,0,0.38,6.91,0,0,0.38,6.35,0,0,0.38,5.86,0,0,0.38,5.37,0,0,0.38,4.94,0,0,0.38,4.53,0,0,0.38,4.14,0,0,0.38,3.8,0,1,0.38,3.46,0,0,0.38,3.17,0,0,0.38,2.9,0,0,0.38,2.63,0,0,0.38,2.41,0,0,0.38,2.2,0,0,0.38,1.99,0,0,0.38,1.82,0,0,0.38,0.43,0,1,0.38,0.58,0,1,0.38,0.76,0,2,0.38,0.96,0,0,0.38,1.22,0,2,0.38,1.49,0,1,0.38,1.82,0,0,0.38,2.17,0,1,0.38,2.58,0,1,0.38,2.99,0,0,0.38,3.48,0,1,0.38,3.97,0,1,0.38,4.52,0,0,0.38,5.09,0,0,0.38,5.7,0,0,0.38,6.35,0,0,0.38,7.0,0,0,0.38,7.71,0,0,0.38,8.44,0,0,0.38,9.17,0,0,0.38,10.26,0,0,0.41,10.75,0,0,0.38,11.62,0,0,0.39,12.42,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20 16:00:00,32.2,13.34,0,0,0.42,12.51,0,0,0.42,11.69,0,0,0.41,10.9,0,0,0.4,10.14,0,0,0.4,9.27,0,0,0.38,8.58,0,0,0.37,7.95,0,0,0.38,7.34,0,0,0.38,6.77,0,0,0.38,6.23,0,0,0.38,5.74,0,0,0.38,5.25,0,0,0.38,4.83,0,0,0.38,4.42,0,0,0.38,4.04,0,1,0.37,3.7,0,0,0.37,3.36,0,0,0.37,3.09,0,0,0.38,2.81,0,0,0.37,2.55,0,0,0.38,2.34,0,0,0.38,2.13,0,0,0.38,1.92,0,0,0.38,0.35,0,1,0.38,0.48,1,0,0.38,0.63,3,2,0.38,0.82,0,0,0.38,1.03,0,2,0.37,1.29,0,2,0.37,1.58,0,0,0.38,1.91,0,1,0.38,2.28,0,1,0.38,2.68,0,0,0.38,3.12,0,1,0.38,3.6,0,1,0.38,4.1,0,0,0.38,4.66,0,0,0.37,5.24,0,0,0.38,5.86,0,1,0.38,6.5,0,0,0.37,7.17,0,0,0.38,7.88,0,0,0.37,8.61,0,0,0.37,9.36,0,0,0.38,10.15,0,0,0.38,11.21,0,0,0.4,12.0,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25 16:00:00,34.05,15.08,0,0,0.43,14.23,0,0,0.43,13.18,0,0,0.38,12.37,0,0,0.38,11.71,0,0,0.4,11.04,0,0,0.41,10.24,0,0,0.4,9.6,0,0,0.4,8.82,0,0,0.39,8.18,0,0,0.38,7.61,0,0,0.39,7.04,0,0,0.38,6.52,0,0,0.38,6.04,0,0,0.38,5.56,0,0,0.38,5.15,0,1,0.38,4.74,0,0,0.38,4.36,0,0,0.38,4.03,0,0,0.39,3.69,0,0,0.38,3.4,0,0,0.39,3.13,0,0,0.39,2.85,0,0,0.38,2.62,0,0,0.38,0.27,0,1,0.38,0.38,0,0,0.39,0.51,0,2,0.39,0.66,0,0,0.39,0.85,0,2,0.39,1.05,0,2,0.38,1.31,0,0,0.38,1.57,0,1,0.38,1.9,0,1,0.38,2.24,0,0,0.38,2.64,0,1,0.38,3.05,0,1,0.38,3.51,0,0,0.38,4.0,0,0,0.38,4.51,0,0,0.38,5.08,0,1,0.38,5.65,0,0,0.38,6.27,0,0,0.38,6.92,0,0,0.38,7.58,0,0,0.38,8.29,0,0,0.38,9.01,0,0,0.38,9.75,0,0,0.38,10.84,0,0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26 16:00:00,34.35,15.43,0,0,0.45,14.56,0,0,0.44,13.73,0,0,0.43,12.91,0,0,0.43,12.09,0,0,0.42,11.31,0,0,0.41,10.62,0,0,0.41,9.89,0,0,0.41,8.93,0,0,0.37,8.29,0,0,0.37,7.69,0,0,0.37,7.12,0,0,0.37,6.57,0,0,0.37,6.08,0,0,0.37,5.59,0,0,0.37,5.17,0,1,0.37,4.75,0,0,0.37,4.36,0,0,0.37,4.01,0,0,0.37,3.67,0,0,0.37,3.37,0,0,0.37,3.09,0,0,0.37,2.82,0,0,0.37,2.58,0,0,0.37,0.23,0,1,0.37,0.32,0,0,0.37,0.42,0,2,0.37,0.57,0,0,0.37,0.73,0,2,0.37,0.93,0,2,0.37,1.16,0,0,0.37,1.42,0,1,0.37,1.72,0,1,0.37,2.05,0,0,0.37,2.42,0,1,0.37,2.83,0,1,0.37,3.26,0,0,0.37,3.74,0,0,0.37,4.24,0,0,0.37,4.79,0,1,0.37,5.36,0,0,0.37,5.96,0,0,0.37,6.61,0,0,0.37,7.26,0,0,0.37,7.96,0,0,0.37,8.68,0,0,0.37,9.42,0,0,0.37,10.49,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-27 16:00:00,35.7,16.55,0,0,0.41,15.66,0,0,0.4,14.8,0,0,0.4,13.96,0,0,0.4,13.16,0,0,0.4,12.36,0,0,0.39,11.61,0,0,0.39,10.86,0,0,0.39,10.11,0,0,0.38,9.41,0,0,0.38,8.71,0,0,0.37,8.1,0,0,0.37,7.53,0,0,0.37,6.96,0,0,0.37,6.47,0,0,0.37,5.98,0,1,0.37,5.52,0,0,0.37,5.11,0,0,0.37,4.69,0,0,0.37,4.34,0,0,0.37,4.0,0,0,0.37,3.66,0,0,0.37,3.38,0,0,0.37,3.11,0,0,0.37,0.18,0,1,0.37,0.25,0,0,0.37,0.35,0,2,0.37,0.46,0,0,0.37,0.61,0,2,0.37,0.77,0,2,0.37,0.97,0,0,0.37,1.2,0,1,0.37,1.46,0,1,0.37,1.76,0,0,0.37,2.09,0,1,0.37,2.44,0,1,0.37,2.85,0,0,0.37,3.26,0,0,0.37,3.74,0,0,0.37,4.23,0,1,0.37,4.77,0,0,0.37,5.33,0,0,0.37,5.91,0,0,0.37,6.54,0,0,0.37,7.2,0,0,0.37,7.86,0,0,0.37,8.58,0,0,0.37,9.3,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
