time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,37.00,37.00,37.00,37.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-03 16:00:00,23.05,7.9,0,0,0.27,7.41,0,0,0.24,6.93,0,0,0.26,6.45,0,0,0.26,5.97,0,0,0.25,5.5,0,1,0.25,5.04,0,0,0.26,4.59,0,0,0.26,4.15,0,0,0.25,3.73,0,0,0.25,3.05,0,60,0.28,2.35,0,0,0.27,1.77,0,15,0.26,1.29,0,33,0.26,0.91,0,110,0.26,0.63,0,417,0.26,0.43,0,280,0.26,0.29,0,298,0.26,0.19,30,276,0.26,0.12,0,207,0.26,0.08,0,20,0.26,0.04,0,111,0.25,0.03,0,68,0.26,0.02,0,58,0.26,0.01,0,5,0.26,0.01,0,59,0.27,0.08,0,3,0.25,0.12,0,0,0.25,0.18,0,10,0.25,0.26,0,6,0.26,0.36,0,103,0.26,0.48,0,165,0.26,0.63,0,112,0.26,0.8,0,99,0.26,1.0,0,49,0.26,1.22,0,151,0.26,1.67,9,176,0.24,2.27,10,192,0.24,2.96,0,128,0.23,3.72,0,27,0.22,4.68,0,0,0.26,5.56,0,0,0.25,6.47,0,60,0.25,7.41,0,10,0.25,8.36,0,0,0.26,9.32,0,0,0.26,10.29,0,15,0.26,11.26,0,0,0.26,12.23,0,0,0.25,13.21,0,0,0.28,14.18,0,0,0.21,15.16,0,0,0.28,,,,,,,,
2023-01-04 16:00:00,22.8,7.67,0,0,0.19,7.18,0,0,,6.7,0,0,0.24,6.22,0,0,0.24,5.74,0,0,0.24,5.26,0,1,0.23,4.8,0,0,0.24,4.34,0,0,0.23,3.9,0,0,0.23,3.48,0,0,0.23,2.78,0,60,0.25,2.08,0,0,0.24,1.51,0,15,0.24,1.05,0,33,0.24,0.72,0,110,0.24,0.49,0,417,0.24,0.33,0,280,0.24,0.21,150,347,0.24,0.14,0,276,0.25,0.08,0,207,0.24,0.05,0,20,0.25,0.03,0,111,0.25,0.01,0,68,0.23,0.01,0,58,0.25,0.01,0,5,0.26,0.01,0,59,0.28,0.06,0,3,0.23,0.1,0,0,0.23,0.15,0,10,0.23,0.22,0,6,0.23,0.32,0,103,0.24,0.43,0,165,0.23,0.58,0,112,0.24,0.75,85,51,0.24,0.96,42,31,0.24,1.2,0,151,0.24,1.65,0,176,0.22,2.29,20,212,0.22,3.01,0,128,0.21,3.8,0,27,0.2,4.78,0,0,0.23,5.69,0,0,0.23,6.63,0,60,0.23,7.58,0,10,0.24,8.54,0,0,0.24,9.5,0,0,0.22,10.47,0,15,0.2,11.45,0,0,0.25,12.42,0,0,,13.4,0,0,0.27,14.37,0,0,,15.35,0,0,0.28,,,,,,,,
2023-01-05 16:00:00,22.9,7.77,0,0,0.25,7.28,0,0,0.2,6.79,0,0,,6.31,0,0,0.22,5.82,0,0,0.2,5.34,0,1,0.2,4.87,0,0,0.21,4.4,0,0,0.21,3.95,0,0,0.21,3.51,0,0,0.21,2.77,0,60,0.23,2.06,0,0,0.23,1.47,0,15,0.22,1.02,0,33,0.22,0.69,0,110,0.23,0.46,10,417,0.23,0.3,0,280,0.23,0.19,0,347,0.23,0.11,0,276,0.23,0.06,0,207,0.23,0.04,0,20,0.23,0.02,0,111,0.23,0.01,0,68,0.23,0.01,0,58,0.24,0.01,0,5,0.26,0.01,0,59,0.28,0.03,0,3,0.21,0.06,0,0,0.21,0.09,0,10,0.21,0.15,0,6,0.21,0.22,0,103,0.21,0.32,0,165,0.21,0.45,0,112,0.21,0.61,0,51,0.21,0.8,0,31,0.21,1.02,0,151,0.21,1.5,0,176,0.2,2.11,606,818,0.2,2.84,0,128,0.19,3.65,0,27,0.17,4.64,0,0,0.21,5.56,0,0,0.21,6.51,0,60,0.21,7.46,0,10,0.2,8.43,0,0,0.21,9.4,0,0,0.2,10.38,0,15,0.23,11.35,0,0,0.21,12.33,0,0,0.26,13.3,0,0,,14.28,0,0,0.27,15.25,0,0,,,,,,,,,
2023-01-06 16:00:00,22.85,7.72,0,0,0.27,7.23,0,0,0.24,6.74,0,0,0.19,6.26,0,0,0.23,5.77,0,0,0.21,5.3,0,1,0.22,4.82,0,0,0.21,4.36,0,0,0.22,3.91,0,0,0.22,3.48,0,0,0.22,2.76,0,60,0.24,2.04,0,0,0.23,1.46,0,15,0.23,0.99,0,33,0.22,0.66,0,110,0.22,0.45,127,479,0.23,0.28,0,280,0.23,0.17,0,347,0.23,0.11,0,276,0.23,0.06,0,207,0.23,0.03,0,20,0.23,0.02,0,111,0.23,0.01,0,68,0.23,0.01,0,58,0.25,0.01,0,5,0.26,0.01,0,59,0.28,0.04,0,3,0.22,0.07,0,0,0.22,0.11,0,10,0.22,0.18,0,6,0.22,0.26,0,103,0.22,0.37,0,165,0.22,0.5,0,112,0.22,0.67,0,51,0.22,0.87,0,31,0.22,1.1,2,151,0.23,1.56,0,176,0.21,2.19,0,818,0.2,2.92,0,128,0.2,3.72,0,27,0.18,4.71,0,0,0.22,5.63,0,0,0.22,6.57,0,60,0.22,7.52,0,10,0.21,8.49,0,0,0.22,9.46,0,0,0.23,10.43,0,15,0.21,11.41,0,0,0.25,12.38,0,0,0.19,13.36,0,0,0.27,14.33,0,0,,15.31,0,0,0.27,,,,,,,,
2023-01-09 16:00:00,23.0,7.86,0,0,0.23,7.37,0,0,,6.88,0,0,,6.4,0,0,0.23,5.91,0,0,0.2,5.43,0,1,0.21,4.94,0,0,0.18,4.47,0,0,0.19,4.01,0,0,0.2,3.55,0,0,0.19,2.75,0,60,0.21,2.07,0,0,0.22,1.47,0,15,0.22,1.03,0,33,0.22,0.7,0,110,0.22,0.46,600,1079,0.23,0.3,0,280,0.23,0.19,0,347,0.23,0.12,0,276,0.23,0.07,0,207,0.23,0.04,0,20,0.23,0.02,0,111,0.23,0.01,0,68,0.23,0.01,0,58,0.24,0.01,0,5,0.26,0.01,0,59,0.28,0.02,0,3,0.2,0.03,0,0,0.19,0.06,0,10,0.2,0.1,0,6,0.19,0.16,0,103,0.2,0.24,0,165,0.19,0.36,0,112,0.2,0.5,0,51,0.2,0.67,0,31,0.2,0.89,0,151,0.2,1.42,0,176,0.2,2.01,0,818,0.19,2.71,0,128,0.17,3.52,0,27,0.15,4.39,0,0,,5.46,0,0,0.2,6.41,0,60,0.2,7.37,0,10,0.19,8.34,0,0,0.17,9.32,0,0,0.21,10.29,0,15,,11.27,0,0,0.22,12.24,0,0,,13.22,0,0,,14.2,0,0,0.26,15.17,0,0,,,,,,,,,
2023-01-10 16:00:00,23.25,8.11,0,0,0.27,7.62,0,0,0.23,7.13,0,0,,6.65,0,0,0.24,6.16,0,0,0.22,5.68,0,1,0.22,5.21,0,0,0.23,4.74,0,0,0.23,4.28,0,0,0.22,3.84,0,0,0.22,3.01,0,60,0.22,2.35,0,0,0.24,1.7,10,5,0.23,1.2,0,33,0.23,0.81,110,10,0.23,0.53,10,1089,0.23,0.33,44,324,0.23,0.2,0,347,0.23,0.12,0,276,0.23,0.07,0,207,0.23,0.04,0,20,0.23,0.03,0,111,0.24,0.01,0,68,0.22,0.01,0,58,0.24,0.01,0,5,0.26,0.01,0,59,0.27,0.03,0,3,0.22,0.06,0,0,0.23,0.09,0,10,0.22,0.14,0,6,0.22,0.21,0,103,0.22,0.31,0,165,0.23,0.42,0,112,0.23,0.56,44,81,0.23,0.74,0,31,0.23,0.95,0,151,0.23,1.37,0,176,0.22,1.96,0,818,0.21,2.65,0,128,0.21,3.42,0,27,0.19,4.25,0,0,0.17,5.27,0,0,0.22,6.2,0,60,0.22,7.15,0,10,0.22,8.11,0,0,0.22,9.08,0,0,0.22,10.05,0,15,0.22,11.03,0,0,0.25,12.0,0,0,0.21,12.98,0,0,0.26,13.95,0,0,,14.93,0,0,0.24,,,,,,,,
2023-01-11 16:00:00,24.35,9.21,0,0,0.31,8.72,0,0,0.28,8.23,0,0,0.25,7.74,0,0,0.19,7.25,0,0,,6.77,0,1,0.23,6.28,0,0,0.21,5.81,0,0,0.23,5.33,0,0,0.22,4.87,0,0,0.23,3.97,0,60,0.22,3.14,0,0,0.22,2.41,0,5,0.22,1.78,0,33,0.22,1.28,15,25,0.22,0.91,6,1087,0.23,0.61,30,354,0.23,0.39,7,347,0.22,0.25,44,320,0.23,0.15,100,207,0.22,0.09,0,20,0.22,0.06,0,111,0.23,0.03,0,68,0.22,0.02,0,58,0.23,0.01,0,5,0.23,0.01,0,59,0.24,0.01,0,3,0.21,0.02,0,0,0.22,0.04,0,10,0.22,0.06,0,6,0.22,0.1,0,103,0.22,0.16,0,165,0.23,0.23,0,112,0.23,0.32,0,81,0.23,0.43,0,31,0.22,0.58,1,151,0.23,0.95,0,176,0.23,1.41,20,798,0.22,1.94,0,128,0.21,2.61,0,27,0.21,3.36,0,0,0.2,4.17,0,0,0.18,5.19,0,60,0.22,6.1,0,10,0.22,7.05,0,0,0.23,8.0,0,0,0.22,8.97,0,15,0.23,9.94,0,0,0.23,10.91,0,0,0.23,11.88,0,0,,12.86,0,0,0.23,13.84,0,0,0.27,,,,,,,,
2023-01-12 16:00:00,24.5,9.35,0,0,,8.86,0,0,,8.38,0,0,0.27,7.89,0,0,0.24,7.4,0,0,0.21,6.91,0,1,,6.43,0,0,0.22,5.95,0,0,0.22,5.47,0,0,0.22,5.01,0,0,0.22,4.1,0,60,0.22,3.26,0,0,0.22,2.58,90,90,0.24,1.92,0,33,0.23,1.38,0,25,0.23,0.96,1,1088,0.23,0.63,0,354,0.22,0.43,0,347,0.23,0.27,0,320,0.23,0.17,0,207,0.23,0.11,0,20,0.23,0.06,0,111,0.23,0.03,0,68,0.22,0.02,0,58,0.23,0.01,0,5,0.22,0.01,0,59,0.24,0.01,0,3,0.22,0.02,0,0,0.22,0.03,0,10,0.22,0.06,0,6,0.22,0.09,0,103,0.22,0.14,0,165,0.22,0.2,0,112,0.22,0.28,0,81,0.22,0.39,0,31,0.22,0.53,0,151,0.22,0.88,0,176,0.22,1.36,2,796,0.23,1.84,40,128,0.21,2.5,0,27,0.21,3.23,0,0,0.19,4.04,0,0,0.18,5.05,0,60,0.22,5.96,0,10,0.22,6.9,0,0,0.22,7.86,0,0,0.22,8.82,0,15,0.22,9.79,0,0,0.22,10.76,0,0,0.19,11.74,0,0,0.23,12.71,0,0,,13.69,0,0,,,,,,,,,
