time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.50,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,37.00,37.00,37.00,37.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-09-29 16:00:00,25.4,7.68,0,0,0.24,7.19,0,0,0.23,6.71,0,0,0.25,6.23,0,0,0.24,5.76,0,0,0.25,4.84,0,0,0.25,3.97,0,0,0.24,3.27,0,0,0.27,2.53,0,0,0.26,1.93,0,0,0.26,1.41,1,1,0.25,1.01,0,0,0.25,0.7,16,16,0.25,0.48,50,50,0.25,0.31,35,35,0.25,0.2,0,0,0.25,0.13,0,0,0.25,0.08,0,0,0.25,0.05,0,0,0.25,0.01,0,0,0.26,0.01,0,0,0.24,0.02,0,0,0.25,0.04,0,0,0.25,0.06,0,0,0.25,0.12,0,0,0.25,0.24,0,0,0.25,0.45,0,0,0.25,0.73,0,0,0.25,1.1,0,0,0.24,1.59,0,0,0.24,2.2,0,0,0.24,2.9,0,0,0.23,3.71,0,0,0.23,4.66,0,0,0.25,5.61,0,0,0.25,6.6,0,0,,7.6,0,0,,8.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03 16:00:00,24.4,6.68,0,0,0.25,6.2,0,0,0.25,5.73,0,0,0.26,5.26,0,0,0.25,4.81,0,0,0.26,3.94,0,0,0.26,3.24,0,0,0.28,2.51,0,0,0.27,1.89,0,0,0.27,1.37,0,0,0.26,0.98,30,31,0.26,0.68,0,0,0.26,0.46,0,16,0.26,0.3,0,50,0.26,0.19,0,35,0.26,0.12,0,0,0.26,0.08,0,0,0.26,0.05,0,0,0.26,0.03,0,0,0.26,0.02,0,0,0.26,0.04,0,0,0.27,0.05,30,30,0.26,0.08,0,0,0.26,0.12,0,0,0.26,0.24,0,0,0.26,0.44,200,200,0.26,0.73,0,0,0.26,1.1,30,30,0.25,1.6,0,0,0.25,2.19,0,0,0.25,2.88,0,0,0.24,3.7,0,0,0.23,4.66,0,0,0.26,5.61,0,0,0.26,6.6,0,0,,7.6,0,0,,8.6,0,0,,9.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04 16:00:00,24.3,6.58,0,0,0.26,6.1,0,0,0.26,5.63,0,0,0.26,5.16,0,0,0.26,4.71,0,0,0.26,3.84,0,0,0.26,3.1,0,0,0.27,2.37,0,0,0.26,1.77,0,0,0.26,1.28,0,0,0.26,0.91,0,31,0.26,0.64,0,0,0.26,0.43,60,60,0.26,0.29,0,50,0.26,0.18,0,35,0.26,0.12,0,0,0.26,0.07,0,0,0.26,0.05,0,0,0.27,0.03,0,0,0.27,0.02,0,0,0.26,0.04,0,0,0.27,0.06,0,30,0.27,0.09,0,0,0.26,0.13,0,0,0.26,0.25,0,0,0.26,0.46,0,200,0.26,0.77,0,0,0.26,1.17,0,30,0.26,1.69,0,0,0.26,2.32,60,60,0.26,3.05,0,0,0.26,3.88,0,0,0.26,4.75,0,0,0.26,5.71,0,0,0.26,6.7,0,0,,7.7,0,0,,8.7,0,0,,9.7,0,0,,7.06,0.0,0.0,0.25,0.01,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-05 16:00:00,24.3,6.57,1,1,0.24,6.09,0,0,0.25,5.62,0,0,0.26,5.15,0,0,0.25,4.69,0,0,0.25,3.82,0,0,0.25,3.06,0,0,0.26,2.35,0,0,0.26,1.71,0,0,0.25,1.24,0,0,0.25,0.87,0,31,0.25,0.6,0,0,0.25,0.4,0,60,0.25,0.26,10,60,0.25,0.16,0,35,0.25,0.1,0,0,0.25,0.06,0,0,0.25,0.04,0,0,0.26,0.02,0,0,0.25,0.02,0,0,0.26,0.03,0,0,0.25,0.05,0,30,0.26,0.08,0,0,0.26,0.11,0,0,0.25,0.23,30,30,0.25,0.44,0,200,0.26,0.73,60,60,0.26,1.12,0,30,0.25,1.65,0,0,0.25,2.27,0,60,0.25,3.02,0,0,0.25,3.84,0,0,0.25,4.74,0,0,0.25,5.7,0,0,,6.7,0,0,,7.7,0,0,,8.7,0,0,,9.7,0,0,,7.06,0.0,0.0,0.26,0.01,0.0,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-09 16:00:00,25.0,7.26,0,1,0.26,6.77,0,0,0.25,6.29,0,0,0.26,5.81,0,0,0.25,5.34,0,0,0.25,4.44,0,0,0.26,3.6,0,0,0.26,2.86,0,0,0.26,2.18,0,0,0.26,1.6,0,0,0.25,1.15,0,31,0.25,0.81,0,0,0.25,0.56,0,60,0.26,0.38,0,60,0.26,0.25,0,35,0.26,0.16,4,4,0.26,0.1,0,0,0.26,0.06,0,0,0.26,0.04,0,0,0.26,0.01,0,0,0.26,0.02,0,0,0.26,0.03,0,30,0.26,0.05,0,0,0.26,0.07,0,0,0.26,0.16,0,30,0.26,0.31,0,200,0.26,0.54,843,860,0.26,0.89,0,30,0.26,1.31,0,0,0.26,1.87,0,60,0.26,2.55,0,0,0.26,3.34,0,0,0.27,4.12,0,0,0.26,5.03,0,0,0.25,6.0,0,0,,7.0,0,0,,8.0,0,0,,9.0,0,0,,7.75,0.0,0.0,0.27,0.01,0.0,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10 16:00:00,24.8,7.06,0,1,0.27,6.57,0,0,0.25,6.09,0,0,0.26,5.61,0,0,0.25,5.14,0,0,0.25,4.24,0,0,0.25,3.41,0,0,0.25,2.74,0,0,0.27,2.07,0,0,0.26,1.52,0,0,0.26,1.08,30,61,0.26,0.74,30,30,0.26,0.5,0,60,0.26,0.32,0,60,0.25,0.2,0,35,0.25,0.13,0,4,0.26,0.08,0,0,0.26,0.05,0,0,0.26,0.03,0,0,0.26,0.01,0,0,0.25,0.02,0,0,0.26,0.03,0,30,0.25,0.05,0,0,0.26,0.08,0,0,0.26,0.16,0,30,0.25,0.32,0,200,0.25,0.55,0,860,0.25,0.87,30,30,0.25,1.33,0,0,0.24,1.89,0,60,0.24,2.56,0,0,0.24,3.34,0,0,0.23,4.28,0,0,0.25,5.22,0,0,0.26,6.2,0,0,,7.2,0,0,,8.2,0,0,,9.2,0,0,,7.54,0.0,0.0,0.22,0.01,0.0,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-11 16:00:00,24.7,6.95,0,1,0.24,6.46,0,0,0.23,5.98,0,0,0.24,5.5,0,0,0.24,5.03,0,0,0.24,4.13,0,0,0.24,3.29,0,0,0.24,2.61,0,0,0.26,1.93,0,0,0.25,1.37,0,0,0.24,0.97,0,61,0.25,0.65,0,30,0.25,0.43,0,60,0.25,0.27,0,60,0.25,0.16,0,35,0.24,0.1,0,4,0.25,0.06,0,0,0.25,0.04,0,0,0.25,0.02,0,0,0.25,0.01,0,0,0.25,0.02,0,0,0.26,0.03,0,30,0.25,0.04,0,0,0.24,0.07,0,0,0.25,0.15,0,30,0.24,0.3,1,201,0.24,0.55,0,860,0.25,0.89,0,30,0.24,1.35,0,0,0.24,1.95,0,60,0.24,2.65,0,0,0.24,3.44,0,0,0.24,4.35,0,0,0.24,5.3,0,0,,6.3,0,0,,7.3,0,0,,8.3,0,0,,9.3,0,0,,7.44,0.0,0.0,0.24,0.01,0.0,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 16:00:00,24.75,7.0,0,1,0.25,6.51,0,0,0.24,6.02,0,0,0.23,5.54,0,0,0.23,5.06,0,0,0.23,4.15,0,0,0.23,3.29,0,0,0.23,2.57,0,0,0.24,1.9,0,0,0.24,1.34,0,0,0.23,0.92,30,61,0.23,0.61,30,60,0.24,0.38,30,60,0.23,0.23,0,60,0.23,0.14,0,35,0.23,0.08,0,4,0.23,0.05,0,0,0.24,0.03,0,0,0.24,0.02,0,0,0.25,0.01,0,0,0.26,0.01,0,0,0.24,0.02,0,30,0.24,0.03,0,0,0.23,0.05,0,0,0.23,0.12,0,30,0.23,0.26,193,394,0.23,0.49,191,1051,0.24,0.81,0,30,0.23,1.25,30,30,0.23,1.82,0,60,0.22,2.55,0,0,0.23,3.38,0,0,0.23,4.28,0,0,0.23,5.25,0,0,,6.25,0,0,,7.25,0,0,,8.25,0,0,,9.25,0,0,,7.49,0.0,0.0,0.25,0.01,0.0,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,
