time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-04-28 16:00:00,7.98,2.5,0,0,0.33,2.27,0,0,0.39,2.03,0,0,0.36,1.81,0,0,0.37,1.6,0,0,0.37,1.45,0,0,0.4,1.27,0,0,0.4,1.09,0,0,0.39,0.95,0,0,0.39,0.81,0,0,0.38,0.69,0,0,0.38,0.58,0,0,0.38,0.49,0,0,0.38,0.41,0,0,0.38,0.34,0,0,0.38,0.28,0,0,0.38,0.23,0,0,0.38,0.19,0,0,0.38,0.15,0,0,0.37,0.03,0,0,0.38,0.05,0,0,0.38,0.07,0,0,0.37,0.11,0,0,0.38,0.16,0,0,0.38,0.22,0,0,0.38,0.29,0,0,0.38,0.37,0,0,0.37,0.46,0,0,0.37,0.57,0,0,0.36,0.7,0,0,0.36,0.84,0,0,0.36,1.0,0,0,0.36,1.17,0,0,0.36,1.35,0,0,0.35,1.55,0,0,0.36,1.76,0,0,0.36,1.97,0,0,0.36,2.21,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02 16:00:00,7.86,2.38,0,0,0.35,2.14,0,0,0.36,1.91,0,0,0.36,1.69,0,0,0.36,1.49,0,0,0.37,1.34,0,0,0.4,1.16,0,0,0.39,1.0,0,0,0.39,0.86,0,0,0.39,0.72,100,100,0.38,0.61,100,100,0.38,0.51,0,0,0.38,0.42,1,1,0.38,0.35,0,0,0.38,0.29,0,0,0.38,0.23,0,0,0.37,0.19,0,0,0.37,0.16,0,0,0.38,0.12,0,0,0.37,0.03,0,0,0.37,0.05,0,0,0.37,0.08,0,0,0.38,0.12,0,0,0.38,0.17,0,0,0.38,0.23,4,4,0.37,0.31,0,0,0.37,0.4,1,1,0.37,0.49,0,0,0.36,0.61,100,100,0.36,0.74,100,100,0.36,0.91,0,0,0.37,1.06,0,0,0.36,1.26,0,0,0.37,1.43,0,0,0.35,1.64,0,0,0.36,1.85,0,0,0.36,2.06,0,0,0.35,2.3,0,0,0.37,0.08,0.0,0.0,0.38,2.76,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-03 16:00:00,7.86,2.38,0,0,0.36,2.14,0,0,0.36,1.91,0,0,0.37,1.69,0,0,0.37,1.49,0,0,0.37,1.33,0,0,0.4,1.15,0,0,0.39,0.98,0,0,0.38,0.85,0,0,0.38,0.72,0,100,0.38,0.6,0,100,0.38,0.51,0,0,0.38,0.42,0,1,0.38,0.35,0,0,0.38,0.29,0,0,0.38,0.23,0,0,0.37,0.19,0,0,0.38,0.15,0,0,0.37,0.12,0,0,0.37,0.03,0,0,0.37,0.05,0,0,0.38,0.08,0,0,0.38,0.12,0,0,0.38,0.17,0,0,0.38,0.23,0,4,0.37,0.31,0,0,0.38,0.41,0,1,0.38,0.5,0,0,0.37,0.62,0,100,0.37,0.76,0,100,0.37,0.92,0,0,0.37,1.08,0,0,0.37,1.27,0,0,0.37,1.46,0,0,0.37,1.67,0,0,0.38,1.88,0,0,0.38,2.1,0,0,0.39,2.3,0,0,0.37,0.08,0.0,0.0,0.38,2.77,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04 16:00:00,8.11,2.63,0,0,0.39,2.39,0,0,0.39,2.15,0,0,0.38,1.92,0,0,0.37,1.71,0,0,0.38,1.5,0,0,0.37,1.36,0,0,0.41,1.18,0,0,0.4,1.02,0,0,0.39,0.88,0,100,0.39,0.75,0,100,0.39,0.64,0,0,0.39,0.54,0,1,0.39,0.45,0,0,0.39,0.37,5,5,0.38,0.31,0,0,0.38,0.25,0,0,0.38,0.21,0,0,0.38,0.17,0,0,0.38,0.02,0,0,0.37,0.04,0,0,0.38,0.06,0,0,0.38,0.09,0,0,0.38,0.13,0,0,0.38,0.18,0,4,0.38,0.25,0,0,0.38,0.33,1,1,0.38,0.42,153,153,0.38,0.51,92,192,0.36,0.63,0,100,0.36,0.77,0,0,0.36,0.92,0,0,0.36,1.09,0,0,0.36,1.27,0,0,0.37,1.46,0,0,0.37,1.66,0,0,0.37,1.87,0,0,0.37,2.08,0,0,0.36,0.11,0.0,0.0,0.38,2.54,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-09 16:00:00,7.77,2.29,0,0,0.39,2.05,0,0,0.38,1.82,0,0,0.38,1.6,0,0,0.37,1.4,0,0,0.37,1.24,0,0,0.39,1.07,0,0,0.39,0.91,0,0,0.38,0.78,0,0,0.39,0.65,0,100,0.38,0.55,0,100,0.39,0.46,0,0,0.39,0.38,0,1,0.38,0.31,0,0,0.38,0.25,0,5,0.38,0.2,0,0,0.38,0.16,0,0,0.38,0.13,0,0,0.38,0.11,0,0,0.39,0.04,0,10,0.4,0.06,0,2,0.39,0.09,0,2,0.39,0.12,0,0,0.38,0.18,0,4,0.38,0.24,6,10,0.38,0.33,2,2,0.38,0.42,4,3,0.38,0.52,0,159,0.37,0.65,0,192,0.37,0.79,0,100,0.37,0.95,0,0,0.37,1.12,0,0,0.36,1.32,0,0,0.38,1.51,0,0,0.37,1.72,0,0,0.37,1.94,0,0,0.38,2.15,0,0,0.37,2.38,0,0,0.37,0.07,0.0,0.0,0.39,2.85,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 16:00:00,7.71,2.23,0,0,0.39,1.98,0,0,0.34,1.75,0,0,0.36,1.53,0,0,0.36,1.33,0,0,0.36,1.17,0,0,0.38,0.99,0,0,0.37,0.84,0,0,0.37,0.71,132,132,0.37,0.59,59,159,0.37,0.49,73,123,0.37,0.4,0,0,0.37,0.33,0,1,0.37,0.26,0,0,0.36,0.21,0,5,0.37,0.17,0,0,0.37,0.13,0,0,0.36,0.1,0,0,0.36,0.08,0,0,0.36,0.03,0,10,0.37,0.05,0,2,0.37,0.08,0,2,0.37,0.12,0,0,0.37,0.17,5,9,0.37,0.24,0,10,0.37,0.31,1,3,0.36,0.41,80,83,0.36,0.52,0,159,0.36,0.65,0,192,0.35,0.79,1,101,0.35,0.96,0,0,0.35,1.15,0,0,0.36,1.34,0,0,0.36,1.54,0,0,0.36,1.76,0,0,0.37,1.97,0,0,0.36,2.19,0,0,0.36,2.42,0,0,0.36,0.05,0.0,0.0,0.37,2.9,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12 16:00:00,7.68,2.19,0,0,,1.95,0,0,0.35,1.72,0,0,0.36,1.5,0,0,0.35,1.3,0,0,0.36,1.14,0,0,0.38,0.97,0,0,0.37,0.82,116,116,0.37,0.68,0,132,0.36,0.56,80,189,0.36,0.46,0,123,0.36,0.38,0,0,0.36,0.3,0,1,0.36,0.25,0,0,0.37,0.19,0,5,0.36,0.15,0,0,0.36,0.12,0,0,0.36,0.1,0,0,0.37,0.07,0,0,0.36,0.03,0,10,0.37,0.05,0,2,0.37,0.08,0,2,0.37,0.12,0,0,0.37,0.17,0,9,0.36,0.24,0,10,0.36,0.32,0,3,0.36,0.41,0,83,0.36,0.52,0,159,0.35,0.66,0,192,0.35,0.81,0,101,0.35,0.96,0,0,0.34,1.15,0,0,0.35,1.34,0,0,0.35,1.54,0,0,0.34,1.76,0,0,0.35,1.99,0,0,0.36,2.22,0,0,0.36,2.45,0,0,0.36,0.05,0.0,0.0,0.37,2.93,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15 16:00:00,7.81,2.32,0,0,0.32,2.08,0,0,0.37,1.84,0,0,0.36,1.61,0,0,0.35,1.4,0,0,0.35,1.2,0,0,0.35,1.03,0,0,0.35,0.87,170,286,0.35,0.71,0,132,0.34,0.6,0,189,0.35,0.49,0,123,0.35,0.41,0,0,0.36,0.33,0,1,0.35,0.27,0,0,0.36,0.21,0,5,0.36,0.17,0,0,0.36,0.13,0,0,0.35,0.1,0,0,0.35,0.08,0,0,0.36,0.02,0,10,0.36,0.04,0,2,0.37,0.06,0,2,0.36,0.09,0,0,0.36,0.14,0,9,0.36,0.2,0,10,0.36,0.27,0,3,0.36,0.36,2,85,0.36,0.47,50,209,0.36,0.59,5,197,0.35,0.73,5,106,0.35,0.89,0,0,0.35,1.07,0,0,0.36,1.26,0,0,0.36,1.46,0,0,0.37,1.68,0,0,0.38,1.87,0,0,0.35,2.09,0,0,0.35,2.32,0,0,0.35,0.05,0.0,0.0,0.36,2.8,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
