time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,4.80,4.80,4.80,4.80,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-06-30 16:00:00,6.81,2.06,0,0,0.37,1.96,0,0,0.35,1.87,0,0,0.36,1.64,0,0,0.36,1.42,0,0,0.35,1.22,0,0,0.35,1.07,0,0,0.38,0.89,0,0,0.37,0.74,0,0,0.37,0.61,0,0,0.37,0.49,0,0,0.36,0.39,0,0,0.36,0.32,0,0,0.36,0.25,0,0,0.36,0.2,0,0,0.36,0.15,0,0,0.36,0.12,0,0,0.36,0.09,0,0,0.36,0.07,0,0,0.36,0.02,0,0,0.35,0.03,0,0,0.36,0.04,0,0,0.36,0.06,0,0,0.35,0.1,0,0,0.36,0.15,0,0,0.35,0.22,0,0,0.36,0.31,0,0,0.36,0.39,0,0,0.34,0.52,0,0,0.35,0.65,0,0,0.34,0.8,0,0,0.34,0.97,0,0,0.34,1.16,0,0,0.34,1.36,0,0,0.34,1.57,0,0,0.34,1.8,0,0,0.35,2.02,0,0,0.35,2.25,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04 16:00:00,6.96,2.2,0,0,0.32,2.11,0,0,0.37,2.01,0,0,0.35,1.78,0,0,0.36,1.55,0,0,0.34,1.34,0,0,0.35,1.17,0,0,0.37,0.98,0,0,0.36,0.81,0,0,0.35,0.66,0,0,0.34,0.54,307,307,0.35,0.43,325,325,0.34,0.35,349,349,0.35,0.28,0,0,0.35,0.22,0,0,0.35,0.17,1,1,0.35,0.13,0,0,0.35,0.1,0,0,0.35,0.08,0,0,0.35,0.01,0,0,0.33,0.02,0,0,0.35,0.03,0,0,0.37,0.05,0,0,0.36,0.08,0,0,0.36,0.12,0,3,0.36,0.17,0,0,0.35,0.25,1,5,0.35,0.34,310,310,0.35,0.45,308,315,0.35,0.57,308,313,0.35,0.71,0,0,0.34,0.88,0,0,0.35,1.06,0,0,0.35,1.25,0,0,0.35,1.46,0,0,0.36,1.68,0,0,0.37,1.88,0,0,0.35,2.11,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05 16:00:00,6.84,2.08,0,0,0.31,1.99,0,0,0.36,1.89,0,0,0.33,1.66,0,0,0.34,1.44,0,0,0.35,1.24,0,0,0.35,1.08,0,0,0.38,0.9,0,0,0.37,0.74,0,0,0.36,0.61,0,0,0.36,0.49,5,312,0.36,0.4,0,325,0.36,0.31,0,349,0.35,0.25,0,0,0.36,0.19,0,0,0.35,0.15,0,1,0.36,0.12,0,0,0.36,0.09,0,0,0.36,0.07,0,0,0.36,0.01,0,0,0.32,0.02,0,0,0.34,0.03,0,0,0.35,0.06,0,0,0.37,0.09,0,0,0.36,0.14,0,3,0.36,0.2,0,0,0.35,0.28,0,5,0.35,0.37,0,310,0.35,0.48,0,315,0.34,0.62,0,313,0.34,0.76,0,0,0.33,0.93,0,0,0.33,1.12,0,0,0.33,1.32,0,0,0.33,1.53,0,0,0.33,1.76,0,0,0.35,1.99,0,0,0.35,2.22,0,0,0.36,0.05,0.0,0.0,0.35,2.45,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06 16:00:00,6.66,1.91,0,0,0.36,1.81,0,0,0.34,1.72,0,0,0.35,1.49,0,0,0.34,1.28,0,0,0.35,1.12,0,0,0.39,0.93,0,0,0.37,0.77,0,0,0.37,0.63,0,0,0.36,0.5,0,0,0.35,0.4,1,313,0.35,0.32,20,305,0.36,0.25,0,349,0.36,0.19,0,0,0.35,0.15,0,0,0.36,0.11,1,1,0.35,0.09,0,0,0.36,0.07,0,0,0.36,0.05,0,0,0.36,0.02,0,0,0.34,0.03,0,0,0.35,0.04,0,0,0.35,0.07,0,0,0.36,0.11,0,0,0.35,0.17,0,3,0.36,0.25,0,0,0.36,0.33,50,55,0.35,0.44,0,310,0.35,0.57,0,315,0.35,0.72,0,313,0.35,0.89,0,0,0.35,1.07,0,0,0.35,1.27,0,0,0.35,1.48,0,0,0.35,1.69,0,0,0.35,1.92,0,0,0.35,2.15,0,0,0.35,2.38,0,0,0.35,0.04,0.0,0.0,0.36,2.62,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07 16:00:00,6.5,1.75,0,0,0.34,1.66,0,0,0.35,1.57,0,0,0.36,1.35,0,0,0.36,1.15,0,0,0.36,0.99,0,0,0.38,0.82,0,0,0.37,0.66,0,0,0.36,0.54,0,0,0.37,0.43,0,0,0.36,0.34,0,313,0.36,0.27,0,305,0.37,0.21,0,349,0.36,0.16,0,0,0.36,0.13,0,0,0.37,0.1,0,1,0.37,0.07,0,0,0.36,0.06,0,0,0.38,0.04,0,0,0.37,0.04,0,0,0.37,0.05,0,0,0.37,0.06,0,0,0.37,0.1,0,0,0.37,0.15,0,0,0.37,0.21,2,5,0.36,0.3,0,0,0.36,0.4,38,85,0.36,0.52,0,310,0.36,0.66,0,315,0.35,0.82,0,313,0.35,1.0,0,0,0.35,1.19,0,0,0.35,1.4,0,0,0.36,1.62,0,0,0.36,1.84,0,0,0.36,2.07,0,0,0.36,2.3,0,0,0.36,2.54,0,0,0.37,0.03,0.0,0.0,0.37,2.78,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-11 16:00:00,6.42,1.67,0,0,0.35,1.58,0,0,0.35,1.49,0,0,0.36,1.27,0,0,0.35,1.11,0,0,0.4,0.92,0,0,0.38,0.75,0,0,0.37,0.6,0,0,0.36,0.48,0,0,0.36,0.38,0,0,0.36,0.3,5,307,0.36,0.23,0,305,0.36,0.18,0,349,0.36,0.13,0,0,0.36,0.1,0,0,0.36,0.08,0,1,0.37,0.06,0,0,0.37,0.04,0,0,0.36,0.03,0,0,0.36,0.04,0,0,0.37,0.05,0,0,0.37,0.06,0,0,0.36,0.1,0,0,0.36,0.15,0,0,0.36,0.23,0,5,0.37,0.32,10,10,0.36,0.42,5,90,0.36,0.55,2,312,0.35,0.7,0,315,0.35,0.87,0,313,0.36,1.05,0,0,0.35,1.25,0,0,0.35,1.46,0,0,0.36,1.68,0,0,0.36,1.91,0,0,0.36,2.14,0,0,0.36,2.37,0,0,0.35,2.61,0,0,0.35,0.02,0.0,0.0,0.36,2.86,0.0,0.0,0.37,1.77,0.0,0.0,0.37,0.03,22.0,22.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12 16:00:00,6.35,1.6,0,0,0.34,1.51,0,0,0.35,1.42,0,0,0.35,1.2,0,0,0.34,1.02,0,0,0.36,0.84,0,0,0.36,0.68,0,0,0.36,0.55,0,0,0.36,0.42,0,0,0.35,0.32,0,0,0.34,0.25,0,307,0.35,0.19,0,305,0.35,0.15,0,349,0.35,0.11,0,0,0.35,0.08,1,1,0.35,0.06,0,1,0.35,0.04,0,0,0.35,0.03,0,0,0.35,0.02,0,0,0.35,0.04,0,0,0.36,0.05,0,0,0.36,0.06,0,0,0.35,0.1,0,0,0.35,0.15,0,0,0.35,0.23,8,13,0.35,0.33,0,10,0.36,0.44,20,110,0.35,0.57,0,312,0.35,0.73,0,315,0.35,0.91,0,313,0.35,1.1,0,0,0.35,1.31,0,0,0.36,1.51,0,0,0.35,1.73,0,0,0.34,1.96,0,0,0.34,2.2,0,0,0.35,2.44,0,0,0.35,2.68,0,0,0.35,0.01,0.0,0.0,0.33,2.92,0.0,0.0,0.33,1.69,0.0,0.0,0.32,0.03,0.0,22.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13 16:00:00,6.47,1.72,0,0,0.36,1.62,0,0,0.34,1.53,0,0,0.35,1.31,0,0,0.35,1.1,0,0,0.34,0.95,0,0,0.38,0.77,0,0,0.36,0.62,0,0,0.36,0.49,3,3,0.35,0.39,0,0,0.36,0.29,20,327,0.34,0.23,0,305,0.35,0.18,30,379,0.36,0.13,395,395,0.35,0.1,30,31,0.35,0.08,30,31,0.36,0.06,0,0,0.36,0.04,195,195,0.36,0.03,0,0,0.36,0.03,0,0,0.35,0.04,0,0,0.36,0.05,0,0,0.36,0.08,159,159,0.35,0.13,1,1,0.35,0.2,0,13,0.35,0.29,0,10,0.36,0.39,31,79,0.35,0.51,0,312,0.35,0.66,5,320,0.35,0.82,0,313,0.34,1.0,0,0,0.34,1.2,0,0,0.35,1.42,0,0,0.36,1.63,0,0,0.35,1.86,0,0,0.35,2.09,0,0,0.35,2.32,0,0,0.34,2.56,0,0,0.33,0.02,0.0,0.0,0.35,2.81,0.0,0.0,0.36,1.81,0.0,0.0,0.34,0.02,0.0,22.0,0.35,1.91,0.0,0.0,0.36,0.01,0.0,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14 16:00:00,6.4,1.65,0,0,0.36,1.55,0,0,0.34,1.46,0,0,0.34,1.24,0,0,0.34,1.06,0,0,0.37,0.87,0,0,0.36,0.7,0,0,0.35,0.58,9,9,0.36,0.44,0,3,0.35,0.35,0,0,0.35,0.27,0,327,0.35,0.21,0,305,0.35,0.16,0,379,0.36,0.12,0,395,0.36,0.09,0,31,0.36,0.06,0,31,0.35,0.05,0,0,0.36,0.04,0,195,0.37,0.03,0,0,0.37,0.04,0,0,0.37,0.05,0,0,0.37,0.06,0,0,0.37,0.09,0,159,0.35,0.14,0,1,0.35,0.22,0,13,0.36,0.31,2,12,0.36,0.42,0,79,0.35,0.55,0,312,0.35,0.71,0,320,0.36,0.88,0,313,0.36,1.07,0,0,0.36,1.28,0,0,0.37,1.48,0,0,0.36,1.69,0,0,0.35,1.92,0,0,0.35,2.15,0,0,0.34,2.39,0,0,0.34,2.63,0,0,0.34,0.02,0.0,0.0,0.36,2.88,0.0,0.0,0.37,1.74,0.0,0.0,0.34,0.03,0.0,22.0,0.37,1.84,0.0,0.0,0.36,0.02,22.0,22.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18 16:00:00,6.32,1.57,0,0,0.36,1.48,0,0,0.36,1.39,0,0,0.36,1.17,0,0,0.35,1.0,0,0,0.38,0.82,0,0,0.38,0.64,0,0,0.35,0.51,0,9,0.35,0.4,0,3,0.35,0.31,0,0,0.36,0.24,20,307,0.36,0.18,0,305,0.36,0.14,0,379,0.36,0.1,0,395,0.36,0.08,0,31,0.37,0.06,0,31,0.37,0.04,0,0,0.36,0.03,0,195,0.37,0.02,0,0,0.36,0.04,0,0,0.36,0.05,0,0,0.36,0.06,0,0,0.36,0.1,0,159,0.36,0.16,0,1,0.36,0.24,0,13,0.36,0.33,305,317,0.36,0.43,10,89,0.34,0.59,0,312,0.36,0.74,0,320,0.35,0.91,0,313,0.34,1.11,0,0,0.35,1.32,0,0,0.35,1.54,0,0,0.36,1.76,0,0,0.35,1.99,0,0,0.35,2.23,0,0,0.35,2.47,0,0,0.35,2.71,0,0,0.34,0.01,0.0,0.0,0.34,2.96,0.0,0.0,0.37,1.66,0.0,0.0,0.34,0.03,0.0,22.0,0.36,1.76,0.0,0.0,0.37,0.02,0.0,22.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19 16:00:00,6.22,1.47,0,0,0.35,1.38,0,0,0.35,1.29,0,0,0.35,1.08,0,0,0.35,0.91,0,0,0.37,0.72,0,0,0.35,0.58,0,0,0.36,0.45,0,9,0.35,0.35,10,10,0.35,0.27,0,0,0.35,0.2,0,307,0.35,0.15,0,305,0.35,0.11,1,380,0.35,0.08,0,395,0.35,0.06,0,31,0.36,0.04,0,31,0.35,0.03,0,0,0.36,0.02,0,195,0.35,0.01,0,0,0.34,0.05,0,0,0.37,0.06,0,0,0.37,0.07,0,0,0.36,0.11,0,159,0.35,0.18,0,1,0.36,0.26,0,13,0.35,0.37,0,317,0.36,0.49,9,94,0.35,0.65,15,327,0.36,0.8,0,320,0.35,0.99,0,313,0.35,1.2,0,0,0.36,1.42,0,0,0.38,1.62,0,0,0.35,1.85,0,0,0.35,2.09,0,0,0.36,2.32,0,0,0.33,2.57,0,0,0.37,2.81,0,0,0.34,0.01,0.0,0.0,0.36,3.06,0.0,0.0,0.38,1.56,0.0,0.0,0.34,0.04,0.0,22.0,0.37,1.66,0.0,0.0,0.36,0.03,22.0,44.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20 16:00:00,6.29,1.53,0,0,0.33,1.44,0,0,0.34,1.35,0,0,0.34,1.13,0,0,0.34,0.95,0,0,0.36,0.76,0,0,0.34,0.6,0,0,0.34,0.47,0,9,0.34,0.36,0,10,0.34,0.27,144,144,0.34,0.2,10,317,0.34,0.15,0,305,0.34,0.11,0,380,0.34,0.08,0,395,0.34,0.06,0,31,0.35,0.04,0,31,0.34,0.03,0,0,0.35,0.02,0,195,0.35,0.01,0,0,0.33,0.04,0,0,0.36,0.05,0,0,0.36,0.06,0,0,0.36,0.09,0,159,0.34,0.15,0,1,0.35,0.23,126,139,0.35,0.32,0,317,0.34,0.44,297,329,0.34,0.57,0,327,0.33,0.74,0,320,0.34,0.92,0,313,0.34,1.13,0,0,0.35,1.34,0,0,0.35,1.55,0,0,0.34,1.78,0,0,0.34,2.02,0,0,0.35,2.25,0,0,0.32,2.5,0,0,0.35,2.74,0,0,0.33,0.01,0.0,0.0,0.35,2.99,0.0,0.0,0.36,1.63,0.0,0.0,0.35,0.03,0.0,22.0,0.36,1.72,0.0,0.0,0.3,0.02,0.0,44.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-21 16:00:00,6.33,1.57,0,0,0.34,1.47,0,0,0.31,1.38,0,0,0.33,1.16,0,0,0.33,0.96,0,0,0.34,0.8,0,0,0.36,0.63,0,0,0.34,0.49,0,9,0.34,0.37,15,18,0.33,0.28,0,144,0.33,0.21,30,347,0.34,0.15,0,305,0.33,0.11,0,380,0.33,0.08,0,395,0.34,0.06,0,31,0.34,0.04,0,31,0.34,0.03,0,0,0.34,0.02,0,195,0.34,0.01,0,0,0.32,0.03,0,0,0.35,0.04,0,0,0.35,0.05,0,0,0.35,0.08,0,159,0.34,0.13,0,1,0.33,0.2,0,139,0.33,0.3,0,317,0.34,0.4,35,295,0.33,0.54,0,327,0.33,0.7,0,320,0.33,0.88,0,313,0.33,1.08,0,0,0.33,1.3,0,0,0.34,1.51,0,0,0.33,1.74,0,0,0.33,1.97,0,0,0.32,2.21,0,0,0.31,2.46,0,0,0.34,2.7,0,0,0.32,0.01,0.0,0.0,0.35,2.95,0.0,0.0,0.35,1.66,0.0,0.0,0.29,0.02,0.0,22.0,0.34,1.76,0.0,0.0,0.32,0.01,0.0,44.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24 16:00:00,6.27,1.51,0,0,0.34,1.42,0,0,0.35,1.33,0,0,0.35,1.11,0,0,0.35,0.92,0,0,0.35,0.73,0,0,0.34,0.57,0,0,0.33,0.45,0,9,0.34,0.34,7,25,0.34,0.26,0,144,0.34,0.19,0,347,0.34,0.14,0,305,0.34,0.11,0,380,0.35,0.08,0,395,0.35,0.06,0,31,0.36,0.04,0,31,0.35,0.03,0,0,0.36,0.02,0,195,0.36,0.01,0,0,0.34,0.04,0,0,0.37,0.05,0,0,0.37,0.06,0,0,0.36,0.1,0,159,0.36,0.16,0,1,0.36,0.23,0,139,0.35,0.33,16,321,0.35,0.46,6,295,0.36,0.6,0,327,0.35,0.76,0,320,0.35,0.95,0,313,0.35,1.15,0,0,0.36,1.35,0,0,0.34,1.57,0,0,0.34,1.8,0,0,0.34,2.04,0,0,0.35,2.28,0,0,0.35,2.52,0,0,0.34,2.77,0,0,0.37,0.01,0.0,0.0,0.36,3.01,0.0,0.0,0.32,1.61,0.0,0.0,0.37,0.03,0.0,22.0,0.36,1.7,0.0,0.0,0.34,0.02,0.0,44.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26 16:00:00,6.36,1.59,0,0,0.31,1.5,0,0,0.34,1.4,0,0,0.32,1.18,0,0,0.33,0.97,0,0,0.33,0.81,0,0,0.36,0.63,0,0,0.34,0.49,0,9,0.34,0.37,0,25,0.33,0.28,0,144,0.33,0.21,0,347,0.34,0.15,0,305,0.33,0.11,0,380,0.34,0.08,0,395,0.34,0.06,0,31,0.35,0.04,0,31,0.34,0.03,0,0,0.35,0.02,0,195,0.35,0.01,0,0,0.33,0.02,2,2,0.33,0.03,2,2,0.34,0.04,0,0,0.34,0.07,0,159,0.34,0.12,0,1,0.34,0.19,0,139,0.34,0.27,0,321,0.33,0.38,0,286,0.33,0.52,0,352,0.33,0.66,0,320,0.32,0.85,0,313,0.32,1.05,0,0,0.33,1.26,0,0,0.33,1.48,0,0,0.33,1.71,0,0,0.33,1.95,0,0,0.34,2.19,0,0,0.34,2.43,0,0,0.32,2.68,0,0,0.35,0.01,0.0,0.0,0.35,2.92,0.0,0.0,,1.69,0.0,0.0,0.34,0.01,0.0,22.0,0.31,1.79,0.0,0.0,0.36,0.01,0.0,44.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
