time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,4.90,4.90,4.90,4.90,5.00,5.00,5.00,5.00,5.25,5.25,5.25,5.25,5.50,5.50,5.50,5.50,5.75,5.75,5.75,5.75,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.70
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-30 16:00:00,7.05,2.53,0,0,0.38,2.45,0,0,0.38,2.27,0,0,0.38,2.06,0,0,0.36,1.89,0,0,0.35,1.73,0,0,0.35,1.6,0,0,0.36,1.46,0,0,0.36,1.34,0,0,0.36,1.23,0,0,0.37,1.13,0,0,0.37,1.03,0,0,0.37,0.94,0,0,0.37,0.86,0,0,0.37,0.78,0,0,0.37,0.73,0,0,0.38,0.67,0,0,0.38,0.61,0,0,0.38,0.55,0,0,0.38,0.19,0,0,0.38,0.21,0,0,0.38,0.27,0,0,0.38,0.34,0,0,0.38,0.43,0,0,0.39,0.51,0,0,0.38,0.62,0,0,0.39,0.73,0,0,0.39,0.85,0,0,0.39,0.98,0,0,0.39,1.12,0,0,0.39,1.27,0,0,0.39,1.43,0,0,0.39,1.59,0,0,0.39,1.76,0,0,0.4,1.89,0,0,0.38,2.07,0,0,0.38,2.26,0,0,0.38,2.46,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01 16:00:00,7.16,2.62,0,0,0.37,2.55,0,0,0.38,2.36,0,0,0.38,2.19,0,0,0.38,2.03,0,0,0.38,1.87,0,0,0.38,1.72,0,0,0.38,1.58,0,0,0.38,1.46,0,0,0.38,1.33,0,0,0.38,1.19,0,0,0.37,1.12,0,0,0.38,1.02,0,0,0.38,0.94,0,0,0.38,0.85,0,0,0.38,0.78,0,0,0.38,0.71,0,0,0.38,0.64,0,0,0.38,0.59,0,0,0.38,0.18,0,0,0.38,0.2,0,0,0.38,0.25,0,0,0.38,0.32,0,0,0.38,0.39,0,0,0.38,0.47,0,0,0.38,0.57,0,0,0.38,0.67,0,0,0.38,0.78,0,0,0.38,0.9,0,0,0.38,1.07,0,0,0.39,1.18,0,0,0.38,1.33,0,0,0.38,1.49,0,0,0.38,1.65,0,0,0.38,1.82,0,0,0.38,2.0,0,0,0.38,2.19,0,0,0.38,2.38,0,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04 16:00:00,6.87,2.37,0,0,0.38,2.3,0,0,0.38,2.12,0,0,0.38,1.96,0,0,0.38,1.8,0,0,0.38,1.65,0,0,0.38,1.51,0,0,0.38,1.39,0,0,0.38,1.27,0,0,0.38,1.12,0,0,0.37,1.05,0,0,0.38,0.96,0,0,0.38,0.87,0,0,0.38,0.79,0,0,0.38,0.72,0,0,0.38,0.65,0,0,0.38,0.59,0,0,0.38,0.54,0,0,0.38,0.49,0,0,0.38,0.21,0,0,0.38,0.23,0,0,0.38,0.3,0,0,0.38,0.36,0,0,0.38,0.45,0,0,0.38,0.54,0,0,0.38,0.64,0,0,0.38,0.76,0,0,0.38,0.88,0,0,0.38,1.05,0,0,0.39,1.16,0,0,0.38,1.31,0,0,0.38,1.47,0,0,0.38,1.63,0,0,0.38,1.81,0,0,0.38,1.99,0,0,0.38,2.18,0,0,0.38,2.38,0,0,0.38,2.58,0,0,0.38,0.44,0.0,0.0,0.38,2.79,0.0,0.0,0.38,,,,,,,,,,,,,,,,
2023-12-05 16:00:00,6.77,2.28,0,0,0.38,2.21,0,0,0.38,2.04,0,0,0.38,1.87,0,0,0.38,1.72,0,0,0.38,1.58,0,0,0.38,1.44,0,0,0.38,1.32,0,0,0.38,1.16,0,0,0.36,1.09,0,0,0.38,0.99,0,0,0.38,0.9,0,0,0.38,0.82,0,0,0.38,0.74,0,0,0.38,0.67,0,0,0.38,0.61,0,0,0.38,0.55,0,0,0.38,0.5,0,0,0.38,0.45,0,0,0.38,0.21,0,0,0.38,0.24,0,0,0.38,0.3,0,0,0.38,0.38,0,0,0.38,0.47,0,0,0.38,0.57,0,0,0.38,0.67,0,0,0.38,0.79,0,0,0.38,0.94,0,0,0.39,1.05,0,0,0.38,1.2,0,0,0.38,1.36,0,0,0.38,1.52,0,0,0.38,1.69,0,0,0.38,1.87,0,0,0.38,2.05,0,0,0.38,2.25,0,0,0.38,2.45,0,0,0.38,2.65,0,0,0.38,0.4,0.0,0.0,0.37,2.86,0.0,0.0,0.38,2.36,0.0,0.0,0.38,0.2,0.0,0.0,0.38,,,,,,,,
2023-12-06 16:00:00,6.85,2.35,0,0,0.38,2.28,0,0,0.38,2.1,0,0,0.38,1.94,0,0,0.38,1.78,0,0,0.38,1.63,0,0,0.38,1.49,0,0,0.38,1.37,0,0,0.38,1.21,0,0,0.36,1.14,0,0,0.38,1.04,0,0,0.38,0.94,0,0,0.38,0.86,0,0,0.38,0.78,0,0,0.38,0.71,0,0,0.38,0.64,0,0,0.38,0.58,0,0,0.38,0.53,0,0,0.38,0.47,0,0,0.38,0.2,0,0,0.38,0.23,0,0,0.38,0.29,0,0,0.38,0.36,0,0,0.38,0.45,0,0,0.38,0.54,0,0,0.38,0.64,0,0,0.38,0.76,0,0,0.38,0.91,0,0,0.39,1.02,0,0,0.38,1.16,0,0,0.38,1.31,0,0,0.38,1.47,0,0,0.38,1.64,0,0,0.38,1.82,0,0,0.38,2.0,0,0,0.38,2.19,0,0,0.38,2.39,0,0,0.38,2.59,0,0,0.38,0.42,0.0,0.0,0.37,2.8,0.0,0.0,0.38,2.43,0.0,0.0,0.38,0.19,0.0,0.0,0.38,,,,,,,,
2023-12-07 16:00:00,6.6,2.14,0,0,0.38,2.07,0,0,0.38,1.9,0,0,0.38,1.74,0,0,0.38,1.6,0,0,0.38,1.46,0,0,0.38,1.33,0,0,0.38,1.18,0,0,0.37,1.11,0,0,0.38,1.0,0,0,0.38,0.91,0,0,0.38,0.83,0,0,0.38,0.75,0,0,0.38,0.68,0,0,0.38,0.61,0,0,0.38,0.55,0,0,0.38,0.5,0,0,0.38,0.44,0,0,0.38,0.4,0,0,0.38,0.25,0,0,0.39,0.27,0,0,0.38,0.34,0,0,0.38,0.43,0,0,0.38,0.52,0,0,0.38,0.62,0,0,0.38,0.74,0,0,0.38,0.89,0,0,0.39,1.0,0,0,0.38,1.14,0,0,0.38,1.29,0,0,0.38,1.45,0,0,0.38,1.62,0,0,0.38,1.8,0,0,0.38,1.98,0,0,0.38,2.18,0,0,0.38,2.38,0,0,0.38,2.58,0,0,0.38,2.79,0,0,0.38,0.36,0.0,0.0,0.38,3.01,0.0,0.0,0.39,2.21,0.0,0.0,0.38,0.23,0.0,0.0,0.39,,,,,,,,
2023-12-11 16:00:00,6.59,2.13,0,0,0.38,2.06,0,0,0.38,1.89,0,0,0.38,1.73,0,0,0.38,1.58,0,0,0.38,1.44,0,0,0.38,1.32,0,0,0.38,1.16,0,0,0.37,1.09,0,0,0.38,0.99,0,0,0.38,0.9,0,0,0.38,0.81,0,0,0.38,0.73,0,0,0.38,0.67,0,0,0.38,0.6,0,0,0.38,0.54,0,0,0.38,0.49,0,0,0.38,0.43,0,0,0.38,0.39,0,0,0.38,0.24,0,0,0.38,0.27,0,0,0.38,0.34,0,0,0.38,0.42,0,0,0.38,0.52,0,0,0.38,0.62,0,0,0.38,0.74,0,0,0.38,0.89,0,0,0.39,1.0,0,0,0.38,1.14,0,0,0.38,1.29,0,0,0.38,1.46,0,0,0.38,1.62,0,0,0.38,1.8,0,0,0.38,1.99,0,0,0.38,2.18,0,0,0.38,2.38,0,0,0.38,2.58,0,0,0.38,2.79,0,0,0.38,0.35,0.0,0.0,0.38,3.01,0.0,0.0,0.38,2.2,0.0,0.0,0.38,0.22,0.0,0.0,0.38,2.27,0.0,0.0,0.38,0.2,0.0,0.0,0.39
2023-12-13 16:00:00,6.66,2.18,0,0,0.38,2.11,0,0,0.38,1.94,0,0,0.38,1.78,0,0,0.38,1.58,0,0,0.36,1.44,0,0,0.36,1.32,0,0,0.36,1.2,0,0,0.37,1.09,0,0,0.37,0.99,0,0,0.37,0.9,0,0,0.37,0.81,0,0,0.37,0.73,0,0,0.37,0.67,0,0,0.37,0.6,0,0,0.37,0.56,0,0,0.38,0.51,3,3,0.38,0.45,0,0,0.38,0.41,0,0,0.38,0.23,0,0,0.38,0.26,0,0,0.38,0.33,0,0,0.38,0.41,0,0,0.38,0.51,0,0,0.39,0.61,0,0,0.39,0.73,0,0,0.39,0.85,0,0,0.39,0.99,0,0,0.39,1.13,0,0,0.39,1.29,0,0,0.39,1.41,0,0,0.38,1.57,0,0,0.38,1.75,0,0,0.38,1.94,0,0,0.38,2.13,0,0,0.38,2.32,0,0,0.38,2.52,0,0,0.38,2.73,0,0,0.38,0.37,0.0,0.0,0.38,2.95,0.0,0.0,0.38,2.25,0.0,0.0,0.38,0.2,0.0,0.0,0.38,2.33,0.0,0.0,0.38,0.19,0.0,0.0,0.39
