time,inst_ids
2023-01-05 16:00:00,"CSP2303,CSP2301,CSP2302,CSP2309,CSP2312,CSP2304,CSP2306,"
2023-01-09 16:00:00,"CSP2301,CSP2303,CSP2302,CSP2304,CSP2309,CSP2306,CSP2312,"
2023-01-12 16:00:00,"CSP2301,CSP2302,CSP2303,CSP2304,CSP2306,CSP2312,CSP2309,"
2023-01-16 16:00:00,"CSP2302,CSP2301,CSP2304,CSP2303,CSP2309,CSP2306,CSP2312,"
2023-01-18 16:00:00,"CSP2302,CSP2306,CSP2301,CSP2303,CSP2304,CSP2312,CSP2309,"
2023-01-27 16:00:00,"CSP2302,CSP2303,CSP2301,CSP2304,CSP2312,CSP2309,CSP2306,"
2023-02-06 16:00:00,"CSP2302,CSP2305,CSP2303,CSP2304,CSP2312,CSP2306,CSP2309,"
2023-02-07 16:00:00,"CSP2303,CSP2302,CSP2305,CSP2304,CSP2306,CSP2312,CSP2309,"
2023-02-20 16:00:00,"CSP2303,CSP2304,CSP2302,CSP2305,CSP2306,CSP2312,CSP2309,"
2023-02-22 16:00:00,"CSP2303,CSP2304,CSP2302,CSP2305,CSP2312,CSP2309,CSP2306,"
2023-02-24 16:00:00,"CSP2303,CSP2304,CSP2302,CSP2305,CSP2312,CSP2309,CSP2306,"
2023-03-01 16:00:00,"CSP2304,CSP2305,CSP2303,CSP2312,CSP2306,CSP2403,CSP2309,"
2023-03-02 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2306,CSP2403,CSP2312,CSP2309,"
2023-03-08 16:00:00,"CSP2304,CSP2303,CSP2306,CSP2305,CSP2312,CSP2403,CSP2309,"
2023-03-09 16:00:00,"CSP2304,CSP2303,CSP2305,CSP2309,CSP2403,CSP2306,CSP2312,"
2023-03-10 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2312,CSP2403,CSP2309,CSP2306,"
2023-03-13 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2306,CSP2403,CSP2312,CSP2309,"
2023-03-14 16:00:00,"CSP2305,CSP2304,CSP2303,CSP2312,CSP2403,CSP2309,CSP2306,"
2023-03-15 16:00:00,"CSP2303,CSP2306,CSP2304,CSP2309,CSP2305,CSP2403,CSP2312,"
2023-03-20 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2312,CSP2309,CSP2403,CSP2306,"
2023-03-21 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2306,CSP2309,CSP2403,CSP2312,"
2023-03-22 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2309,CSP2306,CSP2312,CSP2403,"
2023-03-23 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2306,CSP2403,CSP2309,CSP2312,"
2023-03-24 16:00:00,"CSP2304,CSP2303,CSP2305,CSP2306,CSP2309,CSP2403,CSP2312,"
2023-03-27 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2312,CSP2306,CSP2309,CSP2403,"
2023-03-28 16:00:00,"CSP2303,CSP2304,CSP2305,CSP2306,CSP2309,CSP2403,CSP2312,"
2023-03-29 16:00:00,"CSP2304,CSP2303,CSP2305,CSP2309,CSP2306,CSP2403,CSP2312,"
2023-03-30 16:00:00,"CSP2303,CSP2305,CSP2304,CSP2306,CSP2312,CSP2403,CSP2309,"
2023-04-04 16:00:00,"CSP2305,CSP2304,CSP2309,CSP2306,CSP2312,CSP2307,CSP2403,"
2023-04-11 16:00:00,"CSP2304,CSP2307,CSP2305,CSP2309,CSP2306,CSP2403,CSP2312,"
2023-04-12 16:00:00,"CSP2304,CSP2305,CSP2306,CSP2307,CSP2309,CSP2403,CSP2312,"
2023-04-13 16:00:00,"CSP2305,CSP2304,CSP2306,CSP2309,CSP2307,CSP2312,CSP2403,"
2023-04-14 16:00:00,"CSP2304,CSP2305,CSP2309,CSP2306,CSP2307,CSP2403,CSP2312,"
2023-04-17 16:00:00,"CSP2305,CSP2309,CSP2304,CSP2306,CSP2403,CSP2307,CSP2312,"
2023-04-20 16:00:00,"CSP2305,CSP2304,CSP2309,CSP2306,CSP2403,CSP2312,CSP2307,"
2023-04-21 16:00:00,"CSP2304,CSP2305,CSP2306,CSP2309,CSP2307,CSP2403,CSP2312,"
2023-04-24 16:00:00,"CSP2305,CSP2304,CSP2306,CSP2309,CSP2307,CSP2312,CSP2403,"
2023-04-25 16:00:00,"CSP2307,CSP2306,CSP2305,CSP2309,CSP2304,CSP2312,CSP2403,"
2023-04-28 16:00:00,"CSP2305,CSP2306,CSP2309,CSP2307,CSP2312,CSP2403,CSP2308,"
2023-05-02 16:00:00,"CSP2306,CSP2308,CSP2305,CSP2309,CSP2312,CSP2403,CSP2307,"
2023-05-03 16:00:00,"CSP2305,CSP2306,CSP2312,CSP2307,CSP2309,CSP2403,CSP2308,"
2023-05-04 16:00:00,"CSP2306,CSP2305,CSP2308,CSP2309,CSP2312,CSP2307,CSP2403,"
2023-05-09 16:00:00,"CSP2307,CSP2305,CSP2306,CSP2308,CSP2312,CSP2403,CSP2309,"
2023-05-11 16:00:00,"CSP2305,CSP2307,CSP2306,CSP2308,CSP2403,CSP2312,CSP2309,"
2023-05-12 16:00:00,"CSP2306,CSP2307,CSP2305,CSP2308,CSP2403,CSP2312,CSP2309,"
2023-05-15 16:00:00,"CSP2307,CSP2305,CSP2308,CSP2306,CSP2309,CSP2403,CSP2312,"
2023-05-17 16:00:00,"CSP2307,CSP2305,CSP2306,CSP2308,CSP2312,CSP2403,CSP2309,"
2023-05-18 16:00:00,"CSP2305,CSP2308,CSP2307,CSP2306,CSP2312,CSP2309,CSP2403,"
2023-05-19 16:00:00,"CSP2306,CSP2305,CSP2307,CSP2308,CSP2403,CSP2312,CSP2309,"
2023-05-22 16:00:00,"CSP2305,CSP2306,CSP2307,CSP2308,CSP2403,CSP2312,CSP2309,"
2023-05-25 16:00:00,"CSP2305,CSP2307,CSP2306,CSP2308,CSP2309,CSP2312,CSP2403,"
2023-05-29 16:00:00,"CSP2306,CSP2305,CSP2307,CSP2308,CSP2312,CSP2309,CSP2403,"
2023-05-30 16:00:00,"CSP2306,CSP2305,CSP2308,CSP2307,CSP2403,CSP2312,CSP2309,"
2023-05-31 16:00:00,"CSP2307,CSP2306,CSP2308,CSP2312,CSP2406,CSP2403,CSP2309,"
2023-06-01 16:00:00,"CSP2308,CSP2306,CSP2307,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-06 16:00:00,"CSP2306,CSP2307,CSP2308,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-07 16:00:00,"CSP2308,CSP2307,CSP2306,CSP2309,CSP2312,CSP2403,CSP2406,"
2023-06-08 16:00:00,"CSP2306,CSP2308,CSP2307,CSP2312,CSP2309,CSP2406,CSP2403,"
2023-06-09 16:00:00,"CSP2306,CSP2308,CSP2307,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-12 16:00:00,"CSP2307,CSP2306,CSP2309,CSP2308,CSP2406,CSP2403,CSP2312,"
2023-06-13 16:00:00,"CSP2308,CSP2307,CSP2306,CSP2309,CSP2312,CSP2403,CSP2406,"
2023-06-14 16:00:00,"CSP2306,CSP2308,CSP2307,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-15 16:00:00,"CSP2307,CSP2308,CSP2309,CSP2306,CSP2312,CSP2403,CSP2406,"
2023-06-16 16:00:00,"CSP2306,CSP2307,CSP2308,CSP2309,CSP2312,CSP2403,CSP2406,"
2023-06-19 16:00:00,"CSP2307,CSP2308,CSP2306,CSP2309,CSP2406,CSP2403,CSP2312,"
2023-06-20 16:00:00,"CSP2308,CSP2307,CSP2306,CSP2309,CSP2312,CSP2403,CSP2406,"
2023-06-21 16:00:00,"CSP2306,CSP2307,CSP2308,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-23 16:00:00,"CSP2308,CSP2306,CSP2307,CSP2309,CSP2406,CSP2403,CSP2312,"
2023-06-28 16:00:00,"CSP2308,CSP2306,CSP2307,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-29 16:00:00,"CSP2306,CSP2308,CSP2307,CSP2309,CSP2312,CSP2406,CSP2403,"
2023-06-30 16:00:00,"CSP2307,CSP2312,CSP2403,CSP2309,CSP2308,CSP2406,CSP2310,"
2023-07-04 16:00:00,"CSP2307,CSP2309,CSP2310,CSP2308,CSP2312,CSP2406,CSP2403,"
2023-07-05 16:00:00,"CSP2307,CSP2309,CSP2308,CSP2312,CSP2310,CSP2406,CSP2403,"
2023-07-06 16:00:00,"CSP2308,CSP2307,CSP2309,CSP2310,CSP2312,CSP2406,CSP2403,"
2023-07-07 16:00:00,"CSP2307,CSP2308,CSP2309,CSP2312,CSP2310,CSP2406,CSP2403,"
2023-07-11 16:00:00,"CSP2307,CSP2308,CSP2310,CSP2309,CSP2312,CSP2403,CSP2406,"
2023-07-12 16:00:00,"CSP2307,CSP2308,CSP2309,CSP2312,CSP2310,CSP2406,CSP2403,"
2023-07-13 16:00:00,"CSP2308,CSP2310,CSP2307,CSP2312,CSP2403,CSP2309,CSP2406,"
2023-07-14 16:00:00,"CSP2308,CSP2307,CSP2309,CSP2403,CSP2312,CSP2310,CSP2406,"
2023-07-18 16:00:00,"CSP2307,CSP2308,CSP2310,CSP2309,CSP2312,CSP2406,CSP2403,"
