time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
time,close,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,87.50,87.50,87.50,87.50,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-31 16:00:00,54.4,15.2,0,0,0.35,14.21,0,0,0.33,13.32,0,0,0.33,12.45,0,0,0.33,11.6,0,0,0.33,10.77,0,0,0.34,9.97,0,0,0.34,9.2,0,0,0.34,8.47,0,0,0.34,7.78,0,0,0.34,7.15,0,0,0.34,5.65,0,0,0.34,4.37,0,0,0.34,3.37,0,0,0.34,2.57,0,0,0.35,1.96,1,1,0.35,1.48,1,1,0.36,1.07,0,0,0.35,0.76,0,0,0.35,0.54,14,14,0.35,0.37,0,0,0.35,0.26,0,0,0.35,0.18,0,0,0.35,0.12,0,0,0.35,0.08,0,0,0.35,0.23,0,0,0.35,0.31,0,0,0.35,0.41,0,0,0.35,0.53,0,0,0.35,0.68,0,0,0.35,0.85,1,1,0.35,1.05,0,0,0.36,1.29,0,0,0.35,1.55,0,0,0.36,1.87,0,0,0.36,2.2,0,0,0.36,3.23,0,0,0.36,4.5,0,0,0.36,6.0,0,0,0.37,7.71,0,0,0.37,9.62,0,0,0.38,11.69,0,0,0.39,13.9,0,0,0.4,16.16,0,0,0.41,18.5,0,0,0.43,20.88,0,0,0.44,23.1,0,0,,25.6,0,0,,28.1,0,0,,30.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01 16:00:00,56.4,17.12,0,0,0.35,16.19,0,0,0.35,15.28,0,0,0.35,14.33,0,0,0.34,13.45,0,0,0.34,12.58,0,0,0.34,11.74,0,0,0.34,10.92,0,0,0.34,10.13,0,0,0.34,9.37,0,0,0.34,8.69,0,0,0.35,7.02,0,0,0.35,5.56,0,0,0.34,4.36,0,0,0.34,3.4,200,200,0.35,2.64,215,216,0.35,2.05,0,1,0.36,1.54,0,0,0.36,1.13,30,30,0.36,0.82,15,29,0.36,0.58,15,15,0.36,0.42,0,0,0.36,0.3,0,0,0.36,0.21,0,0,0.36,0.14,0,0,0.36,0.16,0,0,0.36,0.22,0,0,0.36,0.29,0,0,0.36,0.38,0,0,0.36,0.49,0,0,0.36,0.63,0,1,0.36,0.78,0,0,0.36,0.97,11,11,0.36,1.18,0,0,0.36,1.44,0,0,0.36,1.71,0,0,0.36,2.57,34,34,0.36,3.65,0,0,0.36,4.95,0,0,0.36,6.49,0,0,0.37,8.24,0,0,0.37,10.17,0,0,0.38,12.25,0,0,0.39,14.46,0,0,0.41,16.72,0,0,0.42,19.04,0,0,0.43,21.41,0,0,0.44,23.6,0,0,,26.1,0,0,,28.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-02 16:00:00,55.35,15.94,0,0,0.36,15.02,0,0,0.36,14.27,0,0,0.39,13.38,0,0,0.38,12.5,0,0,0.38,11.65,0,0,0.37,10.83,0,0,0.37,10.04,0,0,0.37,9.27,1,1,0.36,8.54,0,0,0.36,7.79,15,15,0.35,6.32,0,0,0.36,4.96,0,0,0.36,3.88,0,0,0.36,2.98,29,229,0.36,2.25,15,231,0.36,1.67,0,1,0.36,1.23,0,0,0.36,0.89,15,45,0.36,0.64,15,44,0.36,0.46,0,15,0.36,0.32,0,0,0.36,0.22,0,0,0.36,0.15,0,0,0.36,0.11,0,0,0.36,0.21,0,0,0.36,0.28,0,0,0.36,0.37,15,15,0.36,0.48,15,15,0.36,0.62,0,0,0.36,0.77,30,31,0.36,0.97,0,0,0.36,1.17,100,111,0.36,1.42,0,0,0.36,1.69,0,0,0.36,1.97,0,0,0.35,2.89,1,34,0.35,4.05,15,15,0.35,5.44,0,0,0.36,7.08,0,0,0.36,8.93,0,0,0.37,10.97,0,0,0.37,13.09,0,0,0.38,15.31,0,0,0.39,17.6,0,0,0.4,19.95,0,0,0.41,22.35,0,0,0.42,24.65,0,0,,27.15,0,0,,29.65,0,0,,0.07,0.0,0.0,0.36,32.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03 16:00:00,54.8,15.4,0,0,0.35,14.48,0,0,0.35,13.8,0,0,0.4,12.91,0,0,0.39,12.05,0,0,0.39,11.2,0,0,0.38,10.38,0,0,0.37,9.52,0,0,0.36,8.77,0,1,0.36,8.08,0,0,0.36,7.4,0,15,0.36,5.86,0,0,0.36,4.57,0,0,0.35,3.54,0,0,0.36,2.72,0,229,0.36,2.04,0,231,0.36,1.5,0,1,0.36,1.08,0,0,0.36,0.77,0,45,0.36,0.54,0,44,0.36,0.38,0,15,0.36,0.27,0,0,0.36,0.18,0,0,0.35,0.13,0,0,0.36,0.09,0,0,0.36,0.22,0,0,0.36,0.3,0,0,0.36,0.4,0,15,0.36,0.51,0,15,0.36,0.66,0,0,0.36,0.82,0,31,0.36,1.02,0,0,0.36,1.25,0,111,0.36,1.52,0,0,0.36,1.79,0,0,0.36,2.12,0,0,0.36,3.07,1,35,0.36,4.27,0,15,0.35,5.73,0,0,0.36,7.43,0,0,0.36,9.34,0,0,0.37,11.38,0,0,0.38,13.46,0,0,0.38,15.7,0,0,0.38,18.03,0,0,0.39,20.4,0,0,0.4,22.7,0,0,,25.2,0,0,,27.7,0,0,,30.2,0,0,,0.06,0.0,0.0,0.36,32.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06 16:00:00,54.25,14.85,0,0,0.35,14.08,0,0,0.39,13.18,0,0,0.38,12.31,0,0,0.38,11.45,0,0,0.37,10.63,0,0,0.37,9.83,0,0,0.37,9.06,0,0,0.36,8.32,0,1,0.36,7.69,15,15,0.37,7.02,0,15,0.37,5.51,0,0,0.36,4.26,0,0,0.36,3.27,0,0,0.36,2.49,0,229,0.36,1.85,0,231,0.36,1.34,0,1,0.36,0.96,0,0,0.36,0.68,15,60,0.36,0.48,0,44,0.36,0.33,0,15,0.36,0.22,0,0,0.36,0.15,0,0,0.36,0.11,0,0,0.36,0.07,0,0,0.36,0.24,0,0,0.36,0.32,0,0,0.36,0.43,0,15,0.36,0.55,0,15,0.36,0.7,0,0,0.36,0.89,0,31,0.36,1.09,0,0,0.36,1.35,0,111,0.36,1.61,0,0,0.36,1.93,0,0,0.36,2.25,0,0,0.36,3.23,16,36,0.35,4.5,15,30,0.35,6.02,0,0,0.36,7.77,15,15,0.36,9.72,0,0,0.37,11.79,0,0,0.38,13.98,0,0,0.39,16.26,0,0,0.4,18.6,0,0,0.41,20.99,0,0,0.42,23.25,0,0,,25.75,0,0,,28.25,0,0,,30.75,0,0,,0.05,0.0,0.0,0.36,33.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07 16:00:00,52.85,13.82,0,0,0.43,12.92,0,0,0.41,12.04,0,0,0.41,11.18,0,0,0.4,10.35,0,0,0.39,9.55,0,0,0.38,8.78,0,0,0.38,8.04,1,1,0.37,7.34,0,1,0.37,6.67,0,15,0.37,6.03,15,30,0.36,4.66,0,0,0.36,3.55,0,0,0.36,2.67,0,0,0.36,1.96,0,229,0.36,1.41,0,231,0.36,1.0,0,1,0.36,0.7,0,0,0.36,0.48,0,60,0.36,0.33,0,44,0.36,0.22,0,15,0.35,0.15,0,0,0.36,0.1,0,0,0.36,0.07,0,0,0.36,0.04,0,0,0.35,0.3,17,17,0.36,0.41,0,0,0.36,0.53,0,15,0.36,0.68,0,15,0.36,0.87,0,0,0.36,1.07,0,31,0.36,1.32,15,15,0.36,1.58,0,111,0.36,1.87,0,0,0.35,2.21,0,0,0.35,2.58,68,68,0.35,3.7,0,36,0.35,5.09,0,30,0.35,6.73,0,0,0.35,8.59,0,15,0.35,10.6,0,0,0.36,12.75,0,0,0.36,15.0,0,0,0.36,17.32,0,0,0.37,19.7,0,0,0.36,22.15,0,0,,24.65,0,0,,27.15,0,0,,29.65,0,0,,32.15,0,0,,0.03,0.0,0.0,0.36,34.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08 16:00:00,52.7,13.66,0,0,0.42,12.66,0,0,0.39,11.78,0,0,0.39,10.93,0,0,0.38,10.1,0,0,0.37,9.3,0,0,0.37,8.53,0,0,0.37,7.8,1,2,0.36,7.1,0,1,0.36,6.51,0,15,0.36,5.86,0,30,0.36,4.5,0,0,0.36,3.4,0,0,0.35,2.57,16,16,0.36,1.88,0,229,0.36,1.35,0,231,0.36,0.95,0,1,0.36,0.66,0,0,0.35,0.45,0,60,0.35,0.3,0,44,0.35,0.2,0,15,0.35,0.14,0,0,0.36,0.09,0,0,0.35,0.06,0,0,0.35,0.04,0,0,0.36,0.3,0,17,0.35,0.41,0,0,0.36,0.53,0,15,0.35,0.68,0,15,0.36,0.87,0,0,0.36,1.08,0,31,0.36,1.32,0,15,0.35,1.58,0,111,0.35,1.88,0,0,0.35,2.22,0,0,0.35,2.6,0,68,0.35,3.75,0,36,0.35,5.15,0,30,0.35,6.82,0,0,0.35,8.69,0,15,0.35,10.76,0,0,0.36,12.92,0,0,0.37,15.18,0,0,0.37,17.52,0,0,0.38,19.9,0,0,0.38,22.3,0,0,,24.8,0,0,,27.3,0,0,,29.8,0,0,,32.3,0,0,,0.03,0.0,0.0,0.36,34.8,0.0,0.0,,14.27,0.0,0.0,0.35,0.22,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09 16:00:00,54.4,14.96,0,0,0.35,14.04,0,0,0.35,13.28,0,0,0.38,12.4,0,0,0.38,11.53,0,0,0.37,10.69,0,0,0.37,9.88,0,0,0.36,9.1,0,2,0.36,8.35,0,1,0.36,7.63,0,15,0.35,6.95,0,30,0.35,5.47,0,0,0.35,4.19,0,0,0.35,3.22,0,16,0.35,2.43,0,229,0.36,1.78,0,231,0.36,1.28,0,1,0.35,0.91,0,0,0.35,0.63,0,60,0.35,0.44,0,44,0.35,0.3,0,15,0.35,0.2,0,0,0.35,0.13,0,0,0.35,0.09,0,0,0.35,0.06,0,0,0.35,0.2,0,17,0.35,0.28,0,0,0.35,0.37,0,15,0.35,0.48,0,15,0.35,0.63,0,0,0.35,0.8,0,31,0.35,1.0,0,15,0.36,1.23,0,111,0.35,1.48,0,0,0.35,1.76,0,0,0.35,2.09,0,68,0.35,3.08,0,36,0.35,4.33,0,30,0.35,5.84,0,0,0.35,7.56,0,15,0.36,9.5,0,0,0.36,11.58,0,0,0.37,13.76,0,0,0.38,16.04,0,0,0.39,18.38,0,0,0.4,20.77,0,0,0.41,23.1,0,0,,25.6,0,0,,28.1,0,0,,30.6,0,0,,0.04,0.0,0.0,0.36,33.1,0.0,0.0,,15.89,0.0,0.0,0.35,0.15,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
