time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P
time,close,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25,6.00,6.00,6.00,6.00,6.25,6.25,6.25,6.25
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-31 16:00:00,11.0,3.15,0,0,0.63,2.94,0,0,0.61,2.75,0,0,0.61,2.56,0,0,0.6,2.38,0,0,0.59,2.21,0,0,0.59,2.05,0,0,0.58,1.89,0,0,0.58,1.61,0,0,0.57,1.37,100,100,0.57,1.15,0,0,0.56,0.96,0,0,0.56,0.81,0,0,0.56,0.67,0,0,0.56,0.55,0,0,0.56,0.46,0,0,0.56,0.38,0,0,0.56,0.31,0,0,0.55,0.26,4,4,0.56,0.35,24,24,0.56,0.42,0,0,0.56,0.48,0,0,0.55,0.57,0,0,0.55,0.64,0,0,0.54,0.73,0,0,0.54,0.84,0,0,0.54,0.95,85,85,0.54,1.19,0,0,0.53,1.47,100,100,0.53,1.77,274,274,0.53,2.09,0,0,0.52,2.44,0,0,0.52,2.8,0,0,0.51,3.18,0,0,0.5,3.58,0,0,0.49,3.99,0,0,0.47,4.42,36,36,0.45,4.85,17,17,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01 16:00:00,11.58,3.55,0,0,0.52,3.38,0,0,0.56,3.2,0,0,0.58,3.0,0,0,0.57,2.81,0,0,0.57,2.64,0,0,0.58,2.45,0,0,0.57,2.29,0,0,0.57,1.99,0,0,0.57,1.68,0,100,0.55,1.46,129,129,0.56,1.25,113,113,0.56,1.06,106,106,0.56,0.9,0,0,0.56,0.75,0,0,0.56,0.63,0,0,0.56,0.53,0,0,0.56,0.44,10,10,0.56,0.37,10,14,0.56,0.26,0,24,0.55,0.32,0,0,0.56,0.38,0,0,0.56,0.45,0,0,0.56,0.53,0,0,0.56,0.6,154,154,0.55,0.69,144,144,0.55,0.79,144,229,0.55,0.99,0,0,0.55,1.23,0,100,0.54,1.49,0,274,0.53,1.8,59,59,0.54,2.12,0,0,0.54,2.44,0,0,0.52,2.8,0,0,0.51,3.18,32,32,0.51,3.58,50,50,0.5,4.0,0,36,0.5,4.43,44,61,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-02 16:00:00,11.44,3.48,60,60,0.61,3.27,0,0,0.6,3.06,0,0,0.59,2.88,0,0,0.6,2.69,0,0,0.59,2.5,0,0,0.58,2.33,0,0,0.58,2.16,0,0,0.57,1.85,0,0,0.56,1.57,0,100,0.56,1.33,0,129,0.55,1.12,0,113,0.55,0.94,0,106,0.55,0.79,0,0,0.55,0.66,0,0,0.55,0.54,0,0,0.55,0.45,0,0,0.55,0.37,0,10,0.55,0.31,126,135,0.55,0.27,0,24,0.54,0.33,0,0,0.55,0.39,9,9,0.54,0.46,0,0,0.54,0.53,0,0,0.54,0.6,0,154,0.53,0.69,0,144,0.53,0.79,0,229,0.53,1.01,0,0,0.52,1.26,0,100,0.52,1.54,0,274,0.52,1.85,0,59,0.52,2.18,0,0,0.51,2.53,60,60,0.51,2.9,0,0,0.5,3.28,0,32,0.48,3.69,0,50,0.48,4.1,0,36,0.46,4.53,0,61,0.44,0.25,0.0,0.0,0.55,4.96,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03 16:00:00,11.6,3.6,0,60,0.59,3.4,0,0,0.6,3.22,0,0,0.61,3.02,0,0,0.6,2.82,0,0,0.59,2.64,0,0,0.59,2.45,0,0,0.58,2.29,0,0,0.58,1.96,0,0,0.57,1.68,30,115,0.56,1.43,0,129,0.56,1.21,0,113,0.56,1.02,0,106,0.56,0.85,0,0,0.55,0.71,0,0,0.55,0.59,0,0,0.55,0.49,0,0,0.55,0.41,0,10,0.55,0.34,0,135,0.55,0.25,0,24,0.55,0.3,0,0,0.55,0.36,0,9,0.55,0.44,0,0,0.55,0.5,0,0,0.55,0.57,0,154,0.54,0.66,30,174,0.54,0.75,0,229,0.53,0.96,0,0,0.53,1.2,0,100,0.53,1.47,0,274,0.52,1.77,117,176,0.52,2.09,0,0,0.52,2.43,0,60,0.51,2.79,0,0,0.5,3.18,50,82,0.5,3.57,0,50,0.48,3.98,0,36,0.47,4.42,0,61,0.47,0.28,0.0,0.0,0.55,4.86,0.0,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06 16:00:00,10.88,2.98,0,60,0.62,2.78,0,0,0.61,2.58,0,0,0.6,2.4,0,0,0.59,2.21,0,0,0.58,2.05,0,0,0.58,1.88,0,0,0.57,1.74,0,0,0.57,1.46,0,0,0.56,1.22,0,115,0.56,1.02,0,129,0.56,0.84,0,113,0.55,0.69,0,106,0.55,0.57,4,4,0.55,0.47,0,0,0.55,0.38,0,0,0.55,0.31,0,0,0.55,0.25,0,10,0.55,0.2,0,135,0.55,0.35,16,40,0.55,0.43,0,0,0.56,0.49,0,9,0.55,0.57,23,23,0.54,0.65,0,0,0.54,0.75,0,154,0.53,0.85,0,174,0.53,0.97,0,229,0.53,1.23,189,189,0.53,1.51,0,100,0.53,1.82,0,274,0.52,2.16,0,176,0.52,2.51,0,0,0.51,2.89,0,60,0.5,3.29,0,0,0.49,3.7,0,82,0.48,4.13,0,50,0.46,4.56,0,36,0.44,4.99,0,61,0.37,0.16,0.0,0.0,0.55,5.47,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07 16:00:00,10.7,2.8,0,60,0.6,2.6,0,0,0.59,2.4,0,0,0.58,2.22,0,0,0.57,2.04,0,0,0.56,1.88,0,0,0.56,1.72,0,0,0.56,1.58,0,0,0.56,1.31,0,0,0.55,1.08,0,115,0.54,0.89,0,129,0.54,0.73,0,113,0.54,0.59,0,106,0.54,0.48,0,4,0.54,0.39,0,0,0.54,0.31,0,0,0.54,0.25,0,0,0.54,0.2,0,10,0.54,0.16,0,135,0.54,0.36,0,40,0.54,0.43,0,0,0.54,0.5,0,9,0.53,0.57,0,23,0.52,0.67,0,0,0.52,0.77,66,160,0.52,0.88,0,174,0.52,1.0,0,229,0.51,1.27,0,189,0.51,1.56,0,100,0.51,1.88,0,274,0.5,2.23,0,176,0.5,2.6,0,0,0.49,2.98,0,60,0.47,3.39,0,0,0.46,3.81,0,82,0.45,4.23,0,50,0.41,4.68,0,36,0.37,5.12,0,61,,0.13,0.0,0.0,0.54,5.58,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08 16:00:00,10.62,2.7,0,60,0.58,2.52,0,0,0.59,2.26,0,0,0.53,2.08,0,0,0.53,1.91,0,0,0.53,1.75,0,0,0.53,1.6,0,0,0.53,1.51,0,0,0.55,1.25,0,0,0.54,1.03,0,115,0.54,0.84,0,129,0.54,0.68,130,243,0.54,0.55,0,106,0.53,0.44,0,4,0.53,0.35,0,0,0.53,0.29,0,0,0.54,0.23,6,6,0.54,0.18,0,10,0.53,0.14,0,135,0.53,0.37,0,40,0.54,0.44,0,0,0.53,0.51,0,9,0.53,0.59,0,23,0.52,0.69,0,0,0.52,0.79,0,160,0.52,0.91,0,174,0.52,1.03,1,229,0.52,1.3,0,189,0.51,1.6,0,100,0.51,1.92,0,274,0.5,2.34,0,176,0.53,2.65,0,0,0.49,3.04,0,60,0.47,3.47,0,0,0.47,3.89,0,82,0.46,4.34,0,50,0.45,4.77,0,36,0.39,5.24,0,61,0.36,0.11,0.0,0.0,0.53,5.69,0.0,0.0,,2.89,0.0,0.0,0.57,0.3,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09 16:00:00,10.78,2.86,0,60,0.6,2.65,0,0,0.59,2.46,0,0,0.58,2.2,0,0,0.53,2.03,0,0,0.53,1.87,0,0,0.53,1.71,0,0,0.53,1.61,0,0,0.55,1.34,0,0,0.55,1.11,0,115,0.54,0.91,0,129,0.54,0.75,0,243,0.54,0.6,0,106,0.54,0.48,0,4,0.53,0.39,148,148,0.53,0.32,0,0,0.54,0.25,0,6,0.53,0.2,0,10,0.53,0.16,0,135,0.53,0.34,0,40,0.54,0.4,4,4,0.53,0.47,3,12,0.53,0.54,0,23,0.52,0.63,0,0,0.52,0.74,0,160,0.52,0.84,0,174,0.52,0.96,450,595,0.51,1.22,0,189,0.51,1.51,0,100,0.51,1.83,0,274,0.51,2.24,0,176,0.53,2.54,22,22,0.49,2.92,0,60,0.48,3.32,0,0,0.46,3.74,22,104,0.45,4.17,0,50,0.42,4.61,0,36,0.38,5.05,0,61,,0.13,0.0,0.0,0.54,5.53,0.0,0.0,,3.07,0.0,0.0,0.61,0.28,0.0,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
