time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,6.25,6.25,6.25,6.25,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-06-30 16:00:00,8.97,2.86,0,0,0.43,2.65,0,0,0.45,2.47,0,0,0.48,2.26,0,0,0.47,2.07,0,0,0.47,1.89,0,0,0.47,1.73,0,0,0.48,1.56,0,0,0.47,1.41,0,0,0.47,1.28,0,0,0.48,1.14,0,0,0.47,1.01,2,2,0.47,0.91,1,1,0.47,0.81,0,0,0.47,0.73,0,0,0.47,0.65,0,0,0.47,0.52,0,0,0.48,0.41,0,0,0.48,0.32,20,20,0.48,0.09,0,0,0.48,0.12,0,0,0.48,0.16,0,0,0.48,0.21,0,0,0.48,0.27,0,0,0.48,0.34,19,19,0.48,0.42,0,0,0.48,0.51,60,60,0.49,0.62,10,10,0.49,0.73,30,30,0.49,0.85,0,0,0.49,0.98,94,94,0.49,1.11,0,0,0.48,1.26,0,0,0.48,1.43,0,0,0.49,1.6,0,0,0.49,1.96,0,0,0.49,2.36,0,0,0.5,2.76,0,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03 16:00:00,9.64,3.54,0,0,0.52,3.32,0,0,0.52,3.09,0,0,0.51,2.89,0,0,0.52,2.7,0,0,0.53,2.48,0,0,0.51,2.3,0,0,0.51,2.12,0,0,0.51,1.94,0,0,0.5,1.78,0,0,0.5,1.62,0,0,0.5,1.47,1,3,0.49,1.33,5,5,0.49,1.22,3,3,0.5,1.11,12,11,0.5,1.0,1,1,0.5,0.83,0,0,0.5,0.68,30,30,0.51,0.55,30,50,0.51,0.06,0,0,0.5,0.09,0,0,0.51,0.11,0,0,0.5,0.15,0,0,0.5,0.19,0,0,0.5,0.25,0,19,0.51,0.31,0,0,0.51,0.38,0,60,0.51,0.46,30,40,0.51,0.54,23,53,0.51,0.64,30,30,0.51,0.74,0,94,0.5,0.86,30,30,0.5,0.99,41,41,0.51,1.11,0,0,0.5,1.25,0,0,0.5,1.59,0,0,0.51,1.93,0,0,0.51,2.32,0,0,0.52,0.44,90.0,90.0,0.51,0.35,20.0,20.0,0.51,2.71,0.0,0.0,0.52,3.13,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04 16:00:00,9.63,3.51,0,0,0.47,3.3,0,0,0.5,3.08,0,0,0.5,2.86,0,0,0.49,2.66,0,0,0.49,2.45,0,0,0.48,2.28,0,0,0.5,2.1,0,0,0.5,1.93,0,0,0.5,1.76,0,0,0.49,1.6,0,0,0.49,1.45,0,3,0.49,1.33,0,5,0.49,1.2,0,3,0.49,1.09,1,11,0.49,0.98,0,1,0.49,0.81,0,0,0.5,0.66,0,30,0.5,0.54,0,50,0.51,0.05,0,0,0.49,0.08,0,0,0.5,0.11,0,0,0.5,0.14,0,0,0.5,0.18,0,0,0.5,0.24,0,19,0.5,0.3,0,0,0.5,0.37,41,101,0.51,0.44,0,40,0.5,0.53,0,53,0.5,0.62,37,67,0.5,0.73,0,94,0.5,0.84,26,30,0.5,0.97,0,41,0.5,1.1,0,0,0.5,1.25,0,0,0.5,1.57,0,0,0.5,1.91,0,0,0.5,2.29,0,0,0.51,0.43,0.0,90.0,0.5,0.34,0.0,20.0,0.5,2.7,0.0,0.0,0.52,3.12,0.0,0.0,0.52,0.27,0.0,0.0,0.5,0.21,0.0,0.0,0.5,0.16,0.0,0.0,0.5,3.56,0.0,0.0,0.53,4.01,0.0,0.0,0.54,4.47,0.0,0.0,0.54,,,,,,,,,,,,,,,,
2023-07-05 16:00:00,9.44,3.33,0,0,0.48,3.11,0,0,0.48,2.89,0,0,0.48,2.68,0,0,0.48,2.47,0,0,0.48,2.28,0,0,0.48,2.12,0,0,0.5,1.94,0,0,0.5,1.75,0,0,0.48,1.61,0,0,0.49,1.46,0,0,0.49,1.32,0,3,0.49,1.2,3,3,0.49,1.07,0,3,0.48,0.98,0,11,0.49,0.88,0,1,0.49,0.72,0,0,0.5,0.58,0,30,0.5,0.46,0,50,0.5,0.06,0,0,0.49,0.09,0,0,0.5,0.12,0,0,0.5,0.16,0,0,0.5,0.2,6,6,0.49,0.26,0,19,0.5,0.32,0,0,0.5,0.39,0,101,0.49,0.48,0,40,0.5,0.57,0,53,0.5,0.68,0,67,0.5,0.78,7,101,0.49,0.91,0,30,0.5,1.04,0,41,0.5,1.19,0,0,0.5,1.34,0,0,0.5,1.67,0,0,0.5,2.03,0,0,0.51,2.45,0,0,0.53,0.36,0.0,90.0,0.5,0.28,0.0,20.0,0.49,2.84,0.0,0.0,0.52,3.27,0.0,0.0,0.53,0.22,0.0,0.0,0.49,0.17,0.0,0.0,0.49,0.13,0.0,0.0,0.49,3.72,0.0,0.0,0.54,4.18,0.0,0.0,0.55,4.65,0.0,0.0,0.56,,,,,,,,,,,,,,,,
2023-07-06 16:00:00,9.41,3.28,0,0,0.43,3.05,0,0,0.43,2.86,0,0,0.48,2.65,0,0,0.48,2.44,0,0,0.48,2.26,0,0,0.49,2.09,0,0,0.5,1.9,0,0,0.49,1.73,0,0,0.48,1.6,0,0,0.5,1.44,0,0,0.49,1.29,0,3,0.48,1.19,14,17,0.5,1.07,0,3,0.49,0.97,0,11,0.5,0.87,0,1,0.5,0.72,0,0,0.51,0.58,0,30,0.51,0.46,0,50,0.51,0.07,0,0,0.51,0.09,0,0,0.5,0.13,0,0,0.51,0.16,0,0,0.5,0.21,0,6,0.5,0.27,4,23,0.51,0.34,0,0,0.51,0.41,0,101,0.5,0.5,23,40,0.51,0.59,0,53,0.5,0.7,0,67,0.51,0.81,30,131,0.51,0.94,14,40,0.51,1.06,0,41,0.5,1.2,0,0,0.5,1.37,0,0,0.51,1.7,0,0,0.51,2.06,0,0,0.51,2.47,0,0,0.53,0.36,0.0,90.0,0.5,0.29,0.0,20.0,0.51,2.89,0.0,0.0,0.54,3.31,0.0,0.0,0.54,0.22,0.0,0.0,0.5,0.17,0.0,0.0,0.5,0.14,0.0,0.0,0.51,3.77,0.0,0.0,0.56,4.24,0.0,0.0,0.57,4.67,0.0,0.0,0.55,,,,,,,,,,,,,,,,
2023-07-07 16:00:00,9.19,3.11,0,0,0.51,2.9,0,0,0.52,2.72,0,0,0.55,2.5,0,0,0.53,2.28,0,0,0.5,2.09,0,0,0.5,1.91,0,0,0.5,1.74,0,0,0.5,1.57,0,0,0.49,1.43,0,0,0.49,1.29,0,0,0.49,1.17,0,3,0.49,1.05,30,45,0.49,0.95,0,3,0.5,0.86,0,11,0.5,0.77,380,380,0.5,0.62,30,30,0.5,0.49,0,30,0.5,0.39,0,50,0.5,0.08,0,0,0.51,0.11,0,0,0.51,0.14,0,0,0.5,0.19,0,0,0.5,0.24,0,6,0.5,0.3,0,23,0.5,0.37,0,0,0.5,0.46,0,101,0.5,0.55,30,70,0.5,0.65,0,53,0.5,0.76,0,67,0.5,0.88,0,131,0.5,1.01,0,40,0.5,1.16,0,41,0.5,1.31,0,0,0.5,1.48,0,0,0.51,1.82,0,0,0.51,2.2,0,0,0.51,2.62,0,0,0.53,0.3,0.0,90.0,0.5,0.23,0.0,20.0,0.5,3.04,0.0,0.0,0.53,3.48,0.0,0.0,0.54,0.18,0.0,0.0,0.5,0.14,0.0,0.0,0.5,0.11,0.0,0.0,0.5,3.93,0.0,0.0,0.54,4.41,0.0,0.0,0.56,4.88,0.0,0.0,0.57,,,,,,,,,,,,,,,,
2023-07-10 16:00:00,9.29,3.18,0,0,0.48,2.96,0,0,0.49,2.76,0,0,0.51,2.55,0,0,0.5,2.35,0,0,0.5,2.16,0,0,0.5,1.99,0,0,0.51,1.82,0,0,0.51,1.65,0,0,0.5,1.49,0,0,0.49,1.35,0,0,0.5,1.22,0,3,0.5,1.1,0,45,0.5,0.99,0,3,0.5,0.89,0,11,0.5,0.8,0,380,0.5,0.65,0,30,0.51,0.52,0,30,0.51,0.4,0,50,0.5,0.07,0,0,0.51,0.1,0,0,0.51,0.13,0,0,0.5,0.17,0,0,0.5,0.22,0,6,0.5,0.28,0,23,0.51,0.35,0,0,0.51,0.42,0,101,0.5,0.5,0,70,0.5,0.6,0,53,0.5,0.71,0,67,0.5,0.82,0,131,0.5,0.95,0,40,0.5,1.09,0,41,0.5,1.23,0,0,0.5,1.4,0,0,0.5,1.75,0,0,0.51,2.12,0,0,0.51,2.52,0,0,0.52,0.32,0.0,90.0,0.51,0.25,0.0,20.0,0.51,2.94,0.0,0.0,0.52,3.39,0.0,0.0,0.54,0.19,0.0,0.0,0.5,0.15,0.0,0.0,0.51,0.11,0.0,0.0,0.5,3.86,0.0,0.0,0.56,4.32,0.0,0.0,0.57,4.76,0.0,0.0,0.54,,,,,,,,,,,,,,,,
2023-07-11 16:00:00,9.51,3.37,0,0,0.43,3.16,0,0,0.48,2.94,0,0,0.48,2.72,0,0,0.47,2.5,0,0,0.46,2.32,0,0,0.48,2.15,0,0,0.5,1.96,0,0,0.49,1.79,0,0,0.49,1.62,0,0,0.48,1.47,0,0,0.48,1.34,0,3,0.49,1.21,0,45,0.49,1.09,0,3,0.49,0.98,0,11,0.49,0.89,46,380,0.49,0.72,0,30,0.5,0.59,0,30,0.51,0.47,0,50,0.51,0.06,0,0,0.51,0.08,0,0,0.5,0.11,0,0,0.51,0.14,0,0,0.5,0.18,0,6,0.5,0.24,0,23,0.5,0.3,120,120,0.5,0.37,0,101,0.5,0.45,0,70,0.5,0.54,0,53,0.51,0.64,0,67,0.5,0.75,50,179,0.51,0.87,0,40,0.5,1.0,0,41,0.51,1.14,0,0,0.5,1.29,0,0,0.51,1.62,0,0,0.51,1.98,0,0,0.51,2.38,0,0,0.53,0.37,0.0,90.0,0.51,0.29,0.0,20.0,0.5,2.8,0.0,0.0,0.54,3.23,0.0,0.0,0.55,0.22,0.0,0.0,0.5,0.17,0.0,0.0,0.5,0.13,20.0,20.0,0.5,3.68,0.0,0.0,0.56,4.13,0.0,0.0,0.56,4.59,0.0,0.0,0.57,,,,,,,,,,,,,,,,
