time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,7.00,7.00,7.00,7.00,7.25,7.25,7.25,7.25,7.50,7.50,7.50,7.50,7.75,7.75,7.75,7.75,8.00,8.00,8.00,8.00,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,6.50,6.50,6.50,6.50,6.75,6.75,6.75,6.75,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-09-29 16:00:00,9.34,2.56,0,0,0.43,2.33,0,0,0.41,2.14,0,0,0.42,1.98,0,0,0.44,1.74,0,0,0.4,1.56,0,0,0.4,1.41,0,0,0.4,1.26,0,0,0.4,1.12,0,0,0.4,0.99,0,0,0.4,0.87,0,0,0.4,0.76,0,0,0.4,0.67,0,0,0.4,0.5,0,0,0.4,0.39,0,0,0.41,0.29,0,0,0.41,0.21,0,0,0.4,0.15,0,0,0.4,0.11,0,0,0.4,0.09,0,0,0.4,0.13,0,0,0.41,0.17,0,0,0.4,0.22,0,0,0.4,0.29,12,12,0.41,0.36,15,15,0.4,0.44,2,2,0.4,0.54,15,15,0.4,0.64,42,42,0.4,0.76,0,0,0.4,0.89,0,0,0.4,1.04,0,0,0.4,1.19,0,0,0.4,1.53,0,0,0.4,1.92,0,0,0.4,2.33,0,0,0.41,2.79,0,0,0.43,3.24,0,0,0.43,3.72,0,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03 16:00:00,8.84,2.09,0,0,0.42,1.94,0,0,0.45,1.73,0,0,0.43,1.55,0,0,0.43,1.39,0,0,0.43,1.23,0,0,0.42,1.09,0,0,0.42,0.96,15,15,0.42,0.84,32,32,0.42,0.74,0,0,0.42,0.64,30,30,0.42,0.55,30,30,0.42,0.48,30,30,0.42,0.36,16,16,0.42,0.27,0,0,0.42,0.2,0,0,0.43,0.14,0,0,0.42,0.1,0,0,0.42,0.07,0,0,0.42,0.16,30,30,0.43,0.21,30,30,0.43,0.27,0,0,0.42,0.35,30,30,0.43,0.43,30,42,0.43,0.52,30,45,0.42,0.61,50,32,0.41,0.75,30,45,0.42,0.88,13,42,0.42,1.02,393,393,0.42,1.18,0,0,0.42,1.34,0,0,0.42,1.52,0,0,0.42,1.89,0,0,0.41,2.32,0,0,0.43,2.79,0,0,0.46,3.24,0,0,0.46,3.72,0,0,0.48,4.21,0,0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-05 16:00:00,8.84,2.14,0,0,0.47,1.92,0,0,0.44,1.7,0,0,0.42,1.52,0,0,0.41,1.39,0,0,0.43,1.24,0,0,0.43,1.09,0,0,0.43,0.96,0,15,0.43,0.84,0,32,0.42,0.73,0,0,0.42,0.64,0,30,0.42,0.54,0,30,0.41,0.48,0,30,0.42,0.35,0,16,0.42,0.26,0,0,0.42,0.19,0,0,0.42,0.13,0,0,0.42,0.09,0,0,0.41,0.07,0,0,0.42,0.15,0,30,0.42,0.2,0,30,0.42,0.26,0,0,0.42,0.33,0,30,0.42,0.42,0,42,0.42,0.51,0,45,0.42,0.59,0,32,0.4,0.72,0,45,0.41,0.85,0,42,0.41,1.0,0,393,0.41,1.15,0,0,0.41,1.33,0,0,0.41,1.51,0,0,0.41,1.89,0,0,0.41,2.28,0,0,0.4,2.72,0,0,0.4,3.18,0,0,0.39,3.67,0,0,0.41,4.16,0,0,,2.58,0.0,0.0,0.51,2.36,0.0,0.0,0.49,0.08,0.0,0.0,0.43,0.11,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10 16:00:00,9.0,2.22,0,0,0.42,2.01,0,0,0.42,1.8,0,0,0.4,1.62,0,0,0.41,1.46,0,0,0.42,1.29,0,0,0.41,1.14,0,0,0.41,1.0,0,15,0.41,0.87,0,32,0.4,0.76,0,0,0.41,0.66,0,30,0.41,0.56,0,30,0.4,0.49,0,30,0.41,0.36,0,16,0.41,0.27,0,0,0.41,0.19,0,0,0.41,0.13,0,0,0.41,0.09,0,0,0.4,0.07,0,0,0.42,0.11,0,30,0.41,0.15,0,30,0.41,0.21,0,0,0.41,0.27,0,30,0.41,0.35,0,42,0.41,0.43,0,45,0.41,0.53,0,32,0.41,0.63,0,45,0.4,0.76,0,42,0.41,0.89,0,393,0.4,1.04,0,0,0.4,1.21,0,0,0.41,1.38,0,0,0.41,1.75,0,0,0.41,2.17,0,0,0.42,2.61,0,0,0.43,3.07,0,0,0.44,3.53,0,0,0.43,4.03,0,0,0.47,2.66,0.0,0.0,0.44,2.43,0.0,0.0,0.42,0.06,0.0,0.0,0.42,0.08,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 16:00:00,9.73,2.91,0,0,0.46,2.67,0,0,0.43,2.46,0,0,0.43,2.24,0,0,0.42,2.03,0,0,0.41,1.84,0,0,0.41,1.66,0,0,0.41,1.49,0,15,0.41,1.34,1,32,0.41,1.19,1,1,0.41,1.06,1,31,0.41,0.93,408,438,0.41,0.82,436,466,0.41,0.63,248,264,0.41,0.48,207,207,0.41,0.36,22,22,0.41,0.27,33,33,0.41,0.2,0,0,0.42,0.14,10,10,0.41,0.05,0,30,0.4,0.08,0,30,0.41,0.11,0,0,0.41,0.15,0,30,0.41,0.2,0,42,0.41,0.26,0,45,0.41,0.33,0,32,0.42,0.41,0,45,0.42,0.48,0,42,0.4,0.61,105,498,0.42,0.7,0,0,0.41,0.83,0,0,0.41,0.97,0,0,0.41,1.26,17,17,0.4,1.63,0,0,0.41,2.01,0,0,0.41,2.43,0,0,0.42,2.87,0,0,0.42,3.34,0,0,0.44,3.37,0.0,0.0,0.48,3.12,0.0,0.0,0.44,0.03,0.0,0.0,0.43,0.04,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-13 16:00:00,9.69,2.87,0,0,0.46,2.63,30,30,0.43,2.43,0,0,0.44,2.22,0,0,0.44,2.03,0,0,0.44,1.81,0,0,0.41,1.63,0,0,0.41,1.47,0,15,0.42,1.32,0,32,0.42,1.17,0,1,0.42,1.04,0,31,0.42,0.91,0,438,0.41,0.8,0,466,0.41,0.62,0,264,0.42,0.46,30,207,0.41,0.35,1,23,0.42,0.26,0,33,0.42,0.19,30,30,0.42,0.14,0,10,0.42,0.06,0,30,0.42,0.08,0,30,0.41,0.12,0,0,0.42,0.16,0,30,0.42,0.21,0,42,0.42,0.27,0,45,0.42,0.34,0,32,0.42,0.42,0,45,0.42,0.51,0,42,0.41,0.61,0,498,0.41,0.73,30,30,0.41,0.85,30,30,0.41,0.99,30,30,0.41,1.31,30,47,0.41,1.65,0,0,0.41,2.04,0,0,0.41,2.46,0,0,0.42,2.92,0,0,0.44,3.38,0,0,0.45,3.33,0.0,0.0,0.48,3.1,0.0,0.0,0.47,0.03,0.0,0.0,0.43,0.04,0.0,0.0,0.42,0.1,0.0,0.0,0.42,0.07,0.0,0.0,0.42,3.86,0.0,0.0,0.46,4.33,0.0,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16 16:00:00,10.1,3.23,0,0,0.42,2.99,0,30,0.4,2.79,0,0,0.44,2.56,0,0,0.42,2.35,0,0,0.42,2.15,0,0,0.42,1.97,0,0,0.43,1.8,0,15,0.43,1.62,0,32,0.43,1.45,0,1,0.42,1.31,60,61,0.43,1.16,1,439,0.42,1.04,114,467,0.42,0.81,0,264,0.42,0.62,0,207,0.42,0.48,0,23,0.42,0.37,0,33,0.43,0.28,0,30,0.43,0.21,40,30,0.43,0.05,0,30,0.44,0.06,0,30,0.43,0.09,0,0,0.43,0.12,0,30,0.43,0.16,0,42,0.43,0.21,0,45,0.43,0.27,0,32,0.43,0.33,0,45,0.43,0.41,0,42,0.43,0.49,4,498,0.43,0.59,0,30,0.42,0.7,0,30,0.42,0.82,0,30,0.42,1.1,80,110,0.43,1.41,36,36,0.42,1.76,0,0,0.42,2.17,0,0,0.44,2.58,0,0,0.44,3.02,0,0,0.44,3.7,0.0,0.0,0.42,3.48,0.0,0.0,0.46,0.02,0.0,0.0,0.43,0.03,0.0,0.0,0.43,0.16,0.0,0.0,0.43,0.12,0.0,0.0,0.43,3.52,0.0,0.0,0.48,3.95,0.0,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 16:00:00,10.32,3.45,0,0,0.44,3.22,0,30,0.44,3.02,0,0,0.47,2.8,0,0,0.47,2.56,0,0,0.44,2.35,0,0,0.43,2.15,0,0,0.43,1.97,0,15,0.43,1.79,0,32,0.43,1.62,0,1,0.43,1.46,0,61,0.43,1.31,0,439,0.43,1.17,0,467,0.43,0.94,1,265,0.43,0.73,2,209,0.43,0.57,0,23,0.43,0.44,0,33,0.43,0.34,0,30,0.43,0.26,0,30,0.43,0.04,0,30,0.44,0.05,0,30,0.43,0.07,0,0,0.43,0.1,0,30,0.43,0.14,0,42,0.44,0.18,0,45,0.43,0.23,20,32,0.43,0.29,0,45,0.43,0.36,40,82,0.43,0.44,0,498,0.43,0.53,200,230,0.43,0.63,0,30,0.43,0.74,371,401,0.43,0.99,0,110,0.43,1.29,0,36,0.43,1.63,50,50,0.43,2.01,0,0,0.44,2.41,0,0,0.44,2.84,0,0,0.44,3.91,0.0,0.0,0.39,3.7,0.0,0.0,0.49,0.02,0.0,0.0,0.45,0.03,0.0,0.0,0.45,0.19,40.0,40.0,0.43,0.14,0.0,0.0,0.43,3.27,0.0,0.0,0.44,3.76,0.0,0.0,0.47,0.11,0.0,0.0,0.44,4.21,0.0,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
