time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-16 16:00:00,74.24,26.91,0,90,0.27,25.92,0,0,,24.94,0,0,0.26,22.48,0,0,0.25,20.04,0,0,0.26,17.62,0,0,0.25,15.25,0,0,0.25,12.97,0,0,0.25,10.81,0,0,0.25,8.82,0,0,0.25,7.2,0,0,0.27,5.52,0,4,0.26,4.16,0,0,0.25,3.09,0,0,0.25,2.17,13,13,0.25,1.53,0,0,0.25,1.06,0,0,0.25,0.72,0,0,0.25,0.47,0,15,0.25,0.31,0,0,0.25,0.2,0,0,0.25,0.13,0,0,0.25,0.01,0,6,0.31,0.01,0,30,0.3,0.01,0,0,0.29,0.02,0,0,0.27,0.03,0,0,0.25,0.08,0,0,0.25,0.18,0,0,0.25,0.38,0,2,0.26,0.7,0,6,0.26,1.21,0,0,0.26,1.91,0,30,0.26,2.87,0,0,0.26,3.99,0,0,0.25,5.31,0,0,0.25,7.11,0,0,0.25,9.01,0,0,0.25,11.11,0,0,0.25,13.37,0,0,0.25,15.77,0,0,0.26,18.26,0,0,,20.76,0,0,,23.26,0,0,,,,,,,,,,,,,,,,,
2023-01-30 16:00:00,75.8,28.38,0,90,0.32,27.39,0,0,0.29,26.4,0,0,0.25,23.93,0,0,0.22,21.46,0,0,0.2,19.0,0,0,0.22,16.8,0,0,0.32,14.16,0,0,0.23,11.83,0,0,0.23,9.63,0,0,0.23,7.61,0,0,0.23,6.0,0,4,0.24,4.31,0,0,0.23,3.08,0,0,0.23,2.09,10,70,0.23,1.39,0,1,0.23,0.9,0,0,0.23,0.58,0,0,0.23,0.35,0,15,0.23,0.2,0,0,0.23,0.11,0,0,0.23,0.06,0,0,0.23,0.01,0,6,0.35,0.01,0,30,0.33,0.01,0,0,0.32,0.01,0,2,0.29,0.01,0,0,0.25,0.01,0,25,0.22,0.05,0,15,0.23,0.12,0,15,0.23,0.27,0,23,0.23,0.55,0,15,0.23,1.03,0,30,0.23,1.74,0,0,0.23,2.76,0,0,0.23,3.95,2,2,0.23,5.48,2,2,0.22,7.39,0,0,0.23,9.47,0,0,0.23,11.76,0,0,0.23,14.42,0,0,0.29,16.7,0,0,,19.2,0,0,,21.7,0,0,,0.03,0.0,0.0,0.23,24.2,0.0,0.0,,,,,,,,,
2023-02-06 16:00:00,72.54,24.92,0,90,,23.93,0,0,,22.94,0,0,0.23,20.47,0,0,0.26,18.0,0,0,0.25,15.56,0,0,0.25,13.25,0,0,0.27,10.89,0,0,0.25,8.75,0,0,0.25,7.02,0,0,0.27,5.29,0,1,0.26,3.8,0,4,0.25,2.56,0,0,0.24,1.73,0,0,0.24,1.13,0,1,0.25,0.72,0,1,0.25,0.44,4,6,0.25,0.26,0,4,0.25,0.16,0,15,0.25,0.09,0,0,0.25,0.05,0,0,0.25,0.03,0,0,0.25,0.01,0,6,0.33,0.01,0,30,0.32,0.01,0,0,0.3,0.01,0,2,0.26,0.03,0,0,0.26,0.07,0,325,0.25,0.16,0,180,0.25,0.36,0,15,0.25,0.72,0,38,0.25,1.28,0,15,0.25,2.13,5,73,0.25,3.1,0,1,0.24,4.43,0,0,0.24,6.24,0,2,0.25,8.15,0,2,0.25,10.28,0,0,0.25,12.56,0,0,0.25,14.97,0,0,0.25,17.49,0,0,0.29,19.96,0,0,,22.46,0,0,,24.96,0,0,,0.01,0.0,0.0,0.24,27.46,0.0,0.0,,,,,,,,,
2023-02-20 16:00:00,71.5,23.82,0,90,0.32,22.82,0,0,,21.83,0,0,0.23,19.35,0,0,0.25,16.87,0,0,0.23,14.41,0,0,0.23,12.0,0,0,0.24,9.68,0,0,0.24,7.52,0,0,0.24,5.76,2,2,0.25,4.09,0,1,0.25,2.7,0,4,0.24,1.68,0,0,0.23,1.02,0,0,0.23,0.59,0,2,0.23,0.33,0,31,0.24,0.18,90,110,0.24,0.09,60,90,0.24,0.04,0,15,0.23,0.02,0,0,0.24,0.01,0,0,0.24,0.01,0,0,0.26,0.01,0,6,0.35,0.01,0,30,0.34,0.01,0,0,0.32,0.01,0,2,0.28,0.01,270,285,0.24,0.04,15,605,0.24,0.11,15,165,0.24,0.28,30,60,0.24,0.61,0,49,0.24,1.2,0,15,0.24,2.09,0,73,0.24,3.24,0,1,0.24,4.77,30,30,0.23,6.66,0,2,0.24,8.77,0,2,0.24,11.06,0,0,0.23,13.5,0,0,,16.0,0,0,,18.5,0,0,,21.0,0,0,,23.5,0,0,,26.0,0,0,,0.01,0.0,0.0,0.28,28.5,0.0,0.0,,,,,,,,,
2023-02-21 16:00:00,70.0,22.31,0,90,,21.32,0,0,0.27,20.33,0,0,0.28,17.85,0,0,0.26,15.38,0,0,0.25,12.95,0,0,0.25,10.6,0,0,0.25,8.37,0,0,0.25,6.36,0,0,0.25,4.76,0,2,0.26,3.24,0,1,0.25,2.07,0,4,0.24,1.29,0,0,0.24,0.78,0,0,0.25,0.44,0,2,0.25,0.25,0,31,0.25,0.14,120,230,0.25,0.07,300,390,0.25,0.03,0,15,0.25,0.01,0,0,0.24,0.01,0,0,0.26,0.01,0,0,0.28,0.01,0,6,0.34,0.01,0,30,0.32,0.01,0,0,0.3,0.01,0,2,0.26,0.03,0,285,0.26,0.08,5,605,0.25,0.21,0,165,0.25,0.48,180,240,0.25,0.98,0,49,0.25,1.76,0,15,0.25,2.75,0,73,0.25,4.09,0,1,0.24,5.8,0,30,0.23,7.95,0,2,0.25,10.16,0,2,0.25,12.53,0,0,0.25,15.0,0,0,,17.5,0,0,,20.0,0,0,,22.5,0,0,,25.0,0,0,,27.5,0,0,,0.01,0.0,0.0,0.3,30.0,0.0,0.0,,,,,,,,,
2023-02-22 16:00:00,69.04,21.35,0,90,0.29,20.35,0,0,,19.36,0,0,0.21,16.89,0,0,0.26,14.43,0,0,0.26,12.01,0,0,0.25,9.7,0,0,0.25,7.54,0,0,0.25,5.79,0,0,0.27,4.11,2,2,0.26,2.72,0,1,0.25,1.72,0,4,0.25,1.05,0,0,0.25,0.61,90,90,0.25,0.34,0,2,0.25,0.19,0,31,0.25,0.1,0,230,0.25,0.05,0,390,0.25,0.02,0,15,0.25,0.01,0,0,0.25,0.01,0,0,0.27,0.01,0,0,0.29,0.01,0,6,0.33,0.01,0,30,0.31,0.01,0,0,0.3,0.01,360,360,0.25,0.04,0,285,0.26,0.11,15,620,0.25,0.28,15,150,0.25,0.63,210,450,0.25,1.22,0,49,0.26,2.12,0,15,0.26,3.28,0,73,0.25,4.8,30,31,0.25,6.67,0,30,0.25,8.77,0,2,0.25,11.05,0,2,0.25,13.46,0,0,,15.96,0,0,,18.46,0,0,,20.96,0,0,,23.46,0,0,,25.96,0,0,,28.46,0,0,,0.01,0.0,0.0,0.31,30.96,0.0,0.0,,,,,,,,,
2023-02-24 16:00:00,67.88,20.18,0,90,0.28,19.19,0,0,0.29,18.2,0,0,0.29,15.73,0,0,0.27,13.29,0,0,0.27,10.92,0,0,0.27,8.69,0,0,0.27,6.65,0,0,0.27,4.93,0,0,0.27,3.38,0,2,0.26,2.23,0,1,0.26,1.42,1,5,0.26,0.87,2,2,0.26,0.51,0,90,0.26,0.29,0,2,0.27,0.16,60,91,0.27,0.09,0,230,0.27,0.04,0,390,0.27,0.02,0,15,0.27,0.01,0,0,0.27,0.01,0,0,0.29,0.01,0,0,0.31,0.01,0,6,0.32,0.01,0,30,0.3,0.01,0,0,0.29,0.03,26,476,0.28,0.07,0,285,0.27,0.19,0,630,0.27,0.45,152,14,0.27,0.92,0,450,0.27,1.66,0,50,0.27,2.69,0,15,0.27,4.02,0,73,0.26,5.69,30,61,0.26,7.68,0,33,0.27,9.85,0,2,0.27,12.18,0,2,0.27,14.62,0,0,,17.12,0,0,,19.62,0,0,,22.12,0,0,,24.62,0,0,,27.12,0,0,,29.62,0,0,,0.01,0.0,0.0,0.33,32.12,0.0,0.0,,,,,,,,,
2023-02-27 16:00:00,67.48,19.76,0,90,,18.77,0,0,0.25,17.78,0,0,0.27,15.31,0,0,0.27,12.88,0,0,0.27,10.52,0,0,0.27,8.3,0,0,0.27,6.43,0,0,0.29,4.62,0,0,0.28,3.12,0,2,0.27,2.02,10,10,0.26,1.27,1,6,0.27,0.76,0,2,0.27,0.43,0,90,0.27,0.25,0,2,0.27,0.13,0,91,0.27,0.06,0,230,0.27,0.03,0,390,0.27,0.01,0,15,0.26,0.01,0,0,0.28,0.01,0,0,0.3,0.01,0,0,0.32,0.01,0,6,0.32,0.01,0,30,0.31,0.01,0,0,0.29,0.03,0,476,0.28,0.08,0,285,0.27,0.21,0,630,0.27,0.48,0,14,0.27,0.98,0,450,0.27,1.77,0,50,0.27,2.83,0,15,0.27,4.22,42,73,0.27,5.98,0,61,0.27,7.99,0,33,0.27,10.2,0,2,0.27,12.56,0,2,0.27,15.02,0,0,,17.52,0,0,,20.02,0,0,,22.64,0,0,0.45,25.02,0,0,,27.52,0,0,,30.02,0,0,,0.01,0.0,0.0,0.34,32.52,0.0,0.0,,,,,,,,,
2023-02-28 16:00:00,66.56,18.84,0,90,0.26,17.85,0,0,0.28,16.86,0,0,0.28,14.39,0,0,0.26,11.97,0,0,0.27,9.63,0,0,0.27,7.45,0,0,0.26,5.69,0,0,0.29,4.01,0,0,0.28,2.64,0,2,0.27,1.65,10,20,0.26,0.99,0,6,0.26,0.58,2,4,0.27,0.32,30,60,0.27,0.17,180,180,0.27,0.08,60,120,0.27,0.04,0,230,0.27,0.02,0,390,0.27,0.01,0,15,0.27,0.01,0,0,0.3,0.01,0,0,0.32,0.01,0,0,0.34,0.01,0,6,0.32,0.01,0,30,0.3,0.01,0,0,0.28,0.03,10,476,0.27,0.09,0,285,0.27,0.25,30,600,0.27,0.57,240,254,0.27,1.14,0,450,0.27,2.0,0,50,0.27,3.16,0,15,0.26,4.68,0,73,0.26,6.61,0,61,0.27,8.73,0,33,0.27,11.02,0,2,0.27,13.44,0,2,,15.94,0,0,,18.44,0,0,,20.94,0,0,,23.44,0,0,,25.94,0,0,,28.44,0,0,,30.94,0,0,,0.01,0.0,0.0,0.36,33.44,0.0,0.0,,,,,,,,,
2023-03-10 16:00:00,65.0,17.19,0,90,,16.2,0,0,0.28,15.21,0,0,0.28,12.75,0,0,0.28,10.34,0,0,0.28,8.06,0,0,0.28,5.99,0,0,0.28,4.34,0,0,0.29,2.85,335,335,0.28,1.73,2,4,0.28,1.01,4239,4237,0.28,0.54,1781,1781,0.27,0.3,90,116,0.28,0.15,30,32,0.28,0.07,0,155,0.28,0.03,4,122,0.28,0.01,0,351,0.27,0.01,0,480,0.3,0.01,0,15,0.32,0.01,0,0,0.35,0.01,0,0,0.37,0.01,0,0,0.4,0.01,0,6,0.32,0.01,0,30,0.3,0.01,90,190,0.28,0.04,0,546,0.28,0.13,10,350,0.28,0.34,10,610,0.28,0.77,300,610,0.28,1.49,90,630,0.28,2.49,1,50,0.27,3.89,60,75,0.27,5.71,0,73,0.27,7.86,0,61,0.28,10.12,0,33,0.28,12.52,0,2,0.28,15.0,0,2,,17.5,0,0,,20.0,0,0,,22.5,0,0,,25.0,0,0,,27.5,0,0,,30.0,0,0,,32.5,0,0,,0.01,0.0,0.0,0.42,35.0,0.0,0.0,,,,,,,,,
2023-03-13 16:00:00,66.46,18.64,0,90,0.27,17.65,0,0,0.32,16.65,0,0,0.28,14.18,0,0,0.29,11.74,0,0,0.29,9.39,0,0,0.29,7.19,0,0,0.29,5.41,0,0,0.31,3.72,100,435,0.3,2.39,2,3,0.29,1.45,1908,6145,0.29,0.85,632,1631,0.29,0.47,215,331,0.29,0.25,0,32,0.29,0.12,0,155,0.29,0.06,0,122,0.29,0.02,0,351,0.28,0.01,0,480,0.29,0.01,0,15,0.31,0.01,0,0,0.34,0.01,0,0,0.36,0.01,0,0,0.39,0.01,0,6,0.36,0.01,0,30,0.33,0.01,0,190,0.31,0.03,0,546,0.3,0.08,5,355,0.29,0.22,0,610,0.29,0.52,9,603,0.29,1.09,0,630,0.29,1.96,2,50,0.29,3.16,0,75,0.29,4.8,0,73,0.29,6.68,0,61,0.29,8.81,0,33,0.29,11.13,0,2,0.29,13.55,0,2,0.29,16.04,0,0,,18.54,0,0,,21.04,0,0,,23.54,0,0,,26.04,0,0,,28.54,0,0,,31.04,0,0,,0.01,0.0,0.0,0.41,33.54,0.0,0.0,,19.64,0.0,0.0,0.34,0.01,0.0,0.0,0.38
2023-03-23 16:00:00,68.92,21.06,0,90,0.33,20.06,0,0,,19.07,0,0,0.36,16.57,0,0,,14.09,0,0,0.29,11.62,0,0,0.27,9.21,0,0,0.27,6.93,0,0,0.27,5.0,28,1235,0.29,3.29,0,203,0.28,2.0,1666,4405,0.28,1.1,82,1623,0.27,0.58,22,343,0.28,0.27,0,30,0.27,0.12,0,155,0.27,0.05,0,122,0.28,0.02,0,351,0.28,0.01,100,548,0.29,0.01,0,0,0.32,0.01,0,0,0.35,0.01,0,0,0.38,0.01,0,0,0.4,0.01,0,8,0.44,0.01,0,31,0.42,0.01,90,270,0.4,0.01,0,546,0.34,0.01,0,356,0.29,0.04,30,570,0.28,0.12,15,648,0.28,0.34,21,734,0.27,0.83,2,48,0.28,1.63,5,182,0.27,2.81,0,73,0.27,4.63,0,61,0.29,6.48,0,33,0.27,8.71,0,2,0.27,11.1,0,2,0.27,13.58,0,0,,16.08,0,0,,18.58,0,0,,21.08,0,0,,23.58,0,0,,26.08,0,0,,28.58,0,0,,0.01,0.0,0.0,0.43,31.08,0.0,0.0,,22.06,0.0,0.0,0.42,0.01,0.0,0.0,0.47
2023-03-24 16:00:00,68.92,21.06,0,90,0.41,20.06,0,0,0.35,19.06,0,0,,16.57,0,0,0.29,14.08,0,0,0.27,11.61,0,0,0.27,9.19,0,0,0.27,6.89,0,0,0.27,4.78,500,965,0.26,3.06,200,203,0.26,1.83,4292,517,0.26,1.00,1200,723,0.26,0.51,30,343,0.27,0.24,60,90,0.27,0.10,0,155,0.27,0.04,0,122,0.27,0.02,0,351,0.28,0.01,0,548,0.29,0.01,0,0,0.32,0.01,0,0,0.35,0.01,0,0,0.38,0.01,0,0,0.41,0.01,0,8,0.45,0.01,0,31,0.43,0.01,0,270,0.4,0.01,14,560,0.35,0.01,0,356,0.29,0.03,0,570,0.28,0.10,0,648,0.27,0.31,30,704,0.27,0.77,21,48,0.27,1.60,0,182,0.27,2.86,0,73,0.28,4.57,0,61,0.29,6.44,0,33,0.27,8.69,0,2,0.27,11.09,0,2,0.27,13.58,0,0,,16.08,0,0,,18.58,0,0,,21.08,0,0,,23.58,0,0,,26.08,0,0,,28.58,0,0,,0.01,0,0,0.44,31.08,0,0,,22.05,0,0,,0.01,0,0,0.47
