time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P
time,close,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,135.00,135.00,135.00,135.00,137.50,137.50,137.50,137.50,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,135.00,135.00,135.00,135.00,137.50,137.50,137.50,137.50,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,87.50,87.50,87.50,87.50,87.50,87.50,87.50,87.50,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-04-28 16:00:00,116.1,23.72,0,0,0.19,21.27,0,0,0.19,18.9,0,0,0.19,16.63,0,0,0.19,14.46,0,0,0.19,12.58,0,0,0.2,10.6,0,0,0.19,8.76,0,0,0.19,7.25,0,0,0.19,5.69,0,0,0.18,4.53,15,15,0.19,3.56,0,0,0.19,2.76,0,0,0.19,2.11,0,0,0.19,1.59,0,0,0.19,1.17,0,0,0.19,0.85,0,0,0.19,0.6,0,0,0.19,0.44,0,0,0.19,0.1,0,0,0.19,0.18,0,0,0.19,0.32,0,0,0.19,0.55,0,0,0.19,0.87,0,0,0.19,1.31,0,0,0.19,1.92,0,0,0.19,2.7,0,0,0.19,3.66,0,0,0.19,4.83,15,15,0.2,6.2,0,0,0.2,7.76,0,0,0.2,9.48,0,0,0.2,11.35,0,0,0.2,13.38,0,0,0.2,15.35,0,0,0.19,17.62,0,0,0.19,19.98,0,0,0.19,22.4,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02 16:00:00,115.7,23.28,0,0,0.19,20.83,0,0,0.19,18.46,0,0,0.19,16.2,0,0,0.19,14.04,0,0,0.19,12.34,0,0,0.21,10.36,0,0,0.2,8.53,0,0,0.2,6.82,0,0,0.19,5.38,0,0,0.18,4.26,15,30,0.19,3.32,0,0,0.19,2.54,0,0,0.19,1.92,0,0,0.19,1.43,0,0,0.19,1.05,60,60,0.19,0.76,0,0,0.19,0.54,0,0,0.19,0.38,0,0,0.19,0.1,0,0,0.19,0.18,0,0,0.19,0.33,0,0,0.19,0.55,35,35,0.19,0.88,0,0,0.19,1.35,1,1,0.19,1.97,0,0,0.19,2.78,0,0,0.19,3.77,0,0,0.2,4.97,95,100,0.2,6.38,35,20,0.2,7.98,0,0,0.2,9.55,0,0,0.19,11.44,0,0,0.19,13.48,0,0,0.19,15.68,0,0,0.19,17.99,0,0,0.19,20.38,0,0,0.19,22.82,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-03 16:00:00,113.2,20.83,0,0,0.2,18.42,0,0,0.19,16.12,0,0,0.19,13.93,0,0,0.19,12.02,0,0,0.2,10.04,0,0,0.19,8.22,0,0,0.19,6.67,100,100,0.19,5.26,0,0,0.19,4.14,92,92,0.19,3.21,0,30,0.19,2.44,0,0,0.19,1.83,0,0,0.19,1.36,0,0,0.19,0.99,0,0,0.19,0.71,70,70,0.19,0.5,0,0,0.19,0.35,0,0,0.19,0.24,0,0,0.19,0.17,0,0,0.19,0.31,0,0,0.19,0.52,0,0,0.19,0.84,10,45,0.19,1.29,10,10,0.19,1.91,218,219,0.2,2.71,2,2,0.2,3.71,232,202,0.2,4.91,45,45,0.2,6.32,100,200,0.2,7.93,100,115,0.2,9.73,0,0,0.21,11.68,0,0,0.21,13.45,0,0,0.19,15.66,0,0,0.19,17.97,0,0,0.19,20.35,0,0,0.19,22.79,0,0,0.19,25.26,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04 16:00:00,114.0,21.61,0,0,0.2,19.19,0,0,0.2,16.87,0,0,0.2,14.68,0,0,0.2,12.98,0,0,0.22,10.96,0,0,0.21,9.07,0,0,0.2,7.55,0,100,0.21,6.11,0,0,0.2,4.59,0,92,0.19,3.61,15,45,0.19,2.79,15,15,0.19,2.12,15,15,0.19,1.59,0,0,0.19,1.17,0,0,0.19,0.84,0,70,0.19,0.6,0,0,0.2,0.44,0,0,0.2,0.31,0,0,0.2,0.16,0,0,0.2,0.29,0,0,0.2,0.49,0,0,0.2,0.79,10,55,0.2,1.21,0,10,0.2,1.79,0,219,0.2,2.53,15,15,0.2,3.47,15,217,0.2,4.61,134,149,0.2,5.96,0,200,0.2,7.15,0,115,0.19,9.02,0,0,0.2,10.85,0,0,0.2,12.85,0,0,0.2,15.0,0,0,0.2,17.26,0,0,0.2,19.61,0,0,0.2,22.03,0,0,0.2,24.48,0,0,0.19,24.09,0.0,0.0,0.21,0.08,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-05 16:00:00,114.3,21.89,0,0,0.2,19.47,0,0,0.2,17.15,0,0,0.2,14.94,0,0,0.2,12.96,0,0,0.2,11.0,0,0,0.2,9.12,0,0,0.2,7.45,0,100,0.19,5.97,0,0,0.19,4.75,0,92,0.19,3.74,0,45,0.19,2.9,0,15,0.19,2.21,0,15,0.19,1.66,10,10,0.2,1.22,0,0,0.2,0.88,0,70,0.2,0.64,0,0,0.2,0.45,0,0,0.2,0.33,0,0,0.2,0.15,0,0,0.2,0.28,0,0,0.2,0.47,0,0,0.2,0.76,0,55,0.2,1.17,0,10,0.2,1.73,0,219,0.2,2.46,0,15,0.2,3.38,0,217,0.2,4.5,15,164,0.2,5.82,15,200,0.2,7.35,0,115,0.21,9.02,0,0,0.21,10.85,0,0,0.21,12.85,0,0,0.21,14.75,0,0,0.2,16.99,0,0,0.2,19.34,0,0,0.2,21.75,0,0,0.2,24.2,0,0,0.2,24.38,0.0,0.0,0.21,0.08,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08 16:00:00,115.1,22.66,0,0,0.2,20.21,0,0,0.2,17.85,0,0,0.2,15.61,0,0,0.2,13.49,0,0,0.2,11.36,0,0,0.19,9.46,0,0,0.19,7.77,0,100,0.19,6.34,0,0,0.19,5.09,0,92,0.19,4.02,15,60,0.19,3.13,15,15,0.19,2.39,0,15,0.2,1.79,0,10,0.2,1.33,0,0,0.2,0.98,0,70,0.2,0.71,0,0,0.2,0.5,0,0,0.2,0.36,0,0,0.2,0.12,0,0,0.2,0.23,0,0,0.2,0.4,0,0,0.2,0.65,0,55,0.2,1.03,0,10,0.2,1.54,0,219,0.2,2.21,0,15,0.2,3.07,0,217,0.2,4.12,45,209,0.2,5.38,15,200,0.2,6.84,0,115,0.21,8.49,0,0,0.21,10.32,0,0,0.21,12.32,0,0,0.22,14.05,0,0,0.2,16.27,0,0,0.2,18.59,0,0,0.2,20.99,0,0,0.2,23.43,0,0,0.2,25.15,0.0,0.0,,0.06,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-09 16:00:00,114.5,22.05,0,0,0.2,19.59,0,0,0.19,17.25,0,0,0.2,15.02,0,0,0.2,12.91,0,0,0.2,10.95,0,0,0.2,9.05,0,0,0.19,7.33,0,100,0.19,5.89,0,0,0.19,4.69,0,92,0.19,3.67,0,60,0.19,2.82,0,15,0.19,2.14,0,15,0.19,1.59,0,10,0.19,1.16,0,0,0.19,0.83,0,70,0.19,0.58,0,0,0.19,0.41,0,0,0.19,0.29,0,0,0.2,0.13,0,0,0.2,0.23,0,0,0.2,0.41,0,0,0.2,0.68,0,55,0.2,1.06,0,10,0.2,1.59,0,219,0.2,2.29,0,15,0.2,3.19,0,217,0.2,4.28,0,209,0.2,5.59,40,160,0.2,7.1,20,95,0.2,8.81,0,0,0.21,10.69,0,0,0.21,12.7,0,0,0.21,14.52,0,0,0.2,16.78,0,0,0.2,19.13,0,0,0.2,21.56,0,0,0.2,24.03,0,0,0.2,24.55,0.0,0.0,0.23,0.06,0.0,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10 16:00:00,114.3,21.84,0,0,0.2,19.38,0,0,0.19,17.03,0,0,0.19,14.81,0,0,0.19,12.7,0,0,0.19,10.9,0,0,0.2,8.98,0,0,0.2,7.21,0,100,0.19,5.71,0,0,0.19,4.52,0,92,0.19,3.52,0,60,0.19,2.69,0,15,0.19,2.03,0,15,0.19,1.5,0,10,0.19,1.09,0,0,0.19,0.77,0,70,0.19,0.54,0,0,0.19,0.37,0,0,0.19,0.26,0,0,0.19,0.12,0,0,0.19,0.23,0,0,0.2,0.4,0,0,0.2,0.67,0,55,0.2,1.06,0,10,0.2,1.59,0,219,0.2,2.3,0,15,0.2,3.2,0,217,0.2,4.31,4,213,0.2,5.63,0,160,0.2,7.16,0,95,0.2,8.73,0,0,0.2,10.58,0,0,0.2,12.59,0,0,0.2,14.67,0,0,0.19,16.95,0,0,0.19,19.32,0,0,0.19,21.76,0,0,0.19,24.24,0,0,0.2,24.34,0.0,0.0,0.22,0.06,0.0,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
