time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P
time,close,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-06-01 16:00:00,29.85,12.1,0,0,0.49,11.75,0,0,0.49,11.08,0,0,0.49,10.42,0,0,0.49,9.82,0,0,0.49,9.22,0,0,0.49,8.69,0,0,0.49,8.16,0,0,0.49,7.65,0,0,0.49,7.2,0,0,0.49,6.75,0,0,0.49,6.52,0,0,0.51,5.96,0,0,0.49,5.58,0,0,0.49,5.21,0,0,0.49,4.91,0,0,0.49,4.61,0,0,0.49,4.31,0,0,0.49,4.04,0,0,0.49,3.81,1,1,0.49,1.25,0,0,0.49,1.38,0,0,0.49,1.68,0,0,0.49,2.0,0,0,0.49,2.37,0,0,0.49,2.74,0,0,0.49,3.18,0,0,0.49,3.63,0,0,0.49,4.1,0,0,0.49,4.63,0,0,0.49,5.16,0,0,0.49,5.54,0,0,0.48,6.32,0,0,0.49,6.93,0,0,0.49,7.55,0,0,0.49,8.23,0,0,0.49,8.92,0,0,0.49,9.6,0,0,0.49,10.33,0,0,0.49,11.08,0,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02 16:00:00,31.15,13.43,0,0,0.49,13.06,0,0,0.49,12.35,0,0,0.49,11.67,0,0,0.49,11.02,0,0,0.49,10.41,0,0,0.49,9.81,0,0,0.49,9.26,0,0,0.49,8.73,0,0,0.49,8.2,0,0,0.49,7.75,0,0,0.49,7.3,0,0,0.49,6.91,0,0,0.5,6.47,0,0,0.49,6.09,0,0,0.49,5.71,0,0,0.49,5.38,0,0,0.49,5.08,0,0,0.49,4.77,0,0,0.49,4.47,0,1,0.49,1.06,0,0,0.49,1.17,0,0,0.49,1.43,0,0,0.49,1.72,0,0,0.49,2.03,0,0,0.49,2.39,0,0,0.49,2.75,0,0,0.49,3.17,0,0,0.49,3.61,0,0,0.49,4.06,0,0,0.49,4.57,0,0,0.49,5.09,0,0,0.49,5.53,0,0,0.49,6.21,0,0,0.49,6.81,0,0,0.49,7.41,0,0,0.49,8.06,0,0,0.49,8.73,0,0,0.49,9.41,0,0,0.49,10.09,0,0,0.49,4.22,0.0,0.0,0.49,10.83,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05 16:00:00,30.8,13.09,0,0,0.49,12.72,0,0,0.49,12.02,0,0,0.49,11.34,0,0,0.49,10.69,0,0,0.49,10.09,0,0,0.49,9.49,0,0,0.49,8.95,0,0,0.49,8.42,0,0,0.49,7.92,0,0,0.49,7.46,0,0,0.49,7.01,0,0,0.49,6.61,0,0,0.49,6.2,0,0,0.49,5.83,0,0,0.49,5.45,0,0,0.49,5.15,0,0,0.49,4.84,0,0,0.49,4.53,0,0,0.49,4.25,0,1,0.49,1.07,0,0,0.49,1.19,0,0,0.49,1.45,0,0,0.49,1.74,0,0,0.49,2.06,0,0,0.49,2.42,0,0,0.49,2.79,0,0,0.49,3.23,0,0,0.49,3.66,0,0,0.49,4.13,0,0,0.49,4.65,0,0,0.49,5.17,0,0,0.49,5.65,0,0,0.48,6.31,0,0,0.49,6.91,0,0,0.49,7.52,0,0,0.49,8.19,0,0,0.49,8.86,0,0,0.49,9.54,0,0,0.49,10.25,0,0,0.49,4.01,0.0,0.0,0.49,10.99,0.0,0.0,0.49,3.77,0.0,0.0,0.49,11.74,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 16:00:00,30.4,12.72,0,0,0.49,12.35,0,0,0.49,11.66,0,0,0.49,10.99,0,0,0.49,10.36,0,0,0.49,9.75,0,0,0.49,9.17,0,0,0.49,8.64,0,0,0.49,8.11,0,0,0.49,7.63,0,0,0.49,7.17,0,0,0.49,6.72,0,0,0.49,6.32,0,0,0.49,5.94,0,0,0.49,5.56,0,0,0.49,5.22,0,0,0.49,4.91,0,0,0.49,4.61,0,0,0.49,4.3,0,0,0.49,4.05,0,1,0.49,1.11,0,0,0.49,1.22,1,1,0.49,1.5,0,0,0.49,1.79,0,0,0.49,2.13,0,0,0.49,2.49,0,0,0.49,2.88,0,0,0.49,3.31,0,0,0.49,3.75,0,0,0.49,4.25,0,0,0.49,4.76,0,0,0.49,5.2,0,0,0.48,5.86,0,0,0.49,6.46,0,0,0.49,7.06,0,0,0.49,7.7,0,0,0.49,8.37,0,0,0.49,9.04,0,0,0.49,9.73,0,0,0.49,10.46,0,0,0.49,3.81,0.0,0.0,0.49,11.21,0.0,0.0,0.49,3.57,0.0,0.0,0.49,11.96,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08 16:00:00,30.05,12.37,0,0,0.49,12.01,0,0,0.49,11.33,0,0,0.49,10.65,0,0,0.49,10.04,0,0,0.49,9.43,0,0,0.49,8.87,0,0,0.49,8.33,0,0,0.49,7.8,0,0,0.49,7.34,0,0,0.49,6.89,0,0,0.49,6.49,0,0,0.49,6.06,0,0,0.49,5.69,0,0,0.49,5.31,0,0,0.49,4.99,0,0,0.49,4.69,0,0,0.49,4.38,0,0,0.49,4.1,0,0,0.49,3.86,0,1,0.49,1.12,0,0,0.49,1.24,0,1,0.49,1.53,0,0,0.49,1.82,0,0,0.49,2.17,0,0,0.49,2.53,0,0,0.49,2.94,0,0,0.49,3.37,0,0,0.49,3.82,0,0,0.49,4.33,0,0,0.49,4.84,0,0,0.49,5.3,0,0,0.48,5.97,0,0,0.49,6.56,0,0,0.49,7.17,0,0,0.49,7.83,0,0,0.49,8.51,0,0,0.49,9.18,0,0,0.49,9.89,0,0,0.49,10.63,0,0,0.49,3.61,0.0,0.0,0.49,11.38,0.0,0.0,0.49,3.37,0.0,0.0,0.49,12.13,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09 16:00:00,31.05,13.25,0,0,0.48,12.88,0,0,0.48,12.15,0,0,0.48,11.47,0,0,0.48,10.81,0,0,0.48,10.2,0,0,0.48,9.59,0,0,0.48,9.04,0,0,0.48,8.5,0,0,0.48,7.97,0,0,0.48,7.52,0,0,0.48,7.06,0,0,0.48,6.63,0,0,0.49,6.23,0,0,0.48,5.86,0,0,0.48,5.48,0,0,0.48,5.16,0,0,0.48,4.85,0,0,0.48,4.54,0,0,0.48,4.25,1,1,0.48,0.99,0,0,0.48,1.11,0,1,0.48,1.35,0,0,0.48,1.64,0,0,0.48,1.94,0,0,0.48,2.3,0,0,0.48,2.66,0,0,0.48,3.07,0,0,0.48,3.51,0,0,0.48,3.95,0,0,0.48,4.47,0,0,0.48,4.98,0,0,0.48,5.47,0,0,0.48,6.11,0,0,0.48,6.7,0,0,0.48,7.3,0,0,0.48,7.96,0,0,0.48,8.63,0,0,0.48,9.31,0,0,0.48,10.01,0,0,0.48,4.0,0.0,0.0,0.48,10.75,0.0,0.0,0.48,3.76,1.0,1.0,0.48,11.49,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13 16:00:00,32.1,14.16,0,0,0.48,13.79,0,0,0.48,13.05,0,0,0.48,12.34,0,0,0.48,11.66,0,0,0.48,11.0,0,0,0.48,10.39,0,0,0.48,9.79,0,0,0.48,9.24,0,0,0.48,8.71,0,0,0.48,8.18,0,0,0.48,7.72,0,0,0.48,7.27,0,0,0.48,6.93,0,0,0.49,6.43,0,0,0.48,6.05,0,0,0.48,5.67,0,0,0.48,5.34,0,0,0.48,5.03,0,0,0.48,4.73,0,1,0.48,0.86,0,0,0.48,0.97,0,1,0.48,1.2,0,0,0.48,1.46,0,0,0.48,1.75,0,0,0.48,2.06,0,0,0.48,2.42,0,0,0.48,2.78,0,0,0.48,3.2,0,0,0.48,3.64,0,0,0.48,4.08,0,0,0.48,4.6,0,0,0.48,5.11,0,0,0.48,5.52,0,0,0.47,6.23,0,0,0.48,6.82,0,0,0.48,7.42,0,0,0.48,8.08,0,0,0.48,8.75,0,0,0.48,9.42,0,0,0.48,4.42,0.0,0.0,0.48,10.1,0.0,0.0,0.48,4.17,0.0,1.0,0.48,10.84,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-14 16:00:00,32.55,14.54,0,0,0.48,14.16,0,0,0.48,13.41,0,0,0.48,12.68,0,0,0.48,12.0,0,0,0.48,11.32,0,0,0.48,10.7,0,0,0.48,10.09,0,0,0.48,9.51,0,0,0.48,8.98,0,0,0.48,8.44,0,0,0.48,7.96,0,0,0.48,7.5,0,0,0.48,7.04,0,0,0.48,6.73,0,0,0.49,6.25,0,0,0.48,5.87,0,0,0.48,5.5,0,0,0.48,5.19,0,0,0.48,4.88,0,1,0.48,0.8,0,0,0.48,0.89,0,1,0.48,1.11,0,0,0.48,1.35,0,0,0.48,1.63,0,0,0.48,1.92,0,0,0.48,2.27,0,0,0.48,2.63,0,0,0.48,3.02,0,0,0.48,3.45,0,0,0.48,3.89,0,0,0.48,4.38,0,0,0.48,4.89,0,0,0.48,5.41,0,0,0.48,5.87,0,0,0.47,6.57,0,0,0.48,7.16,0,0,0.48,7.78,0,0,0.48,8.45,0,0,0.48,9.12,0,0,0.48,4.57,0.0,0.0,0.48,9.8,0.0,0.0,0.48,4.3,0.0,1.0,0.48,10.51,0.0,0.0,0.48,4.05,0.0,0.0,0.48,11.25,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,
