time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,47.00,47.00,47.00,47.00,48.00,48.00,48.00,48.00,49.00,49.00,49.00,49.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,102.50,102.50,102.50,102.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-04 16:00:00,71.1,39.48,0,0,0.56,38.49,0,0,0.52,37.5,0,0,0.47,36.52,0,0,0.53,35.53,0,0,0.5,34.55,0,0,0.52,33.57,0,0,0.52,32.59,0,0,0.52,31.61,0,0,0.51,30.64,0,1,0.52,29.67,0,0,0.52,28.7,0,0,0.51,27.74,0,40,0.51,26.79,0,0,0.51,25.84,0,0,0.51,24.91,0,0,0.51,23.98,0,120,0.51,23.06,0,0,0.51,22.16,0,0,0.51,19.95,0,0,0.51,17.85,0,10,0.51,15.86,0,1,0.51,14.26,0,38,0.54,12.27,0,22,0.51,10.69,0,47,0.51,9.26,0,105,0.51,7.94,0,132,0.51,6.8,2,307,0.51,5.76,0,230,0.51,4.89,0,100,0.51,4.15,0,47,0.51,3.47,0,0,0.51,2.92,0,45,0.51,2.47,0,29,0.52,1.99,0,0,0.51,1.64,0,30,0.51,1.35,0,75,0.51,1.11,0,0,0.51,0.9,0,24,0.51,0.01,0,0,0.6,0.01,0,0,0.57,0.01,0,0,0.55,0.01,0,10,0.53,0.01,0,0,0.51,0.01,0,0,0.49,0.02,0,0,0.51,0.03,0,0,0.52,0.04,0,0,0.51,0.05,0,158,0.51,0.07,0,0,0.51,0.09,0,0,0.51,0.13,0,1,0.51,0.16,0,30,0.51,0.2,0,0,0.51,0.26,0,60,0.51,0.31,0,27,0.51,0.39,0,35,0.51,0.47,0,41,0.51,0.74,15,118,0.51,1.14,0,22,0.52,1.65,0,22,0.52,2.29,0,56,0.52,3.06,0,46,0.52,3.95,0,64,0.52,4.95,0,33,0.52,6.14,16,16,0.51,7.45,15,15,0.51,8.97,0,0,0.52,10.52,0,0,0.51,12.25,0,45,0.51,14.05,0,0,0.51,16.01,0,0,0.51,18.06,0,0,0.51,20.17,0,0,0.51,22.35,0,0,0.51,24.56,0,0,0.51,26.85,0,0,0.51,29.19,0,0,0.51,,,,,,,,
2023-01-06 16:00:00,72.0,40.37,0,0,0.56,39.38,0,0,0.52,38.39,0,0,0.47,37.4,0,0,,36.42,0,0,0.51,35.43,0,0,0.49,34.45,0,0,0.51,33.46,0,0,0.48,32.48,0,0,0.49,31.5,0,1,0.49,30.53,0,0,0.5,29.56,0,0,0.5,28.59,0,40,0.5,27.63,0,0,0.5,26.67,0,0,0.5,25.72,0,0,0.5,24.78,0,120,0.5,23.85,0,0,0.5,22.93,0,0,0.5,20.67,0,0,0.5,18.51,0,10,0.5,16.46,0,1,0.5,14.96,0,38,0.54,12.73,0,22,0.5,11.08,0,47,0.5,9.84,0,105,0.52,8.42,0,132,0.51,7.16,0,307,0.51,6.07,20,234,0.51,5.12,0,100,0.51,4.28,0,47,0.5,3.61,0,0,0.51,2.99,0,45,0.5,2.47,0,29,0.5,2.03,0,0,0.5,1.62,0,30,0.5,1.32,0,75,0.5,1.07,0,0,0.5,0.87,0,24,0.5,0.01,105,145,0.61,0.01,5,5,0.59,0.01,0,0,0.57,0.01,0,10,0.55,0.01,0,0,0.53,0.01,0,0,0.51,0.01,0,0,0.49,0.01,0,0,0.47,0.02,0,0,0.49,0.03,0,158,0.49,0.05,0,0,0.5,0.06,0,0,0.49,0.08,0,1,0.49,0.11,0,30,0.5,0.14,0,0,0.5,0.18,0,60,0.5,0.23,0,27,0.5,0.28,0,35,0.5,0.36,0,41,0.5,0.58,0,118,0.5,0.92,1,22,0.5,1.36,0,22,0.5,1.91,0,56,0.5,2.61,0,46,0.5,3.41,0,64,0.5,4.33,0,33,0.5,5.32,0,16,0.48,6.64,0,15,0.49,8.04,15,15,0.49,9.75,0,0,0.5,11.43,0,45,0.5,13.23,0,0,0.5,14.97,0,0,0.48,17.0,0,0,0.48,19.09,0,0,0.48,21.29,0,0,0.48,23.65,0,0,0.5,25.94,0,0,0.5,28.27,0,0,0.5,,,,,,,,
2023-01-10 16:00:00,74.15,42.5,0,0,0.55,41.51,0,0,0.49,40.52,0,0,,39.53,0,0,,38.54,0,0,,37.56,0,0,0.52,36.57,0,0,0.49,35.58,0,0,0.47,34.59,0,0,0.45,33.61,0,1,0.48,32.63,0,0,0.49,31.65,0,0,0.49,30.67,0,40,0.48,29.69,0,0,0.48,28.72,0,0,0.48,27.75,0,0,0.48,26.79,0,120,0.48,25.83,0,0,0.48,24.88,0,0,0.47,22.55,0,0,0.48,20.29,0,10,0.48,18.12,0,1,0.48,16.05,0,38,0.48,14.23,0,22,0.49,12.31,0,47,0.48,10.66,0,105,0.48,9.16,0,125,0.48,7.77,15,309,0.47,6.57,30,263,0.47,5.53,7,100,0.48,4.63,0,47,0.48,3.87,0,0,0.48,3.21,0,45,0.48,2.68,0,29,0.48,2.19,0,0,0.48,1.73,0,30,0.48,1.39,0,75,0.48,1.12,0,0,0.48,0.9,0,24,0.48,0.01,110,255,0.65,0.01,50,55,0.62,0.01,0,0,0.6,0.01,0,10,0.58,0.01,0,0,0.56,0.01,0,0,0.54,0.01,0,0,0.52,0.01,0,0,0.5,0.01,0,0,0.48,0.01,0,158,0.46,0.02,0,0,0.48,0.03,0,0,0.49,0.04,0,1,0.48,0.05,0,30,0.48,0.07,0,0,0.48,0.09,0,60,0.48,0.12,0,27,0.48,0.15,0,35,0.48,0.19,0,41,0.48,0.33,0,118,0.48,0.55,0,22,0.48,0.88,0,23,0.48,1.3,0,56,0.48,1.85,1,46,0.48,2.54,1,63,0.48,3.39,0,33,0.49,4.37,0,16,0.48,5.48,0,30,0.48,6.76,45,120,0.48,8.21,15,30,0.48,9.74,0,45,0.48,11.46,0,0,0.48,13.57,0,0,0.5,15.37,0,0,0.49,17.44,0,0,0.49,19.58,0,0,0.5,21.58,0,0,0.48,23.84,0,0,0.48,26.16,0,0,0.48,,,,,,,,
2023-01-12 16:00:00,71.5,39.84,0,0,0.47,38.85,0,0,,37.86,0,0,,36.87,0,0,,35.88,0,0,,34.9,0,0,0.5,33.91,0,0,0.48,32.92,0,0,0.46,31.93,0,0,0.44,30.95,0,1,0.46,29.97,0,0,0.47,28.99,0,0,0.47,28.01,0,40,0.46,27.03,0,0,0.46,26.06,0,0,0.46,25.1,0,0,0.46,24.14,0,120,0.46,23.19,0,0,0.46,22.25,0,0,0.46,19.94,0,0,0.46,17.72,0,10,0.46,15.6,0,1,0.46,13.66,0,38,0.47,11.76,0,22,0.46,10.07,0,47,0.46,8.5,0,105,0.46,7.1,0,125,0.45,5.88,0,324,0.45,4.85,16,279,0.45,3.98,0,100,0.45,3.25,30,77,0.46,2.66,0,0,0.46,2.17,0,45,0.46,1.75,0,29,0.47,1.35,0,0,0.46,1.06,0,30,0.46,0.83,0,75,0.46,0.65,0,0,0.46,0.5,0,24,0.46,0.01,0,255,0.63,0.01,0,55,0.61,0.01,0,0,0.58,0.01,0,10,0.56,0.01,0,0,0.54,0.01,0,0,0.52,0.01,0,0,0.5,0.01,0,0,0.48,0.01,0,0,0.46,0.01,0,158,0.45,0.02,0,0,0.46,0.03,0,0,0.46,0.04,0,1,0.46,0.06,0,30,0.47,0.08,0,0,0.47,0.1,0,60,0.46,0.13,0,27,0.46,0.17,0,35,0.46,0.22,0,41,0.46,0.39,0,118,0.46,0.65,3,24,0.46,1.02,3,29,0.46,1.52,0,56,0.47,2.18,0,46,0.47,3.0,16,63,0.47,3.99,16,33,0.47,5.11,16,48,0.47,6.39,15,45,0.47,7.86,15,135,0.47,9.34,0,45,0.46,11.1,0,45,0.46,13.19,0,0,0.48,15.22,0,0,0.49,17.34,0,0,0.49,19.23,0,0,0.46,21.46,0,0,0.46,23.79,0,0,0.46,26.15,0,0,0.46,28.56,0,0,0.46,,,,,,,,
2023-01-13 16:00:00,71.3,39.64,0,0,0.59,38.65,0,0,0.56,37.66,0,0,0.53,36.67,0,0,0.51,35.68,0,0,0.48,34.69,0,0,0.46,33.7,0,0,0.43,32.71,0,0,0.4,31.73,0,0,0.47,30.74,0,1,0.45,29.75,0,0,0.43,28.77,0,0,0.44,27.79,0,40,0.44,26.81,0,0,0.44,25.84,0,0,0.44,24.87,0,0,0.44,23.9,0,120,0.44,22.95,0,0,0.44,22.0,0,0,0.44,19.67,0,0,0.44,17.42,0,10,0.44,15.27,0,1,0.44,13.52,0,38,0.47,11.38,2,22,0.44,9.67,0,47,0.44,8.13,0,105,0.44,6.77,15,125,0.44,5.52,15,339,0.44,4.5,0,279,0.44,3.66,0,100,0.44,2.96,0,77,0.44,2.39,0,0,0.45,1.9,0,45,0.45,1.49,0,29,0.45,1.12,0,0,0.44,0.87,0,30,0.44,0.67,0,75,0.44,0.51,0,0,0.44,0.39,0,24,0.44,0.01,0,255,0.63,0.01,0,55,0.61,0.01,0,0,0.59,0.01,0,10,0.56,0.01,0,0,0.54,0.01,0,0,0.52,0.01,0,0,0.5,0.01,0,0,0.48,0.01,0,0,0.46,0.01,0,158,0.45,0.01,0,0,0.43,0.02,0,0,0.44,0.03,0,1,0.44,0.04,0,30,0.44,0.05,0,0,0.44,0.07,0,60,0.44,0.1,0,27,0.44,0.13,0,35,0.44,0.17,0,41,0.44,0.33,0,118,0.44,0.56,0,24,0.44,0.9,3,32,0.44,1.38,6,62,0.45,2.0,0,46,0.45,2.8,0,63,0.45,3.78,0,33,0.45,4.87,0,48,0.45,6.16,0,45,0.45,7.64,0,135,0.45,9.18,0,45,0.44,10.97,0,45,0.44,13.09,0,0,0.46,15.16,0,0,0.47,17.31,0,0,0.47,19.24,0,0,0.44,21.52,0,0,0.44,23.87,0,0,0.44,26.27,0,0,0.44,28.72,0,0,0.44,,,,,,,,
2023-01-16 16:00:00,69.0,37.32,0,0,,36.33,0,0,,35.34,0,0,,34.35,0,0,,33.36,0,0,,32.37,0,0,,31.39,0,0,0.47,30.4,0,0,0.45,29.41,0,0,0.44,28.43,0,1,0.46,27.44,0,0,0.44,26.46,0,0,0.44,25.48,0,40,0.44,24.51,0,0,0.44,23.54,0,0,0.44,22.57,0,0,0.44,21.62,0,120,0.44,20.67,0,0,0.44,19.73,0,0,0.44,17.44,0,0,0.44,15.25,0,10,0.44,13.18,0,1,0.44,11.26,0,38,0.44,9.5,0,22,0.44,7.91,0,47,0.44,6.45,0,105,0.43,5.24,0,125,0.43,4.21,0,339,0.43,3.35,12,291,0.43,2.67,12,112,0.44,2.11,32,66,0.44,1.69,0,0,0.44,1.3,0,45,0.44,0.99,0,29,0.44,0.73,0,0,0.44,0.55,0,30,0.44,0.41,0,75,0.44,0.3,0,0,0.44,0.22,0,24,0.44,0.01,0,255,0.62,0.01,0,55,0.6,0.01,0,0,0.57,0.01,0,10,0.55,0.01,0,0,0.53,0.01,0,0,0.51,0.01,0,0,0.49,0.01,0,0,0.47,0.01,0,0,0.45,0.01,0,158,0.43,0.02,0,0,0.45,0.03,0,0,0.45,0.04,0,1,0.44,0.05,0,30,0.44,0.07,0,0,0.44,0.1,0,60,0.44,0.13,0,27,0.44,0.18,0,35,0.44,0.23,0,41,0.44,0.42,0,118,0.44,0.72,3,27,0.44,1.15,0,32,0.44,1.73,0,62,0.45,2.48,0,46,0.45,3.42,0,63,0.45,4.52,0,33,0.45,5.78,0,48,0.45,7.26,0,45,0.45,8.78,0,135,0.44,10.57,0,45,0.44,12.67,0,45,0.46,14.76,0,0,0.46,16.69,0,0,0.44,18.92,0,0,0.44,21.24,0,0,0.44,23.61,0,0,0.44,26.03,0,0,0.44,28.5,0,0,,31.0,0,0,,,,,,,,,
2023-01-17 16:00:00,70.0,38.32,0,0,0.55,37.33,0,0,0.53,36.34,0,0,0.52,35.35,0,0,0.5,34.36,0,0,0.48,33.37,0,0,0.46,32.38,0,0,0.44,31.39,0,0,0.43,30.4,0,0,0.41,29.42,0,1,0.46,28.43,0,0,0.44,27.44,0,0,0.42,26.46,0,40,0.43,25.48,0,0,0.43,24.51,0,0,0.43,23.54,0,0,0.43,22.57,0,120,0.43,21.62,0,0,0.43,20.67,0,0,0.43,18.34,0,0,0.43,16.1,0,10,0.43,13.98,0,1,0.43,11.99,0,38,0.43,10.16,0,22,0.43,8.41,56,93,0.42,6.92,15,107,0.42,5.64,160,94,0.42,4.55,104,415,0.43,3.64,0,291,0.43,2.92,0,112,0.43,2.28,0,66,0.43,1.81,0,0,0.44,1.41,0,45,0.44,1.05,0,29,0.43,0.79,0,0,0.43,0.59,0,30,0.43,0.44,0,75,0.43,0.33,0,0,0.43,0.24,0,24,0.43,0.01,0,255,0.63,0.01,0,55,0.61,0.01,0,0,0.59,0.01,0,10,0.57,0.01,0,0,0.54,0.01,0,0,0.52,0.01,0,0,0.5,0.01,0,0,0.48,0.01,0,0,0.46,0.01,0,158,0.45,0.01,0,0,0.43,0.02,0,0,0.44,0.03,0,1,0.44,0.04,0,30,0.44,0.05,0,0,0.43,0.07,0,60,0.43,0.1,0,27,0.43,0.13,0,35,0.43,0.17,0,41,0.43,0.33,0,118,0.44,0.58,2,27,0.44,0.93,8,40,0.44,1.44,6,56,0.44,2.12,0,46,0.44,2.97,0,63,0.44,4.02,0,33,0.44,5.21,0,48,0.44,6.6,0,45,0.44,8.08,14,149,0.43,9.81,0,45,0.43,11.69,0,45,0.43,13.93,0,0,0.46,16.09,0,0,0.47,18.0,0,0,0.43,20.29,0,0,0.43,22.64,0,0,0.43,25.05,0,0,0.43,27.51,0,0,0.43,30.0,0,0,,,,,,,,,
2023-01-19 16:00:00,72.55,40.86,0,0,0.55,39.87,0,0,0.54,38.88,0,0,0.53,37.89,0,0,0.52,36.9,0,0,0.51,35.91,0,0,0.49,34.92,0,0,0.48,33.93,0,0,0.47,32.94,0,0,0.45,31.95,0,1,0.44,30.96,0,0,0.42,29.97,0,0,0.41,28.99,0,40,0.44,28.01,0,0,0.45,27.02,0,0,0.43,26.05,0,0,0.44,25.07,0,120,0.44,24.1,0,0,0.44,23.14,0,0,0.44,20.76,0,0,0.44,18.45,0,10,0.44,16.23,0,1,0.44,14.13,0,38,0.44,12.16,0,22,0.44,10.34,0,93,0.44,8.68,0,107,0.44,7.17,57,135,0.43,5.86,0,415,0.43,4.74,0,291,0.43,3.82,10,139,0.43,3.08,33,81,0.43,2.45,0,0,0.44,1.96,0,45,0.44,1.53,0,29,0.44,1.18,0,0,0.44,0.88,0,30,0.44,0.66,0,75,0.44,0.5,0,0,0.44,0.37,0,24,0.44,0.01,0,255,0.67,0.01,0,55,0.65,0.01,0,0,0.62,0.01,0,10,0.6,0.01,0,0,0.58,0.01,0,0,0.56,0.01,0,0,0.54,0.01,0,0,0.52,0.01,0,0,0.5,0.01,0,158,0.48,0.01,0,0,0.46,0.01,0,0,0.44,0.01,0,1,0.42,0.02,0,30,0.44,0.03,0,0,0.44,0.04,0,60,0.44,0.06,0,27,0.44,0.08,0,35,0.44,0.11,0,41,0.44,0.21,0,118,0.44,0.38,0,27,0.44,0.64,0,40,0.44,1.03,0,56,0.44,1.56,0,46,0.44,2.25,0,63,0.44,3.12,1,33,0.45,4.15,0,48,0.45,5.33,15,60,0.44,6.72,12,161,0.44,8.21,0,45,0.44,9.93,0,45,0.44,11.78,0,0,0.44,13.95,0,0,0.46,16.08,0,0,0.46,18.04,0,0,0.44,20.31,0,0,0.44,22.64,0,0,0.44,25.03,0,0,0.44,27.47,0,0,0.44,,,,,,,,
