time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P
time,close,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,60.00,60.00,60.00,60.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,50.00,50.00,50.00,50.00,52.50,52.50,52.50,52.50,49.00,49.00,49.00,49.00,49.00,49.00,49.00,49.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,44.00,44.00,44.00,44.00,45.00,45.00,45.00,45.00,46.00,46.00,46.00,46.00,43.00,43.00,43.00,43.00,43.00,43.00,43.00,43.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,41.00,41.00,41.00,41.00,41.00,41.00,41.00,41.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-31 16:00:00,77.2,23.63,0,0,0.43,21.44,0,0,0.43,19.34,0,0,0.43,17.34,0,0,0.43,15.43,0,0,0.42,13.63,0,0,0.42,11.98,0,0,0.42,10.39,0,0,0.41,8.97,0,0,0.41,7.77,0,0,0.41,6.71,0,0,0.41,5.77,0,0,0.42,4.93,0,0,0.42,4.2,15,15,0.42,3.57,15,15,0.42,3.04,15,15,0.42,2.61,0,0,0.43,2.19,0,0,0.43,1.84,0,0,0.43,0.53,0,0,0.43,0.8,0,0,0.43,1.2,0,0,0.43,1.69,16,16,0.43,2.31,0,0,0.43,3.04,0,0,0.43,3.89,0,0,0.43,4.93,0,0,0.44,6.09,0,0,0.44,7.37,0,0,0.44,8.8,0,0,0.44,10.38,0,0,0.44,12.05,0,0,0.45,13.85,0,0,0.45,15.75,0,0,0.45,17.75,0,0,0.46,19.84,0,0,0.47,21.99,0,0,0.47,23.61,0,0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03 16:00:00,76.75,22.9,0,0,0.42,20.71,0,0,0.42,18.6,0,0,0.42,16.6,0,0,0.42,14.89,0,0,0.43,13.1,0,0,0.43,11.44,0,0,0.42,9.97,0,0,0.42,8.63,0,0,0.42,7.4,0,0,0.42,6.32,0,0,0.42,5.39,10,10,0.42,4.59,0,0,0.42,3.9,0,15,0.42,3.32,0,15,0.43,2.79,0,15,0.43,2.33,0,0,0.43,1.93,0,0,0.42,1.6,0,0,0.42,0.53,0,0,0.42,0.81,0,4,0.42,1.2,0,35,0.42,1.7,0,16,0.43,2.32,0,0,0.43,3.08,0,0,0.43,3.96,0,0,0.43,4.9,0,0,0.42,6.02,10,16,0.42,7.31,15,15,0.42,8.72,0,0,0.42,10.39,0,0,0.42,12.11,0,0,0.43,13.94,0,0,0.43,15.88,0,0,0.43,17.9,0,0,0.44,20.0,0,0,0.44,22.18,0,0,0.45,24.07,0,0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06 16:00:00,73.4,19.89,0,0,0.44,17.82,0,0,0.44,15.96,0,0,0.45,14.21,0,0,0.46,12.47,0,0,0.45,10.86,0,0,0.45,9.37,0,0,0.44,8.04,0,0,0.44,6.87,51,34,0.44,5.85,17,17,0.44,4.97,0,0,0.44,4.22,0,10,0.44,3.57,0,0,0.44,3.02,0,15,0.44,2.56,0,15,0.45,2.16,0,15,0.45,1.8,0,0,0.45,1.49,0,0,0.45,1.19,0,0,0.44,0.9,0,0,0.45,1.31,0,4,0.45,1.84,0,35,0.45,2.51,0,16,0.45,3.33,15,15,0.45,4.28,15,15,0.45,5.34,25,25,0.45,6.51,12,12,0.45,7.84,0,16,0.45,9.33,0,15,0.45,10.98,0,0,0.45,12.73,0,0,0.45,14.59,0,0,0.45,16.57,0,0,0.46,18.62,0,0,0.46,20.72,0,0,0.46,22.62,0,0,0.44,24.85,0,0,0.44,27.13,0,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09 16:00:00,75.2,21.43,0,0,0.43,19.28,0,0,0.43,17.22,0,0,0.43,15.29,0,0,0.43,13.49,0,0,0.43,11.82,0,0,0.43,10.14,0,0,0.42,8.93,0,0,0.43,7.65,0,49,0.43,6.51,0,47,0.43,5.54,0,0,0.43,4.69,0,10,0.43,3.99,0,0,0.43,3.37,0,15,0.43,2.85,0,15,0.44,2.39,0,15,0.44,1.92,0,0,0.43,1.59,0,0,0.43,1.3,0,0,0.43,0.63,0,0,0.43,0.99,0,4,0.44,1.42,0,35,0.44,1.98,0,16,0.44,2.66,0,15,0.44,3.51,0,15,0.44,4.44,0,49,0.44,5.49,0,12,0.43,6.7,0,16,0.43,8.08,0,15,0.43,9.62,0,0,0.43,11.24,0,0,0.43,13.02,0,0,0.43,14.87,0,0,0.43,16.83,0,0,0.43,18.88,0,0,0.43,20.99,0,0,0.43,23.19,0,0,0.43,25.43,0,0,0.43,25.99,0.0,0.0,0.43,23.67,0.0,0.0,0.43,0.24,0.0,0.0,0.43,0.4,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10 16:00:00,72.2,18.71,0,0,0.44,16.66,0,0,0.44,14.85,0,0,0.45,13.01,0,0,0.45,11.31,0,0,0.44,9.74,0,0,0.44,8.31,0,0,0.43,7.08,0,0,0.43,5.98,2,51,0.43,5.05,0,47,0.43,4.25,34,0,0.43,3.56,0,10,0.43,2.98,0,0,0.43,2.5,0,15,0.44,2.12,0,15,0.44,1.76,0,15,0.44,1.45,0,0,0.44,1.15,0,0,0.44,0.94,0,0,0.44,0.95,0,0,0.44,1.39,0,4,0.44,1.95,0,35,0.44,2.64,0,16,0.45,3.5,0,15,0.45,4.52,0,15,0.45,5.63,0,49,0.45,6.88,0,12,0.45,8.32,0,16,0.45,9.88,0,15,0.45,11.58,0,0,0.45,13.41,0,0,0.45,15.35,0,0,0.46,17.39,0,0,0.46,19.51,0,0,0.47,21.33,0,0,0.44,23.55,0,0,0.44,25.82,0,0,0.44,28.15,0,0,0.44,23.11,0.0,0.0,0.44,20.87,0.0,0.0,0.44,0.38,0.0,0.0,0.44,0.62,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 16:00:00,71.0,17.48,0,0,0.43,15.45,0,0,0.43,13.54,0,0,0.43,11.78,0,0,0.43,10.17,0,0,0.43,8.86,0,0,0.44,7.31,30,30,0.43,6.13,30,30,0.42,5.12,30,51,0.42,4.26,40,47,0.42,3.53,0,0,0.43,2.92,0,10,0.43,2.41,0,0,0.43,1.99,0,15,0.43,1.62,0,15,0.43,1.31,0,15,0.43,1.05,0,0,0.43,0.84,0,0,0.43,0.67,0,0,0.43,0.95,0,0,0.44,1.41,0,4,0.44,2.0,0,35,0.44,2.74,0,16,0.44,3.62,0,15,0.44,4.68,0,15,0.44,5.88,0,49,0.44,7.2,0,12,0.44,8.55,0,16,0.43,10.18,0,30,0.43,11.94,0,0,0.43,13.8,0,0,0.43,15.77,0,0,0.43,17.84,0,0,0.43,19.98,0,0,0.43,22.2,0,0,0.43,24.47,0,0,0.43,26.8,0,0,0.43,29.18,0,0,0.43,21.88,0.0,0.0,0.43,19.63,0.0,0.0,0.43,0.36,1.0,1.0,0.43,0.59,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16 16:00:00,71.55,17.93,0,0,0.43,15.86,0,0,0.43,14.13,0,0,0.45,12.28,0,0,0.44,10.57,0,0,0.44,8.93,0,0,0.42,7.5,30,60,0.42,6.3,35,30,0.42,5.37,16,51,0.42,4.38,0,47,0.42,3.63,1,1,0.42,2.99,0,10,0.42,2.48,0,0,0.42,2.04,0,15,0.43,1.65,0,15,0.43,1.37,0,15,0.43,1.1,0,0,0.43,0.85,0,0,0.43,0.68,0,0,0.43,0.84,0,0,0.43,1.26,0,4,0.43,1.81,0,35,0.43,2.5,0,16,0.43,3.36,0,15,0.43,4.39,0,15,0.44,5.58,31,80,0.44,6.85,0,12,0.44,8.31,0,16,0.44,9.82,0,30,0.43,11.57,0,0,0.43,13.44,0,0,0.44,15.43,0,0,0.44,17.52,0,0,0.44,19.69,0,0,0.45,21.67,0,0,0.43,23.94,0,0,0.43,26.26,0,0,0.43,28.63,0,0,0.43,22.37,0.0,0.0,0.43,20.1,0.0,0.0,0.43,0.32,0.0,1.0,0.43,0.53,0.0,0.0,0.43,23.3,0.0,0.0,0.43,0.26,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20 16:00:00,70.5,16.97,0,0,0.44,14.95,0,0,0.44,13.28,0,0,0.46,11.48,0,0,0.45,9.82,0,0,0.44,8.35,0,0,0.44,7.02,0,60,0.44,5.87,0,30,0.44,4.87,0,51,0.43,4.03,0,47,0.43,3.32,0,1,0.43,2.73,0,10,0.44,2.24,0,0,0.44,1.85,0,15,0.44,1.5,0,15,0.44,1.21,0,15,0.44,0.96,0,0,0.44,0.75,0,0,0.44,0.59,0,0,0.44,0.97,0,0,0.44,1.44,0,4,0.44,2.05,0,35,0.44,2.81,0,16,0.44,3.72,0,15,0.44,4.71,0,15,0.44,5.87,0,80,0.44,7.22,0,12,0.43,8.73,0,16,0.43,10.42,0,30,0.44,12.23,0,0,0.44,14.17,0,0,0.44,16.21,0,0,0.45,18.34,0,0,0.45,20.37,0,0,0.44,22.6,0,0,0.44,24.9,0,0,0.44,27.24,0,0,0.44,29.64,0,0,0.44,21.36,0.0,0.0,0.44,19.12,0.0,0.0,0.44,0.38,0.0,1.0,0.44,0.62,0.0,0.0,0.44,22.28,0.0,0.0,0.44,0.3,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
