time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P
time,close,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,62.50,62.50,62.50,62.50,62.50,62.50,62.50,62.50,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50,55.00,55.00,55.00,55.00,57.50,57.50,57.50,57.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-30 16:00:00,90.6,30.87,0,0,0.43,29.22,0,0,0.43,27.52,0,0,0.43,25.92,0,0,0.42,24.36,0,0,0.42,22.79,0,0,0.41,21.45,0,0,0.41,20.04,0,0,0.41,18.75,0,0,0.41,17.41,1,1,0.4,16.39,0,0,0.4,15.31,0,0,0.4,14.27,0,0,0.4,13.32,0,0,0.4,12.45,103,103,0.4,11.63,32,32,0.4,10.85,0,0,0.4,10.39,0,0,0.4,9.45,0,0,0.4,3.81,2,2,0.4,4.49,0,0,0.4,5.32,0,0,0.4,6.17,0,0,0.4,7.11,0,0,0.4,8.06,0,0,0.4,9.02,0,0,0.4,10.09,623,600,0.39,11.22,0,0,0.39,12.49,31,30,0.39,13.8,15,15,0.39,15.21,0,0,0.39,16.64,211,211,0.39,18.15,0,0,0.39,19.75,0,0,0.39,21.41,0,0,0.39,23.14,0,0,0.39,24.87,0,0,0.39,26.72,0,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01 16:00:00,87.9,28.6,0,0,0.43,26.9,0,0,0.43,25.26,0,0,0.42,23.71,0,0,0.42,22.22,0,0,0.41,20.6,0,0,0.41,19.28,0,0,0.4,18.05,0,0,0.4,17.07,0,0,0.41,15.95,0,1,0.41,14.76,1,1,0.4,13.78,10,10,0.4,12.88,0,0,0.4,12.03,0,0,0.4,11.22,2,104,0.4,10.48,0,32,0.4,9.79,8,8,0.4,9.12,2,2,0.4,8.54,1,1,0.4,4.36,77,72,0.41,5.17,106,106,0.41,6.03,149,149,0.41,6.96,84,84,0.41,8.02,122,122,0.41,9.06,15,15,0.41,10.14,30,30,0.4,11.3,1,601,0.4,12.54,3,3,0.4,13.86,4,32,0.4,15.24,0,15,0.4,16.69,106,106,0.4,18.21,0,211,0.4,19.81,0,0,0.4,21.48,0,0,0.4,23.22,0,0,0.4,25.02,0,0,0.4,26.89,0,0,0.4,28.81,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04 16:00:00,86.45,27.51,0,0,0.43,25.89,0,0,0.43,24.26,0,0,0.43,22.76,0,0,0.42,21.27,0,0,0.42,19.84,2,2,0.41,18.53,0,0,0.41,17.29,0,0,0.41,16.13,0,0,0.41,15.09,1,2,0.41,14.03,0,1,0.41,13.12,2,12,0.41,12.19,0,0,0.4,11.38,0,0,0.4,10.61,0,104,0.4,9.92,0,32,0.4,9.26,0,8,0.41,8.62,2,4,0.4,8.27,6,6,0.41,4.67,2,74,0.41,5.53,5,109,0.41,6.4,0,149,0.41,7.42,0,84,0.41,8.48,0,122,0.41,9.53,0,15,0.41,10.64,1,31,0.41,11.83,0,601,0.41,13.0,8,11,0.4,14.45,0,32,0.4,15.84,0,15,0.4,17.38,0,106,0.4,18.92,0,211,0.4,20.59,0,0,0.4,22.3,0,0,0.4,24.08,0,0,0.4,25.9,0,0,0.4,27.8,0,0,0.4,29.77,15,15,0.4,29.28,0.0,0.0,0.44,3.94,4.0,4.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05 16:00:00,84.65,26.19,0,0,0.44,24.59,0,0,0.44,23.05,0,0,0.43,21.6,0,0,0.43,20.16,0,0,0.42,18.84,0,2,0.42,17.72,0,0,0.42,16.26,6,6,0.41,15.15,0,0,0.41,14.16,0,2,0.41,13.45,0,1,0.42,12.29,2,10,0.41,11.49,0,0,0.41,10.68,0,0,0.41,10.02,15,90,0.41,9.27,1,32,0.41,8.64,0,8,0.41,8.13,0,4,0.41,7.31,4,6,0.4,5.12,1,75,0.41,5.99,0,109,0.41,6.95,0,149,0.42,8.01,1,85,0.42,9.08,15,122,0.42,10.2,2,17,0.41,11.15,31,61,0.4,12.52,16,600,0.41,13.91,0,11,0.41,15.28,0,32,0.4,16.69,8,15,0.4,18.25,0,106,0.4,19.86,0,211,0.4,21.61,0,0,0.4,23.43,0,0,0.4,25.18,0,0,0.4,27.16,0,0,0.4,29.14,1,1,0.4,31.04,180,195,0.4,27.86,0.0,0.0,0.44,4.29,23.0,27.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06 16:00:00,86.4,27.54,0,0,0.44,25.84,0,0,0.43,24.24,0,0,0.43,22.73,0,0,0.42,21.28,0,0,0.42,20.02,0,2,0.42,18.69,0,0,0.42,17.45,0,6,0.42,16.26,0,0,0.41,15.16,0,2,0.41,14.11,0,1,0.41,13.15,2,12,0.41,12.26,0,0,0.41,11.43,0,0,0.41,10.65,6,93,0.41,9.93,0,32,0.41,9.26,0,8,0.41,8.61,0,4,0.41,8.07,3,9,0.41,4.72,2,77,0.41,5.58,17,103,0.41,6.45,0,149,0.41,7.49,0,85,0.41,8.55,0,122,0.42,9.6,0,17,0.41,10.71,0,61,0.41,11.87,15,600,0.41,13.14,0,11,0.41,14.47,0,32,0.4,15.89,0,15,0.4,17.52,0,106,0.4,19.09,0,211,0.4,20.48,0,0,0.4,22.46,0,0,0.4,24.23,0,0,0.4,26.04,0,0,0.4,27.93,0,1,0.4,29.89,0,195,0.4,29.27,0.0,0.0,0.44,3.99,4.0,24.0,0.41,31.04,0.0,0.0,0.45,3.31,40.0,20.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07 16:00:00,86.1,27.44,0,0,0.44,25.81,0,0,0.44,24.25,0,0,0.44,22.77,0,0,0.43,21.37,0,0,0.43,20.0,0,2,0.43,18.68,0,0,0.43,17.42,0,6,0.42,16.25,0,0,0.42,15.14,0,2,0.42,14.11,0,1,0.42,13.14,4,12,0.41,12.25,0,0,0.41,11.44,1,1,0.41,10.68,1,92,0.41,9.98,0,32,0.41,9.26,0,8,0.41,8.64,2,4,0.41,8.07,19,25,0.41,4.87,30,105,0.42,5.73,0,103,0.42,6.62,0,149,0.42,7.67,38,123,0.42,8.73,0,122,0.42,9.78,0,17,0.42,10.88,0,61,0.41,12.07,2,602,0.41,13.33,0,11,0.41,14.66,0,32,0.41,16.12,0,15,0.41,17.57,0,106,0.4,19.14,0,211,0.4,20.78,0,0,0.4,22.48,0,0,0.4,24.26,0,0,0.4,26.09,0,0,0.4,27.99,0,1,0.4,29.94,0,195,0.4,29.14,0.0,0.0,0.45,4.11,0.0,24.0,0.42,30.92,0.0,0.0,0.46,3.42,50.0,50.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08 16:00:00,86.65,27.82,0,0,0.44,26.18,0,0,0.44,24.6,0,0,0.44,23.1,0,0,0.43,21.68,0,0,0.43,20.33,0,2,0.43,19.05,0,0,0.43,17.83,1,7,0.42,16.69,28,28,0.42,15.61,0,2,0.42,14.57,4,5,0.42,13.64,11,21,0.42,12.68,13,13,0.42,11.82,0,1,0.42,11.02,0,92,0.42,10.29,0,32,0.42,9.6,0,8,0.41,9.01,64,68,0.42,8.4,42,62,0.42,4.68,6,99,0.41,5.54,101,129,0.41,6.41,6,143,0.42,7.43,0,123,0.42,8.49,0,122,0.42,9.48,30,32,0.41,10.56,1,62,0.41,11.73,0,602,0.41,12.91,13,16,0.4,14.26,0,32,0.4,15.66,10,18,0.4,17.4,0,106,0.41,18.77,0,211,0.4,20.39,0,0,0.4,22.07,0,0,0.4,23.83,0,0,0.4,25.65,0,0,0.4,27.52,0,1,0.4,29.45,0,195,0.4,29.55,0.0,0.0,0.45,3.96,7.0,24.0,0.41,31.34,0.0,0.0,0.45,3.28,42.0,52.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-11 16:00:00,83.5,25.43,0,0,0.45,23.83,0,0,0.45,22.26,0,0,0.44,20.81,0,0,0.43,19.45,0,0,0.43,18.34,0,2,0.44,17.09,0,0,0.43,15.84,165,165,0.43,14.87,0,28,0.43,13.66,0,2,0.42,12.74,0,5,0.42,11.85,2,21,0.42,11.05,0,13,0.42,10.31,3,4,0.42,9.56,90,92,0.42,8.99,0,32,0.42,8.41,0,8,0.42,7.82,2,70,0.42,7.39,152,204,0.42,5.65,0,99,0.43,6.54,2,130,0.43,7.6,0,143,0.43,8.67,46,153,0.43,9.58,30,152,0.42,10.75,15,47,0.42,11.97,77,134,0.42,13.25,78,603,0.42,14.64,0,16,0.42,16.07,0,32,0.41,17.63,0,18,0.41,19.26,0,106,0.41,20.92,0,211,0.41,22.62,0,0,0.41,24.23,0,0,0.41,26.34,0,0,0.42,28.25,0,0,0.42,30.23,0,1,0.42,32.23,0,195,0.42,27.09,0.0,0.0,0.46,4.79,9.0,24.0,0.43,28.8,0.0,0.0,0.46,4.03,21.0,73.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,
